   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.58172      0.178309E-01  0.206066E-01  0.103033E-01  0.281342E-01  0.752759E-02  -.752759E-02  0.384375E-01  0.103033E-01  0.178309E-01  0.103033E-01   0.00000       0.00000       0.00000      0.103033E-01
  0.103532E-02   5.50859      0.182806E-01  0.211212E-01  0.105606E-01  0.288412E-01  0.772006E-02  -.772006E-02  0.394018E-01  0.105606E-01  0.182806E-01  0.105606E-01   0.00000       0.00000       0.00000      0.105606E-01
  0.107189E-02   5.43546      0.187304E-01  0.216358E-01  0.108179E-01  0.295483E-01  0.791253E-02  -.791253E-02  0.403662E-01  0.108179E-01  0.187304E-01  0.108179E-01   0.00000       0.00000       0.00000      0.108179E-01
  0.110975E-02   5.36233      0.191802E-01  0.221503E-01  0.110752E-01  0.302553E-01  0.810500E-02  -.810500E-02  0.413305E-01  0.110752E-01  0.191802E-01  0.110752E-01   0.00000       0.00000       0.00000      0.110752E-01
  0.114895E-02   5.28920      0.196299E-01  0.226649E-01  0.113325E-01  0.309624E-01  0.829747E-02  -.829747E-02  0.422949E-01  0.113325E-01  0.196299E-01  0.113325E-01   0.00000       0.00000       0.00000      0.113325E-01
  0.118953E-02   5.22290      0.201765E-01  0.232880E-01  0.116440E-01  0.318205E-01  0.853246E-02  -.853246E-02  0.434645E-01  0.116440E-01  0.201765E-01  0.116440E-01   0.00000       0.00000       0.00000      0.116440E-01
  0.123155E-02   5.15729      0.207329E-01  0.239222E-01  0.119611E-01  0.326939E-01  0.877178E-02  -.877178E-02  0.446550E-01  0.119611E-01  0.207329E-01  0.119611E-01   0.00000       0.00000       0.00000      0.119611E-01
  0.127505E-02   5.09168      0.212892E-01  0.245563E-01  0.122782E-01  0.335674E-01  0.901110E-02  -.901110E-02  0.458455E-01  0.122782E-01  0.212892E-01  0.122782E-01   0.00000       0.00000       0.00000      0.122782E-01
  0.132009E-02   5.02607      0.218456E-01  0.251904E-01  0.125952E-01  0.344408E-01  0.925041E-02  -.925041E-02  0.470361E-01  0.125952E-01  0.218456E-01  0.125952E-01   0.00000       0.00000       0.00000      0.125952E-01
  0.136672E-02   4.96046      0.224020E-01  0.258246E-01  0.129123E-01  0.353143E-01  0.948973E-02  -.948973E-02  0.482266E-01  0.129123E-01  0.224020E-01  0.129123E-01   0.00000       0.00000       0.00000      0.129123E-01
  0.141499E-02   4.89485      0.229584E-01  0.264587E-01  0.132294E-01  0.361878E-01  0.972905E-02  -.972905E-02  0.494171E-01  0.132294E-01  0.229584E-01  0.132294E-01   0.00000       0.00000       0.00000      0.132294E-01
  0.146497E-02   4.82924      0.235148E-01  0.270928E-01  0.135464E-01  0.370612E-01  0.996837E-02  -.996837E-02  0.506076E-01  0.135464E-01  0.235148E-01  0.135464E-01   0.00000       0.00000       0.00000      0.135464E-01
  0.151672E-02   4.76363      0.240712E-01  0.277270E-01  0.138635E-01  0.379347E-01  0.102077E-01  -.102077E-01  0.517981E-01  0.138635E-01  0.240712E-01  0.138635E-01   0.00000       0.00000       0.00000      0.138635E-01
  0.157029E-02   4.70093      0.246843E-01  0.284242E-01  0.142121E-01  0.388964E-01  0.104722E-01  -.104722E-01  0.531085E-01  0.142121E-01  0.246843E-01  0.142121E-01   0.00000       0.00000       0.00000      0.142121E-01
  0.162576E-02   4.64204      0.253716E-01  0.292038E-01  0.146019E-01  0.399735E-01  0.107697E-01  -.107697E-01  0.545754E-01  0.146019E-01  0.253716E-01  0.146019E-01   0.00000       0.00000       0.00000      0.146019E-01
  0.168318E-02   4.58315      0.260589E-01  0.299834E-01  0.149917E-01  0.410506E-01  0.110672E-01  -.110672E-01  0.560424E-01  0.149917E-01  0.260589E-01  0.149917E-01   0.00000       0.00000       0.00000      0.149917E-01
  0.174263E-02   4.52425      0.267462E-01  0.307631E-01  0.153815E-01  0.421278E-01  0.113647E-01  -.113647E-01  0.575093E-01  0.153815E-01  0.267462E-01  0.153815E-01   0.00000       0.00000       0.00000      0.153815E-01
  0.180419E-02   4.46536      0.274335E-01  0.315427E-01  0.157714E-01  0.432049E-01  0.116622E-01  -.116622E-01  0.589762E-01  0.157714E-01  0.274335E-01  0.157714E-01   0.00000       0.00000       0.00000      0.157714E-01
  0.186791E-02   4.40646      0.281208E-01  0.323223E-01  0.161612E-01  0.442820E-01  0.119597E-01  -.119597E-01  0.604432E-01  0.161612E-01  0.281208E-01  0.161612E-01   0.00000       0.00000       0.00000      0.161612E-01
  0.193389E-02   4.34757      0.288081E-01  0.331020E-01  0.165510E-01  0.453591E-01  0.122572E-01  -.122572E-01  0.619101E-01  0.165510E-01  0.288081E-01  0.165510E-01   0.00000       0.00000       0.00000      0.165510E-01
  0.200220E-02   4.28867      0.294955E-01  0.338816E-01  0.169408E-01  0.464363E-01  0.125546E-01  -.125546E-01  0.633771E-01  0.169408E-01  0.294955E-01  0.169408E-01   0.00000       0.00000       0.00000      0.169408E-01
  0.207292E-02   4.22978      0.301828E-01  0.346613E-01  0.173306E-01  0.475134E-01  0.128521E-01  -.128521E-01  0.648440E-01  0.173306E-01  0.301828E-01  0.173306E-01   0.00000       0.00000       0.00000      0.173306E-01
  0.214614E-02   4.17663      0.310237E-01  0.356096E-01  0.178048E-01  0.488284E-01  0.132189E-01  -.132189E-01  0.666332E-01  0.178048E-01  0.310237E-01  0.178048E-01   0.00000       0.00000       0.00000      0.178048E-01
  0.222195E-02   4.12372      0.318711E-01  0.365651E-01  0.182826E-01  0.501536E-01  0.135885E-01  -.135885E-01  0.684362E-01  0.182826E-01  0.318711E-01  0.182826E-01   0.00000       0.00000       0.00000      0.182826E-01
  0.230043E-02   4.07082      0.327185E-01  0.375206E-01  0.187603E-01  0.514788E-01  0.139582E-01  -.139582E-01  0.702391E-01  0.187603E-01  0.327185E-01  0.187603E-01   0.00000       0.00000       0.00000      0.187603E-01
