   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.4634      0.843542      0.937182      0.829346      0.951378      0.141958E-01  -.141958E-01   1.78072      0.427779      0.441975      0.427899      0.401567      0.815040E-01   0.00000      0.427899    
  0.103532E-02   13.2576      0.831354      0.923512      0.816832      0.938034      0.145219E-01  -.145219E-01   1.75487      0.421628      0.436150      0.421749      0.395203      0.801348E-01   0.00000      0.421749    
  0.107189E-02   13.0518      0.819165      0.909842      0.804317      0.924690      0.148480E-01  -.148480E-01   1.72901      0.415477      0.430325      0.415599      0.388840      0.787656E-01   0.00000      0.415599    
  0.110975E-02   12.8460      0.806977      0.896172      0.791802      0.911346      0.151740E-01  -.151740E-01   1.70315      0.409326      0.424500      0.409450      0.382476      0.773963E-01   0.00000      0.409450    
  0.114895E-02   12.6401      0.794788      0.882502      0.779288      0.898002      0.155001E-01  -.155001E-01   1.67729      0.403175      0.418676      0.403300      0.376112      0.760271E-01   0.00000      0.403300    
  0.118953E-02   12.4550      0.783991      0.870380      0.768102      0.886269      0.158886E-01  -.158886E-01   1.65437      0.397727      0.413616      0.397852      0.370375      0.748012E-01   0.00000      0.397852    
  0.123155E-02   12.2719      0.773335      0.858416      0.757052      0.874699      0.162834E-01  -.162834E-01   1.63175      0.392350      0.408633      0.392476      0.364702      0.735898E-01   0.00000      0.392476    
  0.127505E-02   12.0889      0.762680      0.846451      0.746002      0.863129      0.166782E-01  -.166782E-01   1.60913      0.386973      0.403651      0.387100      0.359029      0.723784E-01   0.00000      0.387100    
  0.132009E-02   11.9058      0.752024      0.834487      0.734951      0.851560      0.170730E-01  -.170730E-01   1.58651      0.381596      0.398669      0.381724      0.353356      0.711670E-01   0.00000      0.381724    
  0.136672E-02   11.7228      0.741369      0.822522      0.723901      0.839990      0.174678E-01  -.174678E-01   1.56389      0.376219      0.393686      0.376348      0.347682      0.699556E-01   0.00000      0.376348    
  0.141499E-02   11.5397      0.730713      0.810558      0.712851      0.828420      0.178626E-01  -.178626E-01   1.54127      0.370842      0.388704      0.370972      0.342009      0.687443E-01   0.00000      0.370972    
  0.146497E-02   11.3567      0.720058      0.798593      0.701800      0.816850      0.182574E-01  -.182574E-01   1.51865      0.365465      0.383722      0.365596      0.336336      0.675329E-01   0.00000      0.365596    
  0.151672E-02   11.1736      0.709402      0.786629      0.690750      0.805281      0.186522E-01  -.186522E-01   1.49603      0.360087      0.378740      0.360220      0.330663      0.663215E-01   0.00000      0.360220    
  0.157029E-02   10.9994      0.699356      0.775339      0.680273      0.794421      0.190828E-01  -.190828E-01   1.47469      0.355017      0.374100      0.355150      0.325256      0.651709E-01   0.00000      0.355150    
