   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.7214      0.857012      0.947584      0.843081      0.961515      0.139312E-01  -.139312E-01   1.80460      0.432099      0.446030      0.432219      0.410982      0.832662E-01   0.00000      0.432219    
  0.103532E-02   13.5145      0.844603      0.933590      0.830350      0.947843      0.142530E-01  -.142530E-01   1.77819      0.425796      0.440049      0.425916      0.404554      0.818776E-01   0.00000      0.425916    
  0.107189E-02   13.3076      0.832194      0.919596      0.817619      0.934170      0.145748E-01  -.145748E-01   1.75179      0.419492      0.434067      0.419614      0.398127      0.804890E-01   0.00000      0.419614    
  0.110975E-02   13.1006      0.819784      0.905601      0.804888      0.920498      0.148965E-01  -.148965E-01   1.72539      0.413189      0.428086      0.413312      0.391699      0.791004E-01   0.00000      0.413312    
  0.114895E-02   12.8937      0.807375      0.891607      0.792157      0.906826      0.152183E-01  -.152183E-01   1.69898      0.406886      0.422104      0.407010      0.385271      0.777117E-01   0.00000      0.407010    
  0.118953E-02   12.7071      0.796332      0.879128      0.780730      0.894730      0.156021E-01  -.156021E-01   1.67546      0.401268      0.416870      0.401393      0.379462      0.764663E-01   0.00000      0.401393    
  0.123155E-02   12.5225      0.785428      0.866803      0.769436      0.882795      0.159921E-01  -.159921E-01   1.65223      0.395721      0.411713      0.395847      0.373715      0.752354E-01   0.00000      0.395847    
  0.127505E-02   12.3379      0.774524      0.854478      0.758142      0.870860      0.163822E-01  -.163822E-01   1.62900      0.390173      0.406555      0.390300      0.367969      0.740046E-01   0.00000      0.390300    
  0.132009E-02   12.1533      0.763620      0.842152      0.746848      0.858925      0.167722E-01  -.167722E-01   1.60577      0.384625      0.401397      0.384753      0.362223      0.727737E-01   0.00000      0.384753    
  0.136672E-02   11.9688      0.752716      0.829827      0.735554      0.846989      0.171623E-01  -.171623E-01   1.58254      0.379078      0.396240      0.379207      0.356476      0.715428E-01   0.00000      0.379207    
  0.141499E-02   11.7842      0.741812      0.817502      0.724260      0.835054      0.175523E-01  -.175523E-01   1.55931      0.373530      0.391082      0.373660      0.350730      0.703120E-01   0.00000      0.373660    
  0.146497E-02   11.5996      0.730908      0.805177      0.712966      0.823119      0.179424E-01  -.179424E-01   1.53608      0.367982      0.385925      0.368113      0.344984      0.690811E-01   0.00000      0.368113    
  0.151672E-02   11.4150      0.720004      0.792851      0.701672      0.811184      0.183324E-01  -.183324E-01   1.51286      0.362435      0.380767      0.362567      0.339237      0.678502E-01   0.00000      0.362567    
  0.157029E-02   11.2391      0.709701      0.781189      0.690943      0.799947      0.187581E-01  -.187581E-01   1.49089      0.357188      0.375946      0.357321      0.333755      0.666803E-01   0.00000      0.357321    
  0.162576E-02   11.0745      0.700184      0.770394      0.680953      0.789624      0.192302E-01  -.192302E-01   1.47058      0.352335      0.371565      0.352469      0.328619      0.655901E-01   0.00000      0.352469    
  0.168318E-02   10.9099      0.690666      0.759598      0.670964      0.779300      0.197024E-01  -.197024E-01   1.45026      0.347482      0.367184      0.347617      0.323482      0.644999E-01   0.00000      0.347617    
  0.174263E-02   10.7453      0.681149      0.748803      0.660974      0.768977      0.201746E-01  -.201746E-01   1.42995      0.342629      0.362803      0.342764      0.318346      0.634096E-01   0.00000      0.342764    
  0.180419E-02   10.5807      0.671631      0.738007      0.650984      0.758654      0.206467E-01  -.206467E-01   1.40964      0.337775      0.358422      0.337912      0.313209      0.623194E-01   0.00000      0.337912    
  0.186791E-02   10.4161      0.662114      0.727211      0.640995      0.748330      0.211189E-01  -.211189E-01   1.38933      0.332922      0.354041      0.333060      0.308072      0.612292E-01   0.00000      0.333060    
  0.193389E-02   10.2515      0.652596      0.716416      0.631005      0.738007      0.215910E-01  -.215910E-01   1.36901      0.328069      0.349660      0.328208      0.302936      0.601390E-01   0.00000      0.328208    
  0.200220E-02   10.0869      0.643079      0.705620      0.621016      0.727684      0.220632E-01  -.220632E-01   1.34870      0.323216      0.345279      0.323355      0.297799      0.590487E-01   0.00000      0.323355    
  0.207292E-02   9.92233      0.633561      0.694825      0.611026      0.717360      0.225354E-01  -.225354E-01   1.32839      0.318363      0.340898      0.318503      0.292663      0.579585E-01   0.00000      0.318503    
  0.214614E-02   9.77485      0.625278      0.685382      0.602176      0.708484      0.231020E-01  -.231020E-01   1.31066      0.314126      0.337228      0.314267      0.288050      0.569885E-01   0.00000      0.314267    
  0.222195E-02   9.62809      0.617048      0.675997      0.593375      0.699669      0.236727E-01  -.236727E-01   1.29304      0.309916      0.333588      0.310057      0.283459      0.560236E-01   0.00000      0.310057    
  0.230043E-02   9.48134      0.608817      0.666611      0.584574      0.690855      0.242433E-01  -.242433E-01   1.27543      0.305705      0.329948      0.305847      0.278869      0.550587E-01   0.00000      0.305847    
  0.238169E-02   9.33459      0.600586      0.657226      0.575773      0.682040      0.248140E-01  -.248140E-01   1.25781      0.301495      0.326308      0.301638      0.274278      0.540938E-01   0.00000      0.301638    
  0.246581E-02   9.18783      0.592356      0.647841      0.566971      0.673225      0.253846E-01  -.253846E-01   1.24020      0.297284      0.322669      0.297428      0.269687      0.531289E-01   0.00000      0.297428    
  0.255291E-02   9.04108      0.584125      0.638455      0.558170      0.664410      0.259553E-01  -.259553E-01   1.22258      0.293073      0.319029      0.293218      0.265097      0.521640E-01   0.00000      0.293218    
  0.264308E-02   8.89433      0.575895      0.629070      0.549369      0.655596      0.265259E-01  -.265259E-01   1.20496      0.288863      0.315389      0.289008      0.260506      0.511991E-01   0.00000      0.289008    
  0.273644E-02   8.74757      0.567664      0.619684      0.540568      0.646781      0.270966E-01  -.270966E-01   1.18735      0.284652      0.311749      0.284798      0.255915      0.502342E-01   0.00000      0.284798    
  0.283310E-02   8.60854      0.560018      0.610933      0.532294      0.638658      0.277243E-01  -.277243E-01   1.17095      0.280732      0.308456      0.280878      0.251562      0.493235E-01   0.00000      0.280878    
  0.293317E-02   8.47771      0.552992      0.602856      0.524580      0.631269      0.284127E-01  -.284127E-01   1.15585      0.277120      0.305532      0.277266      0.247460      0.484703E-01   0.00000      0.277266    
  0.303677E-02   8.34688      0.545967      0.594779      0.516866      0.623880      0.291011E-01  -.291011E-01   1.14075      0.273507      0.302608      0.273655      0.243358      0.476170E-01   0.00000      0.273655    
  0.314404E-02   8.21605      0.538941      0.586702      0.509152      0.616492      0.297895E-01  -.297895E-01   1.12564      0.269895      0.299685      0.270043      0.239257      0.467638E-01   0.00000      0.270043    
  0.325509E-02   8.08522      0.531916      0.578625      0.501438      0.609103      0.304779E-01  -.304779E-01   1.11054      0.266283      0.296761      0.266431      0.235155      0.459106E-01   0.00000      0.266431    
  0.337006E-02   7.95439      0.524890      0.570548      0.493724      0.601714      0.311663E-01  -.311663E-01   1.09544      0.262671      0.293837      0.262820      0.231053      0.450574E-01   0.00000      0.262820    
  0.348910E-02   7.82356      0.517865      0.562471      0.486010      0.594325      0.318547E-01  -.318547E-01   1.08034      0.259059      0.290913      0.259208      0.226951      0.442041E-01   0.00000      0.259208    
  0.361234E-02   7.69273      0.510839      0.554393      0.478296      0.586937      0.325431E-01  -.325431E-01   1.06523      0.255446      0.287989      0.255596      0.222850      0.433509E-01   0.00000      0.255596    
  0.373994E-02   7.56205      0.503826      0.546329      0.470593      0.579562      0.332330E-01  -.332330E-01   1.05015      0.251840      0.285073      0.251990      0.218753      0.424987E-01   0.00000      0.251990    
  0.387204E-02   7.44541      0.497939      0.539473      0.463878      0.573534      0.340617E-01  -.340617E-01   1.03741      0.248789      0.282850      0.248939      0.215089      0.417450E-01   0.00000      0.248939    
