   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.3588      0.779646      0.868627      0.766705      0.881567      0.129408E-01  -.129408E-01   1.64827      0.396191      0.409132      0.396311      0.370514      0.761248E-01   0.00000      0.396311    
  0.103532E-02   12.1760      0.768810      0.856485      0.755563      0.869732      0.132466E-01  -.132466E-01   1.62529      0.390742      0.403989      0.390863      0.364821      0.748802E-01   0.00000      0.390863    
  0.107189E-02   11.9933      0.757973      0.844344      0.744421      0.857897      0.135524E-01  -.135524E-01   1.60232      0.385294      0.398846      0.385415      0.359127      0.736356E-01   0.00000      0.385415    
  0.110975E-02   11.8105      0.747137      0.832203      0.733279      0.846061      0.138582E-01  -.138582E-01   1.57934      0.379845      0.393703      0.379967      0.353434      0.723910E-01   0.00000      0.379967    
  0.114895E-02   11.6277      0.736301      0.820062      0.722137      0.834226      0.141639E-01  -.141639E-01   1.55636      0.374396      0.388560      0.374520      0.347741      0.711464E-01   0.00000      0.374520    
  0.118953E-02   11.4626      0.726675      0.809273      0.712145      0.823803      0.145302E-01  -.145302E-01   1.53595      0.369560      0.384091      0.369685      0.342585      0.700273E-01   0.00000      0.369685    
  0.123155E-02   11.2993      0.717173      0.798621      0.702270      0.813524      0.149027E-01  -.149027E-01   1.51579      0.364787      0.379690      0.364913      0.337483      0.689211E-01   0.00000      0.364913    
  0.127505E-02   11.1360      0.707671      0.787970      0.692396      0.803245      0.152752E-01  -.152752E-01   1.49564      0.360014      0.375289      0.360141      0.332382      0.678149E-01   0.00000      0.360141    
  0.132009E-02   10.9727      0.698169      0.777318      0.682521      0.792966      0.156476E-01  -.156476E-01   1.47549      0.355241      0.370888      0.355369      0.327280      0.667086E-01   0.00000      0.355369    
  0.136672E-02   10.8094      0.688666      0.766666      0.672646      0.782686      0.160201E-01  -.160201E-01   1.45533      0.350467      0.366488      0.350596      0.322179      0.656024E-01   0.00000      0.350596    
  0.141499E-02   10.6460      0.679164      0.756015      0.662772      0.772407      0.163926E-01  -.163926E-01   1.43518      0.345694      0.362087      0.345824      0.317077      0.644961E-01   0.00000      0.345824    
  0.146497E-02   10.4827      0.669662      0.745363      0.652897      0.762128      0.167650E-01  -.167650E-01   1.41502      0.340921      0.357686      0.341052      0.311976      0.633899E-01   0.00000      0.341052    
  0.151672E-02   10.3194      0.660160      0.734711      0.643022      0.751849      0.171375E-01  -.171375E-01   1.39487      0.336148      0.353285      0.336280      0.306874      0.622836E-01   0.00000      0.336280    
  0.157029E-02   10.1636      0.651192      0.724654      0.633647      0.742199      0.175449E-01  -.175449E-01   1.37585      0.331645      0.349190      0.331778      0.302003      0.612309E-01   0.00000      0.331778    
