   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3229      0.834746      0.927629      0.820846      0.941529      0.139001E-01  -.139001E-01   1.76237      0.423384      0.437284      0.423504      0.397462      0.807413E-01   0.00000      0.423504    
  0.103532E-02   13.1195      0.822701      0.914121      0.808479      0.928343      0.142213E-01  -.142213E-01   1.73682      0.417307      0.431528      0.417427      0.391173      0.793871E-01   0.00000      0.417427    
  0.107189E-02   12.9162      0.810655      0.900614      0.796113      0.915156      0.145425E-01  -.145425E-01   1.71127      0.411229      0.425772      0.411351      0.384884      0.780328E-01   0.00000      0.411351    
  0.110975E-02   12.7128      0.798610      0.887106      0.783747      0.901969      0.148636E-01  -.148636E-01   1.68572      0.405152      0.420016      0.405275      0.378594      0.766786E-01   0.00000      0.405275    
  0.114895E-02   12.5094      0.786565      0.873598      0.771380      0.888783      0.151848E-01  -.151848E-01   1.66016      0.399075      0.414260      0.399199      0.372305      0.753244E-01   0.00000      0.399199    
  0.118953E-02   12.3265      0.775894      0.861619      0.760326      0.877187      0.155678E-01  -.155678E-01   1.63751      0.393691      0.409259      0.393816      0.366635      0.741116E-01   0.00000      0.393816    
  0.123155E-02   12.1456      0.765362      0.849796      0.749405      0.865753      0.159572E-01  -.159572E-01   1.61516      0.388378      0.404335      0.388504      0.361027      0.729132E-01   0.00000      0.388504    
  0.127505E-02   11.9647      0.754831      0.837973      0.738484      0.854319      0.163465E-01  -.163465E-01   1.59280      0.383065      0.399412      0.383192      0.355419      0.717149E-01   0.00000      0.383192    
  0.132009E-02   11.7838      0.744299      0.826149      0.727564      0.842885      0.167358E-01  -.167358E-01   1.57045      0.377752      0.394488      0.377880      0.349811      0.705165E-01   0.00000      0.377880    
  0.136672E-02   11.6029      0.733768      0.814326      0.716643      0.831451      0.171252E-01  -.171252E-01   1.54809      0.372439      0.389565      0.372568      0.344204      0.693181E-01   0.00000      0.372568    
  0.141499E-02   11.4220      0.723237      0.802503      0.705722      0.820017      0.175145E-01  -.175145E-01   1.52574      0.367126      0.384641      0.367256      0.338596      0.681197E-01   0.00000      0.367256    
  0.146497E-02   11.2411      0.712705      0.790679      0.694801      0.808583      0.179038E-01  -.179038E-01   1.50338      0.361813      0.379717      0.361944      0.332988      0.669214E-01   0.00000      0.361944    
  0.151672E-02   11.0602      0.702174      0.778856      0.683881      0.797149      0.182932E-01  -.182932E-01   1.48103      0.356500      0.374794      0.356632      0.327380      0.657230E-01   0.00000      0.356632    
  0.157029E-02   10.8880      0.692244      0.767699      0.673526      0.786417      0.187180E-01  -.187180E-01   1.45994      0.351491      0.370209      0.351624      0.322036      0.645847E-01   0.00000      0.351624    
  0.162576E-02   10.7271      0.683102      0.757413      0.663913      0.776603      0.191894E-01  -.191894E-01   1.44052      0.346877      0.366067      0.347011      0.317035      0.635248E-01   0.00000      0.347011    
  0.168318E-02   10.5662      0.673960      0.747128      0.654299      0.766789      0.196607E-01  -.196607E-01   1.42109      0.342264      0.361925      0.342399      0.312035      0.624650E-01   0.00000      0.342399    
  0.174263E-02   10.4053      0.664817      0.736842      0.644685      0.756974      0.201320E-01  -.201320E-01   1.40166      0.337651      0.357783      0.337786      0.307035      0.614051E-01   0.00000      0.337786    
  0.180419E-02   10.2444      0.655675      0.726557      0.635072      0.747160      0.206034E-01  -.206034E-01   1.38223      0.333037      0.353641      0.333174      0.302034      0.603453E-01   0.00000      0.333174    
  0.186791E-02   10.0835      0.646533      0.716271      0.625458      0.737346      0.210747E-01  -.210747E-01   1.36280      0.328424      0.349499      0.328562      0.297034      0.592854E-01   0.00000      0.328562    
  0.193389E-02   9.92263      0.637390      0.705986      0.615844      0.727532      0.215460E-01  -.215460E-01   1.34338      0.323811      0.345357      0.323949      0.292033      0.582256E-01   0.00000      0.323949    
  0.200220E-02   9.76174      0.628248      0.695700      0.606231      0.717717      0.220174E-01  -.220174E-01   1.32395      0.319198      0.341215      0.319337      0.287033      0.571657E-01   0.00000      0.319337    
  0.207292E-02   9.60085      0.619106      0.685415      0.596617      0.707903      0.224887E-01  -.224887E-01   1.30452      0.314584      0.337073      0.314724      0.282033      0.561059E-01   0.00000      0.314724    
  0.214614E-02   9.45703      0.611195      0.676482      0.588140      0.699537      0.230544E-01  -.230544E-01   1.28768      0.310589      0.333643      0.310729      0.277552      0.551641E-01   0.00000      0.310729    
  0.222195E-02   9.31393      0.603336      0.667607      0.579712      0.691232      0.236240E-01  -.236240E-01   1.27094      0.306619      0.330243      0.306761      0.273093      0.542273E-01   0.00000      0.306761    
  0.230043E-02   9.17084      0.595478      0.658733      0.571284      0.682927      0.241937E-01  -.241937E-01   1.25421      0.302650      0.326844      0.302792      0.268634      0.532905E-01   0.00000      0.302792    
  0.238169E-02   9.02774      0.587620      0.649858      0.562856      0.674622      0.247634E-01  -.247634E-01   1.23748      0.298681      0.323444      0.298824      0.264176      0.523538E-01   0.00000      0.298824    
  0.246581E-02   8.88464      0.579761      0.640983      0.554428      0.666316      0.253331E-01  -.253331E-01   1.22074      0.294711      0.320044      0.294855      0.259717      0.514170E-01   0.00000      0.294855    
  0.255291E-02   8.74155      0.571903      0.632109      0.546000      0.658011      0.259028E-01  -.259028E-01   1.20401      0.290742      0.316645      0.290886      0.255258      0.504802E-01   0.00000      0.290886    
  0.264308E-02   8.59845      0.564044      0.623234      0.537572      0.649706      0.264725E-01  -.264725E-01   1.18728      0.286773      0.313245      0.286918      0.250799      0.495435E-01   0.00000      0.286918    
  0.273644E-02   8.45535      0.556186      0.614359      0.529144      0.641401      0.270422E-01  -.270422E-01   1.17055      0.282803      0.309846      0.282949      0.246340      0.486067E-01   0.00000      0.282949    
  0.283310E-02   8.31993      0.548908      0.606115      0.521239      0.633784      0.276689E-01  -.276689E-01   1.15502      0.279123      0.306792      0.279269      0.242116      0.477229E-01   0.00000      0.279269    
  0.293317E-02   8.19264      0.542246      0.598541      0.513890      0.626897      0.283562E-01  -.283562E-01   1.14079      0.275749      0.304105      0.275896      0.238141      0.468955E-01   0.00000      0.275896    
  0.303677E-02   8.06535      0.535584      0.590967      0.506541      0.620010      0.290435E-01  -.290435E-01   1.12655      0.272376      0.301419      0.272523      0.234165      0.460681E-01   0.00000      0.272523    
  0.314404E-02   7.93807      0.528923      0.583393      0.499192      0.613123      0.297308E-01  -.297308E-01   1.11232      0.269002      0.298733      0.269150      0.230190      0.452407E-01   0.00000      0.269150    
  0.325509E-02   7.81078      0.522261      0.575818      0.491843      0.606236      0.304181E-01  -.304181E-01   1.09808      0.265628      0.296046      0.265777      0.226214      0.444133E-01   0.00000      0.265777    
  0.337006E-02   7.68350      0.515599      0.568244      0.484494      0.599350      0.311054E-01  -.311054E-01   1.08384      0.262255      0.293360      0.262404      0.222239      0.435860E-01   0.00000      0.262404    
  0.348910E-02   7.55621      0.508937      0.560670      0.477145      0.592463      0.317927E-01  -.317927E-01   1.06961      0.258881      0.290674      0.259030      0.218264      0.427586E-01   0.00000      0.259030    
  0.361234E-02   7.42893      0.502276      0.553096      0.469796      0.585576      0.324800E-01  -.324800E-01   1.05537      0.255507      0.287987      0.255657      0.214288      0.419312E-01   0.00000      0.255657    
  0.373994E-02   7.30179      0.495626      0.545534      0.462457      0.578703      0.331688E-01  -.331688E-01   1.04116      0.252140      0.285308      0.252290      0.210317      0.411048E-01   0.00000      0.252290    
  0.387204E-02   7.18854      0.490089      0.539163      0.456093      0.573159      0.339961E-01  -.339961E-01   1.02925      0.249319      0.283315      0.249469      0.206774      0.403746E-01   0.00000      0.249469    
  0.400881E-02   7.07529      0.484552      0.532792      0.449729      0.567615      0.348235E-01  -.348235E-01   1.01734      0.246498      0.281322      0.246649      0.203230      0.396445E-01   0.00000      0.246649    
  0.415040E-02   6.96203      0.479015      0.526420      0.443365      0.562071      0.356508E-01  -.356508E-01   1.00544      0.243678      0.279328      0.243828      0.199687      0.389143E-01   0.00000      0.243828    
  0.429700E-02   6.84878      0.473478      0.520049      0.437000      0.556527      0.364781E-01  -.364781E-01  0.993527      0.240857      0.277335      0.241008      0.196144      0.381842E-01   0.00000      0.241008    
  0.444878E-02   6.73553      0.467942      0.513677      0.430636      0.550983      0.373055E-01  -.373055E-01  0.981619      0.238036      0.275342      0.238187      0.192600      0.374540E-01   0.00000      0.238187    
  0.460592E-02   6.62228      0.462405      0.507306      0.424272      0.545439      0.381328E-01  -.381328E-01  0.969711      0.235215      0.273348      0.235367      0.189057      0.367239E-01   0.00000      0.235367    
  0.476861E-02   6.50902      0.456868      0.500935      0.417908      0.539895      0.389602E-01  -.389602E-01  0.957803      0.232395      0.271355      0.232546      0.185513      0.359937E-01   0.00000      0.232546    
  0.493705E-02   6.39577      0.451331      0.494563      0.411544      0.534351      0.397875E-01  -.397875E-01  0.945894      0.229574      0.269361      0.229726      0.181970      0.352636E-01   0.00000      0.229726    
  0.511143E-02   6.28919      0.446366      0.488789      0.405662      0.529493      0.407039E-01  -.407039E-01  0.935155      0.227028      0.267732      0.227180      0.178634      0.345799E-01   0.00000      0.227180    
  0.529198E-02   6.18838      0.441895      0.483530      0.400198      0.525227      0.416972E-01  -.416972E-01  0.925425      0.224721      0.266418      0.224873      0.175477      0.339363E-01   0.00000      0.224873    
  0.547890E-02   6.08757      0.437424      0.478271      0.394734      0.520961      0.426905E-01  -.426905E-01  0.915695      0.222413      0.265104      0.222565      0.172321      0.332927E-01   0.00000      0.222565    
  0.567243E-02   5.98676      0.432954      0.473012      0.389270      0.516696      0.436838E-01  -.436838E-01  0.905966      0.220106      0.263789      0.220257      0.169164      0.326492E-01   0.00000      0.220257    
  0.587279E-02   5.88595      0.428483      0.467753      0.383806      0.512430      0.446771E-01  -.446771E-01  0.896236      0.217798      0.262475      0.217949      0.166008      0.320056E-01   0.00000      0.217949    
  0.608022E-02   5.78514      0.424012      0.462494      0.378342      0.508164      0.456704E-01  -.456704E-01  0.886506      0.215490      0.261161      0.215642      0.162851      0.313620E-01   0.00000      0.215642    
  0.629499E-02   5.68433      0.419541      0.457235      0.372877      0.503899      0.466637E-01  -.466637E-01  0.876776      0.213183      0.259847      0.213334      0.159695      0.307185E-01   0.00000      0.213334    
  0.651734E-02   5.58352      0.415070      0.451976      0.367413      0.499633      0.476570E-01  -.476570E-01  0.867047      0.210875      0.258532      0.211026      0.156538      0.300749E-01   0.00000      0.211026    
  0.674754E-02   5.48339      0.410663      0.446781      0.362000      0.495443      0.486624E-01  -.486624E-01  0.857444      0.208597      0.257259      0.208748      0.153403      0.294361E-01   0.00000      0.208748    
  0.698588E-02   5.39361      0.407208      0.442544      0.357356      0.492395      0.498511E-01  -.498511E-01  0.849752      0.206762      0.256613      0.206912      0.150594      0.288698E-01   0.00000      0.206912    
  0.723263E-02   5.30382      0.403752      0.438307      0.352713      0.489347      0.510398E-01  -.510398E-01  0.842059      0.204927      0.255967      0.205077      0.147786      0.283035E-01   0.00000      0.205077    
  0.748810E-02   5.21403      0.400297      0.434070      0.348069      0.486299      0.522285E-01  -.522285E-01  0.834367      0.203092      0.255320      0.203241      0.144977      0.277371E-01   0.00000      0.203241    
  0.775260E-02   5.12424      0.396842      0.429833      0.343425      0.483250      0.534172E-01  -.534172E-01  0.826675      0.201257      0.254674      0.201406      0.142168      0.271708E-01   0.00000      0.201406    
  0.802643E-02   5.03445      0.393387      0.425596      0.338781      0.480202      0.546059E-01  -.546059E-01  0.818983      0.199422      0.254028      0.199570      0.139359      0.266045E-01   0.00000      0.199570    
  0.830994E-02   4.94467      0.389932      0.421359      0.334137      0.477154      0.557946E-01  -.557946E-01  0.811291      0.197587      0.253381      0.197734      0.136551      0.260382E-01   0.00000      0.197734    
  0.860346E-02   4.85488      0.386477      0.417122      0.329494      0.474106      0.569833E-01  -.569833E-01  0.803599      0.195752      0.252735      0.195899      0.133742      0.254718E-01   0.00000      0.195899    
