   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.4012      0.836051      0.923248      0.821926      0.937374      0.141253E-01  -.141253E-01   1.75930      0.420883      0.435008      0.421002      0.401043      0.813633E-01   0.00000      0.421002    
  0.103532E-02   13.1980      0.823893      0.909511      0.809443      0.923961      0.144499E-01  -.144499E-01   1.73340      0.414692      0.429142      0.414813      0.394751      0.800058E-01   0.00000      0.414813    
  0.107189E-02   12.9949      0.811735      0.895774      0.796961      0.910549      0.147745E-01  -.147745E-01   1.70751      0.408502      0.423277      0.408624      0.388458      0.786482E-01   0.00000      0.408624    
  0.110975E-02   12.7917      0.799577      0.882037      0.784478      0.897136      0.150991E-01  -.150991E-01   1.68161      0.402312      0.417411      0.402435      0.382166      0.772906E-01   0.00000      0.402435    
  0.114895E-02   12.5885      0.787419      0.868300      0.771995      0.883724      0.154236E-01  -.154236E-01   1.65572      0.396122      0.411545      0.396246      0.375874      0.759331E-01   0.00000      0.396246    
  0.118953E-02   12.4056      0.776612      0.856056      0.760802      0.871867      0.158103E-01  -.158103E-01   1.63267      0.390607      0.406418      0.390732      0.370194      0.747166E-01   0.00000      0.390732    
  0.123155E-02   12.2246      0.765943      0.843964      0.749739      0.860167      0.162034E-01  -.162034E-01   1.60991      0.385162      0.401365      0.385288      0.364578      0.735145E-01   0.00000      0.385288    
  0.127505E-02   12.0437      0.755273      0.831872      0.738677      0.848468      0.165964E-01  -.165964E-01   1.58715      0.379716      0.396313      0.379843      0.358961      0.723123E-01   0.00000      0.379843    
  0.132009E-02   11.8627      0.744604      0.819780      0.727615      0.836769      0.169894E-01  -.169894E-01   1.56438      0.374271      0.391260      0.374399      0.353344      0.711102E-01   0.00000      0.374399    
  0.136672E-02   11.6818      0.733935      0.807687      0.716552      0.825070      0.173824E-01  -.173824E-01   1.54162      0.368825      0.386208      0.368954      0.347727      0.699081E-01   0.00000      0.368954    
  0.141499E-02   11.5009      0.723265      0.795595      0.705490      0.813371      0.177754E-01  -.177754E-01   1.51886      0.363380      0.381155      0.363510      0.342110      0.687059E-01   0.00000      0.363510    
  0.146497E-02   11.3199      0.712596      0.783503      0.694427      0.801671      0.181685E-01  -.181685E-01   1.49610      0.357934      0.376102      0.358065      0.336493      0.675038E-01   0.00000      0.358065    
  0.151672E-02   11.1390      0.701927      0.771411      0.683365      0.789972      0.185615E-01  -.185615E-01   1.47334      0.352488      0.371050      0.352620      0.330877      0.663017E-01   0.00000      0.352620    
  0.157029E-02   10.9666      0.691850      0.759969      0.672860      0.778959      0.189901E-01  -.189901E-01   1.45182      0.347338      0.366329      0.347471      0.325521      0.651595E-01   0.00000      0.347471    
  0.162576E-02   10.8055      0.682548      0.749379      0.663083      0.768845      0.194654E-01  -.194654E-01   1.43193      0.342575      0.362040      0.342709      0.320508      0.640957E-01   0.00000      0.342709    
  0.168318E-02   10.6444      0.673246      0.738789      0.653305      0.758730      0.199406E-01  -.199406E-01   1.41204      0.337811      0.357752      0.337946      0.315494      0.630319E-01   0.00000      0.337946    
  0.174263E-02   10.4833      0.663944      0.728199      0.643528      0.748615      0.204159E-01  -.204159E-01   1.39214      0.333048      0.353463      0.333183      0.310481      0.619681E-01   0.00000      0.333183    
  0.180419E-02   10.3222      0.654642      0.717609      0.633751      0.738500      0.208911E-01  -.208911E-01   1.37225      0.328284      0.349175      0.328420      0.305467      0.609043E-01   0.00000      0.328420    
  0.186791E-02   10.1611      0.645340      0.707019      0.623974      0.728385      0.213663E-01  -.213663E-01   1.35236      0.323520      0.344887      0.323658      0.300454      0.598405E-01   0.00000      0.323658    
  0.193389E-02   10.0000      0.636038      0.696429      0.614197      0.718270      0.218416E-01  -.218416E-01   1.33247      0.318757      0.340598      0.318895      0.295440      0.587767E-01   0.00000      0.318895    
  0.200220E-02   9.83890      0.626737      0.685838      0.604420      0.708155      0.223168E-01  -.223168E-01   1.31257      0.313993      0.336310      0.314132      0.290427      0.577129E-01   0.00000      0.314132    
  0.207292E-02   9.67779      0.617435      0.675248      0.594643      0.698040      0.227921E-01  -.227921E-01   1.29268      0.309230      0.332022      0.309370      0.285413      0.566491E-01   0.00000      0.309370    
  0.214614E-02   9.53365      0.609347      0.665981      0.585985      0.689343      0.233618E-01  -.233618E-01   1.27533      0.305069      0.328430      0.305209      0.280916      0.557033E-01   0.00000      0.305209    
  0.222195E-02   9.39023      0.601311      0.656771      0.577375      0.680706      0.239355E-01  -.239355E-01   1.25808      0.300933      0.324869      0.301075      0.276442      0.547625E-01   0.00000      0.301075    
  0.230043E-02   9.24681      0.593274      0.647560      0.568765      0.672070      0.245093E-01  -.245093E-01   1.24083      0.296798      0.321308      0.296940      0.271967      0.538218E-01   0.00000      0.296940    
  0.238169E-02   9.10339      0.585238      0.638350      0.560155      0.663433      0.250830E-01  -.250830E-01   1.22359      0.292663      0.317746      0.292806      0.267492      0.528810E-01   0.00000      0.292806    
  0.246581E-02   8.95997      0.577202      0.629140      0.551545      0.654796      0.256568E-01  -.256568E-01   1.20634      0.288528      0.314185      0.288671      0.263017      0.519403E-01   0.00000      0.288671    
  0.255291E-02   8.81655      0.569166      0.619929      0.542935      0.646160      0.262305E-01  -.262305E-01   1.18909      0.284393      0.310623      0.284537      0.258543      0.509995E-01   0.00000      0.284537    
  0.264308E-02   8.67313      0.561130      0.610719      0.534325      0.637523      0.268043E-01  -.268043E-01   1.17185      0.280257      0.307062      0.280402      0.254068      0.500587E-01   0.00000      0.280402    
  0.273644E-02   8.52971      0.553093      0.601508      0.525715      0.628886      0.273780E-01  -.273780E-01   1.15460      0.276122      0.303500      0.276268      0.249593      0.491180E-01   0.00000      0.276268    
  0.283310E-02   8.39392      0.545630      0.592916      0.517622      0.620925      0.280088E-01  -.280088E-01   1.13855      0.272270      0.300279      0.272416      0.245352      0.482303E-01   0.00000      0.272416    
  0.293317E-02   8.26625      0.538776      0.584981      0.510076      0.613681      0.287002E-01  -.287002E-01   1.12376      0.268718      0.297418      0.268864      0.241358      0.473990E-01   0.00000      0.268864    
