   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.04932      0.303151E-01  0.456222E-01  0.228111E-01  0.531261E-01  0.750396E-02  -.750396E-02  0.759372E-01  0.228111E-01  0.303151E-01  0.228111E-01   0.00000       0.00000       0.00000      0.228111E-01
  0.103532E-02   4.98509      0.309105E-01  0.464295E-01  0.232148E-01  0.541253E-01  0.769578E-02  -.769578E-02  0.773401E-01  0.232148E-01  0.309105E-01  0.232148E-01   0.00000       0.00000       0.00000      0.232148E-01
  0.107189E-02   4.92086      0.315060E-01  0.472369E-01  0.236184E-01  0.551245E-01  0.788759E-02  -.788759E-02  0.787429E-01  0.236184E-01  0.315060E-01  0.236184E-01   0.00000       0.00000       0.00000      0.236184E-01
  0.110975E-02   4.85663      0.321015E-01  0.480443E-01  0.240221E-01  0.561237E-01  0.807941E-02  -.807941E-02  0.801458E-01  0.240221E-01  0.321015E-01  0.240221E-01   0.00000       0.00000       0.00000      0.240221E-01
  0.114895E-02   4.79240      0.326970E-01  0.488516E-01  0.244258E-01  0.571228E-01  0.827122E-02  -.827122E-02  0.815486E-01  0.244258E-01  0.326970E-01  0.244258E-01   0.00000       0.00000       0.00000      0.244258E-01
  0.118953E-02   4.73399      0.333924E-01  0.497740E-01  0.248870E-01  0.582794E-01  0.850540E-02  -.850540E-02  0.831665E-01  0.248870E-01  0.333924E-01  0.248870E-01   0.00000       0.00000       0.00000      0.248870E-01
  0.123155E-02   4.67618      0.340980E-01  0.507082E-01  0.253541E-01  0.594521E-01  0.874389E-02  -.874389E-02  0.848061E-01  0.253541E-01  0.340980E-01  0.253541E-01   0.00000       0.00000       0.00000      0.253541E-01
  0.127505E-02   4.61837      0.348035E-01  0.516423E-01  0.258211E-01  0.606247E-01  0.898239E-02  -.898239E-02  0.864458E-01  0.258211E-01  0.348035E-01  0.258211E-01   0.00000       0.00000       0.00000      0.258211E-01
  0.132009E-02   4.56055      0.355091E-01  0.525764E-01  0.262882E-01  0.617973E-01  0.922088E-02  -.922088E-02  0.880855E-01  0.262882E-01  0.355091E-01  0.262882E-01   0.00000       0.00000       0.00000      0.262882E-01
  0.136672E-02   4.50274      0.362146E-01  0.535105E-01  0.267553E-01  0.629699E-01  0.945937E-02  -.945937E-02  0.897252E-01  0.267553E-01  0.362146E-01  0.267553E-01   0.00000       0.00000       0.00000      0.267553E-01
  0.141499E-02   4.44492      0.369202E-01  0.544447E-01  0.272223E-01  0.641425E-01  0.969786E-02  -.969786E-02  0.913649E-01  0.272223E-01  0.369202E-01  0.272223E-01   0.00000       0.00000       0.00000      0.272223E-01
  0.146497E-02   4.38711      0.376257E-01  0.553788E-01  0.276894E-01  0.653151E-01  0.993635E-02  -.993635E-02  0.930045E-01  0.276894E-01  0.376257E-01  0.276894E-01   0.00000       0.00000       0.00000      0.276894E-01
  0.151672E-02   4.32929      0.383313E-01  0.563129E-01  0.281565E-01  0.664878E-01  0.101748E-01  -.101748E-01  0.946442E-01  0.281565E-01  0.383313E-01  0.281565E-01   0.00000       0.00000       0.00000      0.281565E-01
  0.157029E-02   4.27397      0.390932E-01  0.573095E-01  0.286548E-01  0.677480E-01  0.104385E-01  -.104385E-01  0.964027E-01  0.286548E-01  0.390932E-01  0.286548E-01   0.00000       0.00000       0.00000      0.286548E-01
  0.162576E-02   4.22190      0.399288E-01  0.583878E-01  0.291939E-01  0.691227E-01  0.107349E-01  -.107349E-01  0.983166E-01  0.291939E-01  0.399288E-01  0.291939E-01   0.00000       0.00000       0.00000      0.291939E-01
  0.168318E-02   4.16983      0.407644E-01  0.594661E-01  0.297330E-01  0.704974E-01  0.110313E-01  -.110313E-01  0.100230      0.297330E-01  0.407644E-01  0.297330E-01   0.00000       0.00000       0.00000      0.297330E-01
  0.174263E-02   4.11777      0.416000E-01  0.605443E-01  0.302722E-01  0.718721E-01  0.113278E-01  -.113278E-01  0.102144      0.302722E-01  0.416000E-01  0.302722E-01   0.00000       0.00000       0.00000      0.302722E-01
