   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.66187      0.156352E-01  0.156017E-01  0.780087E-02  0.234360E-01  0.783430E-02  -.783430E-02  0.312369E-01  0.780087E-02  0.156352E-01  0.780087E-02   0.00000       0.00000       0.00000      0.780087E-02
  0.103532E-02   5.58798      0.160475E-01  0.160338E-01  0.801691E-02  0.240644E-01  0.803056E-02  -.803056E-02  0.320813E-01  0.801691E-02  0.160475E-01  0.801691E-02   0.00000       0.00000       0.00000      0.801691E-02
  0.107189E-02   5.51410      0.164598E-01  0.164659E-01  0.823295E-02  0.246927E-01  0.822682E-02  -.822682E-02  0.329257E-01  0.823295E-02  0.164598E-01  0.823295E-02   0.00000       0.00000       0.00000      0.823295E-02
  0.110975E-02   5.44022      0.168721E-01  0.168980E-01  0.844899E-02  0.253211E-01  0.842309E-02  -.842309E-02  0.337701E-01  0.844899E-02  0.168721E-01  0.844899E-02   0.00000       0.00000       0.00000      0.844899E-02
  0.114895E-02   5.36634      0.172844E-01  0.173301E-01  0.866503E-02  0.259494E-01  0.861935E-02  -.861935E-02  0.346145E-01  0.866503E-02  0.172844E-01  0.866503E-02   0.00000       0.00000       0.00000      0.866503E-02
  0.118953E-02   5.29932      0.177904E-01  0.178648E-01  0.893241E-02  0.267228E-01  0.885803E-02  -.885803E-02  0.356552E-01  0.893241E-02  0.177904E-01  0.893241E-02   0.00000       0.00000       0.00000      0.893241E-02
  0.123155E-02   5.23299      0.183060E-01  0.184100E-01  0.920500E-02  0.275110E-01  0.910102E-02  -.910102E-02  0.367160E-01  0.920500E-02  0.183060E-01  0.920500E-02   0.00000       0.00000       0.00000      0.920500E-02
  0.127505E-02   5.16667      0.188216E-01  0.189552E-01  0.947760E-02  0.282992E-01  0.934402E-02  -.934402E-02  0.377768E-01  0.947760E-02  0.188216E-01  0.947760E-02   0.00000       0.00000       0.00000      0.947760E-02
  0.132009E-02   5.10035      0.193372E-01  0.195004E-01  0.975020E-02  0.290874E-01  0.958701E-02  -.958701E-02  0.388376E-01  0.975020E-02  0.193372E-01  0.975020E-02   0.00000       0.00000       0.00000      0.975020E-02
  0.136672E-02   5.03403      0.198528E-01  0.200456E-01  0.100228E-01  0.298756E-01  0.983001E-02  -.983001E-02  0.398984E-01  0.100228E-01  0.198528E-01  0.100228E-01   0.00000       0.00000       0.00000      0.100228E-01
