   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.45161      0.163632E-01  0.166611E-01  0.833054E-02  0.246938E-01  0.803267E-02  -.803267E-02  0.330243E-01  0.833054E-02  0.163632E-01  0.833054E-02   0.00000       0.00000       0.00000      0.833054E-02
  0.103532E-02   5.38342      0.167901E-01  0.171162E-01  0.855810E-02  0.253482E-01  0.823198E-02  -.823198E-02  0.339063E-01  0.855810E-02  0.167901E-01  0.855810E-02   0.00000       0.00000       0.00000      0.855810E-02
  0.107189E-02   5.31522      0.172169E-01  0.175713E-01  0.878566E-02  0.260026E-01  0.843129E-02  -.843129E-02  0.347883E-01  0.878566E-02  0.172169E-01  0.878566E-02   0.00000       0.00000       0.00000      0.878566E-02
  0.110975E-02   5.24703      0.176438E-01  0.180264E-01  0.901321E-02  0.266570E-01  0.863060E-02  -.863060E-02  0.356702E-01  0.901321E-02  0.176438E-01  0.901321E-02   0.00000       0.00000       0.00000      0.901321E-02
  0.114895E-02   5.17884      0.180707E-01  0.184815E-01  0.924077E-02  0.273114E-01  0.882990E-02  -.882990E-02  0.365522E-01  0.924077E-02  0.180707E-01  0.924077E-02   0.00000       0.00000       0.00000      0.924077E-02
  0.118953E-02   5.11672      0.185935E-01  0.190432E-01  0.952162E-02  0.281151E-01  0.907184E-02  -.907184E-02  0.376367E-01  0.952162E-02  0.185935E-01  0.952162E-02   0.00000       0.00000       0.00000      0.952162E-02
  0.123155E-02   5.05523      0.191260E-01  0.196158E-01  0.980790E-02  0.289339E-01  0.931811E-02  -.931811E-02  0.387418E-01  0.980790E-02  0.191260E-01  0.980790E-02   0.00000       0.00000       0.00000      0.980790E-02
  0.127505E-02   4.99373      0.196586E-01  0.201884E-01  0.100942E-01  0.297527E-01  0.956439E-02  -.956439E-02  0.398469E-01  0.100942E-01  0.196586E-01  0.100942E-01   0.00000       0.00000       0.00000      0.100942E-01
  0.132009E-02   4.93223      0.201911E-01  0.207609E-01  0.103805E-01  0.305716E-01  0.981066E-02  -.981066E-02  0.409520E-01  0.103805E-01  0.201911E-01  0.103805E-01   0.00000       0.00000       0.00000      0.103805E-01
  0.136672E-02   4.87073      0.207237E-01  0.213335E-01  0.106667E-01  0.313904E-01  0.100569E-01  -.100569E-01  0.420571E-01  0.106667E-01  0.207237E-01  0.106667E-01   0.00000       0.00000       0.00000      0.106667E-01
  0.141499E-02   4.80923      0.212562E-01  0.219060E-01  0.109530E-01  0.322092E-01  0.103032E-01  -.103032E-01  0.431623E-01  0.109530E-01  0.212562E-01  0.109530E-01   0.00000       0.00000       0.00000      0.109530E-01
  0.146497E-02   4.74774      0.217888E-01  0.224786E-01  0.112393E-01  0.330281E-01  0.105495E-01  -.105495E-01  0.442674E-01  0.112393E-01  0.217888E-01  0.112393E-01   0.00000       0.00000       0.00000      0.112393E-01
  0.151672E-02   4.68624      0.223213E-01  0.230511E-01  0.115256E-01  0.338469E-01  0.107958E-01  -.107958E-01  0.453725E-01  0.115256E-01  0.223213E-01  0.115256E-01   0.00000       0.00000       0.00000      0.115256E-01
  0.157029E-02   4.62734      0.229106E-01  0.236870E-01  0.118435E-01  0.347541E-01  0.110672E-01  -.110672E-01  0.465976E-01  0.118435E-01  0.229106E-01  0.118435E-01   0.00000       0.00000       0.00000      0.118435E-01
  0.162576E-02   4.57184      0.235742E-01  0.244055E-01  0.122028E-01  0.357769E-01  0.113714E-01  -.113714E-01  0.479797E-01  0.122028E-01  0.235742E-01  0.122028E-01   0.00000       0.00000       0.00000      0.122028E-01
  0.168318E-02   4.51635      0.242377E-01  0.251241E-01  0.125621E-01  0.367997E-01  0.116756E-01  -.116756E-01  0.493618E-01  0.125621E-01  0.242377E-01  0.125621E-01   0.00000       0.00000       0.00000      0.125621E-01
  0.174263E-02   4.46085      0.249012E-01  0.258427E-01  0.129213E-01  0.378225E-01  0.119799E-01  -.119799E-01  0.507439E-01  0.129213E-01  0.249012E-01  0.129213E-01   0.00000       0.00000       0.00000      0.129213E-01
  0.180419E-02   4.40536      0.255647E-01  0.265612E-01  0.132806E-01  0.388454E-01  0.122841E-01  -.122841E-01  0.521260E-01  0.132806E-01  0.255647E-01  0.132806E-01   0.00000       0.00000       0.00000      0.132806E-01
  0.186791E-02   4.34986      0.262283E-01  0.272798E-01  0.136399E-01  0.398682E-01  0.125884E-01  -.125884E-01  0.535081E-01  0.136399E-01  0.262283E-01  0.136399E-01   0.00000       0.00000       0.00000      0.136399E-01
  0.193389E-02   4.29436      0.268918E-01  0.279983E-01  0.139992E-01  0.408910E-01  0.128926E-01  -.128926E-01  0.548901E-01  0.139992E-01  0.268918E-01  0.139992E-01   0.00000       0.00000       0.00000      0.139992E-01
  0.200220E-02   4.23887      0.275553E-01  0.287169E-01  0.143585E-01  0.419138E-01  0.131969E-01  -.131969E-01  0.562722E-01  0.143585E-01  0.275553E-01  0.143585E-01   0.00000       0.00000       0.00000      0.143585E-01
  0.207292E-02   4.18337      0.282188E-01  0.294355E-01  0.147177E-01  0.429366E-01  0.135011E-01  -.135011E-01  0.576543E-01  0.147177E-01  0.282188E-01  0.147177E-01   0.00000       0.00000       0.00000      0.147177E-01
  0.214614E-02   4.13303      0.290374E-01  0.303270E-01  0.151635E-01  0.442009E-01  0.138739E-01  -.138739E-01  0.593644E-01  0.151635E-01  0.290374E-01  0.151635E-01   0.00000       0.00000       0.00000      0.151635E-01
  0.222195E-02   4.08291      0.298626E-01  0.312259E-01  0.156129E-01  0.454756E-01  0.142497E-01  -.142497E-01  0.610885E-01  0.156129E-01  0.298626E-01  0.156129E-01   0.00000       0.00000       0.00000      0.156129E-01
  0.230043E-02   4.03279      0.306878E-01  0.321248E-01  0.160624E-01  0.467502E-01  0.146254E-01  -.146254E-01  0.628126E-01  0.160624E-01  0.306878E-01  0.160624E-01   0.00000       0.00000       0.00000      0.160624E-01
  0.238169E-02   3.98267      0.315130E-01  0.330237E-01  0.165118E-01  0.480249E-01  0.150012E-01  -.150012E-01  0.645367E-01  0.165118E-01  0.315130E-01  0.165118E-01   0.00000       0.00000       0.00000      0.165118E-01
  0.246581E-02   3.93254      0.323382E-01  0.339226E-01  0.169613E-01  0.492995E-01  0.153770E-01  -.153770E-01  0.662608E-01  0.169613E-01  0.323382E-01  0.169613E-01   0.00000       0.00000       0.00000      0.169613E-01
  0.255291E-02   3.88242      0.331634E-01  0.348214E-01  0.174107E-01  0.505742E-01  0.157527E-01  -.157527E-01  0.679849E-01  0.174107E-01  0.331634E-01  0.174107E-01   0.00000       0.00000       0.00000      0.174107E-01
  0.264308E-02   3.83230      0.339886E-01  0.357203E-01  0.178602E-01  0.518488E-01  0.161285E-01  -.161285E-01  0.697090E-01  0.178602E-01  0.339886E-01  0.178602E-01   0.00000       0.00000       0.00000      0.178602E-01
  0.273644E-02   3.78218      0.348138E-01  0.366192E-01  0.183096E-01  0.531234E-01  0.165042E-01  -.165042E-01  0.714331E-01  0.183096E-01  0.348138E-01  0.183096E-01   0.00000       0.00000       0.00000      0.183096E-01
  0.283310E-02   3.73439      0.357353E-01  0.376251E-01  0.188126E-01  0.545479E-01  0.169227E-01  -.169227E-01  0.733605E-01  0.188126E-01  0.357353E-01  0.188126E-01   0.00000       0.00000       0.00000      0.188126E-01
  0.293317E-02   3.68907      0.367591E-01  0.387448E-01  0.193724E-01  0.561314E-01  0.173867E-01  -.173867E-01  0.755038E-01  0.193724E-01  0.367591E-01  0.193724E-01   0.00000       0.00000       0.00000      0.193724E-01
  0.303677E-02   3.64376      0.377828E-01  0.398644E-01  0.199322E-01  0.577150E-01  0.178506E-01  -.178506E-01  0.776472E-01  0.199322E-01  0.377828E-01  0.199322E-01   0.00000       0.00000       0.00000      0.199322E-01
  0.314404E-02   3.59844      0.388065E-01  0.409841E-01  0.204920E-01  0.592986E-01  0.183145E-01  -.183145E-01  0.797906E-01  0.204920E-01  0.388065E-01  0.204920E-01   0.00000       0.00000       0.00000      0.204920E-01
  0.325509E-02   3.55313      0.398303E-01  0.421037E-01  0.210518E-01  0.608821E-01  0.187784E-01  -.187784E-01  0.819340E-01  0.210518E-01  0.398303E-01  0.210518E-01   0.00000       0.00000       0.00000      0.210518E-01
  0.337006E-02   3.50781      0.408540E-01  0.432233E-01  0.216117E-01  0.624657E-01  0.192424E-01  -.192424E-01  0.840774E-01  0.216117E-01  0.408540E-01  0.216117E-01   0.00000       0.00000       0.00000      0.216117E-01
  0.348910E-02   3.46250      0.418778E-01  0.443430E-01  0.221715E-01  0.640493E-01  0.197063E-01  -.197063E-01  0.862207E-01  0.221715E-01  0.418778E-01  0.221715E-01   0.00000       0.00000       0.00000      0.221715E-01
  0.361234E-02   3.41718      0.429015E-01  0.454626E-01  0.227313E-01  0.656328E-01  0.201702E-01  -.201702E-01  0.883641E-01  0.227313E-01  0.429015E-01  0.227313E-01   0.00000       0.00000       0.00000      0.227313E-01
  0.373994E-02   3.37191      0.439278E-01  0.465851E-01  0.232925E-01  0.672204E-01  0.206353E-01  -.206353E-01  0.905129E-01  0.232925E-01  0.439278E-01  0.232925E-01   0.00000       0.00000       0.00000      0.232925E-01
