   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.54983      0.174290E-01  0.191684E-01  0.958421E-02  0.270132E-01  0.784481E-02  -.784481E-02  0.365974E-01  0.958421E-02  0.174290E-01  0.958421E-02   0.00000       0.00000       0.00000      0.958421E-02
  0.103532E-02   7.41378      0.178810E-01  0.196801E-01  0.984006E-02  0.277210E-01  0.804091E-02  -.804091E-02  0.375611E-01  0.984006E-02  0.178810E-01  0.984006E-02   0.00000       0.00000       0.00000      0.984006E-02
  0.107189E-02   7.27772      0.183329E-01  0.201918E-01  0.100959E-01  0.284288E-01  0.823702E-02  -.823702E-02  0.385247E-01  0.100959E-01  0.183329E-01  0.100959E-01   0.00000       0.00000       0.00000      0.100959E-01
  0.110975E-02   7.14167      0.187849E-01  0.207035E-01  0.103518E-01  0.291366E-01  0.843312E-02  -.843312E-02  0.394884E-01  0.103518E-01  0.187849E-01  0.103518E-01   0.00000       0.00000       0.00000      0.103518E-01
  0.114895E-02   7.00562      0.192368E-01  0.212152E-01  0.106076E-01  0.298444E-01  0.862922E-02  -.862922E-02  0.404520E-01  0.106076E-01  0.192368E-01  0.106076E-01   0.00000       0.00000       0.00000      0.106076E-01
  0.118953E-02   6.88694      0.197892E-01  0.218433E-01  0.109216E-01  0.307109E-01  0.886761E-02  -.886761E-02  0.416325E-01  0.109216E-01  0.197892E-01  0.109216E-01   0.00000       0.00000       0.00000      0.109216E-01
  0.123155E-02   6.77004      0.203519E-01  0.224832E-01  0.112416E-01  0.315935E-01  0.911030E-02  -.911030E-02  0.428351E-01  0.112416E-01  0.203519E-01  0.112416E-01   0.00000       0.00000       0.00000      0.112416E-01
  0.127505E-02   6.65314      0.209146E-01  0.231231E-01  0.115616E-01  0.324761E-01  0.935300E-02  -.935300E-02  0.440377E-01  0.115616E-01  0.209146E-01  0.115616E-01   0.00000       0.00000       0.00000      0.115616E-01
  0.132009E-02   6.53623      0.214772E-01  0.237630E-01  0.118815E-01  0.333587E-01  0.959569E-02  -.959569E-02  0.452402E-01  0.118815E-01  0.214772E-01  0.118815E-01   0.00000       0.00000       0.00000      0.118815E-01
  0.136672E-02   6.41933      0.220399E-01  0.244030E-01  0.122015E-01  0.342413E-01  0.983838E-02  -.983838E-02  0.464428E-01  0.122015E-01  0.220399E-01  0.122015E-01   0.00000       0.00000       0.00000      0.122015E-01
  0.141499E-02   6.30243      0.226025E-01  0.250429E-01  0.125214E-01  0.351240E-01  0.100811E-01  -.100811E-01  0.476454E-01  0.125214E-01  0.226025E-01  0.125214E-01   0.00000       0.00000       0.00000      0.125214E-01
  0.146497E-02   6.18552      0.231652E-01  0.256828E-01  0.128414E-01  0.360066E-01  0.103238E-01  -.103238E-01  0.488480E-01  0.128414E-01  0.231652E-01  0.128414E-01   0.00000       0.00000       0.00000      0.128414E-01
  0.151672E-02   6.06862      0.237278E-01  0.263227E-01  0.131614E-01  0.368892E-01  0.105665E-01  -.105665E-01  0.500505E-01  0.131614E-01  0.237278E-01  0.131614E-01   0.00000       0.00000       0.00000      0.131614E-01
  0.157029E-02   5.95884      0.243498E-01  0.270313E-01  0.135156E-01  0.378654E-01  0.108341E-01  -.108341E-01  0.513810E-01  0.135156E-01  0.243498E-01  0.135156E-01   0.00000       0.00000       0.00000      0.135156E-01
  0.162576E-02   5.85838      0.250492E-01  0.278296E-01  0.139148E-01  0.389640E-01  0.111344E-01  -.111344E-01  0.528788E-01  0.139148E-01  0.250492E-01  0.139148E-01   0.00000       0.00000       0.00000      0.139148E-01
  0.168318E-02   5.75791      0.257487E-01  0.286279E-01  0.143140E-01  0.400626E-01  0.114347E-01  -.114347E-01  0.543766E-01  0.143140E-01  0.257487E-01  0.143140E-01   0.00000       0.00000       0.00000      0.143140E-01
  0.174263E-02   5.65745      0.264481E-01  0.294262E-01  0.147131E-01  0.411612E-01  0.117350E-01  -.117350E-01  0.558744E-01  0.147131E-01  0.264481E-01  0.147131E-01   0.00000       0.00000       0.00000      0.147131E-01
  0.180419E-02   5.55698      0.271476E-01  0.302246E-01  0.151123E-01  0.422598E-01  0.120353E-01  -.120353E-01  0.573721E-01  0.151123E-01  0.271476E-01  0.151123E-01   0.00000       0.00000       0.00000      0.151123E-01
  0.186791E-02   5.45652      0.278470E-01  0.310229E-01  0.155114E-01  0.433585E-01  0.123356E-01  -.123356E-01  0.588699E-01  0.155114E-01  0.278470E-01  0.155114E-01   0.00000       0.00000       0.00000      0.155114E-01
  0.193389E-02   5.35605      0.285465E-01  0.318212E-01  0.159106E-01  0.444571E-01  0.126359E-01  -.126359E-01  0.603677E-01  0.159106E-01  0.285465E-01  0.159106E-01   0.00000       0.00000       0.00000      0.159106E-01
  0.200220E-02   5.25559      0.292459E-01  0.326195E-01  0.163098E-01  0.455557E-01  0.129362E-01  -.129362E-01  0.618654E-01  0.163098E-01  0.292459E-01  0.163098E-01   0.00000       0.00000       0.00000      0.163098E-01
  0.207292E-02   5.15512      0.299454E-01  0.334178E-01  0.167089E-01  0.466543E-01  0.132365E-01  -.132365E-01  0.633632E-01  0.167089E-01  0.299454E-01  0.167089E-01   0.00000       0.00000       0.00000      0.167089E-01
  0.214614E-02   5.06819      0.308063E-01  0.344025E-01  0.172013E-01  0.480075E-01  0.136050E-01  -.136050E-01  0.652088E-01  0.172013E-01  0.308063E-01  0.172013E-01   0.00000       0.00000       0.00000      0.172013E-01
  0.222195E-02   4.98183      0.316740E-01  0.353951E-01  0.176976E-01  0.493716E-01  0.139765E-01  -.139765E-01  0.670692E-01  0.176976E-01  0.316740E-01  0.176976E-01   0.00000       0.00000       0.00000      0.176976E-01
  0.230043E-02   4.89548      0.325418E-01  0.363877E-01  0.181939E-01  0.507357E-01  0.143479E-01  -.143479E-01  0.689295E-01  0.181939E-01  0.325418E-01  0.181939E-01   0.00000       0.00000       0.00000      0.181939E-01
  0.238169E-02   4.80912      0.334096E-01  0.373804E-01  0.186902E-01  0.520997E-01  0.147194E-01  -.147194E-01  0.707899E-01  0.186902E-01  0.334096E-01  0.186902E-01   0.00000       0.00000       0.00000      0.186902E-01
  0.246581E-02   4.72276      0.342773E-01  0.383730E-01  0.191865E-01  0.534638E-01  0.150908E-01  -.150908E-01  0.726503E-01  0.191865E-01  0.342773E-01  0.191865E-01   0.00000       0.00000       0.00000      0.191865E-01
  0.255291E-02   4.63641      0.351451E-01  0.393656E-01  0.196828E-01  0.548279E-01  0.154623E-01  -.154623E-01  0.745107E-01  0.196828E-01  0.351451E-01  0.196828E-01   0.00000       0.00000       0.00000      0.196828E-01
  0.264308E-02   4.55005      0.360129E-01  0.403582E-01  0.201791E-01  0.561920E-01  0.158338E-01  -.158338E-01  0.763711E-01  0.201791E-01  0.360129E-01  0.201791E-01   0.00000       0.00000       0.00000      0.201791E-01
  0.273644E-02   4.46369      0.368806E-01  0.413508E-01  0.206754E-01  0.575560E-01  0.162052E-01  -.162052E-01  0.782315E-01  0.206754E-01  0.368806E-01  0.206754E-01   0.00000       0.00000       0.00000      0.206754E-01
  0.283310E-02   4.38321      0.378482E-01  0.424579E-01  0.212290E-01  0.590772E-01  0.166193E-01  -.166193E-01  0.803061E-01  0.212290E-01  0.378482E-01  0.212290E-01   0.00000       0.00000       0.00000      0.212290E-01
  0.293317E-02   4.30896      0.389219E-01  0.436866E-01  0.218433E-01  0.607652E-01  0.170786E-01  -.170786E-01  0.826085E-01  0.218433E-01  0.389219E-01  0.218433E-01   0.00000       0.00000       0.00000      0.218433E-01
  0.303677E-02   4.23471      0.399956E-01  0.449152E-01  0.224576E-01  0.624532E-01  0.175379E-01  -.175379E-01  0.849108E-01  0.224576E-01  0.399956E-01  0.224576E-01   0.00000       0.00000       0.00000      0.224576E-01
  0.314404E-02   4.16045      0.410692E-01  0.461439E-01  0.230719E-01  0.641412E-01  0.179973E-01  -.179973E-01  0.872131E-01  0.230719E-01  0.410692E-01  0.230719E-01   0.00000       0.00000       0.00000      0.230719E-01
