   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.4854      0.841550      0.932465      0.827353      0.946663      0.141971E-01  -.141971E-01   1.77402      0.425450      0.439647      0.425569      0.401903      0.814461E-01   0.00000      0.425569    
  0.103532E-02   13.2781      0.829248      0.918643      0.814728      0.933164      0.145205E-01  -.145205E-01   1.74789      0.419225      0.433746      0.419346      0.395502      0.800727E-01   0.00000      0.419346    
  0.107189E-02   13.0707      0.816946      0.904821      0.802102      0.919665      0.148439E-01  -.148439E-01   1.72177      0.413000      0.427844      0.413122      0.389102      0.786992E-01   0.00000      0.413122    
  0.110975E-02   12.8634      0.804643      0.890999      0.789476      0.906166      0.151672E-01  -.151672E-01   1.69564      0.406775      0.421943      0.406898      0.382701      0.773258E-01   0.00000      0.406898    
  0.114895E-02   12.6560      0.792341      0.877177      0.776850      0.892668      0.154906E-01  -.154906E-01   1.66952      0.400550      0.416041      0.400674      0.376300      0.759524E-01   0.00000      0.400674    
  0.118953E-02   12.4697      0.781447      0.864922      0.765572      0.880798      0.158753E-01  -.158753E-01   1.64637      0.395037      0.410912      0.395162      0.370535      0.747237E-01   0.00000      0.395162    
  0.123155E-02   12.2855      0.770696      0.852827      0.754430      0.869093      0.162663E-01  -.162663E-01   1.62352      0.389596      0.405862      0.389722      0.364834      0.735096E-01   0.00000      0.389722    
  0.127505E-02   12.1013      0.759945      0.840732      0.743288      0.857389      0.166573E-01  -.166573E-01   1.60068      0.384155      0.400812      0.384282      0.359133      0.722956E-01   0.00000      0.384282    
  0.132009E-02   11.9171      0.749194      0.828637      0.732146      0.845685      0.170482E-01  -.170482E-01   1.57783      0.378714      0.395762      0.378841      0.353432      0.710815E-01   0.00000      0.378841    
  0.136672E-02   11.7329      0.738444      0.816542      0.721004      0.833981      0.174392E-01  -.174392E-01   1.55499      0.373273      0.390712      0.373401      0.347732      0.698675E-01   0.00000      0.373401    
  0.141499E-02   11.5487      0.727693      0.804446      0.709863      0.822276      0.178301E-01  -.178301E-01   1.53214      0.367832      0.385662      0.367961      0.342031      0.686534E-01   0.00000      0.367961    
  0.146497E-02   11.3644      0.716942      0.792351      0.698721      0.810572      0.182211E-01  -.182211E-01   1.50929      0.362390      0.380612      0.362521      0.336330      0.674393E-01   0.00000      0.362521    
  0.151672E-02   11.1802      0.706191      0.780256      0.687579      0.798868      0.186121E-01  -.186121E-01   1.48645      0.356949      0.375561      0.357081      0.330630      0.662253E-01   0.00000      0.357081    
  0.157029E-02   11.0049      0.696057      0.768844      0.677019      0.787882      0.190382E-01  -.190382E-01   1.46490      0.351819      0.370858      0.351952      0.325199      0.650725E-01   0.00000      0.351952    
  0.162576E-02   10.8413      0.686728      0.758326      0.667218      0.777836      0.195102E-01  -.195102E-01   1.44505      0.347096      0.366606      0.347230      0.320122      0.639999E-01   0.00000      0.347230    
  0.168318E-02   10.6777      0.677399      0.747807      0.657417      0.767790      0.199822E-01  -.199822E-01   1.42521      0.342373      0.362355      0.342507      0.315044      0.629273E-01   0.00000      0.342507    
  0.174263E-02   10.5140      0.668071      0.737289      0.647616      0.757743      0.204543E-01  -.204543E-01   1.40536      0.337649      0.358104      0.337785      0.309967      0.618547E-01   0.00000      0.337785    
  0.180419E-02   10.3504      0.658742      0.726771      0.637816      0.747697      0.209263E-01  -.209263E-01   1.38551      0.332926      0.353852      0.333062      0.304889      0.607820E-01   0.00000      0.333062    
  0.186791E-02   10.1868      0.649413      0.716252      0.628015      0.737650      0.213984E-01  -.213984E-01   1.36567      0.328203      0.349601      0.328340      0.299812      0.597094E-01   0.00000      0.328340    
  0.193389E-02   10.0231      0.640084      0.705734      0.618214      0.727604      0.218704E-01  -.218704E-01   1.34582      0.323479      0.345350      0.323617      0.294735      0.586368E-01   0.00000      0.323617    
  0.200220E-02   9.85950      0.630756      0.695215      0.608413      0.717558      0.223424E-01  -.223424E-01   1.32597      0.318756      0.341099      0.318895      0.289657      0.575641E-01   0.00000      0.318895    
  0.207292E-02   9.69587      0.621427      0.684697      0.598613      0.707511      0.228145E-01  -.228145E-01   1.30612      0.314033      0.336847      0.314173      0.284580      0.564915E-01   0.00000      0.314173    
  0.214614E-02   9.54976      0.613358      0.675568      0.589979      0.698948      0.233796E-01  -.233796E-01   1.28893      0.309944      0.333324      0.310085      0.280034      0.555392E-01   0.00000      0.310085    
  0.222195E-02   9.40440      0.605343      0.666498      0.581394      0.690447      0.239487E-01  -.239487E-01   1.27184      0.305882      0.329831      0.306024      0.275512      0.545921E-01   0.00000      0.306024    
  0.230043E-02   9.25904      0.597328      0.657428      0.572810      0.681946      0.245177E-01  -.245177E-01   1.25476      0.301821      0.326338      0.301963      0.270989      0.536450E-01   0.00000      0.301963    
  0.238169E-02   9.11368      0.589313      0.648359      0.564226      0.673445      0.250868E-01  -.250868E-01   1.23767      0.297759      0.322846      0.297902      0.266467      0.526978E-01   0.00000      0.297902    
