   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.64441      0.161882E-01  0.164179E-01  0.820895E-02  0.243971E-01  0.797922E-02  -.797922E-02  0.326061E-01  0.820895E-02  0.161882E-01  0.820895E-02   0.00000       0.00000       0.00000      0.820895E-02
  0.103532E-02   5.57000      0.166129E-01  0.168696E-01  0.843479E-02  0.250477E-01  0.817815E-02  -.817815E-02  0.334825E-01  0.843479E-02  0.166129E-01  0.843479E-02   0.00000       0.00000       0.00000      0.843479E-02
  0.107189E-02   5.49560      0.170377E-01  0.173213E-01  0.866063E-02  0.256983E-01  0.837708E-02  -.837708E-02  0.343590E-01  0.866063E-02  0.170377E-01  0.866063E-02   0.00000       0.00000       0.00000      0.866063E-02
  0.110975E-02   5.42119      0.174625E-01  0.177729E-01  0.888647E-02  0.263490E-01  0.857602E-02  -.857602E-02  0.352354E-01  0.888647E-02  0.174625E-01  0.888647E-02   0.00000       0.00000       0.00000      0.888647E-02
  0.114895E-02   5.34679      0.178873E-01  0.182246E-01  0.911231E-02  0.269996E-01  0.877495E-02  -.877495E-02  0.361119E-01  0.911231E-02  0.178873E-01  0.911231E-02   0.00000       0.00000       0.00000      0.911231E-02
  0.118953E-02   5.27936      0.184080E-01  0.187828E-01  0.939140E-02  0.277994E-01  0.901664E-02  -.901664E-02  0.371908E-01  0.939140E-02  0.184080E-01  0.939140E-02   0.00000       0.00000       0.00000      0.939140E-02
  0.123155E-02   5.21265      0.189386E-01  0.193518E-01  0.967591E-02  0.286145E-01  0.926269E-02  -.926269E-02  0.382904E-01  0.967591E-02  0.189386E-01  0.967591E-02   0.00000       0.00000       0.00000      0.967591E-02
  0.127505E-02   5.14594      0.194691E-01  0.199208E-01  0.996042E-02  0.294296E-01  0.950873E-02  -.950873E-02  0.393900E-01  0.996042E-02  0.194691E-01  0.996042E-02   0.00000       0.00000       0.00000      0.996042E-02
  0.132009E-02   5.07923      0.199997E-01  0.204898E-01  0.102449E-01  0.302446E-01  0.975478E-02  -.975478E-02  0.404896E-01  0.102449E-01  0.199997E-01  0.102449E-01   0.00000       0.00000       0.00000      0.102449E-01
  0.136672E-02   5.01251      0.205303E-01  0.210589E-01  0.105294E-01  0.310597E-01  0.100008E-01  -.100008E-01  0.415891E-01  0.105294E-01  0.205303E-01  0.105294E-01   0.00000       0.00000       0.00000      0.105294E-01
  0.141499E-02   4.94580      0.210608E-01  0.216279E-01  0.108139E-01  0.318747E-01  0.102469E-01  -.102469E-01  0.426887E-01  0.108139E-01  0.210608E-01  0.108139E-01   0.00000       0.00000       0.00000      0.108139E-01
  0.146497E-02   4.87909      0.215914E-01  0.221969E-01  0.110984E-01  0.326898E-01  0.104929E-01  -.104929E-01  0.437883E-01  0.110984E-01  0.215914E-01  0.110984E-01   0.00000       0.00000       0.00000      0.110984E-01
  0.151672E-02   4.81238      0.221219E-01  0.227659E-01  0.113830E-01  0.335049E-01  0.107390E-01  -.107390E-01  0.448878E-01  0.113830E-01  0.221219E-01  0.113830E-01   0.00000       0.00000       0.00000      0.113830E-01
  0.157029E-02   4.74864      0.227094E-01  0.233983E-01  0.116991E-01  0.344085E-01  0.110102E-01  -.110102E-01  0.461076E-01  0.116991E-01  0.227094E-01  0.116991E-01   0.00000       0.00000       0.00000      0.116991E-01
  0.162576E-02   4.68879      0.233712E-01  0.241134E-01  0.120567E-01  0.354279E-01  0.113145E-01  -.113145E-01  0.474846E-01  0.120567E-01  0.233712E-01  0.120567E-01   0.00000       0.00000       0.00000      0.120567E-01
  0.168318E-02   4.62895      0.240330E-01  0.248285E-01  0.124143E-01  0.364473E-01  0.116187E-01  -.116187E-01  0.488615E-01  0.124143E-01  0.240330E-01  0.124143E-01   0.00000       0.00000       0.00000      0.124143E-01
  0.174263E-02   4.56910      0.246948E-01  0.255437E-01  0.127718E-01  0.374667E-01  0.119230E-01  -.119230E-01  0.502385E-01  0.127718E-01  0.246948E-01  0.127718E-01   0.00000       0.00000       0.00000      0.127718E-01
  0.180419E-02   4.50925      0.253566E-01  0.262588E-01  0.131294E-01  0.384861E-01  0.122272E-01  -.122272E-01  0.516155E-01  0.131294E-01  0.253566E-01  0.131294E-01   0.00000       0.00000       0.00000      0.131294E-01
