   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.1354      0.844850      0.909218      0.808899      0.945168      0.359502E-01  -.359502E-01   1.75407      0.414805      0.450756      0.414919      0.394094      0.794935E-01   0.00000      0.414919    
  0.103532E-02   12.9435      0.833363      0.895981      0.796859      0.932486      0.365041E-01  -.365041E-01   1.72934      0.408848      0.445353      0.408963      0.388010      0.781703E-01   0.00000      0.408963    
  0.107189E-02   12.7515      0.821876      0.882745      0.784818      0.919803      0.370580E-01  -.370580E-01   1.70462      0.402892      0.439950      0.403006      0.381926      0.768472E-01   0.00000      0.403006    
  0.110975E-02   12.5596      0.810389      0.869509      0.772777      0.907120      0.376119E-01  -.376119E-01   1.67990      0.396935      0.434546      0.397050      0.375843      0.755241E-01   0.00000      0.397050    
  0.114895E-02   12.3677      0.798902      0.856272      0.760737      0.894438      0.381658E-01  -.381658E-01   1.65517      0.390978      0.429143      0.391093      0.369759      0.742010E-01   0.00000      0.391093    
  0.118953E-02   12.1928      0.788607      0.844354      0.749824      0.883138      0.387838E-01  -.387838E-01   1.63296      0.385615      0.424399      0.385732      0.364208      0.730072E-01   0.00000      0.385732    
  0.123155E-02   12.0197      0.778434      0.832571      0.739025      0.871979      0.394083E-01  -.394083E-01   1.61100      0.380314      0.419722      0.380430      0.358712      0.718266E-01   0.00000      0.380430    
  0.127505E-02   11.8466      0.768260      0.820787      0.728227      0.860820      0.400329E-01  -.400329E-01   1.58905      0.375012      0.415045      0.375129      0.353215      0.706460E-01   0.00000      0.375129    
  0.132009E-02   11.6735      0.758086      0.809003      0.717429      0.849661      0.406574E-01  -.406574E-01   1.56709      0.369710      0.410368      0.369828      0.347719      0.694653E-01   0.00000      0.369828    
  0.136672E-02   11.5003      0.747913      0.797220      0.706631      0.838502      0.412819E-01  -.412819E-01   1.54513      0.364408      0.405690      0.364527      0.342222      0.682847E-01   0.00000      0.364527    
  0.141499E-02   11.3272      0.737739      0.785436      0.695833      0.827343      0.419065E-01  -.419065E-01   1.52318      0.359107      0.401013      0.359225      0.336726      0.671041E-01   0.00000      0.359225    
  0.146497E-02   11.1541      0.727566      0.773653      0.685035      0.816184      0.425310E-01  -.425310E-01   1.50122      0.353805      0.396336      0.353924      0.331230      0.659235E-01   0.00000      0.353924    
