   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.79236      0.363198E-01  0.163133E-01  0.815666E-02  0.444764E-01  0.281631E-01  -.281631E-01  0.526331E-01  0.815666E-02  0.363198E-01  0.815666E-02   0.00000       0.00000       0.00000      0.815666E-02
  0.103532E-02   4.74572      0.369872E-01  0.167359E-01  0.836794E-02  0.453551E-01  0.286192E-01  -.286192E-01  0.537230E-01  0.836794E-02  0.369872E-01  0.836794E-02   0.00000       0.00000       0.00000      0.836794E-02
  0.107189E-02   4.69909      0.376546E-01  0.171584E-01  0.857921E-02  0.462338E-01  0.290754E-01  -.290754E-01  0.548130E-01  0.857921E-02  0.376546E-01  0.857921E-02   0.00000       0.00000       0.00000      0.857921E-02
  0.110975E-02   4.65245      0.383220E-01  0.175810E-01  0.879048E-02  0.471125E-01  0.295315E-01  -.295315E-01  0.559030E-01  0.879048E-02  0.383220E-01  0.879048E-02   0.00000       0.00000       0.00000      0.879048E-02
  0.114895E-02   4.60581      0.389894E-01  0.180035E-01  0.900176E-02  0.479912E-01  0.299877E-01  -.299877E-01  0.569929E-01  0.900176E-02  0.389894E-01  0.900176E-02   0.00000       0.00000       0.00000      0.900176E-02
  0.118953E-02   4.56207      0.397622E-01  0.185197E-01  0.925986E-02  0.490221E-01  0.305024E-01  -.305024E-01  0.582819E-01  0.925986E-02  0.397622E-01  0.925986E-02   0.00000       0.00000       0.00000      0.925986E-02
  0.123155E-02   4.51862      0.405457E-01  0.190455E-01  0.952273E-02  0.500685E-01  0.310230E-01  -.310230E-01  0.595912E-01  0.952273E-02  0.405457E-01  0.952273E-02   0.00000       0.00000       0.00000      0.952273E-02
  0.127505E-02   4.47517      0.413293E-01  0.195712E-01  0.978559E-02  0.511148E-01  0.315437E-01  -.315437E-01  0.609004E-01  0.978559E-02  0.413293E-01  0.978559E-02   0.00000       0.00000       0.00000      0.978559E-02
  0.132009E-02   4.43171      0.421128E-01  0.200969E-01  0.100485E-01  0.521612E-01  0.320643E-01  -.320643E-01  0.622097E-01  0.100485E-01  0.421128E-01  0.100485E-01   0.00000       0.00000       0.00000      0.100485E-01
  0.136672E-02   4.38826      0.428963E-01  0.206227E-01  0.103113E-01  0.532076E-01  0.325849E-01  -.325849E-01  0.635189E-01  0.103113E-01  0.428963E-01  0.103113E-01   0.00000       0.00000       0.00000      0.103113E-01
  0.141499E-02   4.34481      0.436798E-01  0.211484E-01  0.105742E-01  0.542540E-01  0.331056E-01  -.331056E-01  0.648282E-01  0.105742E-01  0.436798E-01  0.105742E-01   0.00000       0.00000       0.00000      0.105742E-01
  0.146497E-02   4.30136      0.444633E-01  0.216741E-01  0.108371E-01  0.553004E-01  0.336262E-01  -.336262E-01  0.661374E-01  0.108371E-01  0.444633E-01  0.108371E-01   0.00000       0.00000       0.00000      0.108371E-01
  0.151672E-02   4.25791      0.452468E-01  0.221999E-01  0.110999E-01  0.563468E-01  0.341469E-01  -.341469E-01  0.674467E-01  0.110999E-01  0.452468E-01  0.110999E-01   0.00000       0.00000       0.00000      0.110999E-01
  0.157029E-02   4.21570      0.460897E-01  0.227809E-01  0.113904E-01  0.574801E-01  0.346992E-01  -.346992E-01  0.688706E-01  0.113904E-01  0.460897E-01  0.113904E-01   0.00000       0.00000       0.00000      0.113904E-01
  0.162576E-02   4.17511      0.470101E-01  0.234342E-01  0.117171E-01  0.587272E-01  0.352930E-01  -.352930E-01  0.704443E-01  0.117171E-01  0.470101E-01  0.117171E-01   0.00000       0.00000       0.00000      0.117171E-01
  0.168318E-02   4.13451      0.479305E-01  0.240875E-01  0.120437E-01  0.599743E-01  0.358868E-01  -.358868E-01  0.720180E-01  0.120437E-01  0.479305E-01  0.120437E-01   0.00000       0.00000       0.00000      0.120437E-01
  0.174263E-02   4.09392      0.488510E-01  0.247407E-01  0.123704E-01  0.612214E-01  0.364806E-01  -.364806E-01  0.735917E-01  0.123704E-01  0.488510E-01  0.123704E-01   0.00000       0.00000       0.00000      0.123704E-01
  0.180419E-02   4.05333      0.497714E-01  0.253940E-01  0.126970E-01  0.624684E-01  0.370744E-01  -.370744E-01  0.751654E-01  0.126970E-01  0.497714E-01  0.126970E-01   0.00000       0.00000       0.00000      0.126970E-01
  0.186791E-02   4.01273      0.506919E-01  0.260473E-01  0.130236E-01  0.637155E-01  0.376682E-01  -.376682E-01  0.767392E-01  0.130236E-01  0.506919E-01  0.130236E-01   0.00000       0.00000       0.00000      0.130236E-01
  0.193389E-02   3.97214      0.516123E-01  0.267006E-01  0.133503E-01  0.649626E-01  0.382620E-01  -.382620E-01  0.783129E-01  0.133503E-01  0.516123E-01  0.133503E-01   0.00000       0.00000       0.00000      0.133503E-01
  0.200220E-02   3.93155      0.525327E-01  0.273539E-01  0.136769E-01  0.662097E-01  0.388558E-01  -.388558E-01  0.798866E-01  0.136769E-01  0.525327E-01  0.136769E-01   0.00000       0.00000       0.00000      0.136769E-01
  0.207292E-02   3.89095      0.534532E-01  0.280071E-01  0.140036E-01  0.674567E-01  0.394496E-01  -.394496E-01  0.814603E-01  0.140036E-01  0.534532E-01  0.140036E-01   0.00000       0.00000       0.00000      0.140036E-01
  0.214614E-02   3.85279      0.545280E-01  0.288111E-01  0.144055E-01  0.689335E-01  0.401224E-01  -.401224E-01  0.833390E-01  0.144055E-01  0.545280E-01  0.144055E-01   0.00000       0.00000       0.00000      0.144055E-01
  0.222195E-02   3.81473      0.556093E-01  0.296214E-01  0.148107E-01  0.704200E-01  0.407986E-01  -.407986E-01  0.852307E-01  0.148107E-01  0.556093E-01  0.148107E-01   0.00000       0.00000       0.00000      0.148107E-01
  0.230043E-02   3.77667      0.566907E-01  0.304317E-01  0.152159E-01  0.719066E-01  0.414749E-01  -.414749E-01  0.871224E-01  0.152159E-01  0.566907E-01  0.152159E-01   0.00000       0.00000       0.00000      0.152159E-01
  0.238169E-02   3.73861      0.577721E-01  0.312421E-01  0.156210E-01  0.733931E-01  0.421511E-01  -.421511E-01  0.890141E-01  0.156210E-01  0.577721E-01  0.156210E-01   0.00000       0.00000       0.00000      0.156210E-01
  0.246581E-02   3.70055      0.588535E-01  0.320524E-01  0.160262E-01  0.748797E-01  0.428273E-01  -.428273E-01  0.909058E-01  0.160262E-01  0.588535E-01  0.160262E-01   0.00000       0.00000       0.00000      0.160262E-01
  0.255291E-02   3.66249      0.599348E-01  0.328627E-01  0.164314E-01  0.763662E-01  0.435035E-01  -.435035E-01  0.927975E-01  0.164314E-01  0.599348E-01  0.164314E-01   0.00000       0.00000       0.00000      0.164314E-01
  0.264308E-02   3.62444      0.610162E-01  0.336730E-01  0.168365E-01  0.778527E-01  0.441797E-01  -.441797E-01  0.946892E-01  0.168365E-01  0.610162E-01  0.168365E-01   0.00000       0.00000       0.00000      0.168365E-01
  0.273644E-02   3.58638      0.620976E-01  0.344834E-01  0.172417E-01  0.793393E-01  0.448559E-01  -.448559E-01  0.965810E-01  0.172417E-01  0.620976E-01  0.172417E-01   0.00000       0.00000       0.00000      0.172417E-01
  0.283310E-02   3.54939      0.632701E-01  0.353870E-01  0.176935E-01  0.809636E-01  0.455766E-01  -.455766E-01  0.986571E-01  0.176935E-01  0.632701E-01  0.176935E-01   0.00000       0.00000       0.00000      0.176935E-01
  0.293317E-02   3.51355      0.645394E-01  0.363896E-01  0.181948E-01  0.827342E-01  0.463446E-01  -.463446E-01  0.100929      0.181948E-01  0.645394E-01  0.181948E-01   0.00000       0.00000       0.00000      0.181948E-01
  0.303677E-02   3.47771      0.658087E-01  0.373923E-01  0.186962E-01  0.845049E-01  0.471126E-01  -.471126E-01  0.103201      0.186962E-01  0.658087E-01  0.186962E-01   0.00000       0.00000       0.00000      0.186962E-01
  0.314404E-02   3.44186      0.670781E-01  0.383950E-01  0.191975E-01  0.862756E-01  0.478806E-01  -.478806E-01  0.105473      0.191975E-01  0.670781E-01  0.191975E-01   0.00000       0.00000       0.00000      0.191975E-01
  0.325509E-02   3.40602      0.683474E-01  0.393977E-01  0.196988E-01  0.880462E-01  0.486486E-01  -.486486E-01  0.107745      0.196988E-01  0.683474E-01  0.196988E-01   0.00000       0.00000       0.00000      0.196988E-01
  0.337006E-02   3.37018      0.696167E-01  0.404003E-01  0.202002E-01  0.898169E-01  0.494165E-01  -.494165E-01  0.110017      0.202002E-01  0.696167E-01  0.202002E-01   0.00000       0.00000       0.00000      0.202002E-01
  0.348910E-02   3.33434      0.708860E-01  0.414030E-01  0.207015E-01  0.915875E-01  0.501845E-01  -.501845E-01  0.112289      0.207015E-01  0.708860E-01  0.207015E-01   0.00000       0.00000       0.00000      0.207015E-01
  0.361234E-02   3.29849      0.721554E-01  0.424057E-01  0.212028E-01  0.933582E-01  0.509525E-01  -.509525E-01  0.114561      0.212028E-01  0.721554E-01  0.212028E-01   0.00000       0.00000       0.00000      0.212028E-01
  0.373994E-02   3.26267      0.734270E-01  0.434108E-01  0.217054E-01  0.951324E-01  0.517216E-01  -.517216E-01  0.116838      0.217054E-01  0.734270E-01  0.217054E-01   0.00000       0.00000       0.00000      0.217054E-01
  0.387204E-02   3.22873      0.749142E-01  0.446474E-01  0.223237E-01  0.972379E-01  0.525905E-01  -.525905E-01  0.119562      0.223237E-01  0.749142E-01  0.223237E-01   0.00000       0.00000       0.00000      0.223237E-01
  0.400881E-02   3.19478      0.764013E-01  0.458839E-01  0.229420E-01  0.993433E-01  0.534594E-01  -.534594E-01  0.122285      0.229420E-01  0.764013E-01  0.229420E-01   0.00000       0.00000       0.00000      0.229420E-01
  0.415040E-02   3.16084      0.778885E-01  0.471205E-01  0.235602E-01  0.101449      0.543283E-01  -.543283E-01  0.125009      0.235602E-01  0.778885E-01  0.235602E-01   0.00000       0.00000       0.00000      0.235602E-01
  0.429700E-02   3.12690      0.793756E-01  0.483570E-01  0.241785E-01  0.103554      0.551971E-01  -.551971E-01  0.127733      0.241785E-01  0.793756E-01  0.241785E-01   0.00000       0.00000       0.00000      0.241785E-01
  0.444878E-02   3.09295      0.808628E-01  0.495935E-01  0.247968E-01  0.105660      0.560660E-01  -.560660E-01  0.130456      0.247968E-01  0.808628E-01  0.247968E-01   0.00000       0.00000       0.00000      0.247968E-01
  0.460592E-02   3.05901      0.823500E-01  0.508301E-01  0.254150E-01  0.107765      0.569349E-01  -.569349E-01  0.133180      0.254150E-01  0.823500E-01  0.254150E-01   0.00000       0.00000       0.00000      0.254150E-01
  0.476861E-02   3.02507      0.838371E-01  0.520666E-01  0.260333E-01  0.109870      0.578038E-01  -.578038E-01  0.135904      0.260333E-01  0.838371E-01  0.260333E-01   0.00000       0.00000       0.00000      0.260333E-01
  0.493705E-02   2.99113      0.853243E-01  0.533031E-01  0.266516E-01  0.111976      0.586727E-01  -.586727E-01  0.138627      0.266516E-01  0.853243E-01  0.266516E-01   0.00000       0.00000       0.00000      0.266516E-01
  0.511143E-02   2.95803      0.869454E-01  0.546907E-01  0.273454E-01  0.114291      0.596001E-01  -.596001E-01  0.141636      0.273454E-01  0.869454E-01  0.273454E-01   0.00000       0.00000       0.00000      0.273454E-01
  0.529198E-02   2.92567      0.886824E-01  0.562088E-01  0.281044E-01  0.116787      0.605780E-01  -.605780E-01  0.144891      0.281044E-01  0.886824E-01  0.281044E-01   0.00000       0.00000       0.00000      0.281044E-01
  0.547890E-02   2.89331      0.904194E-01  0.577269E-01  0.288634E-01  0.119283      0.615560E-01  -.615560E-01  0.148146      0.288634E-01  0.904194E-01  0.288634E-01   0.00000       0.00000       0.00000      0.288634E-01
  0.567243E-02   2.86095      0.921564E-01  0.592449E-01  0.296225E-01  0.121779      0.625339E-01  -.625339E-01  0.151401      0.296225E-01  0.921564E-01  0.296225E-01   0.00000       0.00000       0.00000      0.296225E-01
