   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.2705      0.856859      0.918029      0.818784      0.956104      0.380752E-01  -.380752E-01   1.77489      0.418527      0.456603      0.418640      0.400257      0.808621E-01   0.00000      0.418640    
  0.103532E-02   13.0808      0.845407      0.904772      0.806770      0.943409      0.386371E-01  -.386371E-01   1.75018      0.412562      0.451199      0.412675      0.394208      0.795349E-01   0.00000      0.412675    
  0.107189E-02   12.8911      0.833955      0.891515      0.794756      0.930714      0.391990E-01  -.391990E-01   1.72547      0.406597      0.445796      0.406710      0.388159      0.782078E-01   0.00000      0.406710    
  0.110975E-02   12.7014      0.822503      0.878258      0.782742      0.918019      0.397609E-01  -.397609E-01   1.70076      0.400632      0.440393      0.400746      0.382110      0.768807E-01   0.00000      0.400746    
  0.114895E-02   12.5118      0.811051      0.865001      0.770728      0.905324      0.403228E-01  -.403228E-01   1.67605      0.394666      0.434989      0.394781      0.376061      0.755535E-01   0.00000      0.394781    
  0.118953E-02   12.3384      0.800738      0.853004      0.759792      0.893950      0.409463E-01  -.409463E-01   1.65374      0.389268      0.430214      0.389383      0.370524      0.743530E-01   0.00000      0.389383    
  0.123155E-02   12.1667      0.790542      0.841135      0.748966      0.882711      0.415761E-01  -.415761E-01   1.63168      0.383927      0.425503      0.384043      0.365038      0.731654E-01   0.00000      0.384043    
  0.127505E-02   11.9949      0.780345      0.829267      0.738140      0.871473      0.422058E-01  -.422058E-01   1.60961      0.378587      0.420792      0.378702      0.359553      0.719778E-01   0.00000      0.378702    
  0.132009E-02   11.8232      0.770149      0.817398      0.727313      0.860234      0.428356E-01  -.428356E-01   1.58755      0.373246      0.416082      0.373362      0.354067      0.707902E-01   0.00000      0.373362    
  0.136672E-02   11.6515      0.759953      0.805530      0.716487      0.848995      0.434653E-01  -.434653E-01   1.56548      0.367905      0.411371      0.368022      0.348582      0.696026E-01   0.00000      0.368022    
  0.141499E-02   11.4798      0.749756      0.793661      0.705661      0.837756      0.440951E-01  -.440951E-01   1.54342      0.362565      0.406660      0.362682      0.343096      0.684150E-01   0.00000      0.362682    
  0.146497E-02   11.3081      0.739560      0.781793      0.694835      0.826517      0.447248E-01  -.447248E-01   1.52135      0.357224      0.401949      0.357341      0.337611      0.672274E-01   0.00000      0.357341    
  0.151672E-02   11.1364      0.729363      0.769924      0.684009      0.815279      0.453546E-01  -.453546E-01   1.49929      0.351883      0.397238      0.352001      0.332125      0.660398E-01   0.00000      0.352001    
  0.157029E-02   10.9717      0.719676      0.758618      0.673660      0.804635      0.460164E-01  -.460164E-01   1.47829      0.346797      0.392813      0.346915      0.326863      0.649070E-01   0.00000      0.346915    
  0.162576E-02   10.8164      0.710654      0.748049      0.663934      0.794769      0.467202E-01  -.467202E-01   1.45870      0.342042      0.388763      0.342161      0.321892      0.638457E-01   0.00000      0.342161    
  0.168318E-02   10.6610      0.701633      0.737480      0.654209      0.784904      0.474241E-01  -.474241E-01   1.43911      0.337288      0.384712      0.337407      0.316921      0.627845E-01   0.00000      0.337407    
  0.174263E-02   10.5057      0.692611      0.726910      0.644483      0.775038      0.481279E-01  -.481279E-01   1.41952      0.332534      0.380662      0.332653      0.311949      0.617233E-01   0.00000      0.332653    
  0.180419E-02   10.3503      0.683590      0.716341      0.634758      0.765172      0.488317E-01  -.488317E-01   1.39993      0.327780      0.376611      0.327899      0.306978      0.606620E-01   0.00000      0.327899    
  0.186791E-02   10.1950      0.674568      0.705771      0.625032      0.755307      0.495356E-01  -.495356E-01   1.38034      0.323025      0.372561      0.323145      0.302007      0.596008E-01   0.00000      0.323145    
  0.193389E-02   10.0396      0.665546      0.695202      0.615307      0.745441      0.502394E-01  -.502394E-01   1.36075      0.318271      0.368510      0.318391      0.297036      0.585396E-01   0.00000      0.318391    
  0.200220E-02   9.88428      0.656525      0.684632      0.605582      0.735576      0.509432E-01  -.509432E-01   1.34116      0.313517      0.364460      0.313637      0.292065      0.574783E-01   0.00000      0.313637    
  0.207292E-02   9.72893      0.647503      0.674063      0.595856      0.725710      0.516470E-01  -.516470E-01   1.32157      0.308763      0.360410      0.308883      0.287094      0.564171E-01   0.00000      0.308883    
  0.214614E-02   9.58786      0.639541      0.664667      0.587113      0.717095      0.524275E-01  -.524275E-01   1.30421      0.304540      0.356968      0.304661      0.282573      0.554655E-01   0.00000      0.304661    
  0.222195E-02   9.44740      0.631623      0.655322      0.578412      0.708533      0.532112E-01  -.532112E-01   1.28694      0.300341      0.353552      0.300462      0.278071      0.545186E-01   0.00000      0.300462    
  0.230043E-02   9.30693      0.623706      0.645976      0.569711      0.699971      0.539950E-01  -.539950E-01   1.26968      0.296141      0.350136      0.296263      0.273569      0.535717E-01   0.00000      0.296263    
  0.238169E-02   9.16647      0.615789      0.636630      0.561010      0.691409      0.547787E-01  -.547787E-01   1.25242      0.291942      0.346721      0.292063      0.269068      0.526248E-01   0.00000      0.292063    
  0.246581E-02   9.02601      0.607871      0.627285      0.552309      0.682847      0.555625E-01  -.555625E-01   1.23516      0.287742      0.343305      0.287864      0.264566      0.516779E-01   0.00000      0.287864    
  0.255291E-02   8.88555      0.599954      0.617939      0.543608      0.674285      0.563462E-01  -.563462E-01   1.21789      0.283543      0.339889      0.283665      0.260065      0.507310E-01   0.00000      0.283665    
  0.264308E-02   8.74509      0.592036      0.608593      0.534906      0.665723      0.571300E-01  -.571300E-01   1.20063      0.279343      0.336473      0.279466      0.255563      0.497841E-01   0.00000      0.279466    
  0.273644E-02   8.60462      0.584119      0.599247      0.526205      0.657161      0.579137E-01  -.579137E-01   1.18337      0.275144      0.333058      0.275266      0.251061      0.488372E-01   0.00000      0.275266    
  0.283310E-02   8.47072      0.576708      0.590465      0.517969      0.649204      0.587385E-01  -.587385E-01   1.16717      0.271201      0.329940      0.271324      0.246768      0.479405E-01   0.00000      0.271324    
  0.293317E-02   8.34378      0.569834      0.582282      0.510227      0.641889      0.596070E-01  -.596070E-01   1.15212      0.267531      0.327138      0.267654      0.242695      0.470970E-01   0.00000      0.267654    
  0.303677E-02   8.21684      0.562960      0.574099      0.502484      0.634574      0.604755E-01  -.604755E-01   1.13706      0.263861      0.324337      0.263984      0.238622      0.462536E-01   0.00000      0.263984    
  0.314404E-02   8.08990      0.556085      0.565916      0.494741      0.627260      0.613440E-01  -.613440E-01   1.12200      0.260192      0.321536      0.260314      0.234550      0.454101E-01   0.00000      0.260314    
  0.325509E-02   7.96295      0.549211      0.557732      0.486999      0.619945      0.622125E-01  -.622125E-01   1.10694      0.256522      0.318734      0.256644      0.230477      0.445667E-01   0.00000      0.256644    
  0.337006E-02   7.83601      0.542337      0.549549      0.479256      0.612630      0.630810E-01  -.630810E-01   1.09189      0.252852      0.315933      0.252974      0.226405      0.437232E-01   0.00000      0.252974    
  0.348910E-02   7.70907      0.535463      0.541366      0.471514      0.605316      0.639495E-01  -.639495E-01   1.07683      0.249182      0.313131      0.249304      0.222332      0.428797E-01   0.00000      0.249304    
  0.361234E-02   7.58213      0.528589      0.533183      0.463771      0.598001      0.648180E-01  -.648180E-01   1.06177      0.245512      0.310330      0.245634      0.218259      0.420363E-01   0.00000      0.245634    
  0.373994E-02   7.45532      0.521726      0.525011      0.456038      0.590699      0.656875E-01  -.656875E-01   1.04674      0.241848      0.307535      0.241970      0.214191      0.411938E-01   0.00000      0.241970    
  0.387204E-02   7.34064      0.515843      0.517943      0.449199      0.584587      0.666440E-01  -.666440E-01   1.03379      0.238689      0.305332      0.238811      0.210511      0.404439E-01   0.00000      0.238811    
