   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.1253      0.844850      0.908543      0.808549      0.944844      0.363012E-01  -.363012E-01   1.75339      0.414447      0.450749      0.414561      0.394102      0.795347E-01   0.00000      0.414561    
  0.103532E-02   12.9343      0.833399      0.895342      0.796546      0.932195      0.368534E-01  -.368534E-01   1.72874      0.408507      0.445360      0.408621      0.388039      0.782141E-01   0.00000      0.408621    
  0.107189E-02   12.7432      0.821948      0.882140      0.784542      0.919546      0.374056E-01  -.374056E-01   1.70409      0.402566      0.439972      0.402681      0.381976      0.768935E-01   0.00000      0.402681    
  0.110975E-02   12.5521      0.810496      0.868939      0.772539      0.906897      0.379577E-01  -.379577E-01   1.67944      0.396626      0.434584      0.396741      0.375913      0.755729E-01   0.00000      0.396741    
  0.114895E-02   12.3610      0.799045      0.855738      0.760535      0.894248      0.385099E-01  -.385099E-01   1.65478      0.390685      0.429195      0.390801      0.369850      0.742524E-01   0.00000      0.390801    
  0.118953E-02   12.1868      0.788774      0.843844      0.749649      0.882969      0.391251E-01  -.391251E-01   1.63262      0.385334      0.424459      0.385450      0.364315      0.730603E-01   0.00000      0.385450    
  0.123155E-02   12.0144      0.778623      0.832083      0.738877      0.871830      0.397466E-01  -.397466E-01   1.61071      0.380043      0.419789      0.380159      0.358834      0.718814E-01   0.00000      0.380159    
  0.127505E-02   11.8419      0.768473      0.820322      0.728104      0.860691      0.403682E-01  -.403682E-01   1.58879      0.374752      0.415120      0.374868      0.353353      0.707025E-01   0.00000      0.374868    
  0.132009E-02   11.6695      0.758322      0.808561      0.717332      0.849551      0.409897E-01  -.409897E-01   1.56688      0.369460      0.410450      0.369578      0.347872      0.695235E-01   0.00000      0.369578    
  0.136672E-02   11.4970      0.748171      0.796800      0.706560      0.838412      0.416113E-01  -.416113E-01   1.54497      0.364169      0.405780      0.364287      0.342391      0.683446E-01   0.00000      0.364287    
  0.141499E-02   11.3246      0.738020      0.785039      0.695787      0.827272      0.422329E-01  -.422329E-01   1.52306      0.358878      0.401111      0.358996      0.336909      0.671656E-01   0.00000      0.358996    
  0.146497E-02   11.1521      0.727869      0.773278      0.685015      0.816133      0.428544E-01  -.428544E-01   1.50115      0.353587      0.396441      0.353705      0.331428      0.659867E-01   0.00000      0.353705    
