   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.2139      0.847903      0.913603      0.812302      0.949204      0.356005E-01  -.356005E-01   1.76151      0.416956      0.452556      0.417070      0.395346      0.795774E-01   0.00000      0.417070    
  0.103532E-02   13.0182      0.836234      0.900180      0.800079      0.936335      0.361549E-01  -.361549E-01   1.73641      0.410912      0.447067      0.411027      0.389166      0.782409E-01   0.00000      0.411027    
  0.107189E-02   12.8225      0.824565      0.886757      0.787855      0.923466      0.367093E-01  -.367093E-01   1.71132      0.404869      0.441578      0.404984      0.382987      0.769043E-01   0.00000      0.404984    
  0.110975E-02   12.6268      0.812896      0.873333      0.775632      0.910597      0.372637E-01  -.372637E-01   1.68623      0.398825      0.436088      0.398941      0.376807      0.755678E-01   0.00000      0.398941    
  0.114895E-02   12.4311      0.801226      0.859910      0.763408      0.897728      0.378180E-01  -.378180E-01   1.66114      0.392781      0.430599      0.392897      0.370627      0.742312E-01   0.00000      0.392897    
  0.118953E-02   12.2532      0.790792      0.847851      0.752354      0.886289      0.384374E-01  -.384374E-01   1.63864      0.387354      0.425791      0.387470      0.365001      0.730273E-01   0.00000      0.387470    
  0.123155E-02   12.0771      0.780483      0.835932      0.741419      0.874995      0.390634E-01  -.390634E-01   1.61641      0.381989      0.421052      0.382106      0.359430      0.718368E-01   0.00000      0.382106    
  0.127505E-02   11.9010      0.770173      0.824012      0.730484      0.863702      0.396893E-01  -.396893E-01   1.59419      0.376624      0.416314      0.376742      0.353860      0.706464E-01   0.00000      0.376742    
  0.132009E-02   11.7249      0.759864      0.812093      0.719549      0.852408      0.403153E-01  -.403153E-01   1.57196      0.371259      0.411575      0.371378      0.348289      0.694559E-01   0.00000      0.371378    
  0.136672E-02   11.5488      0.749555      0.800174      0.708614      0.841115      0.409413E-01  -.409413E-01   1.54973      0.365895      0.406836      0.366013      0.342719      0.682655E-01   0.00000      0.366013    
  0.141499E-02   11.3727      0.739246      0.788254      0.697679      0.829821      0.415673E-01  -.415673E-01   1.52750      0.360530      0.402097      0.360649      0.337149      0.670750E-01   0.00000      0.360649    
  0.146497E-02   11.1966      0.728937      0.776335      0.686743      0.818528      0.421932E-01  -.421932E-01   1.50527      0.355165      0.397358      0.355285      0.331578      0.658846E-01   0.00000      0.355285    
