   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.1881      0.846781      0.912220      0.810960      0.948040      0.358204E-01  -.358204E-01   1.75900      0.416313      0.452134      0.416427      0.394647      0.794795E-01   0.00000      0.416427    
  0.103532E-02   12.9931      0.835152      0.898842      0.798776      0.935218      0.363760E-01  -.363760E-01   1.73399      0.410291      0.446666      0.410405      0.388486      0.781460E-01   0.00000      0.410405    
  0.107189E-02   12.7980      0.823524      0.885463      0.786592      0.922395      0.369315E-01  -.369315E-01   1.70899      0.404268      0.441199      0.404383      0.382325      0.768126E-01   0.00000      0.404383    
  0.110975E-02   12.6030      0.811895      0.872085      0.774408      0.909572      0.374870E-01  -.374870E-01   1.68398      0.398245      0.435732      0.398361      0.376163      0.754791E-01   0.00000      0.398361    
  0.114895E-02   12.4080      0.800267      0.858707      0.762224      0.896749      0.380425E-01  -.380425E-01   1.65897      0.392222      0.430265      0.392339      0.370002      0.741457E-01   0.00000      0.392339    
  0.118953E-02   12.2306      0.789868      0.846688      0.751205      0.885351      0.386628E-01  -.386628E-01   1.63656      0.386814      0.425476      0.386930      0.364391      0.729443E-01   0.00000      0.386930    
  0.123155E-02   12.0551      0.779593      0.834808      0.740304      0.874098      0.392897E-01  -.392897E-01   1.61440      0.381467      0.420757      0.381584      0.358836      0.717564E-01   0.00000      0.381584    
  0.127505E-02   11.8795      0.769319      0.822928      0.729402      0.862845      0.399166E-01  -.399166E-01   1.59225      0.376121      0.416038      0.376239      0.353281      0.705685E-01   0.00000      0.376239    
  0.132009E-02   11.7039      0.759045      0.811048      0.718501      0.851592      0.405435E-01  -.405435E-01   1.57009      0.370775      0.411318      0.370893      0.347726      0.693806E-01   0.00000      0.370893    
  0.136672E-02   11.5284      0.748770      0.799168      0.707600      0.840338      0.411704E-01  -.411704E-01   1.54794      0.365428      0.406599      0.365547      0.342172      0.681927E-01   0.00000      0.365547    
  0.141499E-02   11.3528      0.738496      0.787288      0.696699      0.829085      0.417973E-01  -.417973E-01   1.52578      0.360082      0.401879      0.360201      0.336617      0.670048E-01   0.00000      0.360201    
  0.146497E-02   11.1773      0.728222      0.775408      0.685797      0.817832      0.424243E-01  -.424243E-01   1.50363      0.354736      0.397160      0.354855      0.331062      0.658169E-01   0.00000      0.354855    
  0.151672E-02   11.0017      0.717947      0.763528      0.674896      0.806579      0.430512E-01  -.430512E-01   1.48148      0.349389      0.392441      0.349509      0.325507      0.646290E-01   0.00000      0.349509    
  0.157029E-02   10.8338      0.708218      0.752251      0.664506      0.795963      0.437122E-01  -.437122E-01   1.46047      0.344316      0.388028      0.344437      0.320190      0.634979E-01   0.00000      0.344437    
  0.162576E-02   10.6759      0.699203      0.741762      0.654785      0.786180      0.444178E-01  -.444178E-01   1.44096      0.339600      0.384018      0.339721      0.315185      0.624410E-01   0.00000      0.339721    
  0.168318E-02   10.5180      0.690187      0.731273      0.645063      0.776396      0.451234E-01  -.451234E-01   1.42146      0.334884      0.380007      0.335005      0.310180      0.613841E-01   0.00000      0.335005    
  0.174263E-02   10.3601      0.681171      0.720784      0.635342      0.766613      0.458291E-01  -.458291E-01   1.40196      0.330168      0.375997      0.330289      0.305175      0.603272E-01   0.00000      0.330289    
  0.180419E-02   10.2021      0.672155      0.710295      0.625621      0.756830      0.465347E-01  -.465347E-01   1.38245      0.325451      0.371986      0.325573      0.300169      0.592703E-01   0.00000      0.325573    
  0.186791E-02   10.0442      0.663140      0.699806      0.615899      0.747046      0.472403E-01  -.472403E-01   1.36295      0.320735      0.367976      0.320857      0.295164      0.582134E-01   0.00000      0.320857    
  0.193389E-02   9.88628      0.654124      0.689317      0.606178      0.737263      0.479459E-01  -.479459E-01   1.34344      0.316019      0.363965      0.316142      0.290159      0.571565E-01   0.00000      0.316142    
  0.200220E-02   9.72836      0.645108      0.678828      0.596457      0.727480      0.486516E-01  -.486516E-01   1.32394      0.311303      0.359954      0.311426      0.285154      0.560996E-01   0.00000      0.311426    
  0.207292E-02   9.57044      0.636092      0.668339      0.586735      0.717697      0.493572E-01  -.493572E-01   1.30443      0.306587      0.355944      0.306710      0.280149      0.550427E-01   0.00000      0.306710    
  0.214614E-02   9.42780      0.628204      0.659097      0.578059      0.709242      0.501451E-01  -.501451E-01   1.28730      0.302437      0.352582      0.302561      0.275621      0.540988E-01   0.00000      0.302561    
  0.222195E-02   9.28581      0.620363      0.649908      0.569427      0.700844      0.509365E-01  -.509365E-01   1.27027      0.298312      0.349249      0.298436      0.271115      0.531598E-01   0.00000      0.298436    
  0.230043E-02   9.14382      0.612523      0.640718      0.560795      0.692446      0.517279E-01  -.517279E-01   1.25324      0.294187      0.345915      0.294311      0.266608      0.522207E-01   0.00000      0.294311    
  0.238169E-02   9.00182      0.604682      0.631529      0.552163      0.684049      0.525194E-01  -.525194E-01   1.23621      0.290062      0.342581      0.290186      0.262101      0.512817E-01   0.00000      0.290186    
  0.246581E-02   8.85983      0.596842      0.622340      0.543531      0.675651      0.533108E-01  -.533108E-01   1.21918      0.285937      0.339247      0.286061      0.257594      0.503427E-01   0.00000      0.286061    
  0.255291E-02   8.71784      0.589001      0.613151      0.534899      0.667253      0.541022E-01  -.541022E-01   1.20215      0.281811      0.335914      0.281936      0.253087      0.494036E-01   0.00000      0.281936    
  0.264308E-02   8.57585      0.581160      0.603961      0.526267      0.658855      0.548936E-01  -.548936E-01   1.18512      0.277686      0.332580      0.277811      0.248581      0.484646E-01   0.00000      0.277811    
  0.273644E-02   8.43386      0.573320      0.594772      0.517635      0.650457      0.556851E-01  -.556851E-01   1.16809      0.273561      0.329246      0.273686      0.244074      0.475256E-01   0.00000      0.273686    
  0.283310E-02   8.29884      0.566014      0.586176      0.509493      0.642697      0.565212E-01  -.565212E-01   1.15219      0.269707      0.326228      0.269832      0.239786      0.466379E-01   0.00000      0.269832    
  0.293317E-02   8.17122      0.559277      0.578210      0.501872      0.635614      0.574047E-01  -.574047E-01   1.13749      0.266140      0.323545      0.266265      0.235732      0.458049E-01   0.00000      0.266265    
  0.303677E-02   8.04360      0.552539      0.570243      0.494251      0.628532      0.582883E-01  -.582883E-01   1.12278      0.262573      0.320862      0.262698      0.231678      0.449719E-01   0.00000      0.262698    
  0.314404E-02   7.91598      0.545802      0.562277      0.486630      0.621449      0.591719E-01  -.591719E-01   1.10808      0.259007      0.318179      0.259132      0.227623      0.441389E-01   0.00000      0.259132    
  0.325509E-02   7.78836      0.539064      0.554311      0.479009      0.614366      0.600554E-01  -.600554E-01   1.09338      0.255440      0.315495      0.255565      0.223569      0.433058E-01   0.00000      0.255565    
  0.337006E-02   7.66074      0.532327      0.546345      0.471388      0.607284      0.609390E-01  -.609390E-01   1.07867      0.251873      0.312812      0.251999      0.219514      0.424728E-01   0.00000      0.251999    
  0.348910E-02   7.53312      0.525589      0.538378      0.463767      0.600201      0.618226E-01  -.618226E-01   1.06397      0.248307      0.310129      0.248432      0.215460      0.416398E-01   0.00000      0.248432    
  0.361234E-02   7.40550      0.518852      0.530412      0.456145      0.593118      0.627061E-01  -.627061E-01   1.04926      0.244740      0.307446      0.244865      0.211405      0.408068E-01   0.00000      0.244865    
  0.373994E-02   7.27802      0.512125      0.522458      0.448534      0.586049      0.635907E-01  -.635907E-01   1.03458      0.241179      0.304770      0.241304      0.207355      0.399748E-01   0.00000      0.241304    
  0.387204E-02   7.16334      0.506429      0.515652      0.441857      0.580224      0.645714E-01  -.645714E-01   1.02208      0.238145      0.302717      0.238270      0.203712      0.392371E-01   0.00000      0.238270    
  0.400881E-02   7.04867      0.500732      0.508847      0.435180      0.574399      0.655521E-01  -.655521E-01   1.00958      0.235111      0.300663      0.235236      0.200069      0.384995E-01   0.00000      0.235236    
  0.415040E-02   6.93399      0.495036      0.502041      0.428503      0.568573      0.665328E-01  -.665328E-01  0.997076      0.232077      0.298610      0.232202      0.196426      0.377619E-01   0.00000      0.232202    
  0.429700E-02   6.81932      0.489339      0.495235      0.421825      0.562748      0.675135E-01  -.675135E-01  0.984574      0.229043      0.296556      0.229168      0.192783      0.370243E-01   0.00000      0.229168    
  0.444878E-02   6.70464      0.483642      0.488429      0.415148      0.556923      0.684942E-01  -.684942E-01  0.972071      0.226009      0.294503      0.226133      0.189139      0.362867E-01   0.00000      0.226133    
  0.460592E-02   6.58997      0.477946      0.481623      0.408471      0.551098      0.694749E-01  -.694749E-01  0.959569      0.222975      0.292450      0.223099      0.185496      0.355491E-01   0.00000      0.223099    
