   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.35263      0.326592E-01  0.132296E-01  0.661481E-02  0.392740E-01  0.260444E-01  -.260444E-01  0.458888E-01  0.661481E-02  0.326592E-01  0.661481E-02   0.00000       0.00000       0.00000      0.661481E-02
  0.103532E-02   5.29713      0.332726E-01  0.135825E-01  0.679127E-02  0.400639E-01  0.264813E-01  -.264813E-01  0.468551E-01  0.679127E-02  0.332726E-01  0.679127E-02   0.00000       0.00000       0.00000      0.679127E-02
  0.107189E-02   5.24163      0.338860E-01  0.139355E-01  0.696773E-02  0.408537E-01  0.269182E-01  -.269182E-01  0.478214E-01  0.696773E-02  0.338860E-01  0.696773E-02   0.00000       0.00000       0.00000      0.696773E-02
  0.110975E-02   5.18612      0.344993E-01  0.142884E-01  0.714419E-02  0.416435E-01  0.273551E-01  -.273551E-01  0.487877E-01  0.714419E-02  0.344993E-01  0.714419E-02   0.00000       0.00000       0.00000      0.714419E-02
  0.114895E-02   5.13062      0.351127E-01  0.146413E-01  0.732065E-02  0.424334E-01  0.277921E-01  -.277921E-01  0.497540E-01  0.732065E-02  0.351127E-01  0.732065E-02   0.00000       0.00000       0.00000      0.732065E-02
  0.118953E-02   5.07884      0.358252E-01  0.150753E-01  0.753763E-02  0.433628E-01  0.282876E-01  -.282876E-01  0.509005E-01  0.753763E-02  0.358252E-01  0.753763E-02   0.00000       0.00000       0.00000      0.753763E-02
  0.123155E-02   5.02745      0.365478E-01  0.155175E-01  0.775874E-02  0.443065E-01  0.287891E-01  -.287891E-01  0.520653E-01  0.775874E-02  0.365478E-01  0.775874E-02   0.00000       0.00000       0.00000      0.775874E-02
  0.127505E-02   4.97605      0.372704E-01  0.159597E-01  0.797984E-02  0.452502E-01  0.292905E-01  -.292905E-01  0.532300E-01  0.797984E-02  0.372704E-01  0.797984E-02   0.00000       0.00000       0.00000      0.797984E-02
  0.132009E-02   4.92466      0.379929E-01  0.164019E-01  0.820094E-02  0.461939E-01  0.297920E-01  -.297920E-01  0.543948E-01  0.820094E-02  0.379929E-01  0.820094E-02   0.00000       0.00000       0.00000      0.820094E-02
  0.136672E-02   4.87326      0.387155E-01  0.168441E-01  0.842204E-02  0.471376E-01  0.302935E-01  -.302935E-01  0.555596E-01  0.842204E-02  0.387155E-01  0.842204E-02   0.00000       0.00000       0.00000      0.842204E-02
