   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.0379      0.840512      0.903845      0.804308      0.940049      0.362038E-01  -.362038E-01   1.74436      0.412237      0.448441      0.412351      0.392071      0.792576E-01   0.00000      0.412351    
  0.103532E-02   12.8495      0.829213      0.890806      0.792454      0.927564      0.367584E-01  -.367584E-01   1.72002      0.406372      0.443130      0.406486      0.386083      0.779489E-01   0.00000      0.406486    
  0.107189E-02   12.6612      0.817914      0.877767      0.780601      0.915080      0.373130E-01  -.373130E-01   1.69568      0.400506      0.437819      0.400620      0.380095      0.766402E-01   0.00000      0.400620    
  0.110975E-02   12.4728      0.806615      0.864727      0.768748      0.902595      0.378677E-01  -.378677E-01   1.67134      0.394640      0.432508      0.394755      0.374107      0.753316E-01   0.00000      0.394755    
  0.114895E-02   12.2844      0.795316      0.851688      0.756894      0.890110      0.384223E-01  -.384223E-01   1.64700      0.388775      0.427197      0.388890      0.368119      0.740229E-01   0.00000      0.388890    
  0.118953E-02   12.1126      0.785173      0.839927      0.746132      0.878967      0.390407E-01  -.390407E-01   1.62510      0.383485      0.422526      0.383601      0.362647      0.728405E-01   0.00000      0.383601    
  0.123155E-02   11.9424      0.775147      0.828295      0.735481      0.867961      0.396655E-01  -.396655E-01   1.60344      0.378254      0.417919      0.378370      0.357228      0.716711E-01   0.00000      0.378370    
  0.127505E-02   11.7722      0.765121      0.816664      0.724831      0.856954      0.402904E-01  -.402904E-01   1.58179      0.373023      0.413313      0.373140      0.351808      0.705016E-01   0.00000      0.373140    
  0.132009E-02   11.6020      0.755095      0.805033      0.714180      0.845948      0.409152E-01  -.409152E-01   1.56013      0.367792      0.408707      0.367909      0.346388      0.693321E-01   0.00000      0.367909    
  0.136672E-02   11.4318      0.745069      0.793401      0.703529      0.834942      0.415401E-01  -.415401E-01   1.53847      0.362560      0.404101      0.362678      0.340968      0.681626E-01   0.00000      0.362678    
  0.141499E-02   11.2616      0.735043      0.781770      0.692878      0.823935      0.421650E-01  -.421650E-01   1.51681      0.357329      0.399494      0.357448      0.335549      0.669931E-01   0.00000      0.357448    
  0.146497E-02   11.0914      0.725017      0.770139      0.682227      0.812929      0.427898E-01  -.427898E-01   1.49516      0.352098      0.394888      0.352217      0.330129      0.658237E-01   0.00000      0.352217    
  0.151672E-02   10.9212      0.714991      0.758508      0.671576      0.801922      0.434147E-01  -.434147E-01   1.47350      0.346867      0.390282      0.346986      0.324709      0.646542E-01   0.00000      0.346986    
  0.157029E-02   10.7582      0.705480      0.747446      0.661407      0.791519      0.440730E-01  -.440730E-01   1.45293      0.341893      0.385966      0.342013      0.319514      0.635392E-01   0.00000      0.342013    
  0.162576E-02   10.6045      0.696643      0.737129      0.651868      0.781904      0.447751E-01  -.447751E-01   1.43377      0.337257      0.382032      0.337377      0.314611      0.624955E-01   0.00000      0.337377    
  0.168318E-02   10.4508      0.687806      0.726812      0.642329      0.772289      0.454772E-01  -.454772E-01   1.41462      0.332620      0.378097      0.332740      0.309709      0.614518E-01   0.00000      0.332740    
  0.174263E-02   10.2971      0.678969      0.716495      0.632790      0.762675      0.461793E-01  -.461793E-01   1.39546      0.327983      0.374162      0.328104      0.304807      0.604081E-01   0.00000      0.328104    
  0.180419E-02   10.1434      0.670132      0.706179      0.623251      0.753060      0.468814E-01  -.468814E-01   1.37631      0.323346      0.370228      0.323468      0.299904      0.593644E-01   0.00000      0.323468    
  0.186791E-02   9.98975      0.661295      0.695862      0.613712      0.743445      0.475835E-01  -.475835E-01   1.35716      0.318710      0.366293      0.318831      0.295002      0.583207E-01   0.00000      0.318831    
  0.193389E-02   9.83607      0.652458      0.685545      0.604173      0.733830      0.482856E-01  -.482856E-01   1.33800      0.314073      0.362359      0.314195      0.290100      0.572770E-01   0.00000      0.314195    
  0.200220E-02   9.68239      0.643621      0.675228      0.594633      0.724216      0.489877E-01  -.489877E-01   1.31885      0.309436      0.358424      0.309558      0.285197      0.562333E-01   0.00000      0.309558    
  0.207292E-02   9.52871      0.634784      0.664911      0.585094      0.714601      0.496898E-01  -.496898E-01   1.29970      0.304799      0.354489      0.304922      0.280295      0.551896E-01   0.00000      0.304922    
  0.214614E-02   9.38940      0.627017      0.655779      0.576545      0.706251      0.504724E-01  -.504724E-01   1.28280      0.300701      0.351173      0.300823      0.275844      0.542549E-01   0.00000      0.300823    
  0.222195E-02   9.25070      0.619296      0.646697      0.568038      0.697956      0.512585E-01  -.512585E-01   1.26599      0.296625      0.347883      0.296748      0.271413      0.533248E-01   0.00000      0.296748    
  0.230043E-02   9.11201      0.611575      0.637615      0.559531      0.689660      0.520446E-01  -.520446E-01   1.24919      0.292549      0.344593      0.292672      0.266982      0.523946E-01   0.00000      0.292672    
  0.238169E-02   8.97331      0.603854      0.628533      0.551024      0.681364      0.528307E-01  -.528307E-01   1.23239      0.288473      0.341303      0.288596      0.262551      0.514645E-01   0.00000      0.288596    
  0.246581E-02   8.83462      0.596133      0.619452      0.542516      0.673068      0.536168E-01  -.536168E-01   1.21558      0.284397      0.338014      0.284520      0.258120      0.505344E-01   0.00000      0.284520    
  0.255291E-02   8.69592      0.588412      0.610370      0.534009      0.664773      0.544029E-01  -.544029E-01   1.19878      0.280321      0.334724      0.280445      0.253688      0.496043E-01   0.00000      0.280445    
  0.264308E-02   8.55722      0.580691      0.601288      0.525502      0.656477      0.551890E-01  -.551890E-01   1.18198      0.276245      0.331434      0.276369      0.249257      0.486742E-01   0.00000      0.276369    
  0.273644E-02   8.41853      0.572970      0.592206      0.516995      0.648181      0.559750E-01  -.559750E-01   1.16518      0.272169      0.328144      0.272293      0.244826      0.477441E-01   0.00000      0.272293    
  0.283310E-02   8.28641      0.565759      0.583691      0.508955      0.640496      0.568047E-01  -.568047E-01   1.14945      0.268352      0.325156      0.268476      0.240603      0.468637E-01   0.00000      0.268476    
  0.293317E-02   8.16129      0.559091      0.575779      0.501411      0.633460      0.576808E-01  -.576808E-01   1.13487      0.264809      0.322490      0.264934      0.236601      0.460362E-01   0.00000      0.264934    
  0.303677E-02   8.03617      0.552423      0.567867      0.493866      0.626424      0.585568E-01  -.585568E-01   1.12029      0.261267      0.319824      0.261391      0.232600      0.452086E-01   0.00000      0.261391    
  0.314404E-02   7.91105      0.545755      0.559954      0.486322      0.619387      0.594329E-01  -.594329E-01   1.10571      0.257724      0.317157      0.257849      0.228598      0.443811E-01   0.00000      0.257849    
  0.325509E-02   7.78592      0.539087      0.552042      0.478778      0.612351      0.603089E-01  -.603089E-01   1.09113      0.254182      0.314491      0.254306      0.224596      0.435535E-01   0.00000      0.254306    
  0.337006E-02   7.66080      0.532419      0.544130      0.471234      0.605315      0.611850E-01  -.611850E-01   1.07655      0.250640      0.311824      0.250764      0.220594      0.427260E-01   0.00000      0.250764    
  0.348910E-02   7.53568      0.525751      0.536217      0.463690      0.598278      0.620610E-01  -.620610E-01   1.06197      0.247097      0.309158      0.247222      0.216592      0.418984E-01   0.00000      0.247222    
  0.361234E-02   7.41056      0.519082      0.528305      0.456145      0.591242      0.629370E-01  -.629370E-01   1.04739      0.243555      0.306492      0.243679      0.212591      0.410709E-01   0.00000      0.243679    
  0.373994E-02   7.28556      0.512425      0.520404      0.448611      0.584218      0.638141E-01  -.638141E-01   1.03283      0.240018      0.303832      0.240142      0.208593      0.402443E-01   0.00000      0.240142    
  0.387204E-02   7.17272      0.506756      0.513609      0.441971      0.578394      0.647847E-01  -.647847E-01   1.02036      0.236988      0.301772      0.237112      0.204984      0.395094E-01   0.00000      0.237112    
  0.400881E-02   7.05987      0.501087      0.506814      0.435331      0.572569      0.657552E-01  -.657552E-01   1.00790      0.233957      0.299713      0.234082      0.201374      0.387745E-01   0.00000      0.234082    
  0.415040E-02   6.94702      0.495417      0.500018      0.428692      0.566744      0.667258E-01  -.667258E-01  0.995436      0.230927      0.297653      0.231052      0.197764      0.380395E-01   0.00000      0.231052    
  0.429700E-02   6.83417      0.489748      0.493223      0.422052      0.560919      0.676963E-01  -.676963E-01  0.982972      0.227897      0.295594      0.228021      0.194155      0.373046E-01   0.00000      0.228021    
  0.444878E-02   6.72133      0.484079      0.486428      0.415412      0.555095      0.686669E-01  -.686669E-01  0.970507      0.224867      0.293534      0.224991      0.190545      0.365697E-01   0.00000      0.224991    
  0.460592E-02   6.60848      0.478410      0.479633      0.408773      0.549270      0.696374E-01  -.696374E-01  0.958043      0.221837      0.291474      0.221961      0.186936      0.358348E-01   0.00000      0.221961    
  0.476861E-02   6.49563      0.472741      0.472837      0.402133      0.543445      0.706080E-01  -.706080E-01  0.945578      0.218807      0.289415      0.218931      0.183326      0.350999E-01   0.00000      0.218931    
  0.493705E-02   6.38278      0.467072      0.466042      0.395493      0.537621      0.715785E-01  -.715785E-01  0.933114      0.215777      0.287355      0.215900      0.179717      0.343650E-01   0.00000      0.215900    
  0.511143E-02   6.27588      0.461914      0.459824      0.389313      0.532425      0.726010E-01  -.726010E-01  0.921738      0.213013      0.285614      0.213136      0.176300      0.336750E-01   0.00000      0.213136    
  0.529198E-02   6.17412      0.457198      0.454106      0.383529      0.527774      0.736683E-01  -.736683E-01  0.911304      0.210480      0.284148      0.210602      0.173050      0.330239E-01   0.00000      0.210602    
  0.547890E-02   6.07235      0.452481      0.448388      0.377746      0.523123      0.747356E-01  -.747356E-01  0.900869      0.207946      0.282682      0.208069      0.169800      0.323727E-01   0.00000      0.208069    
  0.567243E-02   5.97059      0.447765      0.442669      0.371962      0.518472      0.758029E-01  -.758029E-01  0.890434      0.205413      0.281216      0.205535      0.166550      0.317216E-01   0.00000      0.205535    
  0.587279E-02   5.86882      0.443049      0.436951      0.366179      0.513821      0.768702E-01  -.768702E-01  0.880000      0.202879      0.279749      0.203001      0.163300      0.310705E-01   0.00000      0.203001    
  0.608022E-02   5.76706      0.438333      0.431232      0.360395      0.509170      0.779375E-01  -.779375E-01  0.869565      0.200346      0.278283      0.200467      0.160049      0.304194E-01   0.00000      0.200467    
  0.629499E-02   5.66529      0.433616      0.425514      0.354612      0.504519      0.790049E-01  -.790049E-01  0.859130      0.197812      0.276817      0.197933      0.156799      0.297683E-01   0.00000      0.197933    
  0.651734E-02   5.56353      0.428900      0.419795      0.348828      0.499867      0.800722E-01  -.800722E-01  0.848695      0.195279      0.275351      0.195399      0.153549      0.291171E-01   0.00000      0.195399    
  0.674754E-02   5.46239      0.424241      0.414142      0.343095      0.495287      0.811454E-01  -.811454E-01  0.838383      0.192775      0.273921      0.192896      0.150320      0.284707E-01   0.00000      0.192896    
  0.698588E-02   5.37062      0.420437      0.409470      0.338128      0.491778      0.823082E-01  -.823082E-01  0.829906      0.190727      0.273035      0.190847      0.147401      0.278956E-01   0.00000      0.190847    
  0.723263E-02   5.27886      0.416632      0.404798      0.333161      0.488269      0.834710E-01  -.834710E-01  0.821430      0.188679      0.272150      0.188798      0.144482      0.273205E-01   0.00000      0.188798    
  0.748810E-02   5.18709      0.412828      0.400126      0.328195      0.484759      0.846338E-01  -.846338E-01  0.812954      0.186631      0.271265      0.186749      0.141564      0.267454E-01   0.00000      0.186749    
  0.775260E-02   5.09533      0.409024      0.395454      0.323228      0.481250      0.857965E-01  -.857965E-01  0.804478      0.184583      0.270379      0.184701      0.138645      0.261703E-01   0.00000      0.184701    
  0.802643E-02   5.00357      0.405220      0.390781      0.318261      0.477741      0.869593E-01  -.869593E-01  0.796001      0.182534      0.269494      0.182652      0.135726      0.255952E-01   0.00000      0.182652    
