   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   6.44315      0.155587E-01  0.147341E-01  0.736704E-02  0.229258E-01  0.819170E-02  -.819170E-02  0.302928E-01  0.736704E-02  0.155587E-01  0.736704E-02   0.00000       0.00000       0.00000      0.736704E-02
  0.103532E-02   6.35579      0.159594E-01  0.151264E-01  0.756321E-02  0.235226E-01  0.839620E-02  -.839620E-02  0.310858E-01  0.756321E-02  0.159594E-01  0.756321E-02   0.00000       0.00000       0.00000      0.756321E-02
  0.107189E-02   6.26844      0.163601E-01  0.155187E-01  0.775937E-02  0.241195E-01  0.860071E-02  -.860071E-02  0.318788E-01  0.775937E-02  0.163601E-01  0.775937E-02   0.00000       0.00000       0.00000      0.775937E-02
  0.110975E-02   6.18108      0.167608E-01  0.159111E-01  0.795554E-02  0.247163E-01  0.880522E-02  -.880522E-02  0.326718E-01  0.795554E-02  0.167608E-01  0.795554E-02   0.00000       0.00000       0.00000      0.795554E-02
  0.114895E-02   6.09373      0.171614E-01  0.163034E-01  0.815171E-02  0.253131E-01  0.900972E-02  -.900972E-02  0.334648E-01  0.815171E-02  0.171614E-01  0.815171E-02   0.00000       0.00000       0.00000      0.815171E-02
  0.118953E-02   6.01481      0.176507E-01  0.167849E-01  0.839245E-02  0.260431E-01  0.925821E-02  -.925821E-02  0.344356E-01  0.839245E-02  0.176507E-01  0.839245E-02   0.00000       0.00000       0.00000      0.839245E-02
  0.123155E-02   5.93674      0.181489E-01  0.172755E-01  0.863773E-02  0.267866E-01  0.951117E-02  -.951117E-02  0.354244E-01  0.863773E-02  0.181489E-01  0.863773E-02   0.00000       0.00000       0.00000      0.863773E-02
  0.127505E-02   5.85868      0.186471E-01  0.177660E-01  0.888301E-02  0.275301E-01  0.976413E-02  -.976413E-02  0.364131E-01  0.888301E-02  0.186471E-01  0.888301E-02   0.00000       0.00000       0.00000      0.888301E-02
  0.132009E-02   5.78061      0.191454E-01  0.182566E-01  0.912829E-02  0.282737E-01  0.100171E-01  -.100171E-01  0.374019E-01  0.912829E-02  0.191454E-01  0.912829E-02   0.00000       0.00000       0.00000      0.912829E-02
  0.136672E-02   5.70255      0.196436E-01  0.187471E-01  0.937356E-02  0.290172E-01  0.102700E-01  -.102700E-01  0.383907E-01  0.937356E-02  0.196436E-01  0.937356E-02   0.00000       0.00000       0.00000      0.937356E-02
  0.141499E-02   5.62449      0.201419E-01  0.192377E-01  0.961884E-02  0.297607E-01  0.105230E-01  -.105230E-01  0.393795E-01  0.961884E-02  0.201419E-01  0.961884E-02   0.00000       0.00000       0.00000      0.961884E-02
  0.146497E-02   5.54642      0.206401E-01  0.197282E-01  0.986412E-02  0.305042E-01  0.107760E-01  -.107760E-01  0.403683E-01  0.986412E-02  0.206401E-01  0.986412E-02   0.00000       0.00000       0.00000      0.986412E-02
  0.151672E-02   5.46836      0.211383E-01  0.202188E-01  0.101094E-01  0.312477E-01  0.110289E-01  -.110289E-01  0.413571E-01  0.101094E-01  0.211383E-01  0.101094E-01   0.00000       0.00000       0.00000      0.101094E-01
  0.157029E-02   5.39388      0.216888E-01  0.207620E-01  0.103810E-01  0.320698E-01  0.113078E-01  -.113078E-01  0.424508E-01  0.103810E-01  0.216888E-01  0.103810E-01   0.00000       0.00000       0.00000      0.103810E-01
  0.162576E-02   5.32408      0.223076E-01  0.213740E-01  0.106870E-01  0.329946E-01  0.116206E-01  -.116206E-01  0.436816E-01  0.106870E-01  0.223076E-01  0.106870E-01   0.00000       0.00000       0.00000      0.106870E-01
  0.168318E-02   5.25429      0.229265E-01  0.219860E-01  0.109930E-01  0.339195E-01  0.119335E-01  -.119335E-01  0.449125E-01  0.109930E-01  0.229265E-01  0.109930E-01   0.00000       0.00000       0.00000      0.109930E-01
  0.174263E-02   5.18449      0.235453E-01  0.225980E-01  0.112990E-01  0.348443E-01  0.122463E-01  -.122463E-01  0.461433E-01  0.112990E-01  0.235453E-01  0.112990E-01   0.00000       0.00000       0.00000      0.112990E-01
  0.180419E-02   5.11470      0.241641E-01  0.232100E-01  0.116050E-01  0.357691E-01  0.125591E-01  -.125591E-01  0.473741E-01  0.116050E-01  0.241641E-01  0.116050E-01   0.00000       0.00000       0.00000      0.116050E-01
  0.186791E-02   5.04490      0.247829E-01  0.238220E-01  0.119110E-01  0.366939E-01  0.128719E-01  -.128719E-01  0.486049E-01  0.119110E-01  0.247829E-01  0.119110E-01   0.00000       0.00000       0.00000      0.119110E-01
  0.193389E-02   4.97510      0.254017E-01  0.244340E-01  0.122170E-01  0.376187E-01  0.131847E-01  -.131847E-01  0.498357E-01  0.122170E-01  0.254017E-01  0.122170E-01   0.00000       0.00000       0.00000      0.122170E-01
  0.200220E-02   4.90531      0.260205E-01  0.250460E-01  0.125230E-01  0.385436E-01  0.134975E-01  -.134975E-01  0.510666E-01  0.125230E-01  0.260205E-01  0.125230E-01   0.00000       0.00000       0.00000      0.125230E-01
  0.207292E-02   4.83551      0.266393E-01  0.256580E-01  0.128290E-01  0.394684E-01  0.138103E-01  -.138103E-01  0.522974E-01  0.128290E-01  0.266393E-01  0.128290E-01   0.00000       0.00000       0.00000      0.128290E-01
  0.214614E-02   4.77276      0.274006E-01  0.264132E-01  0.132066E-01  0.406072E-01  0.141940E-01  -.141940E-01  0.538137E-01  0.132066E-01  0.274006E-01  0.132066E-01   0.00000       0.00000       0.00000      0.132066E-01
  0.222195E-02   4.71032      0.281679E-01  0.271744E-01  0.135872E-01  0.417551E-01  0.145807E-01  -.145807E-01  0.553422E-01  0.135872E-01  0.281679E-01  0.135872E-01   0.00000       0.00000       0.00000      0.135872E-01
  0.230043E-02   4.64787      0.289352E-01  0.279356E-01  0.139678E-01  0.429030E-01  0.149674E-01  -.149674E-01  0.568708E-01  0.139678E-01  0.289352E-01  0.139678E-01   0.00000       0.00000       0.00000      0.139678E-01
  0.238169E-02   4.58543      0.297025E-01  0.286968E-01  0.143484E-01  0.440509E-01  0.153541E-01  -.153541E-01  0.583993E-01  0.143484E-01  0.297025E-01  0.143484E-01   0.00000       0.00000       0.00000      0.143484E-01
  0.246581E-02   4.52298      0.304698E-01  0.294580E-01  0.147290E-01  0.451988E-01  0.157408E-01  -.157408E-01  0.599278E-01  0.147290E-01  0.304698E-01  0.147290E-01   0.00000       0.00000       0.00000      0.147290E-01
  0.255291E-02   4.46053      0.312371E-01  0.302192E-01  0.151096E-01  0.463467E-01  0.161274E-01  -.161274E-01  0.614563E-01  0.151096E-01  0.312371E-01  0.151096E-01   0.00000       0.00000       0.00000      0.151096E-01
  0.264308E-02   4.39809      0.320043E-01  0.309804E-01  0.154902E-01  0.474946E-01  0.165141E-01  -.165141E-01  0.629848E-01  0.154902E-01  0.320043E-01  0.154902E-01   0.00000       0.00000       0.00000      0.154902E-01
  0.273644E-02   4.33564      0.327716E-01  0.317417E-01  0.158708E-01  0.486425E-01  0.169008E-01  -.169008E-01  0.645133E-01  0.158708E-01  0.327716E-01  0.158708E-01   0.00000       0.00000       0.00000      0.158708E-01
  0.283310E-02   4.27636      0.336272E-01  0.325910E-01  0.162955E-01  0.499227E-01  0.173317E-01  -.173317E-01  0.662181E-01  0.162955E-01  0.336272E-01  0.162955E-01   0.00000       0.00000       0.00000      0.162955E-01
  0.293317E-02   4.22044      0.345764E-01  0.335339E-01  0.167670E-01  0.513434E-01  0.178095E-01  -.178095E-01  0.681103E-01  0.167670E-01  0.345764E-01  0.167670E-01   0.00000       0.00000       0.00000      0.167670E-01
  0.303677E-02   4.16452      0.355257E-01  0.344768E-01  0.172384E-01  0.527641E-01  0.182872E-01  -.182872E-01  0.700025E-01  0.172384E-01  0.355257E-01  0.172384E-01   0.00000       0.00000       0.00000      0.172384E-01
  0.314404E-02   4.10860      0.364749E-01  0.354197E-01  0.177099E-01  0.541848E-01  0.187650E-01  -.187650E-01  0.718946E-01  0.177099E-01  0.364749E-01  0.177099E-01   0.00000       0.00000       0.00000      0.177099E-01
  0.325509E-02   4.05268      0.374241E-01  0.363627E-01  0.181813E-01  0.556055E-01  0.192428E-01  -.192428E-01  0.737868E-01  0.181813E-01  0.374241E-01  0.181813E-01   0.00000       0.00000       0.00000      0.181813E-01
  0.337006E-02   3.99676      0.383734E-01  0.373056E-01  0.186528E-01  0.570262E-01  0.197206E-01  -.197206E-01  0.756790E-01  0.186528E-01  0.383734E-01  0.186528E-01   0.00000       0.00000       0.00000      0.186528E-01
  0.348910E-02   3.94084      0.393226E-01  0.382485E-01  0.191243E-01  0.584469E-01  0.201984E-01  -.201984E-01  0.775711E-01  0.191243E-01  0.393226E-01  0.191243E-01   0.00000       0.00000       0.00000      0.191243E-01
