   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   8.10962      0.194973E-01  0.246054E-01  0.123027E-01  0.318000E-01  0.719465E-02  -.719465E-02  0.441027E-01  0.123027E-01  0.194973E-01  0.123027E-01   0.00000       0.00000       0.00000      0.123027E-01
  0.103532E-02   7.97274      0.199800E-01  0.251982E-01  0.125991E-01  0.325791E-01  0.738093E-02  -.738093E-02  0.451782E-01  0.125991E-01  0.199800E-01  0.125991E-01   0.00000       0.00000       0.00000      0.125991E-01
  0.107189E-02   7.83585      0.204627E-01  0.257910E-01  0.128955E-01  0.333583E-01  0.756721E-02  -.756721E-02  0.462538E-01  0.128955E-01  0.204627E-01  0.128955E-01   0.00000       0.00000       0.00000      0.128955E-01
  0.110975E-02   7.69897      0.209454E-01  0.263839E-01  0.131919E-01  0.341374E-01  0.775350E-02  -.775350E-02  0.473293E-01  0.131919E-01  0.209454E-01  0.131919E-01   0.00000       0.00000       0.00000      0.131919E-01
  0.114895E-02   7.56208      0.214281E-01  0.269767E-01  0.134884E-01  0.349165E-01  0.793978E-02  -.793978E-02  0.484049E-01  0.134884E-01  0.214281E-01  0.134884E-01   0.00000       0.00000       0.00000      0.134884E-01
  0.118953E-02   7.44154      0.220125E-01  0.276895E-01  0.138447E-01  0.358573E-01  0.816780E-02  -.816780E-02  0.497020E-01  0.138447E-01  0.220125E-01  0.138447E-01   0.00000       0.00000       0.00000      0.138447E-01
  0.123155E-02   7.32267      0.226073E-01  0.284144E-01  0.142072E-01  0.368145E-01  0.840008E-02  -.840008E-02  0.510217E-01  0.142072E-01  0.226073E-01  0.142072E-01   0.00000       0.00000       0.00000      0.142072E-01
  0.127505E-02   7.20379      0.232020E-01  0.291394E-01  0.145697E-01  0.377717E-01  0.863235E-02  -.863235E-02  0.523414E-01  0.145697E-01  0.232020E-01  0.145697E-01   0.00000       0.00000       0.00000      0.145697E-01
  0.132009E-02   7.08492      0.237968E-01  0.298643E-01  0.149322E-01  0.387289E-01  0.886462E-02  -.886462E-02  0.536611E-01  0.149322E-01  0.237968E-01  0.149322E-01   0.00000       0.00000       0.00000      0.149322E-01
  0.136672E-02   6.96604      0.243915E-01  0.305893E-01  0.152946E-01  0.396862E-01  0.909690E-02  -.909690E-02  0.549808E-01  0.152946E-01  0.243915E-01  0.152946E-01   0.00000       0.00000       0.00000      0.152946E-01
  0.141499E-02   6.84717      0.249863E-01  0.313142E-01  0.156571E-01  0.406434E-01  0.932917E-02  -.932917E-02  0.563005E-01  0.156571E-01  0.249863E-01  0.156571E-01   0.00000       0.00000       0.00000      0.156571E-01
  0.146497E-02   6.72829      0.255810E-01  0.320392E-01  0.160196E-01  0.416006E-01  0.956144E-02  -.956144E-02  0.576202E-01  0.160196E-01  0.255810E-01  0.160196E-01   0.00000       0.00000       0.00000      0.160196E-01
  0.151672E-02   6.60942      0.261758E-01  0.327641E-01  0.163821E-01  0.425578E-01  0.979371E-02  -.979371E-02  0.589399E-01  0.163821E-01  0.261758E-01  0.163821E-01   0.00000       0.00000       0.00000      0.163821E-01
  0.157029E-02   6.49731      0.268299E-01  0.335582E-01  0.167791E-01  0.436090E-01  0.100508E-01  -.100508E-01  0.603880E-01  0.167791E-01  0.268299E-01  0.167791E-01   0.00000       0.00000       0.00000      0.167791E-01
  0.162576E-02   6.39404      0.275616E-01  0.344425E-01  0.172213E-01  0.447829E-01  0.103403E-01  -.103403E-01  0.620041E-01  0.172213E-01  0.275616E-01  0.172213E-01   0.00000       0.00000       0.00000      0.172213E-01
  0.168318E-02   6.29077      0.282933E-01  0.353269E-01  0.176635E-01  0.459568E-01  0.106299E-01  -.106299E-01  0.636203E-01  0.176635E-01  0.282933E-01  0.176635E-01   0.00000       0.00000       0.00000      0.176635E-01
  0.174263E-02   6.18750      0.290251E-01  0.362113E-01  0.181056E-01  0.471307E-01  0.109194E-01  -.109194E-01  0.652364E-01  0.181056E-01  0.290251E-01  0.181056E-01   0.00000       0.00000       0.00000      0.181056E-01
  0.180419E-02   6.08423      0.297568E-01  0.370957E-01  0.185478E-01  0.483047E-01  0.112090E-01  -.112090E-01  0.668525E-01  0.185478E-01  0.297568E-01  0.185478E-01   0.00000       0.00000       0.00000      0.185478E-01
  0.186791E-02   5.98096      0.304885E-01  0.379801E-01  0.189900E-01  0.494786E-01  0.114985E-01  -.114985E-01  0.684686E-01  0.189900E-01  0.304885E-01  0.189900E-01   0.00000       0.00000       0.00000      0.189900E-01
  0.193389E-02   5.87769      0.312203E-01  0.388644E-01  0.194322E-01  0.506525E-01  0.117881E-01  -.117881E-01  0.700847E-01  0.194322E-01  0.312203E-01  0.194322E-01   0.00000       0.00000       0.00000      0.194322E-01
  0.200220E-02   5.77442      0.319520E-01  0.397488E-01  0.198744E-01  0.518264E-01  0.120776E-01  -.120776E-01  0.717008E-01  0.198744E-01  0.319520E-01  0.198744E-01   0.00000       0.00000       0.00000      0.198744E-01
  0.207292E-02   5.67115      0.326837E-01  0.406332E-01  0.203166E-01  0.530004E-01  0.123671E-01  -.123671E-01  0.733170E-01  0.203166E-01  0.326837E-01  0.203166E-01   0.00000       0.00000       0.00000      0.203166E-01
  0.214614E-02   5.58085      0.335754E-01  0.417008E-01  0.208504E-01  0.544259E-01  0.127250E-01  -.127250E-01  0.752763E-01  0.208504E-01  0.335754E-01  0.208504E-01   0.00000       0.00000       0.00000      0.208504E-01
  0.222195E-02   5.49109      0.344740E-01  0.427762E-01  0.213881E-01  0.558621E-01  0.130858E-01  -.130858E-01  0.772502E-01  0.213881E-01  0.344740E-01  0.213881E-01   0.00000       0.00000       0.00000      0.213881E-01
  0.230043E-02   5.40134      0.353725E-01  0.438517E-01  0.219258E-01  0.572983E-01  0.134466E-01  -.134466E-01  0.792241E-01  0.219258E-01  0.353725E-01  0.219258E-01   0.00000       0.00000       0.00000      0.219258E-01
  0.238169E-02   5.31159      0.362710E-01  0.449271E-01  0.224635E-01  0.587345E-01  0.138074E-01  -.138074E-01  0.811981E-01  0.224635E-01  0.362710E-01  0.224635E-01   0.00000       0.00000       0.00000      0.224635E-01
  0.246581E-02   5.22183      0.371695E-01  0.460025E-01  0.230013E-01  0.601707E-01  0.141682E-01  -.141682E-01  0.831720E-01  0.230013E-01  0.371695E-01  0.230013E-01   0.00000       0.00000       0.00000      0.230013E-01
