   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.37968      0.446519E-01  0.739872E-01  0.369936E-01  0.816455E-01  0.765827E-02  -.765827E-02  0.118639      0.369936E-01  0.446519E-01  0.369936E-01   0.00000       0.00000       0.00000      0.369936E-01
  0.103532E-02   4.32883      0.450411E-01  0.743815E-01  0.371907E-01  0.822318E-01  0.785032E-02  -.785032E-02  0.119423      0.371907E-01  0.450411E-01  0.371907E-01   0.00000       0.00000       0.00000      0.371907E-01
  0.107189E-02   4.27798      0.454303E-01  0.747758E-01  0.373879E-01  0.828182E-01  0.804236E-02  -.804236E-02  0.120206      0.373879E-01  0.454303E-01  0.373879E-01   0.00000       0.00000       0.00000      0.373879E-01
  0.110975E-02   4.22713      0.458195E-01  0.751701E-01  0.375850E-01  0.834045E-01  0.823441E-02  -.823441E-02  0.120990      0.375850E-01  0.458195E-01  0.375850E-01   0.00000       0.00000       0.00000      0.375850E-01
  0.114895E-02   4.17629      0.462087E-01  0.755644E-01  0.377822E-01  0.839909E-01  0.842646E-02  -.842646E-02  0.121773      0.377822E-01  0.462087E-01  0.377822E-01   0.00000       0.00000       0.00000      0.377822E-01
  0.118953E-02   4.12965      0.466732E-01  0.760262E-01  0.380131E-01  0.846863E-01  0.866009E-02  -.866009E-02  0.122699      0.380131E-01  0.466732E-01  0.380131E-01   0.00000       0.00000       0.00000      0.380131E-01
  0.123155E-02   4.08345      0.471454E-01  0.764948E-01  0.382474E-01  0.853928E-01  0.889795E-02  -.889795E-02  0.123640      0.382474E-01  0.471454E-01  0.382474E-01   0.00000       0.00000       0.00000      0.382474E-01
  0.127505E-02   4.03724      0.476175E-01  0.769635E-01  0.384817E-01  0.860993E-01  0.913581E-02  -.913581E-02  0.124581      0.384817E-01  0.476175E-01  0.384817E-01   0.00000       0.00000       0.00000      0.384817E-01
  0.132009E-02   3.99104      0.480897E-01  0.774321E-01  0.387161E-01  0.868058E-01  0.937367E-02  -.937367E-02  0.125522      0.387161E-01  0.480897E-01  0.387161E-01   0.00000       0.00000       0.00000      0.387161E-01
  0.136672E-02   3.94483      0.485619E-01  0.779008E-01  0.389504E-01  0.875123E-01  0.961153E-02  -.961153E-02  0.126463      0.389504E-01  0.485619E-01  0.389504E-01   0.00000       0.00000       0.00000      0.389504E-01
  0.141499E-02   3.89863      0.490341E-01  0.783694E-01  0.391847E-01  0.882188E-01  0.984939E-02  -.984939E-02  0.127404      0.391847E-01  0.490341E-01  0.391847E-01   0.00000       0.00000       0.00000      0.391847E-01
  0.146497E-02   3.85242      0.495063E-01  0.788381E-01  0.394190E-01  0.889253E-01  0.100873E-01  -.100873E-01  0.128344      0.394190E-01  0.495063E-01  0.394190E-01   0.00000       0.00000       0.00000      0.394190E-01
  0.151672E-02   3.80622      0.499785E-01  0.793067E-01  0.396534E-01  0.896318E-01  0.103251E-01  -.103251E-01  0.129285      0.396534E-01  0.499785E-01  0.396534E-01   0.00000       0.00000       0.00000      0.396534E-01
  0.157029E-02   3.76183      0.504919E-01  0.798086E-01  0.399043E-01  0.903962E-01  0.105875E-01  -.105875E-01  0.130301      0.399043E-01  0.504919E-01  0.399043E-01   0.00000       0.00000       0.00000      0.399043E-01
  0.162576E-02   3.71982      0.510591E-01  0.803541E-01  0.401770E-01  0.912362E-01  0.108821E-01  -.108821E-01  0.131413      0.401770E-01  0.510591E-01  0.401770E-01   0.00000       0.00000       0.00000      0.401770E-01
  0.168318E-02   3.67780      0.516264E-01  0.808995E-01  0.404497E-01  0.920761E-01  0.111766E-01  -.111766E-01  0.132526      0.404497E-01  0.516264E-01  0.404497E-01   0.00000       0.00000       0.00000      0.404497E-01
  0.174263E-02   3.63579      0.521936E-01  0.814449E-01  0.407225E-01  0.929161E-01  0.114712E-01  -.114712E-01  0.133639      0.407225E-01  0.521936E-01  0.407225E-01   0.00000       0.00000       0.00000      0.407225E-01
  0.180419E-02   3.59378      0.527609E-01  0.819903E-01  0.409952E-01  0.937561E-01  0.117657E-01  -.117657E-01  0.134751      0.409952E-01  0.527609E-01  0.409952E-01   0.00000       0.00000       0.00000      0.409952E-01
  0.186791E-02   3.55177      0.533281E-01  0.825358E-01  0.412679E-01  0.945960E-01  0.120603E-01  -.120603E-01  0.135864      0.412679E-01  0.533281E-01  0.412679E-01   0.00000       0.00000       0.00000      0.412679E-01
  0.193389E-02   3.50975      0.538954E-01  0.830812E-01  0.415406E-01  0.954360E-01  0.123548E-01  -.123548E-01  0.136977      0.415406E-01  0.538954E-01  0.415406E-01   0.00000       0.00000       0.00000      0.415406E-01
  0.200220E-02   3.46774      0.544626E-01  0.836266E-01  0.418133E-01  0.962759E-01  0.126493E-01  -.126493E-01  0.138089      0.418133E-01  0.544626E-01  0.418133E-01   0.00000       0.00000       0.00000      0.418133E-01
  0.207292E-02   3.42573      0.550299E-01  0.841720E-01  0.420860E-01  0.971159E-01  0.129439E-01  -.129439E-01  0.139202      0.420860E-01  0.550299E-01  0.420860E-01   0.00000       0.00000       0.00000      0.420860E-01
  0.214614E-02   3.38734      0.557057E-01  0.848001E-01  0.424001E-01  0.981058E-01  0.133057E-01  -.133057E-01  0.140506      0.424001E-01  0.557057E-01  0.424001E-01   0.00000       0.00000       0.00000      0.424001E-01
