   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   1.35151      0.690149E-01  0.345632E-01  0.172816E-01  0.862965E-01  0.517332E-01  -.517332E-01  0.103578      0.172816E-01  0.690149E-01  0.172816E-01   0.00000       0.00000       0.00000      0.172816E-01
  0.103532E-02   1.38270      0.700685E-01  0.352407E-01  0.176204E-01  0.876889E-01  0.524481E-01  -.524481E-01  0.105309      0.176204E-01  0.700685E-01  0.176204E-01   0.00000       0.00000       0.00000      0.176204E-01
  0.107189E-02   1.41389      0.711222E-01  0.359182E-01  0.179591E-01  0.890813E-01  0.531630E-01  -.531630E-01  0.107040      0.179591E-01  0.711222E-01  0.179591E-01   0.00000       0.00000       0.00000      0.179591E-01
  0.110975E-02   1.44509      0.721758E-01  0.365958E-01  0.182979E-01  0.904737E-01  0.538779E-01  -.538779E-01  0.108772      0.182979E-01  0.721758E-01  0.182979E-01   0.00000       0.00000       0.00000      0.182979E-01
  0.114895E-02   1.47628      0.732295E-01  0.372733E-01  0.186366E-01  0.918661E-01  0.545928E-01  -.545928E-01  0.110503      0.186366E-01  0.732295E-01  0.186366E-01   0.00000       0.00000       0.00000      0.186366E-01
  0.118953E-02   1.51188      0.743301E-01  0.381083E-01  0.190541E-01  0.933843E-01  0.552760E-01  -.552760E-01  0.112438      0.190541E-01  0.743301E-01  0.190541E-01   0.00000       0.00000       0.00000      0.190541E-01
  0.123155E-02   1.54794      0.754355E-01  0.389593E-01  0.194797E-01  0.949152E-01  0.559559E-01  -.559559E-01  0.114395      0.194797E-01  0.754355E-01  0.194797E-01   0.00000       0.00000       0.00000      0.194797E-01
  0.127505E-02   1.58399      0.765409E-01  0.398104E-01  0.199052E-01  0.964461E-01  0.566358E-01  -.566358E-01  0.116351      0.199052E-01  0.765409E-01  0.199052E-01   0.00000       0.00000       0.00000      0.199052E-01
  0.132009E-02   1.62004      0.776463E-01  0.406614E-01  0.203307E-01  0.979770E-01  0.573156E-01  -.573156E-01  0.118308      0.203307E-01  0.776463E-01  0.203307E-01   0.00000       0.00000       0.00000      0.203307E-01
  0.136672E-02   1.65609      0.787518E-01  0.415124E-01  0.207562E-01  0.995080E-01  0.579955E-01  -.579955E-01  0.120264      0.207562E-01  0.787518E-01  0.207562E-01   0.00000       0.00000       0.00000      0.207562E-01
  0.141499E-02   1.69215      0.798572E-01  0.423635E-01  0.211817E-01  0.101039      0.586754E-01  -.586754E-01  0.122221      0.211817E-01  0.798572E-01  0.211817E-01   0.00000       0.00000       0.00000      0.211817E-01
  0.146497E-02   1.72820      0.809626E-01  0.432145E-01  0.216073E-01  0.102570      0.593553E-01  -.593553E-01  0.124177      0.216073E-01  0.809626E-01  0.216073E-01   0.00000       0.00000       0.00000      0.216073E-01
  0.151672E-02   1.76425      0.820680E-01  0.440656E-01  0.220328E-01  0.104101      0.600352E-01  -.600352E-01  0.126134      0.220328E-01  0.820680E-01  0.220328E-01   0.00000       0.00000       0.00000      0.220328E-01
  0.157029E-02   1.80219      0.832106E-01  0.449982E-01  0.224991E-01  0.105710      0.607115E-01  -.607115E-01  0.128209      0.224991E-01  0.832106E-01  0.224991E-01   0.00000       0.00000       0.00000      0.224991E-01
  0.162576E-02   1.84260      0.844017E-01  0.460376E-01  0.230188E-01  0.107421      0.613829E-01  -.613829E-01  0.130439      0.230188E-01  0.844017E-01  0.230188E-01   0.00000       0.00000       0.00000      0.230188E-01
  0.168318E-02   1.88301      0.855929E-01  0.470770E-01  0.235385E-01  0.109131      0.620544E-01  -.620544E-01  0.132670      0.235385E-01  0.855929E-01  0.235385E-01   0.00000       0.00000       0.00000      0.235385E-01
  0.174263E-02   1.92341      0.867841E-01  0.481164E-01  0.240582E-01  0.110842      0.627259E-01  -.627259E-01  0.134900      0.240582E-01  0.867841E-01  0.240582E-01   0.00000       0.00000       0.00000      0.240582E-01
  0.180419E-02   1.96382      0.879752E-01  0.491558E-01  0.245779E-01  0.112553      0.633973E-01  -.633973E-01  0.137131      0.245779E-01  0.879752E-01  0.245779E-01   0.00000       0.00000       0.00000      0.245779E-01
  0.186791E-02   2.00423      0.891664E-01  0.501952E-01  0.250976E-01  0.114264      0.640688E-01  -.640688E-01  0.139362      0.250976E-01  0.891664E-01  0.250976E-01   0.00000       0.00000       0.00000      0.250976E-01
  0.193389E-02   2.04464      0.903576E-01  0.512346E-01  0.256173E-01  0.115975      0.647403E-01  -.647403E-01  0.141592      0.256173E-01  0.903576E-01  0.256173E-01   0.00000       0.00000       0.00000      0.256173E-01
  0.200220E-02   2.08504      0.915488E-01  0.522740E-01  0.261370E-01  0.117686      0.654118E-01  -.654118E-01  0.143823      0.261370E-01  0.915488E-01  0.261370E-01   0.00000       0.00000       0.00000      0.261370E-01
  0.207292E-02   2.12545      0.927399E-01  0.533134E-01  0.266567E-01  0.119397      0.660832E-01  -.660832E-01  0.146053      0.266567E-01  0.927399E-01  0.266567E-01   0.00000       0.00000       0.00000      0.266567E-01
  0.214614E-02   2.16861      0.940378E-01  0.545557E-01  0.272778E-01  0.121316      0.667600E-01  -.667600E-01  0.148593      0.272778E-01  0.940378E-01  0.272778E-01   0.00000       0.00000       0.00000      0.272778E-01
  0.222195E-02   2.21189      0.953403E-01  0.558066E-01  0.279033E-01  0.123244      0.674370E-01  -.674370E-01  0.151147      0.279033E-01  0.953403E-01  0.279033E-01   0.00000       0.00000       0.00000      0.279033E-01
  0.230043E-02   2.25517      0.966427E-01  0.570575E-01  0.285288E-01  0.125171      0.681140E-01  -.681140E-01  0.153700      0.285288E-01  0.966427E-01  0.285288E-01   0.00000       0.00000       0.00000      0.285288E-01
  0.238169E-02   2.29845      0.979452E-01  0.583085E-01  0.291542E-01  0.127099      0.687910E-01  -.687910E-01  0.156254      0.291542E-01  0.979452E-01  0.291542E-01   0.00000       0.00000       0.00000      0.291542E-01
  0.246581E-02   2.34173      0.992476E-01  0.595594E-01  0.297797E-01  0.129027      0.694679E-01  -.694679E-01  0.158807      0.297797E-01  0.992476E-01  0.297797E-01   0.00000       0.00000       0.00000      0.297797E-01
  0.255291E-02   2.38501      0.100550      0.608103E-01  0.304052E-01  0.130955      0.701449E-01  -.701449E-01  0.161360      0.304052E-01  0.100550      0.304052E-01   0.00000       0.00000       0.00000      0.304052E-01
  0.264308E-02   2.42828      0.101853      0.620612E-01  0.310306E-01  0.132883      0.708219E-01  -.708219E-01  0.163914      0.310306E-01  0.101853      0.310306E-01   0.00000       0.00000       0.00000      0.310306E-01
  0.273644E-02   2.47156      0.103155      0.633122E-01  0.316561E-01  0.134811      0.714989E-01  -.714989E-01  0.166467      0.316561E-01  0.103155      0.316561E-01   0.00000       0.00000       0.00000      0.316561E-01
  0.283310E-02   2.51480      0.104517      0.646828E-01  0.323414E-01  0.136858      0.721755E-01  -.721755E-01  0.169200      0.323414E-01  0.104517      0.323414E-01   0.00000       0.00000       0.00000      0.323414E-01
  0.293317E-02   2.55800      0.105942      0.661807E-01  0.330903E-01  0.139032      0.728517E-01  -.728517E-01  0.172123      0.330903E-01  0.105942      0.330903E-01   0.00000       0.00000       0.00000      0.330903E-01
  0.303677E-02   2.60120      0.107367      0.676785E-01  0.338393E-01  0.141206      0.735279E-01  -.735279E-01  0.175046      0.338393E-01  0.107367      0.338393E-01   0.00000       0.00000       0.00000      0.338393E-01
  0.314404E-02   2.64439      0.108792      0.691764E-01  0.345882E-01  0.143380      0.742041E-01  -.742041E-01  0.177969      0.345882E-01  0.108792      0.345882E-01   0.00000       0.00000       0.00000      0.345882E-01
  0.325509E-02   2.68759      0.110217      0.706742E-01  0.353371E-01  0.145554      0.748803E-01  -.748803E-01  0.180892      0.353371E-01  0.110217      0.353371E-01   0.00000       0.00000       0.00000      0.353371E-01
  0.337006E-02   2.73079      0.111643      0.721721E-01  0.360860E-01  0.147729      0.755565E-01  -.755565E-01  0.183815      0.360860E-01  0.111643      0.360860E-01   0.00000       0.00000       0.00000      0.360860E-01
  0.348910E-02   2.77398      0.113068      0.736699E-01  0.368350E-01  0.149903      0.762327E-01  -.762327E-01  0.186738      0.368350E-01  0.113068      0.368350E-01   0.00000       0.00000       0.00000      0.368350E-01
  0.361234E-02   2.81718      0.114493      0.751677E-01  0.375839E-01  0.152077      0.769089E-01  -.769089E-01  0.189660      0.375839E-01  0.114493      0.375839E-01   0.00000       0.00000       0.00000      0.375839E-01
  0.373994E-02   2.86033      0.115919      0.766687E-01  0.383343E-01  0.154254      0.775849E-01  -.775849E-01  0.192588      0.383343E-01  0.115919      0.383343E-01   0.00000       0.00000       0.00000      0.383343E-01
