   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.65733      0.181389E-01  0.207595E-01  0.103798E-01  0.285187E-01  0.775920E-02  -.775920E-02  0.388985E-01  0.103798E-01  0.181389E-01  0.103798E-01   0.00000       0.00000       0.00000      0.103798E-01
  0.103532E-02   5.58322      0.185947E-01  0.212772E-01  0.106386E-01  0.292332E-01  0.795609E-02  -.795609E-02  0.398718E-01  0.106386E-01  0.185947E-01  0.106386E-01   0.00000       0.00000       0.00000      0.106386E-01
  0.107189E-02   5.50910      0.190504E-01  0.217948E-01  0.108974E-01  0.299478E-01  0.815298E-02  -.815298E-02  0.408452E-01  0.108974E-01  0.190504E-01  0.108974E-01   0.00000       0.00000       0.00000      0.108974E-01
  0.110975E-02   5.43499      0.195061E-01  0.223125E-01  0.111562E-01  0.306623E-01  0.834987E-02  -.834987E-02  0.418186E-01  0.111562E-01  0.195061E-01  0.111562E-01   0.00000       0.00000       0.00000      0.111562E-01
  0.114895E-02   5.36088      0.199618E-01  0.228301E-01  0.114151E-01  0.313769E-01  0.854676E-02  -.854676E-02  0.427919E-01  0.114151E-01  0.199618E-01  0.114151E-01   0.00000       0.00000       0.00000      0.114151E-01
  0.118953E-02   5.29368      0.205151E-01  0.234567E-01  0.117284E-01  0.322435E-01  0.878678E-02  -.878678E-02  0.439719E-01  0.117284E-01  0.205151E-01  0.117284E-01   0.00000       0.00000       0.00000      0.117284E-01
  0.123155E-02   5.22719      0.210784E-01  0.240944E-01  0.120472E-01  0.331256E-01  0.903119E-02  -.903119E-02  0.451728E-01  0.120472E-01  0.210784E-01  0.120472E-01   0.00000       0.00000       0.00000      0.120472E-01
  0.127505E-02   5.16069      0.216417E-01  0.247321E-01  0.123661E-01  0.340077E-01  0.927559E-02  -.927559E-02  0.463738E-01  0.123661E-01  0.216417E-01  0.123661E-01   0.00000       0.00000       0.00000      0.123661E-01
  0.132009E-02   5.09420      0.222049E-01  0.253698E-01  0.126849E-01  0.348898E-01  0.952000E-02  -.952000E-02  0.475747E-01  0.126849E-01  0.222049E-01  0.126849E-01   0.00000       0.00000       0.00000      0.126849E-01
  0.136672E-02   5.02771      0.227682E-01  0.260075E-01  0.130038E-01  0.357719E-01  0.976441E-02  -.976441E-02  0.487757E-01  0.130038E-01  0.227682E-01  0.130038E-01   0.00000       0.00000       0.00000      0.130038E-01
