   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.7559      0.812010      0.905756      0.797721      0.920045      0.142895E-01  -.142895E-01   1.71777      0.413246      0.427536      0.413366      0.384474      0.791429E-01   0.00000      0.413366    
  0.103532E-02   12.5724      0.801089      0.893521      0.786472      0.908138      0.146171E-01  -.146171E-01   1.69461      0.407766      0.422383      0.407887      0.378706      0.778679E-01   0.00000      0.407887    
  0.107189E-02   12.3889      0.790168      0.881286      0.775223      0.896230      0.149446E-01  -.149446E-01   1.67145      0.402285      0.417230      0.402407      0.372938      0.765929E-01   0.00000      0.402407    
  0.110975E-02   12.2053      0.779247      0.869051      0.763974      0.884323      0.152722E-01  -.152722E-01   1.64830      0.396805      0.412077      0.396928      0.367170      0.753179E-01   0.00000      0.396928    
  0.114895E-02   12.0218      0.768326      0.856815      0.752726      0.872415      0.155997E-01  -.155997E-01   1.62514      0.391324      0.406924      0.391448      0.361402      0.740429E-01   0.00000      0.391448    
  0.118953E-02   11.8552      0.758583      0.845899      0.742593      0.861889      0.159898E-01  -.159898E-01   1.60448      0.386441      0.402430      0.386566      0.356153      0.728925E-01   0.00000      0.386566    
  0.123155E-02   11.6903      0.748961      0.835117      0.732575      0.851503      0.163862E-01  -.163862E-01   1.58408      0.381618      0.398004      0.381744      0.350957      0.717547E-01   0.00000      0.381744    
  0.127505E-02   11.5253      0.739339      0.824334      0.722556      0.841117      0.167826E-01  -.167826E-01   1.56367      0.376795      0.393578      0.376922      0.345761      0.706170E-01   0.00000      0.376922    
  0.132009E-02   11.3604      0.729716      0.813552      0.712537      0.830731      0.171791E-01  -.171791E-01   1.54327      0.371972      0.389151      0.372100      0.340565      0.694792E-01   0.00000      0.372100    
  0.136672E-02   11.1955      0.720094      0.802769      0.702518      0.820345      0.175755E-01  -.175755E-01   1.52286      0.367149      0.384725      0.367279      0.335369      0.683415E-01   0.00000      0.367279    
  0.141499E-02   11.0306      0.710472      0.791987      0.692500      0.809959      0.179719E-01  -.179719E-01   1.50246      0.362327      0.380299      0.362457      0.330173      0.672037E-01   0.00000      0.362457    
  0.146497E-02   10.8657      0.700849      0.781205      0.682481      0.799573      0.183683E-01  -.183683E-01   1.48205      0.357504      0.375872      0.357635      0.324977      0.660659E-01   0.00000      0.357635    
  0.151672E-02   10.7008      0.691227      0.770422      0.672462      0.789187      0.187648E-01  -.187648E-01   1.46165      0.352681      0.371446      0.352813      0.319781      0.649282E-01   0.00000      0.352813    
  0.157029E-02   10.5431      0.682129      0.760223      0.662932      0.779420      0.191970E-01  -.191970E-01   1.44235      0.348123      0.367320      0.348256      0.314809      0.638438E-01   0.00000      0.348256    
  0.162576E-02   10.3950      0.673717      0.750787      0.654041      0.770463      0.196761E-01  -.196761E-01   1.42450      0.343912      0.363588      0.344046      0.310129      0.628293E-01   0.00000      0.344046    
