   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.81174      0.209104E-01  0.188727E-01  0.943635E-02  0.303467E-01  0.114740E-01  -.114740E-01  0.397831E-01  0.943635E-02  0.209104E-01  0.943635E-02   0.00000       0.00000       0.00000      0.943635E-02
  0.103532E-02   5.73676      0.214056E-01  0.193458E-01  0.967291E-02  0.310785E-01  0.117327E-01  -.117327E-01  0.407514E-01  0.967291E-02  0.214056E-01  0.967291E-02   0.00000       0.00000       0.00000      0.967291E-02
  0.107189E-02   5.66178      0.219008E-01  0.198189E-01  0.990946E-02  0.318102E-01  0.119913E-01  -.119913E-01  0.417197E-01  0.990946E-02  0.219008E-01  0.990946E-02   0.00000       0.00000       0.00000      0.990946E-02
  0.110975E-02   5.58680      0.223960E-01  0.202920E-01  0.101460E-01  0.325420E-01  0.122500E-01  -.122500E-01  0.426880E-01  0.101460E-01  0.223960E-01  0.101460E-01   0.00000       0.00000       0.00000      0.101460E-01
  0.114895E-02   5.51183      0.228912E-01  0.207652E-01  0.103826E-01  0.332738E-01  0.125086E-01  -.125086E-01  0.436563E-01  0.103826E-01  0.228912E-01  0.103826E-01   0.00000       0.00000       0.00000      0.103826E-01
  0.118953E-02   5.44365      0.234858E-01  0.213379E-01  0.106690E-01  0.341548E-01  0.128168E-01  -.128168E-01  0.448237E-01  0.106690E-01  0.234858E-01  0.106690E-01   0.00000       0.00000       0.00000      0.106690E-01
  0.123155E-02   5.37616      0.240905E-01  0.219208E-01  0.109604E-01  0.350509E-01  0.131301E-01  -.131301E-01  0.460113E-01  0.109604E-01  0.240905E-01  0.109604E-01   0.00000       0.00000       0.00000      0.109604E-01
  0.127505E-02   5.30868      0.246952E-01  0.225037E-01  0.112519E-01  0.359471E-01  0.134434E-01  -.134434E-01  0.471990E-01  0.112519E-01  0.246952E-01  0.112519E-01   0.00000       0.00000       0.00000      0.112519E-01
  0.132009E-02   5.24119      0.253000E-01  0.230866E-01  0.115433E-01  0.368433E-01  0.137566E-01  -.137566E-01  0.483866E-01  0.115433E-01  0.253000E-01  0.115433E-01   0.00000       0.00000       0.00000      0.115433E-01
  0.136672E-02   5.17371      0.259047E-01  0.236695E-01  0.118348E-01  0.377395E-01  0.140699E-01  -.140699E-01  0.495742E-01  0.118348E-01  0.259047E-01  0.118348E-01   0.00000       0.00000       0.00000      0.118348E-01
  0.141499E-02   5.10623      0.265094E-01  0.242524E-01  0.121262E-01  0.386356E-01  0.143832E-01  -.143832E-01  0.507619E-01  0.121262E-01  0.265094E-01  0.121262E-01   0.00000       0.00000       0.00000      0.121262E-01
  0.146497E-02   5.03874      0.271141E-01  0.248354E-01  0.124177E-01  0.395318E-01  0.146965E-01  -.146965E-01  0.519495E-01  0.124177E-01  0.271141E-01  0.124177E-01   0.00000       0.00000       0.00000      0.124177E-01
  0.151672E-02   4.97126      0.277189E-01  0.254183E-01  0.127091E-01  0.404280E-01  0.150097E-01  -.150097E-01  0.531371E-01  0.127091E-01  0.277189E-01  0.127091E-01   0.00000       0.00000       0.00000      0.127091E-01
  0.157029E-02   4.90667      0.283813E-01  0.260593E-01  0.130297E-01  0.414109E-01  0.153516E-01  -.153516E-01  0.544406E-01  0.130297E-01  0.283813E-01  0.130297E-01   0.00000       0.00000       0.00000      0.130297E-01
  0.162576E-02   4.84588      0.291191E-01  0.267764E-01  0.133882E-01  0.425073E-01  0.157310E-01  -.157310E-01  0.558955E-01  0.133882E-01  0.291191E-01  0.133882E-01   0.00000       0.00000       0.00000      0.133882E-01
  0.168318E-02   4.78509      0.298570E-01  0.274934E-01  0.137467E-01  0.436037E-01  0.161103E-01  -.161103E-01  0.573504E-01  0.137467E-01  0.298570E-01  0.137467E-01   0.00000       0.00000       0.00000      0.137467E-01
