   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   11.9826      0.784831      0.895240      0.770881      0.909190      0.139500E-01  -.139500E-01   1.68007      0.410173      0.424123      0.410292      0.360708      0.747754E-01   0.00000      0.410292    
  0.103532E-02   11.8107      0.774515      0.883552      0.760247      0.897820      0.142681E-01  -.142681E-01   1.65807      0.404927      0.419195      0.405047      0.355321      0.735782E-01   0.00000      0.405047    
  0.107189E-02   11.6387      0.764200      0.871863      0.749613      0.886449      0.145863E-01  -.145863E-01   1.63606      0.399680      0.414266      0.399801      0.349933      0.723810E-01   0.00000      0.399801    
  0.110975E-02   11.4668      0.753884      0.860174      0.738980      0.875078      0.149044E-01  -.149044E-01   1.61406      0.394434      0.409338      0.394556      0.344546      0.711839E-01   0.00000      0.394556    
  0.114895E-02   11.2949      0.743568      0.848485      0.728346      0.863708      0.152226E-01  -.152226E-01   1.59205      0.389188      0.404410      0.389311      0.339158      0.699867E-01   0.00000      0.389311    
  0.118953E-02   11.1388      0.734332      0.837979      0.718731      0.853580      0.156012E-01  -.156012E-01   1.57231      0.384474      0.400075      0.384598      0.334257      0.689064E-01   0.00000      0.384598    
  0.123155E-02   10.9843      0.725206      0.827592      0.709220      0.843578      0.159860E-01  -.159860E-01   1.55280      0.379814      0.395800      0.379940      0.329406      0.678381E-01   0.00000      0.379940    
  0.127505E-02   10.8299      0.716080      0.817206      0.699709      0.833576      0.163708E-01  -.163708E-01   1.53329      0.375155      0.391525      0.375281      0.324555      0.667697E-01   0.00000      0.375281    
  0.132009E-02   10.6754      0.706954      0.806819      0.690199      0.823575      0.167555E-01  -.167555E-01   1.51377      0.370495      0.387251      0.370623      0.319703      0.657014E-01   0.00000      0.370623    
  0.136672E-02   10.5210      0.697828      0.796433      0.680688      0.813573      0.171403E-01  -.171403E-01   1.49426      0.365836      0.382976      0.365964      0.314852      0.646330E-01   0.00000      0.365964    
  0.141499E-02   10.3665      0.688702      0.786046      0.671177      0.803571      0.175251E-01  -.175251E-01   1.47475      0.361176      0.378701      0.361306      0.310001      0.635646E-01   0.00000      0.361306    
  0.146497E-02   10.2120      0.679576      0.775660      0.661666      0.793570      0.179099E-01  -.179099E-01   1.45524      0.356517      0.374426      0.356647      0.305150      0.624963E-01   0.00000      0.356647    
  0.151672E-02   10.0576      0.670450      0.765274      0.652155      0.783568      0.182947E-01  -.182947E-01   1.43572      0.351857      0.370152      0.351989      0.300298      0.614279E-01   0.00000      0.351989    
  0.157029E-02   9.90992      0.661801      0.755402      0.643087      0.774116      0.187141E-01  -.187141E-01   1.41720      0.347430      0.366144      0.347562      0.295657      0.604097E-01   0.00000      0.347562    
  0.162576E-02   9.77119      0.653775      0.746204      0.634596      0.765383      0.191789E-01  -.191789E-01   1.39998      0.343307      0.362486      0.343440      0.291289      0.594570E-01   0.00000      0.343440    
  0.168318E-02   9.63246      0.645748      0.737006      0.626105      0.756649      0.196437E-01  -.196437E-01   1.38275      0.339183      0.358827      0.339318      0.286921      0.585044E-01   0.00000      0.339318    
  0.174263E-02   9.49373      0.637722      0.727807      0.617614      0.747916      0.201085E-01  -.201085E-01   1.36553      0.335060      0.355169      0.335195      0.282554      0.575517E-01   0.00000      0.335195    
  0.180419E-02   9.35500      0.629696      0.718609      0.609123      0.739182      0.205733E-01  -.205733E-01   1.34831      0.330937      0.351510      0.331073      0.278186      0.565990E-01   0.00000      0.331073    
  0.186791E-02   9.21627      0.621670      0.709411      0.600632      0.730449      0.210381E-01  -.210381E-01   1.33108      0.326814      0.347852      0.326951      0.273818      0.556463E-01   0.00000      0.326951    
  0.193389E-02   9.07754      0.613644      0.700213      0.592141      0.721716      0.215029E-01  -.215029E-01   1.31386      0.322691      0.344193      0.322828      0.269450      0.546937E-01   0.00000      0.322828    
  0.200220E-02   8.93881      0.605618      0.691014      0.583650      0.712982      0.219677E-01  -.219677E-01   1.29663      0.318567      0.340535      0.318706      0.265083      0.537410E-01   0.00000      0.318706    
  0.207292E-02   8.80009      0.597592      0.681816      0.575159      0.704249      0.224324E-01  -.224324E-01   1.27941      0.314444      0.336877      0.314584      0.260715      0.527883E-01   0.00000      0.314584    
  0.214614E-02   8.67494      0.590550      0.673665      0.567560      0.696654      0.229891E-01  -.229891E-01   1.26421      0.310795      0.333784      0.310935      0.256766      0.519353E-01   0.00000      0.310935    
  0.222195E-02   8.55036      0.583549      0.665559      0.560000      0.689108      0.235498E-01  -.235498E-01   1.24911      0.307166      0.330715      0.307307      0.252834      0.510865E-01   0.00000      0.307307    
  0.230043E-02   8.42579      0.576549      0.657452      0.552439      0.681563      0.241104E-01  -.241104E-01   1.23400      0.303536      0.327647      0.303678      0.248903      0.502376E-01   0.00000      0.303678    
