   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.4640      0.844507      0.931752      0.825875      0.950384      0.186317E-01  -.186317E-01   1.77626      0.425446      0.444078      0.425567      0.400429      0.807388E-01   0.00000      0.425567    
  0.103532E-02   13.2560      0.832208      0.917874      0.813188      0.936894      0.190205E-01  -.190205E-01   1.75008      0.419194      0.438215      0.419316      0.393993      0.793637E-01   0.00000      0.419316    
  0.107189E-02   13.0480      0.819909      0.903996      0.800500      0.923405      0.194093E-01  -.194093E-01   1.72390      0.412942      0.432352      0.413065      0.387558      0.779885E-01   0.00000      0.413065    
  0.110975E-02   12.8400      0.807611      0.890117      0.787812      0.909916      0.197981E-01  -.197981E-01   1.69773      0.406690      0.426489      0.406814      0.381122      0.766134E-01   0.00000      0.406814    
  0.114895E-02   12.6320      0.795312      0.876239      0.775125      0.896426      0.201869E-01  -.201869E-01   1.67155      0.400438      0.420625      0.400563      0.374687      0.752382E-01   0.00000      0.400563    
  0.118953E-02   12.4449      0.784422      0.863920      0.763780      0.884562      0.206421E-01  -.206421E-01   1.64834      0.394893      0.415536      0.395019      0.368886      0.740079E-01   0.00000      0.395019    
  0.123155E-02   12.2599      0.773675      0.851759      0.752571      0.872863      0.211041E-01  -.211041E-01   1.62543      0.389420      0.410525      0.389546      0.363150      0.727923E-01   0.00000      0.389546    
  0.127505E-02   12.0749      0.762928      0.839598      0.741362      0.861164      0.215661E-01  -.215661E-01   1.60253      0.383947      0.405513      0.384074      0.357415      0.715768E-01   0.00000      0.384074    
  0.132009E-02   11.8899      0.752181      0.827438      0.730153      0.849466      0.220281E-01  -.220281E-01   1.57962      0.378474      0.400502      0.378602      0.351679      0.703612E-01   0.00000      0.378602    
  0.136672E-02   11.7049      0.741434      0.815277      0.718944      0.837767      0.224900E-01  -.224900E-01   1.55671      0.373001      0.395491      0.373130      0.345943      0.691457E-01   0.00000      0.373130    
  0.141499E-02   11.5199      0.730687      0.803116      0.707735      0.826068      0.229520E-01  -.229520E-01   1.53380      0.367528      0.390480      0.367658      0.340207      0.679301E-01   0.00000      0.367658    
  0.146497E-02   11.3349      0.719941      0.790955      0.696527      0.814369      0.234140E-01  -.234140E-01   1.51090      0.362055      0.385469      0.362186      0.334471      0.667145E-01   0.00000      0.362186    
  0.151672E-02   11.1499      0.709194      0.778795      0.685318      0.802671      0.238759E-01  -.238759E-01   1.48799      0.356582      0.380458      0.356713      0.328736      0.654990E-01   0.00000      0.356713    
  0.157029E-02   10.9738      0.699064      0.767313      0.674688      0.791688      0.243752E-01  -.243752E-01   1.46638      0.351418      0.375793      0.351550      0.323270      0.643449E-01   0.00000      0.351550    
  0.162576E-02   10.8093      0.689740      0.756719      0.664816      0.781643      0.249233E-01  -.249233E-01   1.44646      0.346658      0.371581      0.346790      0.318159      0.632712E-01   0.00000      0.346790    
  0.168318E-02   10.6449      0.680416      0.746126      0.654945      0.771597      0.254713E-01  -.254713E-01   1.42654      0.341897      0.367369      0.342031      0.313047      0.621975E-01   0.00000      0.342031    
  0.174263E-02   10.4804      0.671092      0.735532      0.645073      0.761551      0.260194E-01  -.260194E-01   1.40662      0.337137      0.363156      0.337271      0.307936      0.611238E-01   0.00000      0.337271    
  0.180419E-02   10.3159      0.661768      0.724938      0.635201      0.751506      0.265674E-01  -.265674E-01   1.38671      0.332377      0.358944      0.332511      0.302824      0.600501E-01   0.00000      0.332511    
  0.186791E-02   10.1514      0.652444      0.714344      0.625329      0.741460      0.271155E-01  -.271155E-01   1.36679      0.327616      0.354732      0.327752      0.297713      0.589763E-01   0.00000      0.327752    
