   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   11.9817      0.784794      0.895214      0.770844      0.909164      0.139503E-01  -.139503E-01   1.68001      0.410162      0.424112      0.410281      0.360682      0.747713E-01   0.00000      0.410281    
  0.103532E-02   11.8098      0.774480      0.883527      0.760211      0.897795      0.142684E-01  -.142684E-01   1.65801      0.404916      0.419185      0.405036      0.355295      0.735742E-01   0.00000      0.405036    
  0.107189E-02   11.6378      0.764165      0.871839      0.749579      0.886426      0.145866E-01  -.145866E-01   1.63600      0.399670      0.414257      0.399792      0.349909      0.723772E-01   0.00000      0.399792    
  0.110975E-02   11.4659      0.753851      0.860152      0.738946      0.875056      0.149047E-01  -.149047E-01   1.61400      0.394425      0.409329      0.394547      0.344522      0.711801E-01   0.00000      0.394547    
  0.114895E-02   11.2940      0.743537      0.848464      0.728314      0.863687      0.152229E-01  -.152229E-01   1.59200      0.389179      0.404402      0.389302      0.339135      0.699830E-01   0.00000      0.389302    
  0.118953E-02   11.1380      0.734302      0.837959      0.718700      0.853560      0.156015E-01  -.156015E-01   1.57226      0.384466      0.400067      0.384590      0.334235      0.689029E-01   0.00000      0.384590    
  0.123155E-02   10.9835      0.725177      0.827573      0.709190      0.843560      0.159863E-01  -.159863E-01   1.55275      0.379807      0.395793      0.379932      0.329384      0.678346E-01   0.00000      0.379932    
  0.127505E-02   10.8291      0.716052      0.817188      0.699681      0.833559      0.163711E-01  -.163711E-01   1.53324      0.375148      0.391519      0.375274      0.324533      0.667663E-01   0.00000      0.375274    
  0.132009E-02   10.6746      0.706927      0.806803      0.690171      0.823558      0.167559E-01  -.167559E-01   1.51373      0.370488      0.387244      0.370616      0.319682      0.656981E-01   0.00000      0.370616    
  0.136672E-02   10.5202      0.697802      0.796417      0.680661      0.813558      0.171406E-01  -.171406E-01   1.49422      0.365829      0.382970      0.365958      0.314832      0.646298E-01   0.00000      0.365958    
  0.141499E-02   10.3657      0.688677      0.786032      0.671151      0.803557      0.175254E-01  -.175254E-01   1.47471      0.361170      0.378696      0.361300      0.309981      0.635615E-01   0.00000      0.361300    
  0.146497E-02   10.2113      0.679552      0.775646      0.661641      0.793557      0.179102E-01  -.179102E-01   1.45520      0.356511      0.374422      0.356642      0.305130      0.624933E-01   0.00000      0.356642    
  0.151672E-02   10.0569      0.670427      0.765261      0.652132      0.783556      0.182950E-01  -.182950E-01   1.43569      0.351852      0.370147      0.351984      0.300279      0.614250E-01   0.00000      0.351984    
  0.157029E-02   9.90924      0.661778      0.755391      0.643064      0.774105      0.187145E-01  -.187145E-01   1.41717      0.347426      0.366140      0.347558      0.295638      0.604069E-01   0.00000      0.347558    
  0.162576E-02   9.77052      0.653753      0.746193      0.634574      0.765373      0.191793E-01  -.191793E-01   1.39995      0.343303      0.362482      0.343436      0.291271      0.594543E-01   0.00000      0.343436    
  0.168318E-02   9.63181      0.645728      0.736996      0.626084      0.756640      0.196440E-01  -.196440E-01   1.38272      0.339180      0.358824      0.339314      0.286904      0.585017E-01   0.00000      0.339314    
  0.174263E-02   9.49310      0.637702      0.727799      0.617594      0.747907      0.201088E-01  -.201088E-01   1.36550      0.335057      0.355166      0.335192      0.282536      0.575491E-01   0.00000      0.335192    
  0.180419E-02   9.35438      0.629677      0.718601      0.609104      0.739175      0.205736E-01  -.205736E-01   1.34828      0.330934      0.351508      0.331070      0.278169      0.565965E-01   0.00000      0.331070    
  0.186791E-02   9.21567      0.621652      0.709404      0.600613      0.730442      0.210384E-01  -.210384E-01   1.33106      0.326811      0.347850      0.326948      0.273802      0.556439E-01   0.00000      0.326948    
  0.193389E-02   9.07696      0.613627      0.700207      0.592123      0.721710      0.215032E-01  -.215032E-01   1.31383      0.322689      0.344192      0.322827      0.269435      0.546913E-01   0.00000      0.322827    
  0.200220E-02   8.93825      0.605601      0.691009      0.583633      0.712977      0.219680E-01  -.219680E-01   1.29661      0.318566      0.340534      0.318705      0.265067      0.537387E-01   0.00000      0.318705    
  0.207292E-02   8.79953      0.597576      0.681812      0.575143      0.704245      0.224328E-01  -.224328E-01   1.27939      0.314443      0.336876      0.314583      0.260700      0.527861E-01   0.00000      0.314583    
  0.214614E-02   8.67440      0.590535      0.673662      0.567545      0.696651      0.229895E-01  -.229895E-01   1.26420      0.310794      0.333783      0.310934      0.256751      0.519331E-01   0.00000      0.310934    
  0.222195E-02   8.54984      0.583535      0.665556      0.559985      0.689106      0.235501E-01  -.235501E-01   1.24909      0.307165      0.330715      0.307306      0.252820      0.510843E-01   0.00000      0.307306    
  0.230043E-02   8.42528      0.576536      0.657450      0.552425      0.681561      0.241107E-01  -.241107E-01   1.23399      0.303536      0.327647      0.303678      0.248889      0.502356E-01   0.00000      0.303678    
  0.238169E-02   8.30072      0.569537      0.649344      0.544865      0.674016      0.246713E-01  -.246713E-01   1.21888      0.299907      0.324579      0.300050      0.244958      0.493868E-01   0.00000      0.300050    
  0.246581E-02   8.17616      0.562537      0.641239      0.537305      0.666471      0.252319E-01  -.252319E-01   1.20378      0.296279      0.321511      0.296422      0.241027      0.485381E-01   0.00000      0.296422    
  0.255291E-02   8.05161      0.555538      0.633133      0.529745      0.658926      0.257926E-01  -.257926E-01   1.18867      0.292650      0.318442      0.292794      0.237095      0.476893E-01   0.00000      0.292794    
  0.264308E-02   7.92705      0.548538      0.625027      0.522185      0.651380      0.263532E-01  -.263532E-01   1.17357      0.289021      0.315374      0.289166      0.233164      0.468406E-01   0.00000      0.289166    
