   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  0.701280      0.146186E-01  0.357983E-02  0.178991E-02  0.164086E-01  0.128287E-01  -.128287E-01  0.181985E-01  0.178991E-02  0.146186E-01  0.178991E-02   0.00000       0.00000       0.00000      0.178991E-02
  0.103532E-02  0.719895      0.149690E-01  0.371428E-02  0.185714E-02  0.168261E-01  0.131118E-01  -.131118E-01  0.186833E-01  0.185714E-02  0.149690E-01  0.185714E-02   0.00000       0.00000       0.00000      0.185714E-02
  0.107189E-02  0.738510      0.153193E-01  0.384873E-02  0.192436E-02  0.172437E-01  0.133950E-01  -.133950E-01  0.191680E-01  0.192436E-02  0.153193E-01  0.192436E-02   0.00000       0.00000       0.00000      0.192436E-02
  0.110975E-02  0.757126      0.156697E-01  0.398318E-02  0.199159E-02  0.176612E-01  0.136781E-01  -.136781E-01  0.196528E-01  0.199159E-02  0.156697E-01  0.199159E-02   0.00000       0.00000       0.00000      0.199159E-02
  0.114895E-02  0.775741      0.160200E-01  0.411763E-02  0.205881E-02  0.180788E-01  0.139612E-01  -.139612E-01  0.201376E-01  0.205881E-02  0.160200E-01  0.205881E-02   0.00000       0.00000       0.00000      0.205881E-02
  0.118953E-02  0.798201      0.164461E-01  0.429790E-02  0.214895E-02  0.185951E-01  0.142972E-01  -.142972E-01  0.207440E-01  0.214895E-02  0.164461E-01  0.214895E-02   0.00000       0.00000       0.00000      0.214895E-02
  0.123155E-02  0.821053      0.168799E-01  0.448283E-02  0.224141E-02  0.191213E-01  0.146385E-01  -.146385E-01  0.213628E-01  0.224141E-02  0.168799E-01  0.224141E-02   0.00000       0.00000       0.00000      0.224141E-02
  0.127505E-02  0.843905      0.173137E-01  0.466776E-02  0.233388E-02  0.196476E-01  0.149799E-01  -.149799E-01  0.219815E-01  0.233388E-02  0.173137E-01  0.233388E-02   0.00000       0.00000       0.00000      0.233388E-02
  0.132009E-02  0.866757      0.177476E-01  0.485269E-02  0.242635E-02  0.201739E-01  0.153212E-01  -.153212E-01  0.226002E-01  0.242635E-02  0.177476E-01  0.242635E-02   0.00000       0.00000       0.00000      0.242635E-02
  0.136672E-02  0.889609      0.181814E-01  0.503762E-02  0.251881E-02  0.207002E-01  0.156626E-01  -.156626E-01  0.232190E-01  0.251881E-02  0.181814E-01  0.251881E-02   0.00000       0.00000       0.00000      0.251881E-02
  0.141499E-02  0.912461      0.186152E-01  0.522255E-02  0.261128E-02  0.212265E-01  0.160039E-01  -.160039E-01  0.238377E-01  0.261128E-02  0.186152E-01  0.261128E-02   0.00000       0.00000       0.00000      0.261128E-02
  0.146497E-02  0.935313      0.190490E-01  0.540749E-02  0.270374E-02  0.217527E-01  0.163453E-01  -.163453E-01  0.244565E-01  0.270374E-02  0.190490E-01  0.270374E-02   0.00000       0.00000       0.00000      0.270374E-02
  0.151672E-02  0.958164      0.194828E-01  0.559242E-02  0.279621E-02  0.222790E-01  0.166866E-01  -.166866E-01  0.250752E-01  0.279621E-02  0.194828E-01  0.279621E-02   0.00000       0.00000       0.00000      0.279621E-02
  0.157029E-02  0.983120      0.199620E-01  0.580727E-02  0.290364E-02  0.228656E-01  0.170583E-01  -.170583E-01  0.257692E-01  0.290364E-02  0.199620E-01  0.290364E-02   0.00000       0.00000       0.00000      0.290364E-02
  0.162576E-02   1.01083      0.205004E-01  0.606124E-02  0.303062E-02  0.235310E-01  0.174697E-01  -.174697E-01  0.265616E-01  0.303062E-02  0.205004E-01  0.303062E-02   0.00000       0.00000       0.00000      0.303062E-02
  0.168318E-02   1.03853      0.210388E-01  0.631522E-02  0.315761E-02  0.241964E-01  0.178812E-01  -.178812E-01  0.273540E-01  0.315761E-02  0.210388E-01  0.315761E-02   0.00000       0.00000       0.00000      0.315761E-02
  0.174263E-02   1.06624      0.215772E-01  0.656919E-02  0.328460E-02  0.248618E-01  0.182926E-01  -.182926E-01  0.281464E-01  0.328460E-02  0.215772E-01  0.328460E-02   0.00000       0.00000       0.00000      0.328460E-02
  0.180419E-02   1.09394      0.221156E-01  0.682316E-02  0.341158E-02  0.255271E-01  0.187040E-01  -.187040E-01  0.289387E-01  0.341158E-02  0.221156E-01  0.341158E-02   0.00000       0.00000       0.00000      0.341158E-02
  0.186791E-02   1.12165      0.226540E-01  0.707714E-02  0.353857E-02  0.261925E-01  0.191154E-01  -.191154E-01  0.297311E-01  0.353857E-02  0.226540E-01  0.353857E-02   0.00000       0.00000       0.00000      0.353857E-02
  0.193389E-02   1.14936      0.231924E-01  0.733111E-02  0.366556E-02  0.268579E-01  0.195268E-01  -.195268E-01  0.305235E-01  0.366556E-02  0.231924E-01  0.366556E-02   0.00000       0.00000       0.00000      0.366556E-02
  0.200220E-02   1.17706      0.237308E-01  0.758508E-02  0.379254E-02  0.275233E-01  0.199382E-01  -.199382E-01  0.313159E-01  0.379254E-02  0.237308E-01  0.379254E-02   0.00000       0.00000       0.00000      0.379254E-02
  0.207292E-02   1.20477      0.242692E-01  0.783906E-02  0.391953E-02  0.281887E-01  0.203496E-01  -.203496E-01  0.321082E-01  0.391953E-02  0.242692E-01  0.391953E-02   0.00000       0.00000       0.00000      0.391953E-02
  0.214614E-02   1.23757      0.249334E-01  0.818325E-02  0.409162E-02  0.290251E-01  0.208418E-01  -.208418E-01  0.331167E-01  0.409162E-02  0.249334E-01  0.409162E-02   0.00000       0.00000       0.00000      0.409162E-02
