   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.74909      0.213235E-01  0.288186E-01  0.144093E-01  0.357328E-01  0.691420E-02  -.691420E-02  0.501421E-01  0.144093E-01  0.213235E-01  0.144093E-01   0.00000       0.00000       0.00000      0.144093E-01
  0.103532E-02   4.68904      0.218404E-01  0.294905E-01  0.147452E-01  0.365856E-01  0.709515E-02  -.709515E-02  0.513309E-01  0.147452E-01  0.218404E-01  0.147452E-01   0.00000       0.00000       0.00000      0.147452E-01
  0.107189E-02   4.62900      0.223573E-01  0.301624E-01  0.150812E-01  0.374385E-01  0.727610E-02  -.727610E-02  0.525196E-01  0.150812E-01  0.223573E-01  0.150812E-01   0.00000       0.00000       0.00000      0.150812E-01
  0.110975E-02   4.56895      0.228742E-01  0.308342E-01  0.154171E-01  0.382913E-01  0.745705E-02  -.745705E-02  0.537084E-01  0.154171E-01  0.228742E-01  0.154171E-01   0.00000       0.00000       0.00000      0.154171E-01
  0.114895E-02   4.50891      0.233911E-01  0.315061E-01  0.157531E-01  0.391441E-01  0.763801E-02  -.763801E-02  0.548972E-01  0.157531E-01  0.233911E-01  0.157531E-01   0.00000       0.00000       0.00000      0.157531E-01
  0.118953E-02   4.45427      0.240144E-01  0.323088E-01  0.161544E-01  0.401688E-01  0.786000E-02  -.786000E-02  0.563232E-01  0.161544E-01  0.240144E-01  0.161544E-01   0.00000       0.00000       0.00000      0.161544E-01
  0.123155E-02   4.40018      0.246486E-01  0.331248E-01  0.165624E-01  0.412109E-01  0.808617E-02  -.808617E-02  0.577733E-01  0.165624E-01  0.246486E-01  0.165624E-01   0.00000       0.00000       0.00000      0.165624E-01
  0.127505E-02   4.34610      0.252827E-01  0.339407E-01  0.169704E-01  0.422531E-01  0.831235E-02  -.831235E-02  0.592234E-01  0.169704E-01  0.252827E-01  0.169704E-01   0.00000       0.00000       0.00000      0.169704E-01
  0.132009E-02   4.29201      0.259169E-01  0.347567E-01  0.173784E-01  0.432952E-01  0.853852E-02  -.853852E-02  0.606736E-01  0.173784E-01  0.259169E-01  0.173784E-01   0.00000       0.00000       0.00000      0.173784E-01
  0.136672E-02   4.23792      0.265510E-01  0.355727E-01  0.177863E-01  0.443374E-01  0.876469E-02  -.876469E-02  0.621237E-01  0.177863E-01  0.265510E-01  0.177863E-01   0.00000       0.00000       0.00000      0.177863E-01
  0.141499E-02   4.18384      0.271852E-01  0.363887E-01  0.181943E-01  0.453795E-01  0.899086E-02  -.899086E-02  0.635738E-01  0.181943E-01  0.271852E-01  0.181943E-01   0.00000       0.00000       0.00000      0.181943E-01
  0.146497E-02   4.12975      0.278193E-01  0.372046E-01  0.186023E-01  0.464217E-01  0.921704E-02  -.921704E-02  0.650240E-01  0.186023E-01  0.278193E-01  0.186023E-01   0.00000       0.00000       0.00000      0.186023E-01
  0.151672E-02   4.07567      0.284535E-01  0.380206E-01  0.190103E-01  0.474638E-01  0.944321E-02  -.944321E-02  0.664741E-01  0.190103E-01  0.284535E-01  0.190103E-01   0.00000       0.00000       0.00000      0.190103E-01
  0.157029E-02   4.02389      0.291495E-01  0.389114E-01  0.194557E-01  0.486052E-01  0.969384E-02  -.969384E-02  0.680609E-01  0.194557E-01  0.291495E-01  0.194557E-01   0.00000       0.00000       0.00000      0.194557E-01
  0.162576E-02   3.97515      0.299264E-01  0.399000E-01  0.199500E-01  0.498764E-01  0.997646E-02  -.997646E-02  0.698264E-01  0.199500E-01  0.299264E-01  0.199500E-01   0.00000       0.00000       0.00000      0.199500E-01
  0.168318E-02   3.92640      0.307034E-01  0.408886E-01  0.204443E-01  0.511476E-01  0.102591E-01  -.102591E-01  0.715919E-01  0.204443E-01  0.307034E-01  0.204443E-01   0.00000       0.00000       0.00000      0.204443E-01
  0.174263E-02   3.87766      0.314803E-01  0.418771E-01  0.209386E-01  0.524188E-01  0.105417E-01  -.105417E-01  0.733574E-01  0.209386E-01  0.314803E-01  0.209386E-01   0.00000       0.00000       0.00000      0.209386E-01
  0.180419E-02   3.82891      0.322572E-01  0.428657E-01  0.214329E-01  0.536900E-01  0.108243E-01  -.108243E-01  0.751229E-01  0.214329E-01  0.322572E-01  0.214329E-01   0.00000       0.00000       0.00000      0.214329E-01
  0.186791E-02   3.78017      0.330341E-01  0.438543E-01  0.219272E-01  0.549612E-01  0.111069E-01  -.111069E-01  0.768884E-01  0.219272E-01  0.330341E-01  0.219272E-01   0.00000       0.00000       0.00000      0.219272E-01
  0.193389E-02   3.73142      0.338110E-01  0.448429E-01  0.224214E-01  0.562325E-01  0.113896E-01  -.113896E-01  0.786539E-01  0.224214E-01  0.338110E-01  0.224214E-01   0.00000       0.00000       0.00000      0.224214E-01
  0.200220E-02   3.68268      0.345879E-01  0.458315E-01  0.229157E-01  0.575037E-01  0.116722E-01  -.116722E-01  0.804194E-01  0.229157E-01  0.345879E-01  0.229157E-01   0.00000       0.00000       0.00000      0.229157E-01
  0.207292E-02   3.63393      0.353648E-01  0.468201E-01  0.234100E-01  0.587749E-01  0.119548E-01  -.119548E-01  0.821849E-01  0.234100E-01  0.353648E-01  0.234100E-01   0.00000       0.00000       0.00000      0.234100E-01
  0.214614E-02   3.58977      0.363077E-01  0.480055E-01  0.240027E-01  0.603104E-01  0.123050E-01  -.123050E-01  0.843132E-01  0.240027E-01  0.363077E-01  0.240027E-01   0.00000       0.00000       0.00000      0.240027E-01
  0.222195E-02   3.54581      0.372576E-01  0.491993E-01  0.245996E-01  0.618572E-01  0.126580E-01  -.126580E-01  0.864569E-01  0.245996E-01  0.372576E-01  0.245996E-01   0.00000       0.00000       0.00000      0.245996E-01
  0.230043E-02   3.50184      0.382075E-01  0.503930E-01  0.251965E-01  0.634041E-01  0.130110E-01  -.130110E-01  0.886006E-01  0.251965E-01  0.382075E-01  0.251965E-01   0.00000       0.00000       0.00000      0.251965E-01
  0.238169E-02   3.45788      0.391575E-01  0.515868E-01  0.257934E-01  0.649509E-01  0.133640E-01  -.133640E-01  0.907443E-01  0.257934E-01  0.391575E-01  0.257934E-01   0.00000       0.00000       0.00000      0.257934E-01
  0.246581E-02   3.41391      0.401074E-01  0.527806E-01  0.263903E-01  0.664977E-01  0.137171E-01  -.137171E-01  0.928880E-01  0.263903E-01  0.401074E-01  0.263903E-01   0.00000       0.00000       0.00000      0.263903E-01
  0.255291E-02   3.36995      0.410573E-01  0.539744E-01  0.269872E-01  0.680445E-01  0.140701E-01  -.140701E-01  0.950317E-01  0.269872E-01  0.410573E-01  0.269872E-01   0.00000       0.00000       0.00000      0.269872E-01
  0.264308E-02   3.32598      0.420072E-01  0.551682E-01  0.275841E-01  0.695913E-01  0.144231E-01  -.144231E-01  0.971754E-01  0.275841E-01  0.420072E-01  0.275841E-01   0.00000       0.00000       0.00000      0.275841E-01
  0.273644E-02   3.28202      0.429572E-01  0.563620E-01  0.281810E-01  0.711381E-01  0.147762E-01  -.147762E-01  0.993191E-01  0.281810E-01  0.429572E-01  0.281810E-01   0.00000       0.00000       0.00000      0.281810E-01
  0.283310E-02   3.24013      0.440081E-01  0.576728E-01  0.288364E-01  0.728446E-01  0.151717E-01  -.151717E-01  0.101681      0.288364E-01  0.440081E-01  0.288364E-01   0.00000       0.00000       0.00000      0.288364E-01
  0.293317E-02   3.20043      0.451665E-01  0.591080E-01  0.295540E-01  0.747205E-01  0.156125E-01  -.156125E-01  0.104275      0.295540E-01  0.451665E-01  0.295540E-01   0.00000       0.00000       0.00000      0.295540E-01
  0.303677E-02   3.16074      0.463249E-01  0.605432E-01  0.302716E-01  0.765965E-01  0.160533E-01  -.160533E-01  0.106868      0.302716E-01  0.463249E-01  0.302716E-01   0.00000       0.00000       0.00000      0.302716E-01
  0.314404E-02   3.12105      0.474832E-01  0.619784E-01  0.309892E-01  0.784725E-01  0.164940E-01  -.164940E-01  0.109462      0.309892E-01  0.474832E-01  0.309892E-01   0.00000       0.00000       0.00000      0.309892E-01
  0.325509E-02   3.08135      0.486416E-01  0.634136E-01  0.317068E-01  0.803484E-01  0.169348E-01  -.169348E-01  0.112055      0.317068E-01  0.486416E-01  0.317068E-01   0.00000       0.00000       0.00000      0.317068E-01
  0.337006E-02   3.04166      0.498000E-01  0.648488E-01  0.324244E-01  0.822244E-01  0.173756E-01  -.173756E-01  0.114649      0.324244E-01  0.498000E-01  0.324244E-01   0.00000       0.00000       0.00000      0.324244E-01
  0.348910E-02   3.00197      0.509583E-01  0.662840E-01  0.331420E-01  0.841003E-01  0.178164E-01  -.178164E-01  0.117242      0.331420E-01  0.509583E-01  0.331420E-01   0.00000       0.00000       0.00000      0.331420E-01
  0.361234E-02   2.96228      0.521167E-01  0.677192E-01  0.338596E-01  0.859763E-01  0.182571E-01  -.182571E-01  0.119836      0.338596E-01  0.521167E-01  0.338596E-01   0.00000       0.00000       0.00000      0.338596E-01
  0.373994E-02   2.92262      0.532777E-01  0.691573E-01  0.345787E-01  0.878564E-01  0.186991E-01  -.186991E-01  0.122435      0.345787E-01  0.532777E-01  0.345787E-01   0.00000       0.00000       0.00000      0.345787E-01
