   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.7212      0.857005      0.947576      0.843073      0.961508      0.139316E-01  -.139316E-01   1.80458      0.432095      0.446027      0.432215      0.410978      0.832657E-01   0.00000      0.432215    
  0.103532E-02   13.5143      0.844596      0.933582      0.830343      0.947836      0.142533E-01  -.142533E-01   1.77818      0.425792      0.440046      0.425913      0.404550      0.818771E-01   0.00000      0.425913    
  0.107189E-02   13.3074      0.832187      0.919589      0.817612      0.934164      0.145751E-01  -.145751E-01   1.75178      0.419489      0.434064      0.419611      0.398123      0.804885E-01   0.00000      0.419611    
  0.110975E-02   13.1005      0.819778      0.905595      0.804881      0.920492      0.148969E-01  -.148969E-01   1.72537      0.413186      0.428083      0.413309      0.391695      0.790999E-01   0.00000      0.413309    
  0.114895E-02   12.8936      0.807369      0.891601      0.792150      0.906820      0.152187E-01  -.152187E-01   1.69897      0.406883      0.422101      0.407007      0.385268      0.777113E-01   0.00000      0.407007    
  0.118953E-02   12.7069      0.796326      0.879122      0.780724      0.894724      0.156024E-01  -.156024E-01   1.67545      0.401265      0.416868      0.401391      0.379458      0.764659E-01   0.00000      0.401391    
  0.123155E-02   12.5224      0.785423      0.866797      0.769430      0.882789      0.159925E-01  -.159925E-01   1.65222      0.395718      0.411710      0.395844      0.373712      0.752350E-01   0.00000      0.395844    
  0.127505E-02   12.3378      0.774519      0.854472      0.758136      0.870855      0.163826E-01  -.163826E-01   1.62899      0.390170      0.406553      0.390297      0.367966      0.740042E-01   0.00000      0.390297    
  0.132009E-02   12.1532      0.763615      0.842147      0.746843      0.858920      0.167726E-01  -.167726E-01   1.60576      0.384623      0.401395      0.384751      0.362220      0.727733E-01   0.00000      0.384751    
  0.136672E-02   11.9686      0.752711      0.829822      0.735549      0.846985      0.171627E-01  -.171627E-01   1.58253      0.379075      0.396238      0.379204      0.356473      0.715425E-01   0.00000      0.379204    
  0.141499E-02   11.7841      0.741808      0.817497      0.724255      0.835050      0.175527E-01  -.175527E-01   1.55930      0.373528      0.391080      0.373658      0.350727      0.703116E-01   0.00000      0.373658    
  0.146497E-02   11.5995      0.730904      0.805172      0.712961      0.823115      0.179428E-01  -.179428E-01   1.53608      0.367980      0.385923      0.368111      0.344981      0.690808E-01   0.00000      0.368111    
  0.151672E-02   11.4149      0.720000      0.792847      0.701667      0.811180      0.183329E-01  -.183329E-01   1.51285      0.362433      0.380766      0.362565      0.339235      0.678499E-01   0.00000      0.362565    
  0.157029E-02   11.2390      0.709697      0.781185      0.690939      0.799944      0.187585E-01  -.187585E-01   1.49088      0.357186      0.375945      0.357319      0.333753      0.666800E-01   0.00000      0.357319    
  0.162576E-02   11.0744      0.700180      0.770390      0.680949      0.789621      0.192307E-01  -.192307E-01   1.47057      0.352333      0.371564      0.352467      0.328616      0.655898E-01   0.00000      0.352467    
  0.168318E-02   10.9098      0.690663      0.759595      0.670960      0.779298      0.197028E-01  -.197028E-01   1.45026      0.347480      0.367183      0.347615      0.323480      0.644996E-01   0.00000      0.347615    
  0.174263E-02   10.7452      0.681146      0.748800      0.660971      0.768975      0.201750E-01  -.201750E-01   1.42995      0.342627      0.362802      0.342763      0.318343      0.634094E-01   0.00000      0.342763    
  0.180419E-02   10.5806      0.671628      0.738004      0.650981      0.758651      0.206472E-01  -.206472E-01   1.40963      0.337774      0.358421      0.337911      0.313207      0.623192E-01   0.00000      0.337911    
  0.186791E-02   10.4160      0.662111      0.727209      0.640992      0.748328      0.211194E-01  -.211194E-01   1.38932      0.332921      0.354041      0.333059      0.308070      0.612290E-01   0.00000      0.333059    
  0.193389E-02   10.2514      0.652594      0.716414      0.631002      0.738005      0.215915E-01  -.215915E-01   1.36901      0.328068      0.349660      0.328207      0.302934      0.601388E-01   0.00000      0.328207    
  0.200220E-02   10.0868      0.643077      0.705618      0.621013      0.727682      0.220637E-01  -.220637E-01   1.34869      0.323215      0.345279      0.323354      0.297798      0.590486E-01   0.00000      0.323354    
  0.207292E-02   9.92225      0.633559      0.694823      0.611023      0.717359      0.225359E-01  -.225359E-01   1.32838      0.318362      0.340898      0.318502      0.292661      0.579583E-01   0.00000      0.318502    
  0.214614E-02   9.77477      0.625276      0.685380      0.602174      0.708483      0.231025E-01  -.231025E-01   1.31066      0.314126      0.337228      0.314266      0.288048      0.569883E-01   0.00000      0.314266    
  0.222195E-02   9.62802      0.617046      0.675995      0.593373      0.699668      0.236732E-01  -.236732E-01   1.29304      0.309915      0.333588      0.310057      0.283458      0.560235E-01   0.00000      0.310057    
  0.230043E-02   9.48127      0.608816      0.666610      0.584572      0.690854      0.242438E-01  -.242438E-01   1.27543      0.305705      0.329948      0.305847      0.278867      0.550586E-01   0.00000      0.305847    
  0.238169E-02   9.33452      0.600585      0.657225      0.575771      0.682039      0.248145E-01  -.248145E-01   1.25781      0.301494      0.326309      0.301637      0.274277      0.540937E-01   0.00000      0.301637    
  0.246581E-02   9.18777      0.592355      0.647840      0.566970      0.673225      0.253852E-01  -.253852E-01   1.24019      0.297284      0.322669      0.297427      0.269686      0.531288E-01   0.00000      0.297427    
  0.255291E-02   9.04102      0.584124      0.638454      0.558169      0.664410      0.259558E-01  -.259558E-01   1.22258      0.293073      0.319029      0.293217      0.265095      0.521639E-01   0.00000      0.293217    
  0.264308E-02   8.89427      0.575894      0.629069      0.549367      0.655596      0.265265E-01  -.265265E-01   1.20496      0.288863      0.315389      0.289008      0.260505      0.511990E-01   0.00000      0.289008    
