   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   11.9168      0.782337      0.893746      0.768616      0.907467      0.137207E-01  -.137207E-01   1.67608      0.409545      0.423266      0.409664      0.359071      0.745363E-01   0.00000      0.409664    
  0.103532E-02   11.7468      0.772115      0.882153      0.758079      0.896190      0.140362E-01  -.140362E-01   1.65427      0.404343      0.418379      0.404463      0.353736      0.733476E-01   0.00000      0.404463    
  0.107189E-02   11.5767      0.761893      0.870561      0.747541      0.884913      0.143517E-01  -.143517E-01   1.63245      0.399140      0.413492      0.399262      0.348401      0.721590E-01   0.00000      0.399262    
  0.110975E-02   11.4067      0.751671      0.858969      0.737004      0.873636      0.146672E-01  -.146672E-01   1.61064      0.393938      0.408605      0.394060      0.343066      0.709703E-01   0.00000      0.394060    
  0.114895E-02   11.2367      0.741449      0.847376      0.726467      0.862359      0.149827E-01  -.149827E-01   1.58883      0.388736      0.403718      0.388859      0.337731      0.697816E-01   0.00000      0.388859    
  0.118953E-02   11.0822      0.732289      0.836946      0.716931      0.852305      0.153587E-01  -.153587E-01   1.56924      0.384057      0.399415      0.384181      0.332874      0.687083E-01   0.00000      0.384181    
  0.123155E-02   10.9293      0.723237      0.826634      0.707496      0.842375      0.157408E-01  -.157408E-01   1.54987      0.379431      0.395172      0.379556      0.328066      0.676468E-01   0.00000      0.379556    
  0.127505E-02   10.7764      0.714185      0.816322      0.698062      0.832445      0.161230E-01  -.161230E-01   1.53051      0.374805      0.390928      0.374932      0.323257      0.665852E-01   0.00000      0.374932    
  0.132009E-02   10.6235      0.705133      0.806010      0.688628      0.822515      0.165052E-01  -.165052E-01   1.51114      0.370179      0.386685      0.370307      0.318449      0.655237E-01   0.00000      0.370307    
  0.136672E-02   10.4706      0.696082      0.795698      0.679194      0.812585      0.168874E-01  -.168874E-01   1.49178      0.365554      0.382441      0.365682      0.313641      0.644621E-01   0.00000      0.365682    
  0.141499E-02   10.3177      0.687030      0.785386      0.669760      0.802656      0.172695E-01  -.172695E-01   1.47242      0.360928      0.378197      0.361058      0.308832      0.634005E-01   0.00000      0.361058    
  0.146497E-02   10.1648      0.677978      0.775074      0.660326      0.792726      0.176517E-01  -.176517E-01   1.45305      0.356302      0.373954      0.356433      0.304024      0.623390E-01   0.00000      0.356433    
  0.151672E-02   10.0119      0.668926      0.764762      0.650892      0.782796      0.180339E-01  -.180339E-01   1.43369      0.351676      0.369710      0.351808      0.299215      0.612774E-01   0.00000      0.351808    
  0.157029E-02   9.86574      0.660343      0.754957      0.641892      0.773408      0.184508E-01  -.184508E-01   1.41530      0.347279      0.365730      0.347412      0.294613      0.602654E-01   0.00000      0.347412    
  0.162576E-02   9.72829      0.652374      0.745814      0.633461      0.764727      0.189132E-01  -.189132E-01   1.39819      0.343181      0.362094      0.343315      0.290280      0.593181E-01   0.00000      0.343315    
  0.168318E-02   9.59085      0.644406      0.736671      0.625030      0.756047      0.193755E-01  -.193755E-01   1.38108      0.339083      0.358458      0.339217      0.285947      0.583708E-01   0.00000      0.339217    
  0.174263E-02   9.45340      0.636437      0.727528      0.616599      0.747366      0.198379E-01  -.198379E-01   1.36397      0.334985      0.354823      0.335120      0.281614      0.574235E-01   0.00000      0.335120    
  0.180419E-02   9.31596      0.628468      0.718385      0.608168      0.738686      0.203003E-01  -.203003E-01   1.34685      0.330886      0.351187      0.331023      0.277281      0.564762E-01   0.00000      0.331023    
  0.186791E-02   9.17851      0.620499      0.709243      0.599736      0.730005      0.207626E-01  -.207626E-01   1.32974      0.326788      0.347551      0.326925      0.272948      0.555289E-01   0.00000      0.326925    
  0.193389E-02   9.04107      0.612530      0.700100      0.591305      0.721325      0.212250E-01  -.212250E-01   1.31263      0.322690      0.343915      0.322828      0.268615      0.545816E-01   0.00000      0.322828    
  0.200220E-02   8.90362      0.604561      0.690957      0.582874      0.712644      0.216874E-01  -.216874E-01   1.29552      0.318592      0.340279      0.318731      0.264282      0.536343E-01   0.00000      0.318731    
  0.207292E-02   8.76618      0.596593      0.681814      0.574443      0.703964      0.221497E-01  -.221497E-01   1.27841      0.314494      0.336643      0.314634      0.259949      0.526870E-01   0.00000      0.314634    
  0.214614E-02   8.64208      0.589594      0.673703      0.566890      0.696407      0.227044E-01  -.227044E-01   1.26330      0.310862      0.333566      0.311003      0.256028      0.518382E-01   0.00000      0.311003    
  0.222195E-02   8.51855      0.582638      0.665635      0.559375      0.688898      0.232629E-01  -.232629E-01   1.24827      0.307250      0.330513      0.307392      0.252124      0.509936E-01   0.00000      0.307392    
  0.230043E-02   8.39503      0.575681      0.657568      0.551859      0.681389      0.238215E-01  -.238215E-01   1.23325      0.303638      0.327460      0.303781      0.248221      0.501490E-01   0.00000      0.303781    
  0.238169E-02   8.27150      0.568724      0.649501      0.544344      0.673881      0.243801E-01  -.243801E-01   1.21822      0.300027      0.324407      0.300169      0.244317      0.493044E-01   0.00000      0.300169    
  0.246581E-02   8.14797      0.561767      0.641433      0.536828      0.666372      0.249387E-01  -.249387E-01   1.20320      0.296415      0.321354      0.296558      0.240413      0.484597E-01   0.00000      0.296558    
  0.255291E-02   8.02444      0.554810      0.633366      0.529313      0.658863      0.254972E-01  -.254972E-01   1.18818      0.292803      0.318300      0.292947      0.236510      0.476151E-01   0.00000      0.292947    
  0.264308E-02   7.90091      0.547853      0.625298      0.521797      0.651354      0.260558E-01  -.260558E-01   1.17315      0.289191      0.315247      0.289336      0.232606      0.467705E-01   0.00000      0.289336    
  0.273644E-02   7.77739      0.540896      0.617231      0.514282      0.643845      0.266144E-01  -.266144E-01   1.15813      0.285580      0.312194      0.285725      0.228702      0.459259E-01   0.00000      0.285725    
  0.283310E-02   7.65993      0.534403      0.609648      0.507174      0.636877      0.272288E-01  -.272288E-01   1.14405      0.282188      0.309417      0.282334      0.224987      0.451260E-01   0.00000      0.282334    
  0.293317E-02   7.54892      0.528403      0.602580      0.500501      0.630483      0.279024E-01  -.279024E-01   1.13098      0.279030      0.306932      0.279177      0.221471      0.443737E-01   0.00000      0.279177    
  0.303677E-02   7.43792      0.522403      0.595512      0.493827      0.624088      0.285761E-01  -.285761E-01   1.11791      0.275872      0.304448      0.276019      0.217955      0.436213E-01   0.00000      0.276019    
  0.314404E-02   7.32691      0.516402      0.588444      0.487153      0.617694      0.292497E-01  -.292497E-01   1.10485      0.272714      0.301963      0.272862      0.214439      0.428690E-01   0.00000      0.272862    
  0.325509E-02   7.21591      0.510402      0.581376      0.480479      0.611300      0.299234E-01  -.299234E-01   1.09178      0.269556      0.299479      0.269704      0.210923      0.421166E-01   0.00000      0.269704    
  0.337006E-02   7.10490      0.504402      0.574308      0.473805      0.604905      0.305970E-01  -.305970E-01   1.07871      0.266398      0.296995      0.266546      0.207407      0.413643E-01   0.00000      0.266546    
  0.348910E-02   6.99390      0.498402      0.567240      0.467131      0.598511      0.312707E-01  -.312707E-01   1.06564      0.263240      0.294510      0.263389      0.203892      0.406119E-01   0.00000      0.263389    
  0.361234E-02   6.88289      0.492402      0.560172      0.460457      0.592117      0.319443E-01  -.319443E-01   1.05257      0.260082      0.292026      0.260231      0.200376      0.398595E-01   0.00000      0.260231    
  0.373994E-02   6.77200      0.486411      0.553114      0.453792      0.585734      0.326194E-01  -.326194E-01   1.03953      0.256928      0.289547      0.257078      0.196864      0.391081E-01   0.00000      0.257078    
  0.387204E-02   6.67225      0.481326      0.546984      0.447896      0.580414      0.334303E-01  -.334303E-01   1.02831      0.254197      0.287628      0.254348      0.193699      0.384386E-01   0.00000      0.254348    
  0.400881E-02   6.57250      0.476241      0.540854      0.442000      0.575095      0.342411E-01  -.342411E-01   1.01710      0.251467      0.285708      0.251618      0.190533      0.377692E-01   0.00000      0.251618    
  0.415040E-02   6.47275      0.471157      0.534723      0.436105      0.569775      0.350519E-01  -.350519E-01   1.00588      0.248736      0.283788      0.248887      0.187368      0.370997E-01   0.00000      0.248887    
  0.429700E-02   6.37299      0.466072      0.528593      0.430209      0.564456      0.358627E-01  -.358627E-01  0.994665      0.246006      0.281868      0.246157      0.184203      0.364303E-01   0.00000      0.246157    
  0.444878E-02   6.27324      0.460987      0.522463      0.424313      0.559136      0.366735E-01  -.366735E-01  0.983450      0.243275      0.279949      0.243427      0.181038      0.357609E-01   0.00000      0.243427    
  0.460592E-02   6.17349      0.455902      0.516332      0.418418      0.553817      0.374844E-01  -.374844E-01  0.972234      0.240545      0.278029      0.240696      0.177873      0.350914E-01   0.00000      0.240696    
  0.476861E-02   6.07373      0.450817      0.510202      0.412522      0.548497      0.382952E-01  -.382952E-01  0.961019      0.237814      0.276109      0.237966      0.174708      0.344220E-01   0.00000      0.237966    
  0.493705E-02   5.97398      0.445733      0.504071      0.406627      0.543177      0.391060E-01  -.391060E-01  0.949804      0.235083      0.274189      0.235236      0.171543      0.337525E-01   0.00000      0.235236    
  0.511143E-02   5.87964      0.441124      0.498417      0.401119      0.538421      0.400042E-01  -.400042E-01  0.939540      0.232571      0.272575      0.232723      0.168549      0.331231E-01   0.00000      0.232723    
  0.529198E-02   5.78999      0.436926      0.493173      0.395948      0.534151      0.409778E-01  -.409778E-01  0.930099      0.230246      0.271224      0.230398      0.165702      0.325282E-01   0.00000      0.230398    
  0.547890E-02   5.70033      0.432728      0.487929      0.390776      0.529880      0.419514E-01  -.419514E-01  0.920657      0.227922      0.269873      0.228074      0.162855      0.319334E-01   0.00000      0.228074    
  0.567243E-02   5.61068      0.428530      0.482685      0.385605      0.525610      0.429250E-01  -.429250E-01  0.911215      0.225597      0.268522      0.225749      0.160007      0.313385E-01   0.00000      0.225749    
  0.587279E-02   5.52102      0.424332      0.477442      0.380433      0.521340      0.438986E-01  -.438986E-01  0.901774      0.223273      0.267172      0.223425      0.157160      0.307436E-01   0.00000      0.223425    
  0.608022E-02   5.43137      0.420134      0.472198      0.375262      0.517070      0.448722E-01  -.448722E-01  0.892332      0.220949      0.265821      0.221100      0.154313      0.301488E-01   0.00000      0.221100    
  0.629499E-02   5.34171      0.415936      0.466954      0.370090      0.512800      0.458458E-01  -.458458E-01  0.882890      0.218624      0.264470      0.218776      0.151466      0.295539E-01   0.00000      0.218776    
  0.651734E-02   5.25206      0.411738      0.461710      0.364919      0.508530      0.468194E-01  -.468194E-01  0.873449      0.216300      0.263119      0.216451      0.148619      0.289591E-01   0.00000      0.216451    
  0.674754E-02   5.16296      0.407595      0.456519      0.359790      0.504324      0.478050E-01  -.478050E-01  0.864114      0.214000      0.261805      0.214151      0.145790      0.283684E-01   0.00000      0.214151    
  0.698588E-02   5.08236      0.404266      0.452118      0.355295      0.501088      0.489707E-01  -.489707E-01  0.856383      0.212063      0.261034      0.212214      0.143232      0.278407E-01   0.00000      0.212214    
  0.723263E-02   5.00175      0.400937      0.447716      0.350800      0.497853      0.501364E-01  -.501364E-01  0.848653      0.210127      0.260263      0.210277      0.140674      0.273130E-01   0.00000      0.210277    
  0.748810E-02   4.92115      0.397608      0.443315      0.346306      0.494617      0.513022E-01  -.513022E-01  0.840923      0.208190      0.259492      0.208340      0.138116      0.267854E-01   0.00000      0.208340    
  0.775260E-02   4.84054      0.394279      0.438914      0.341811      0.491382      0.524679E-01  -.524679E-01  0.833193      0.206253      0.258721      0.206403      0.135558      0.262577E-01   0.00000      0.206403    
  0.802643E-02   4.75994      0.390950      0.434513      0.337317      0.488146      0.536336E-01  -.536336E-01  0.825463      0.204317      0.257951      0.204466      0.133000      0.257300E-01   0.00000      0.204466    
  0.830994E-02   4.67933      0.387622      0.430111      0.332822      0.484911      0.547994E-01  -.547994E-01  0.817733      0.202380      0.257180      0.202529      0.130442      0.252024E-01   0.00000      0.202529    
  0.860346E-02   4.59872      0.384293      0.425710      0.328328      0.481675      0.559651E-01  -.559651E-01  0.810003      0.200444      0.256409      0.200592      0.127884      0.246747E-01   0.00000      0.200592    
  0.890735E-02   4.51812      0.380964      0.421309      0.323833      0.478440      0.571308E-01  -.571308E-01  0.802273      0.198507      0.255638      0.198655      0.125326      0.241470E-01   0.00000      0.198655    
  0.922198E-02   4.44196      0.378109      0.417350      0.319689      0.475770      0.584201E-01  -.584201E-01  0.795459      0.196776      0.255196      0.196923      0.122913      0.236518E-01   0.00000      0.196923    
  0.954772E-02   4.36892      0.375586      0.413702      0.315790      0.473498      0.597959E-01  -.597959E-01  0.789288      0.195188      0.254984      0.195334      0.120602      0.231795E-01   0.00000      0.195334    
  0.988496E-02   4.29589      0.373063      0.410053      0.311892      0.471225      0.611717E-01  -.611717E-01  0.783116      0.193600      0.254772      0.193746      0.118291      0.227071E-01   0.00000      0.193746    
  0.102341E-01   4.22285      0.370540      0.406405      0.307993      0.468952      0.625475E-01  -.625475E-01  0.776945      0.192013      0.254560      0.192157      0.115980      0.222347E-01   0.00000      0.192157    
  0.105956E-01   4.14981      0.368018      0.402756      0.304094      0.466680      0.639233E-01  -.639233E-01  0.770774      0.190425      0.254348      0.190569      0.113669      0.217623E-01   0.00000      0.190569    
  0.109699E-01   4.07677      0.365495      0.399108      0.300196      0.464407      0.652991E-01  -.652991E-01  0.764603      0.188837      0.254136      0.188981      0.111358      0.212899E-01   0.00000      0.188981    
  0.113573E-01   4.00373      0.362972      0.395459      0.296297      0.462134      0.666749E-01  -.666749E-01  0.758431      0.187250      0.253924      0.187392      0.109047      0.208175E-01   0.00000      0.187392    
