   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.4523      0.783915      0.870462      0.770363      0.884014      0.135514E-01  -.135514E-01   1.65438      0.396678      0.410230      0.396798      0.373685      0.769857E-01   0.00000      0.396798    
  0.103532E-02   12.2677      0.772970      0.858144      0.759104      0.872011      0.138667E-01  -.138667E-01   1.63111      0.391146      0.405012      0.391266      0.367958      0.757327E-01   0.00000      0.391266    
  0.107189E-02   12.0831      0.762026      0.845827      0.747844      0.860009      0.141820E-01  -.141820E-01   1.60785      0.385613      0.399795      0.385734      0.362231      0.744798E-01   0.00000      0.385734    
  0.110975E-02   11.8985      0.751081      0.833509      0.736584      0.848006      0.144973E-01  -.144973E-01   1.58459      0.380080      0.394577      0.380203      0.356504      0.732268E-01   0.00000      0.380203    
  0.114895E-02   11.7139      0.740136      0.821191      0.725324      0.836004      0.148126E-01  -.148126E-01   1.56133      0.374547      0.389359      0.374671      0.350777      0.719739E-01   0.00000      0.374671    
  0.118953E-02   11.5474      0.730420      0.810239      0.715231      0.825428      0.151892E-01  -.151892E-01   1.54066      0.369633      0.384822      0.369758      0.345599      0.708484E-01   0.00000      0.369758    
  0.123155E-02   11.3827      0.720830      0.799425      0.705258      0.814997      0.155720E-01  -.155720E-01   1.52025      0.364782      0.380354      0.364908      0.340476      0.697358E-01   0.00000      0.364908    
  0.127505E-02   11.2181      0.711239      0.788612      0.695284      0.804567      0.159548E-01  -.159548E-01   1.49985      0.359931      0.375886      0.360058      0.335353      0.686232E-01   0.00000      0.360058    
  0.132009E-02   11.0534      0.701648      0.777798      0.685310      0.794136      0.163376E-01  -.163376E-01   1.47945      0.355080      0.371417      0.355208      0.330231      0.675107E-01   0.00000      0.355208    
  0.136672E-02   10.8888      0.692057      0.766985      0.675337      0.783705      0.167204E-01  -.167204E-01   1.45904      0.350229      0.366949      0.350358      0.325108      0.663981E-01   0.00000      0.350358    
  0.141499E-02   10.7241      0.682466      0.756171      0.665363      0.773274      0.171032E-01  -.171032E-01   1.43864      0.345378      0.362481      0.345508      0.319985      0.652856E-01   0.00000      0.345508    
  0.146497E-02   10.5595      0.672876      0.745358      0.655390      0.762844      0.174860E-01  -.174860E-01   1.41823      0.340527      0.358013      0.340658      0.314863      0.641730E-01   0.00000      0.340658    
  0.151672E-02   10.3948      0.663285      0.734544      0.645416      0.752413      0.178688E-01  -.178688E-01   1.39783      0.335676      0.353545      0.335808      0.309740      0.630604E-01   0.00000      0.335808    
  0.157029E-02   10.2379      0.654235      0.724328      0.635948      0.742615      0.182868E-01  -.182868E-01   1.37856      0.331097      0.349383      0.331230      0.304852      0.620021E-01   0.00000      0.331230    
  0.162576E-02   10.0910      0.645892      0.714894      0.627142      0.733645      0.187509E-01  -.187509E-01   1.36079      0.326873      0.345624      0.327007      0.300269      0.610146E-01   0.00000      0.327007    
  0.168318E-02   9.94414      0.637550      0.705460      0.618335      0.724675      0.192150E-01  -.192150E-01   1.34301      0.322649      0.341864      0.322784      0.295686      0.600271E-01   0.00000      0.322784    
  0.174263E-02   9.79728      0.629208      0.696026      0.609528      0.715705      0.196792E-01  -.196792E-01   1.32523      0.318425      0.338104      0.318561      0.291103      0.590396E-01   0.00000      0.318561    
  0.180419E-02   9.65041      0.620865      0.686591      0.600722      0.706735      0.201433E-01  -.201433E-01   1.30746      0.314201      0.334345      0.314338      0.286520      0.580521E-01   0.00000      0.314338    
