   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.90566      0.158916E-01  0.172651E-01  0.863254E-02  0.245241E-01  0.725903E-02  -.725903E-02  0.331566E-01  0.863254E-02  0.158916E-01  0.863254E-02   0.00000       0.00000       0.00000      0.863254E-02
  0.103532E-02   4.84212      0.163052E-01  0.177178E-01  0.885892E-02  0.251642E-01  0.744631E-02  -.744631E-02  0.340231E-01  0.885892E-02  0.163052E-01  0.885892E-02   0.00000       0.00000       0.00000      0.885892E-02
  0.107189E-02   4.77857      0.167189E-01  0.181706E-01  0.908530E-02  0.258042E-01  0.763359E-02  -.763359E-02  0.348895E-01  0.908530E-02  0.167189E-01  0.908530E-02   0.00000       0.00000       0.00000      0.908530E-02
  0.110975E-02   4.71503      0.171326E-01  0.186234E-01  0.931169E-02  0.264443E-01  0.782088E-02  -.782088E-02  0.357559E-01  0.931169E-02  0.171326E-01  0.931169E-02   0.00000       0.00000       0.00000      0.931169E-02
  0.114895E-02   4.65149      0.175462E-01  0.190761E-01  0.953807E-02  0.270843E-01  0.800816E-02  -.800816E-02  0.366224E-01  0.953807E-02  0.175462E-01  0.953807E-02   0.00000       0.00000       0.00000      0.953807E-02
  0.118953E-02   4.59382      0.180522E-01  0.196299E-01  0.981495E-02  0.278672E-01  0.823725E-02  -.823725E-02  0.376821E-01  0.981495E-02  0.180522E-01  0.981495E-02   0.00000       0.00000       0.00000      0.981495E-02
  0.123155E-02   4.53674      0.185676E-01  0.201939E-01  0.100970E-01  0.286645E-01  0.847059E-02  -.847059E-02  0.387615E-01  0.100970E-01  0.185676E-01  0.100970E-01   0.00000       0.00000       0.00000      0.100970E-01
  0.127505E-02   4.47966      0.190829E-01  0.207580E-01  0.103790E-01  0.294619E-01  0.870393E-02  -.870393E-02  0.398409E-01  0.103790E-01  0.190829E-01  0.103790E-01   0.00000       0.00000       0.00000      0.103790E-01
  0.132009E-02   4.42259      0.195983E-01  0.213220E-01  0.106610E-01  0.302593E-01  0.893727E-02  -.893727E-02  0.409203E-01  0.106610E-01  0.195983E-01  0.106610E-01   0.00000       0.00000       0.00000      0.106610E-01
  0.136672E-02   4.36551      0.201136E-01  0.218861E-01  0.109430E-01  0.310567E-01  0.917061E-02  -.917061E-02  0.419997E-01  0.109430E-01  0.201136E-01  0.109430E-01   0.00000       0.00000       0.00000      0.109430E-01
  0.141499E-02   4.30843      0.206290E-01  0.224501E-01  0.112251E-01  0.318541E-01  0.940395E-02  -.940395E-02  0.430791E-01  0.112251E-01  0.206290E-01  0.112251E-01   0.00000       0.00000       0.00000      0.112251E-01
  0.146497E-02   4.25135      0.211444E-01  0.230142E-01  0.115071E-01  0.326514E-01  0.963729E-02  -.963729E-02  0.441585E-01  0.115071E-01  0.211444E-01  0.115071E-01   0.00000       0.00000       0.00000      0.115071E-01
  0.151672E-02   4.19428      0.216597E-01  0.235782E-01  0.117891E-01  0.334488E-01  0.987063E-02  -.987063E-02  0.452379E-01  0.117891E-01  0.216597E-01  0.117891E-01   0.00000       0.00000       0.00000      0.117891E-01
  0.157029E-02   4.13971      0.222296E-01  0.242016E-01  0.121008E-01  0.343304E-01  0.101288E-01  -.101288E-01  0.464312E-01  0.121008E-01  0.222296E-01  0.121008E-01   0.00000       0.00000       0.00000      0.121008E-01
  0.162576E-02   4.08841      0.228708E-01  0.249026E-01  0.124513E-01  0.353221E-01  0.104194E-01  -.104194E-01  0.477734E-01  0.124513E-01  0.228708E-01  0.124513E-01   0.00000       0.00000       0.00000      0.124513E-01
  0.168318E-02   4.03711      0.235119E-01  0.256037E-01  0.128018E-01  0.363138E-01  0.107101E-01  -.107101E-01  0.491156E-01  0.128018E-01  0.235119E-01  0.128018E-01   0.00000       0.00000       0.00000      0.128018E-01
  0.174263E-02   3.98581      0.241531E-01  0.263047E-01  0.131523E-01  0.373054E-01  0.110007E-01  -.110007E-01  0.504578E-01  0.131523E-01  0.241531E-01  0.131523E-01   0.00000       0.00000       0.00000      0.131523E-01
  0.180419E-02   3.93452      0.247942E-01  0.270057E-01  0.135029E-01  0.382971E-01  0.112914E-01  -.112914E-01  0.518000E-01  0.135029E-01  0.247942E-01  0.135029E-01   0.00000       0.00000       0.00000      0.135029E-01
  0.186791E-02   3.88322      0.254354E-01  0.277067E-01  0.138534E-01  0.392888E-01  0.115820E-01  -.115820E-01  0.531421E-01  0.138534E-01  0.254354E-01  0.138534E-01   0.00000       0.00000       0.00000      0.138534E-01
