   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  -.144317E-07  0.324824      0.490993      0.245497      0.570321      0.793274E-01  -.793274E-01  0.815817      0.245497      0.324824      0.245497       0.00000       0.00000       0.00000      0.245497    
  0.103532E-02  -.143371E-07  0.322863      0.485635      0.242817      0.565680      0.800452E-01  -.800452E-01  0.808498      0.242817      0.322863      0.242817       0.00000       0.00000       0.00000      0.242817    
  0.107189E-02  -.142425E-07  0.320901      0.480277      0.240138      0.561040      0.807630E-01  -.807630E-01  0.801178      0.240138      0.320901      0.240138       0.00000       0.00000       0.00000      0.240138    
  0.110975E-02  -.141479E-07  0.318940      0.474918      0.237459      0.556399      0.814808E-01  -.814808E-01  0.793859      0.237459      0.318940      0.237459       0.00000       0.00000       0.00000      0.237459    
  0.114895E-02  -.140533E-07  0.316979      0.469560      0.234780      0.551759      0.821986E-01  -.821986E-01  0.786539      0.234780      0.316979      0.234780       0.00000       0.00000       0.00000      0.234780    
  0.118953E-02  -.139656E-07  0.315080      0.464354      0.232177      0.547257      0.829024E-01  -.829024E-01  0.779434      0.232177      0.315080      0.232177       0.00000       0.00000       0.00000      0.232177    
  0.123155E-02  -.138785E-07  0.313187      0.459164      0.229582      0.542769      0.836048E-01  -.836048E-01  0.772351      0.229582      0.313187      0.229582       0.00000       0.00000       0.00000      0.229582    
  0.127505E-02  -.137914E-07  0.311294      0.453973      0.226987      0.538281      0.843072E-01  -.843072E-01  0.765267      0.226987      0.311294      0.226987       0.00000       0.00000       0.00000      0.226987    
  0.132009E-02  -.137044E-07  0.309401      0.448783      0.224391      0.533793      0.850097E-01  -.850097E-01  0.758184      0.224391      0.309401      0.224391       0.00000       0.00000       0.00000      0.224391    
  0.136672E-02  -.136173E-07  0.307508      0.443593      0.221796      0.529305      0.857121E-01  -.857121E-01  0.751101      0.221796      0.307508      0.221796       0.00000       0.00000       0.00000      0.221796    
  0.141499E-02  -.135302E-07  0.305616      0.438402      0.219201      0.524817      0.864145E-01  -.864145E-01  0.744018      0.219201      0.305616      0.219201       0.00000       0.00000       0.00000      0.219201    
  0.146497E-02  -.134432E-07  0.303723      0.433212      0.216606      0.520329      0.871169E-01  -.871169E-01  0.736934      0.216606      0.303723      0.216606       0.00000       0.00000       0.00000      0.216606    
  0.151672E-02  -.133561E-07  0.301830      0.428021      0.214011      0.515841      0.878193E-01  -.878193E-01  0.729851      0.214011      0.301830      0.214011       0.00000       0.00000       0.00000      0.214011    
  0.157029E-02  -.132721E-07  0.299998      0.422965      0.211482      0.511480      0.885153E-01  -.885153E-01  0.722962      0.211482      0.299998      0.211482       0.00000       0.00000       0.00000      0.211482    
  0.162576E-02  -.131921E-07  0.298244      0.418083      0.209041      0.507286      0.892027E-01  -.892027E-01  0.716327      0.209041      0.298244      0.209041       0.00000       0.00000       0.00000      0.209041    
  0.168318E-02  -.131120E-07  0.296491      0.413201      0.206601      0.503091      0.898902E-01  -.898902E-01  0.709692      0.206601      0.296491      0.206601       0.00000       0.00000       0.00000      0.206601    
  0.174263E-02  -.130320E-07  0.294737      0.408319      0.204160      0.498897      0.905777E-01  -.905777E-01  0.703057      0.204160      0.294737      0.204160       0.00000       0.00000       0.00000      0.204160    
  0.180419E-02  -.129519E-07  0.292984      0.403438      0.201719      0.494703      0.912652E-01  -.912652E-01  0.696422      0.201719      0.292984      0.201719       0.00000       0.00000       0.00000      0.201719    
  0.186791E-02  -.128719E-07  0.291231      0.398556      0.199278      0.490509      0.919526E-01  -.919526E-01  0.689787      0.199278      0.291231      0.199278       0.00000       0.00000       0.00000      0.199278    
  0.193389E-02  -.127919E-07  0.289477      0.393674      0.196837      0.486314      0.926401E-01  -.926401E-01  0.683152      0.196837      0.289477      0.196837       0.00000       0.00000       0.00000      0.196837    
  0.200220E-02  -.127118E-07  0.287724      0.388793      0.194396      0.482120      0.933276E-01  -.933276E-01  0.676517      0.194396      0.287724      0.194396       0.00000       0.00000       0.00000      0.194396    
  0.207292E-02  -.126318E-07  0.285971      0.383911      0.191955      0.477926      0.940151E-01  -.940151E-01  0.669881      0.191955      0.285971      0.191955       0.00000       0.00000       0.00000      0.191955    
  0.214614E-02  -.125578E-07  0.284379      0.379398      0.189699      0.474079      0.946803E-01  -.946803E-01  0.663778      0.189699      0.284379      0.189699       0.00000       0.00000       0.00000      0.189699    
  0.222195E-02  -.124841E-07  0.282795      0.374902      0.187451      0.470246      0.953445E-01  -.953445E-01  0.657697      0.187451      0.282795      0.187451       0.00000       0.00000       0.00000      0.187451    
  0.230043E-02  -.124104E-07  0.281211      0.370405      0.185202      0.466413      0.960087E-01  -.960087E-01  0.651616      0.185202      0.281211      0.185202       0.00000       0.00000       0.00000      0.185202    
  0.238169E-02  -.123367E-07  0.279627      0.365908      0.182954      0.462581      0.966729E-01  -.966729E-01  0.645535      0.182954      0.279627      0.182954       0.00000       0.00000       0.00000      0.182954    
  0.246581E-02  -.122630E-07  0.278043      0.361411      0.180706      0.458748      0.973372E-01  -.973372E-01  0.639454      0.180706      0.278043      0.180706       0.00000       0.00000       0.00000      0.180706    
  0.255291E-02  -.121893E-07  0.276459      0.356914      0.178457      0.454916      0.980014E-01  -.980014E-01  0.633373      0.178457      0.276459      0.178457       0.00000       0.00000       0.00000      0.178457    
  0.264308E-02  -.121156E-07  0.274874      0.352417      0.176209      0.451083      0.986656E-01  -.986656E-01  0.627292      0.176209      0.274874      0.176209       0.00000       0.00000       0.00000      0.176209    
  0.273644E-02  -.120419E-07  0.273290      0.347921      0.173960      0.447250      0.993299E-01  -.993299E-01  0.621211      0.173960      0.273290      0.173960       0.00000       0.00000       0.00000      0.173960    
  0.283310E-02  -.119709E-07  0.271786      0.343630      0.171815      0.443601      0.999714E-01  -.999714E-01  0.615416      0.171815      0.271786      0.171815       0.00000       0.00000       0.00000      0.171815    
  0.293317E-02  -.119027E-07  0.270368      0.339557      0.169779      0.440146      0.100589      -.100589      0.609925      0.169779      0.270368      0.169779       0.00000       0.00000       0.00000      0.169779    
  0.303677E-02  -.118345E-07  0.268949      0.335485      0.167743      0.436691      0.101206      -.101206      0.604434      0.167743      0.268949      0.167743       0.00000       0.00000       0.00000      0.167743    
  0.314404E-02  -.117663E-07  0.267530      0.331413      0.165706      0.433237      0.101824      -.101824      0.598943      0.165706      0.267530      0.165706       0.00000       0.00000       0.00000      0.165706    
  0.325509E-02  -.116981E-07  0.266111      0.327341      0.163670      0.429782      0.102441      -.102441      0.593452      0.163670      0.266111      0.163670       0.00000       0.00000       0.00000      0.163670    
  0.337006E-02  -.116300E-07  0.264693      0.323268      0.161634      0.426327      0.103058      -.103058      0.587961      0.161634      0.264693      0.161634       0.00000       0.00000       0.00000      0.161634    
  0.348910E-02  -.115618E-07  0.263274      0.319196      0.159598      0.422872      0.103676      -.103676      0.582470      0.159598      0.263274      0.159598       0.00000       0.00000       0.00000      0.159598    
  0.361234E-02  -.114936E-07  0.261855      0.315124      0.157562      0.419417      0.104293      -.104293      0.576979      0.157562      0.261855      0.157562       0.00000       0.00000       0.00000      0.157562    
  0.373994E-02  -.114255E-07  0.260438      0.311057      0.155528      0.415967      0.104910      -.104910      0.571495      0.155528      0.260438      0.155528       0.00000       0.00000       0.00000      0.155528    
  0.387204E-02  -.113619E-07  0.259176      0.307462      0.153731      0.412907      0.105445      -.105445      0.566638      0.153731      0.259176      0.153731       0.00000       0.00000       0.00000      0.153731    
  0.400881E-02  -.112983E-07  0.257914      0.303868      0.151934      0.409848      0.105980      -.105980      0.561782      0.151934      0.257914      0.151934       0.00000       0.00000       0.00000      0.151934    
  0.415040E-02  -.112347E-07  0.256652      0.300273      0.150137      0.406788      0.106515      -.106515      0.556925      0.150137      0.256652      0.150137       0.00000       0.00000       0.00000      0.150137    
