   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  -.143074E-07  0.316325      0.459787      0.229893      0.546218      0.864316E-01  -.864316E-01  0.776112      0.229893      0.316325      0.229893       0.00000       0.00000       0.00000      0.229893    
  0.103532E-02  -.142173E-07  0.314698      0.455090      0.227545      0.542243      0.871533E-01  -.871533E-01  0.769788      0.227545      0.314698      0.227545       0.00000       0.00000       0.00000      0.227545    
  0.107189E-02  -.141273E-07  0.313072      0.450394      0.225197      0.538269      0.878749E-01  -.878749E-01  0.763465      0.225197      0.313072      0.225197       0.00000       0.00000       0.00000      0.225197    
  0.110975E-02  -.140372E-07  0.311445      0.445697      0.222849      0.534294      0.885966E-01  -.885966E-01  0.757142      0.222849      0.311445      0.222849       0.00000       0.00000       0.00000      0.222849    
  0.114895E-02  -.139472E-07  0.309819      0.441001      0.220500      0.530319      0.893183E-01  -.893183E-01  0.750819      0.220500      0.309819      0.220500       0.00000       0.00000       0.00000      0.220500    
  0.118953E-02  -.138631E-07  0.308210      0.436396      0.218198      0.526408      0.900117E-01  -.900117E-01  0.744606      0.218198      0.308210      0.218198       0.00000       0.00000       0.00000      0.218198    
  0.123155E-02  -.137796E-07  0.306603      0.431801      0.215900      0.522503      0.907023E-01  -.907023E-01  0.738403      0.215900      0.306603      0.215900       0.00000       0.00000       0.00000      0.215900    
  0.127505E-02  -.136962E-07  0.304996      0.427206      0.213603      0.518598      0.913928E-01  -.913928E-01  0.732201      0.213603      0.304996      0.213603       0.00000       0.00000       0.00000      0.213603    
  0.132009E-02  -.136127E-07  0.303389      0.422610      0.211305      0.514694      0.920834E-01  -.920834E-01  0.725999      0.211305      0.303389      0.211305       0.00000       0.00000       0.00000      0.211305    
  0.136672E-02  -.135293E-07  0.301782      0.418015      0.209008      0.510789      0.927740E-01  -.927740E-01  0.719797      0.209008      0.301782      0.209008       0.00000       0.00000       0.00000      0.209008    
  0.141499E-02  -.134458E-07  0.300174      0.413420      0.206710      0.506884      0.934645E-01  -.934645E-01  0.713594      0.206710      0.300174      0.206710       0.00000       0.00000       0.00000      0.206710    
  0.146497E-02  -.133624E-07  0.298567      0.408825      0.204412      0.502980      0.941551E-01  -.941551E-01  0.707392      0.204412      0.298567      0.204412       0.00000       0.00000       0.00000      0.204412    
  0.151672E-02  -.132789E-07  0.296960      0.404229      0.202115      0.499075      0.948457E-01  -.948457E-01  0.701190      0.202115      0.296960      0.202115       0.00000       0.00000       0.00000      0.202115    
  0.157029E-02  -.131982E-07  0.295391      0.399737      0.199868      0.495260      0.955230E-01  -.955230E-01  0.695128      0.199868      0.295391      0.199868       0.00000       0.00000       0.00000      0.199868    
  0.162576E-02  -.131210E-07  0.293873      0.395379      0.197690      0.491562      0.961830E-01  -.961830E-01  0.689252      0.197690      0.293873      0.197690       0.00000       0.00000       0.00000      0.197690    
  0.168318E-02  -.130437E-07  0.292354      0.391021      0.195511      0.487864      0.968430E-01  -.968430E-01  0.683375      0.195511      0.292354      0.195511       0.00000       0.00000       0.00000      0.195511    
  0.174263E-02  -.129665E-07  0.290835      0.386663      0.193332      0.484166      0.975030E-01  -.975030E-01  0.677498      0.193332      0.290835      0.193332       0.00000       0.00000       0.00000      0.193332    
  0.180419E-02  -.128893E-07  0.289316      0.382305      0.191153      0.480468      0.981630E-01  -.981630E-01  0.671621      0.191153      0.289316      0.191153       0.00000       0.00000       0.00000      0.191153    
  0.186791E-02  -.128121E-07  0.287797      0.377947      0.188974      0.476770      0.988230E-01  -.988230E-01  0.665744      0.188974      0.287797      0.188974       0.00000       0.00000       0.00000      0.188974    
  0.193389E-02  -.127348E-07  0.286278      0.373589      0.186795      0.473073      0.994830E-01  -.994830E-01  0.659867      0.186795      0.286278      0.186795       0.00000       0.00000       0.00000      0.186795    
  0.200220E-02  -.126576E-07  0.284759      0.369232      0.184616      0.469375      0.100143      -.100143      0.653990      0.184616      0.284759      0.184616       0.00000       0.00000       0.00000      0.184616    
  0.207292E-02  -.125804E-07  0.283240      0.364874      0.182437      0.465677      0.100803      -.100803      0.648114      0.182437      0.283240      0.182437       0.00000       0.00000       0.00000      0.182437    
  0.214614E-02  -.125086E-07  0.281833      0.360818      0.180409      0.462242      0.101425      -.101425      0.642651      0.180409      0.281833      0.180409       0.00000       0.00000       0.00000      0.180409    
  0.222195E-02  -.124371E-07  0.280432      0.356775      0.178387      0.458819      0.102045      -.102045      0.637206      0.178387      0.280432      0.178387       0.00000       0.00000       0.00000      0.178387    
  0.230043E-02  -.123655E-07  0.279030      0.352731      0.176366      0.455396      0.102664      -.102664      0.631761      0.176366      0.279030      0.176366       0.00000       0.00000       0.00000      0.176366    
  0.238169E-02  -.122940E-07  0.277628      0.348688      0.174344      0.451973      0.103284      -.103284      0.626317      0.174344      0.277628      0.174344       0.00000       0.00000       0.00000      0.174344    
