   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   4.37645      0.579428      0.766315      0.495349      0.850394      0.840793E-01  -.840793E-01   1.34574      0.366641      0.450720      0.366707      0.128708      0.329671E-01   0.00000      0.366707    
  0.103532E-02   4.32791      0.574352      0.757491      0.489677      0.842166      0.846747E-01  -.846747E-01   1.33184      0.362438      0.447113      0.362504      0.127239      0.325489E-01   0.00000      0.362504    
  0.107189E-02   4.27938      0.569276      0.748667      0.484006      0.833937      0.852700E-01  -.852700E-01   1.31794      0.358235      0.443505      0.358301      0.125770      0.321306E-01   0.00000      0.358301    
  0.110975E-02   4.23084      0.564200      0.739843      0.478334      0.825709      0.858653E-01  -.858653E-01   1.30404      0.354033      0.439898      0.354098      0.124302      0.317123E-01   0.00000      0.354098    
  0.114895E-02   4.18230      0.559123      0.731019      0.472663      0.817480      0.864607E-01  -.864607E-01   1.29014      0.349830      0.436291      0.349895      0.122833      0.312941E-01   0.00000      0.349895    
  0.118953E-02   4.13734      0.554288      0.722591      0.467268      0.809610      0.870197E-01  -.870197E-01   1.27688      0.345809      0.432829      0.345874      0.121459      0.309071E-01   0.00000      0.345874    
  0.123155E-02   4.09274      0.549477      0.714202      0.461902      0.801777      0.875750E-01  -.875750E-01   1.26368      0.341807      0.429382      0.341872      0.120095      0.305232E-01   0.00000      0.341872    
  0.127505E-02   4.04815      0.544666      0.705814      0.456536      0.793944      0.881304E-01  -.881304E-01   1.25048      0.337805      0.425935      0.337869      0.118731      0.301394E-01   0.00000      0.337869    
  0.132009E-02   4.00355      0.539855      0.697425      0.451169      0.786111      0.886857E-01  -.886857E-01   1.23728      0.333803      0.422488      0.333867      0.117367      0.297556E-01   0.00000      0.333867    
  0.136672E-02   3.95895      0.535044      0.689037      0.445803      0.778278      0.892411E-01  -.892411E-01   1.22408      0.329800      0.419041      0.329865      0.116003      0.293717E-01   0.00000      0.329865    
  0.141499E-02   3.91436      0.530233      0.680648      0.440437      0.770445      0.897964E-01  -.897964E-01   1.21088      0.325798      0.415595      0.325862      0.114639      0.289879E-01   0.00000      0.325862    
  0.146497E-02   3.86976      0.525422      0.672260      0.435070      0.762611      0.903517E-01  -.903517E-01   1.19768      0.321796      0.412148      0.321860      0.113275      0.286040E-01   0.00000      0.321860    
  0.151672E-02   3.82517      0.520611      0.663871      0.429704      0.754778      0.909071E-01  -.909071E-01   1.18448      0.317794      0.408701      0.317857      0.111910      0.282202E-01   0.00000      0.317857    
  0.157029E-02   3.78214      0.515939      0.655734      0.424497      0.747175      0.914414E-01  -.914414E-01   1.17167      0.313910      0.405352      0.313974      0.110587      0.278499E-01   0.00000      0.313974    
  0.162576E-02   3.74118      0.511447      0.647924      0.419499      0.739872      0.919482E-01  -.919482E-01   1.15937      0.310182      0.402130      0.310245      0.109317      0.274974E-01   0.00000      0.310245    
  0.168318E-02   3.70022      0.506956      0.640115      0.414501      0.732569      0.924550E-01  -.924550E-01   1.14707      0.306453      0.398908      0.306516      0.108047      0.271448E-01   0.00000      0.306516    
  0.174263E-02   3.65926      0.502464      0.632305      0.409502      0.725267      0.929618E-01  -.929618E-01   1.13477      0.302725      0.395687      0.302788      0.106778      0.267922E-01   0.00000      0.302788    
  0.180419E-02   3.61829      0.497973      0.624495      0.404504      0.717964      0.934686E-01  -.934686E-01   1.12247      0.298996      0.392465      0.299059      0.105508      0.264397E-01   0.00000      0.299059    
  0.186791E-02   3.57733      0.493481      0.616686      0.399506      0.710661      0.939754E-01  -.939754E-01   1.11017      0.295268      0.389243      0.295331      0.104238      0.260871E-01   0.00000      0.295331    
  0.193389E-02   3.53637      0.488990      0.608876      0.394508      0.703358      0.944822E-01  -.944822E-01   1.09787      0.291540      0.386022      0.291602      0.102968      0.257346E-01   0.00000      0.291602    
  0.200220E-02   3.49540      0.484498      0.601067      0.389509      0.696056      0.949890E-01  -.949890E-01   1.08556      0.287811      0.382800      0.287873      0.101698      0.253820E-01   0.00000      0.287873    
  0.207292E-02   3.45444      0.480007      0.593257      0.384511      0.688753      0.954958E-01  -.954958E-01   1.07326      0.284083      0.379579      0.284145      0.100428      0.250295E-01   0.00000      0.284145    
  0.214614E-02   3.41667      0.475833      0.586076      0.379894      0.682015      0.959394E-01  -.959394E-01   1.06191      0.280655      0.376594      0.280717      0.992391E-01  0.247041E-01   0.00000      0.280717    
  0.222195E-02   3.37903      0.471673      0.578921      0.375293      0.675301      0.963803E-01  -.963803E-01   1.05059      0.277240      0.373620      0.277302      0.980535E-01  0.243799E-01   0.00000      0.277302    
  0.230043E-02   3.34138      0.467514      0.571766      0.370692      0.668588      0.968213E-01  -.968213E-01   1.03928      0.273825      0.370646      0.273886      0.968678E-01  0.240556E-01   0.00000      0.273886    
  0.238169E-02   3.30374      0.463354      0.564612      0.366092      0.661874      0.972622E-01  -.972622E-01   1.02797      0.270409      0.367672      0.270471      0.956822E-01  0.237314E-01   0.00000      0.270471    
  0.246581E-02   3.26610      0.459194      0.557457      0.361491      0.655160      0.977031E-01  -.977031E-01   1.01665      0.266994      0.364697      0.267056      0.944966E-01  0.234072E-01   0.00000      0.267056    
  0.255291E-02   3.22846      0.455034      0.550303      0.356890      0.648447      0.981441E-01  -.981441E-01   1.00534      0.263579      0.361723      0.263641      0.933110E-01  0.230830E-01   0.00000      0.263641    
  0.264308E-02   3.19082      0.450874      0.543148      0.352289      0.641733      0.985850E-01  -.985850E-01  0.994022      0.260164      0.358749      0.260225      0.921254E-01  0.227587E-01   0.00000      0.260225    
  0.273644E-02   3.15318      0.446714      0.535993      0.347689      0.635019      0.990259E-01  -.990259E-01  0.982708      0.256749      0.355775      0.256810      0.909398E-01  0.224345E-01   0.00000      0.256810    
  0.283310E-02   3.11700      0.442710      0.529179      0.343288      0.628600      0.994213E-01  -.994213E-01  0.971889      0.253498      0.352919      0.253559      0.897906E-01  0.221227E-01   0.00000      0.253559    
  0.293317E-02   3.08238      0.438869      0.522726      0.339101      0.622495      0.997683E-01  -.997683E-01  0.961596      0.250421      0.350189      0.250482      0.886801E-01  0.218241E-01   0.00000      0.250482    
  0.303677E-02   3.04775      0.435029      0.516274      0.334913      0.616389      0.100115      -.100115      0.951303      0.247344      0.347459      0.247405      0.875696E-01  0.215254E-01   0.00000      0.247405    
  0.314404E-02   3.01313      0.431188      0.509821      0.330726      0.610284      0.100462      -.100462      0.941010      0.244267      0.344729      0.244328      0.864591E-01  0.212268E-01   0.00000      0.244328    
  0.325509E-02   2.97850      0.427348      0.503369      0.326538      0.604178      0.100809      -.100809      0.930716      0.241190      0.341999      0.241251      0.853486E-01  0.209282E-01   0.00000      0.241251    
  0.337006E-02   2.94388      0.423507      0.496916      0.322351      0.598073      0.101156      -.101156      0.920423      0.238113      0.339269      0.238174      0.842381E-01  0.206295E-01   0.00000      0.238174    
  0.348910E-02   2.90925      0.419667      0.490464      0.318164      0.591967      0.101503      -.101503      0.910130      0.235036      0.336539      0.235097      0.831276E-01  0.203309E-01   0.00000      0.235097    
  0.361234E-02   2.87462      0.415826      0.484011      0.313976      0.585861      0.101850      -.101850      0.899837      0.231959      0.333809      0.232020      0.820171E-01  0.200323E-01   0.00000      0.232020    
  0.373994E-02   2.84003      0.411989      0.477567      0.309793      0.579763      0.102196      -.102196      0.889556      0.228886      0.331082      0.228947      0.809074E-01  0.197339E-01   0.00000      0.228947    
  0.387204E-02   2.80811      0.408458      0.471881      0.306045      0.574294      0.102413      -.102413      0.880339      0.226181      0.328594      0.226242      0.798637E-01  0.194583E-01   0.00000      0.226242    
  0.400881E-02   2.77620      0.404926      0.466196      0.302296      0.568826      0.102630      -.102630      0.871123      0.223476      0.326106      0.223537      0.788201E-01  0.191827E-01   0.00000      0.223537    
  0.415040E-02   2.74428      0.401395      0.460511      0.298548      0.563358      0.102847      -.102847      0.861906      0.220771      0.323618      0.220832      0.777765E-01  0.189072E-01   0.00000      0.220832    
  0.429700E-02   2.71237      0.397864      0.454826      0.294800      0.557890      0.103064      -.103064      0.852689      0.218067      0.321131      0.218128      0.767329E-01  0.186316E-01   0.00000      0.218128    
  0.444878E-02   2.68046      0.394332      0.449141      0.291051      0.552422      0.103281      -.103281      0.843473      0.215362      0.318643      0.215423      0.756893E-01  0.183561E-01   0.00000      0.215423    
  0.460592E-02   2.64854      0.390801      0.443456      0.287303      0.546954      0.103498      -.103498      0.834256      0.212657      0.316155      0.212718      0.746457E-01  0.180805E-01   0.00000      0.212718    
  0.476861E-02   2.61663      0.387269      0.437770      0.283554      0.541485      0.103715      -.103715      0.825040      0.209952      0.313667      0.210013      0.736021E-01  0.178049E-01   0.00000      0.210013    
