   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.57978      0.177805E-01  0.205034E-01  0.102517E-01  0.280323E-01  0.752882E-02  -.752882E-02  0.382840E-01  0.102517E-01  0.177805E-01  0.102517E-01   0.00000       0.00000       0.00000      0.102517E-01
  0.103532E-02   5.50673      0.182295E-01  0.210163E-01  0.105082E-01  0.287376E-01  0.772132E-02  -.772132E-02  0.392458E-01  0.105082E-01  0.182295E-01  0.105082E-01   0.00000       0.00000       0.00000      0.105082E-01
  0.107189E-02   5.43369      0.186784E-01  0.215292E-01  0.107646E-01  0.294430E-01  0.791381E-02  -.791381E-02  0.402076E-01  0.107646E-01  0.186784E-01  0.107646E-01   0.00000       0.00000       0.00000      0.107646E-01
  0.110975E-02   5.36065      0.191273E-01  0.220421E-01  0.110210E-01  0.301484E-01  0.810630E-02  -.810630E-02  0.411694E-01  0.110210E-01  0.191273E-01  0.110210E-01   0.00000       0.00000       0.00000      0.110210E-01
  0.114895E-02   5.28760      0.195763E-01  0.225549E-01  0.112775E-01  0.308537E-01  0.829880E-02  -.829880E-02  0.421312E-01  0.112775E-01  0.195763E-01  0.112775E-01   0.00000       0.00000       0.00000      0.112775E-01
  0.118953E-02   5.22137      0.201219E-01  0.231761E-01  0.115881E-01  0.317100E-01  0.853381E-02  -.853381E-02  0.432980E-01  0.115881E-01  0.201219E-01  0.115881E-01   0.00000       0.00000       0.00000      0.115881E-01
  0.123155E-02   5.15583      0.206774E-01  0.238084E-01  0.119042E-01  0.325815E-01  0.877316E-02  -.877316E-02  0.444857E-01  0.119042E-01  0.206774E-01  0.119042E-01   0.00000       0.00000       0.00000      0.119042E-01
  0.127505E-02   5.09029      0.212328E-01  0.244406E-01  0.122203E-01  0.334531E-01  0.901250E-02  -.901250E-02  0.456734E-01  0.122203E-01  0.212328E-01  0.122203E-01   0.00000       0.00000       0.00000      0.122203E-01
  0.132009E-02   5.02475      0.217883E-01  0.250729E-01  0.125364E-01  0.343247E-01  0.925185E-02  -.925185E-02  0.468612E-01  0.125364E-01  0.217883E-01  0.125364E-01   0.00000       0.00000       0.00000      0.125364E-01
  0.136672E-02   4.95921      0.223437E-01  0.257051E-01  0.128526E-01  0.351963E-01  0.949119E-02  -.949119E-02  0.480489E-01  0.128526E-01  0.223437E-01  0.128526E-01   0.00000       0.00000       0.00000      0.128526E-01
  0.141499E-02   4.89367      0.228992E-01  0.263374E-01  0.131687E-01  0.360679E-01  0.973054E-02  -.973054E-02  0.492366E-01  0.131687E-01  0.228992E-01  0.131687E-01   0.00000       0.00000       0.00000      0.131687E-01
  0.146497E-02   4.82813      0.234547E-01  0.269696E-01  0.134848E-01  0.369395E-01  0.996988E-02  -.996988E-02  0.504243E-01  0.134848E-01  0.234547E-01  0.134848E-01   0.00000       0.00000       0.00000      0.134848E-01
  0.151672E-02   4.76259      0.240101E-01  0.276018E-01  0.138009E-01  0.378111E-01  0.102092E-01  -.102092E-01  0.516120E-01  0.138009E-01  0.240101E-01  0.138009E-01   0.00000       0.00000       0.00000      0.138009E-01
  0.157029E-02   4.69996      0.246223E-01  0.282971E-01  0.141485E-01  0.387709E-01  0.104738E-01  -.104738E-01  0.529194E-01  0.141485E-01  0.246223E-01  0.141485E-01   0.00000       0.00000       0.00000      0.141485E-01
  0.162576E-02   4.64112      0.253086E-01  0.290747E-01  0.145373E-01  0.398460E-01  0.107713E-01  -.107713E-01  0.543833E-01  0.145373E-01  0.253086E-01  0.145373E-01   0.00000       0.00000       0.00000      0.145373E-01
  0.168318E-02   4.58228      0.259950E-01  0.298523E-01  0.149261E-01  0.409211E-01  0.110688E-01  -.110688E-01  0.558472E-01  0.149261E-01  0.259950E-01  0.149261E-01   0.00000       0.00000       0.00000      0.149261E-01
  0.174263E-02   4.52345      0.266813E-01  0.306299E-01  0.153149E-01  0.419962E-01  0.113663E-01  -.113663E-01  0.573111E-01  0.153149E-01  0.266813E-01  0.153149E-01   0.00000       0.00000       0.00000      0.153149E-01
  0.180419E-02   4.46461      0.273676E-01  0.314074E-01  0.157037E-01  0.430713E-01  0.116639E-01  -.116639E-01  0.587750E-01  0.157037E-01  0.273676E-01  0.157037E-01   0.00000       0.00000       0.00000      0.157037E-01
  0.186791E-02   4.40577      0.280539E-01  0.321850E-01  0.160925E-01  0.441464E-01  0.119614E-01  -.119614E-01  0.602389E-01  0.160925E-01  0.280539E-01  0.160925E-01   0.00000       0.00000       0.00000      0.160925E-01
  0.193389E-02   4.34693      0.287402E-01  0.329626E-01  0.164813E-01  0.452215E-01  0.122589E-01  -.122589E-01  0.617029E-01  0.164813E-01  0.287402E-01  0.164813E-01   0.00000       0.00000       0.00000      0.164813E-01
  0.200220E-02   4.28810      0.294265E-01  0.337402E-01  0.168701E-01  0.462967E-01  0.125564E-01  -.125564E-01  0.631668E-01  0.168701E-01  0.294265E-01  0.168701E-01   0.00000       0.00000       0.00000      0.168701E-01
  0.207292E-02   4.22926      0.301129E-01  0.345178E-01  0.172589E-01  0.473718E-01  0.128540E-01  -.128540E-01  0.646307E-01  0.172589E-01  0.301129E-01  0.172589E-01   0.00000       0.00000       0.00000      0.172589E-01
  0.214614E-02   4.17616      0.309527E-01  0.354640E-01  0.177320E-01  0.486847E-01  0.132207E-01  -.132207E-01  0.664167E-01  0.177320E-01  0.309527E-01  0.177320E-01   0.00000       0.00000       0.00000      0.177320E-01
  0.222195E-02   4.12330      0.317991E-01  0.364173E-01  0.182087E-01  0.500078E-01  0.135904E-01  -.135904E-01  0.682164E-01  0.182087E-01  0.317991E-01  0.182087E-01   0.00000       0.00000       0.00000      0.182087E-01
  0.230043E-02   4.07044      0.326455E-01  0.373707E-01  0.186854E-01  0.513308E-01  0.139601E-01  -.139601E-01  0.700162E-01  0.186854E-01  0.326455E-01  0.186854E-01   0.00000       0.00000       0.00000      0.186854E-01
  0.238169E-02   4.01758      0.334919E-01  0.383241E-01  0.191620E-01  0.526539E-01  0.143298E-01  -.143298E-01  0.718159E-01  0.191620E-01  0.334919E-01  0.191620E-01   0.00000       0.00000       0.00000      0.191620E-01
  0.246581E-02   3.96472      0.343382E-01  0.392774E-01  0.196387E-01  0.539770E-01  0.146995E-01  -.146995E-01  0.736157E-01  0.196387E-01  0.343382E-01  0.196387E-01   0.00000       0.00000       0.00000      0.196387E-01
  0.255291E-02   3.91186      0.351846E-01  0.402308E-01  0.201154E-01  0.553000E-01  0.150692E-01  -.150692E-01  0.754154E-01  0.201154E-01  0.351846E-01  0.201154E-01   0.00000       0.00000       0.00000      0.201154E-01
  0.264308E-02   3.85900      0.360310E-01  0.411841E-01  0.205921E-01  0.566231E-01  0.154390E-01  -.154390E-01  0.772151E-01  0.205921E-01  0.360310E-01  0.205921E-01   0.00000       0.00000       0.00000      0.205921E-01
  0.273644E-02   3.80615      0.368774E-01  0.421375E-01  0.210687E-01  0.579461E-01  0.158087E-01  -.158087E-01  0.790149E-01  0.210687E-01  0.368774E-01  0.210687E-01   0.00000       0.00000       0.00000      0.210687E-01
  0.283310E-02   3.75587      0.378182E-01  0.431929E-01  0.215965E-01  0.594147E-01  0.162218E-01  -.162218E-01  0.810111E-01  0.215965E-01  0.378182E-01  0.215965E-01   0.00000       0.00000       0.00000      0.215965E-01
  0.293317E-02   3.70834      0.388593E-01  0.443568E-01  0.221784E-01  0.610377E-01  0.166809E-01  -.166809E-01  0.832161E-01  0.221784E-01  0.388593E-01  0.221784E-01   0.00000       0.00000       0.00000      0.221784E-01
  0.303677E-02   3.66081      0.399005E-01  0.455207E-01  0.227603E-01  0.626608E-01  0.171401E-01  -.171401E-01  0.854212E-01  0.227603E-01  0.399005E-01  0.227603E-01   0.00000       0.00000       0.00000      0.227603E-01
  0.314404E-02   3.61327      0.409416E-01  0.466846E-01  0.233423E-01  0.642839E-01  0.175993E-01  -.175993E-01  0.876262E-01  0.233423E-01  0.409416E-01  0.233423E-01   0.00000       0.00000       0.00000      0.233423E-01
  0.325509E-02   3.56574      0.419827E-01  0.478484E-01  0.239242E-01  0.659069E-01  0.180585E-01  -.180585E-01  0.898312E-01  0.239242E-01  0.419827E-01  0.239242E-01   0.00000       0.00000       0.00000      0.239242E-01
  0.337006E-02   3.51821      0.430239E-01  0.490123E-01  0.245062E-01  0.675300E-01  0.185177E-01  -.185177E-01  0.920362E-01  0.245062E-01  0.430239E-01  0.245062E-01   0.00000       0.00000       0.00000      0.245062E-01
  0.348910E-02   3.47068      0.440650E-01  0.501762E-01  0.250881E-01  0.691531E-01  0.189769E-01  -.189769E-01  0.942412E-01  0.250881E-01  0.440650E-01  0.250881E-01   0.00000       0.00000       0.00000      0.250881E-01
  0.361234E-02   3.42314      0.451061E-01  0.513401E-01  0.256700E-01  0.707761E-01  0.194361E-01  -.194361E-01  0.964462E-01  0.256700E-01  0.451061E-01  0.256700E-01   0.00000       0.00000       0.00000      0.256700E-01
  0.373994E-02   3.37566      0.461497E-01  0.525066E-01  0.262533E-01  0.724030E-01  0.198964E-01  -.198964E-01  0.986563E-01  0.262533E-01  0.461497E-01  0.262533E-01   0.00000       0.00000       0.00000      0.262533E-01
  0.387204E-02   3.33287      0.474260E-01  0.539193E-01  0.269596E-01  0.743857E-01  0.204664E-01  -.204664E-01  0.101345      0.269596E-01  0.474260E-01  0.269596E-01   0.00000       0.00000       0.00000      0.269596E-01
  0.400881E-02   3.29007      0.487023E-01  0.553319E-01  0.276660E-01  0.763683E-01  0.210364E-01  -.210364E-01  0.104034      0.276660E-01  0.487023E-01  0.276660E-01   0.00000       0.00000       0.00000      0.276660E-01
  0.415040E-02   3.24727      0.499786E-01  0.567446E-01  0.283723E-01  0.783509E-01  0.216063E-01  -.216063E-01  0.106723      0.283723E-01  0.499786E-01  0.283723E-01   0.00000       0.00000       0.00000      0.283723E-01
  0.429700E-02   3.20448      0.512549E-01  0.581573E-01  0.290786E-01  0.803336E-01  0.221763E-01  -.221763E-01  0.109412      0.290786E-01  0.512549E-01  0.290786E-01   0.00000       0.00000       0.00000      0.290786E-01
  0.444878E-02   3.16168      0.525312E-01  0.595700E-01  0.297850E-01  0.823162E-01  0.227462E-01  -.227462E-01  0.112101      0.297850E-01  0.525312E-01  0.297850E-01   0.00000       0.00000       0.00000      0.297850E-01
  0.460592E-02   3.11889      0.538075E-01  0.609826E-01  0.304913E-01  0.842988E-01  0.233162E-01  -.233162E-01  0.114790      0.304913E-01  0.538075E-01  0.304913E-01   0.00000       0.00000       0.00000      0.304913E-01
  0.476861E-02   3.07609      0.550838E-01  0.623953E-01  0.311976E-01  0.862815E-01  0.238862E-01  -.238862E-01  0.117479      0.311976E-01  0.550838E-01  0.311976E-01   0.00000       0.00000       0.00000      0.311976E-01
  0.493705E-02   3.03329      0.563601E-01  0.638080E-01  0.319040E-01  0.882641E-01  0.244561E-01  -.244561E-01  0.120168      0.319040E-01  0.563601E-01  0.319040E-01   0.00000       0.00000       0.00000      0.319040E-01
  0.511143E-02   2.99275      0.577872E-01  0.653753E-01  0.326877E-01  0.904748E-01  0.250995E-01  -.250995E-01  0.123163      0.326877E-01  0.577872E-01  0.326877E-01   0.00000       0.00000       0.00000      0.326877E-01
  0.529198E-02   2.95416      0.593446E-01  0.670764E-01  0.335382E-01  0.928828E-01  0.258063E-01  -.258063E-01  0.126421      0.335382E-01  0.593446E-01  0.335382E-01   0.00000       0.00000       0.00000      0.335382E-01
