   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.8514      0.854556      0.946854      0.841032      0.960378      0.135236E-01  -.135236E-01   1.80141      0.432384      0.445907      0.432503      0.408649      0.819669E-01   0.00000      0.432503    
  0.103532E-02   13.6270      0.841367      0.932062      0.827529      0.945901      0.138385E-01  -.138385E-01   1.77343      0.425704      0.439542      0.425824      0.401825      0.805342E-01   0.00000      0.425824    
  0.107189E-02   13.4026      0.828179      0.917271      0.814025      0.931424      0.141534E-01  -.141534E-01   1.74545      0.419024      0.433177      0.419145      0.395002      0.791015E-01   0.00000      0.419145    
  0.110975E-02   13.1781      0.814990      0.902479      0.800522      0.916947      0.144683E-01  -.144683E-01   1.71747      0.412344      0.426812      0.412466      0.388178      0.776688E-01   0.00000      0.412466    
  0.114895E-02   12.9537      0.801801      0.887687      0.787018      0.902470      0.147832E-01  -.147832E-01   1.68949      0.405664      0.420447      0.405787      0.381354      0.762361E-01   0.00000      0.405787    
  0.118953E-02   12.7537      0.790207      0.874662      0.775048      0.889822      0.151593E-01  -.151593E-01   1.66487      0.399787      0.414946      0.399912      0.375261      0.749633E-01   0.00000      0.399912    
  0.123155E-02   12.5562      0.778775      0.861817      0.763234      0.877359      0.155416E-01  -.155416E-01   1.64059      0.393992      0.409534      0.394118      0.369241      0.737068E-01   0.00000      0.394118    
  0.127505E-02   12.3587      0.767344      0.848972      0.751420      0.864896      0.159240E-01  -.159240E-01   1.61632      0.388197      0.404121      0.388324      0.363222      0.724503E-01   0.00000      0.388324    
  0.132009E-02   12.1612      0.755912      0.836127      0.739605      0.852433      0.163063E-01  -.163063E-01   1.59204      0.382403      0.398709      0.382531      0.357203      0.711938E-01   0.00000      0.382531    
  0.136672E-02   11.9637      0.744480      0.823282      0.727791      0.839971      0.166887E-01  -.166887E-01   1.56776      0.376608      0.393297      0.376737      0.351183      0.699374E-01   0.00000      0.376737    
  0.141499E-02   11.7662      0.733048      0.810437      0.715977      0.827508      0.170710E-01  -.170710E-01   1.54349      0.370813      0.387884      0.370943      0.345164      0.686809E-01   0.00000      0.370943    
  0.146497E-02   11.5687      0.721616      0.797592      0.704163      0.815045      0.174534E-01  -.174534E-01   1.51921      0.365018      0.382472      0.365149      0.339145      0.674244E-01   0.00000      0.365149    
  0.151672E-02   11.3712      0.710185      0.784747      0.692349      0.802583      0.178357E-01  -.178357E-01   1.49493      0.359224      0.377059      0.359356      0.333125      0.661679E-01   0.00000      0.359356    
  0.157029E-02   11.1840      0.699441      0.772661      0.681187      0.790914      0.182533E-01  -.182533E-01   1.47210      0.353775      0.372028      0.353908      0.327413      0.649785E-01   0.00000      0.353908    
  0.162576E-02   11.0102      0.689596      0.761566      0.670879      0.780283      0.187170E-01  -.187170E-01   1.45116      0.348778      0.367495      0.348911      0.322101      0.638769E-01   0.00000      0.348911    
  0.168318E-02   10.8364      0.679751      0.750471      0.660571      0.769652      0.191806E-01  -.191806E-01   1.43022      0.343781      0.362961      0.343915      0.316790      0.627752E-01   0.00000      0.343915    
  0.174263E-02   10.6626      0.669907      0.739377      0.650262      0.759021      0.196443E-01  -.196443E-01   1.40928      0.338784      0.358428      0.338919      0.311479      0.616736E-01   0.00000      0.338919    
  0.180419E-02   10.4888      0.660062      0.728282      0.639954      0.748390      0.201079E-01  -.201079E-01   1.38834      0.333787      0.353895      0.333923      0.306167      0.605720E-01   0.00000      0.333923    
  0.186791E-02   10.3150      0.650217      0.717187      0.629646      0.737759      0.205716E-01  -.205716E-01   1.36740      0.328790      0.349361      0.328927      0.300856      0.594703E-01   0.00000      0.328927    
  0.193389E-02   10.1412      0.640373      0.706092      0.619337      0.727128      0.210352E-01  -.210352E-01   1.34647      0.323793      0.344828      0.323931      0.295545      0.583687E-01   0.00000      0.323931    
  0.200220E-02   9.96735      0.630528      0.694998      0.609029      0.716497      0.214989E-01  -.214989E-01   1.32553      0.318796      0.340295      0.318935      0.290233      0.572671E-01   0.00000      0.318935    
  0.207292E-02   9.79355      0.620683      0.683903      0.598721      0.705866      0.219625E-01  -.219625E-01   1.30459      0.313799      0.335761      0.313939      0.284922      0.561654E-01   0.00000      0.313939    
  0.214614E-02   9.63972      0.612224      0.674326      0.589704      0.696846      0.225199E-01  -.225199E-01   1.28655      0.309495      0.332015      0.309636      0.280209      0.551943E-01   0.00000      0.309636    
  0.222195E-02   9.48674      0.603823      0.664813      0.580742      0.687894      0.230812E-01  -.230812E-01   1.26864      0.305221      0.328303      0.305363      0.275521      0.542287E-01   0.00000      0.305363    
  0.230043E-02   9.33376      0.595423      0.655301      0.571780      0.678943      0.236426E-01  -.236426E-01   1.25072      0.300948      0.324590      0.301090      0.270833      0.532631E-01   0.00000      0.301090    
  0.238169E-02   9.18078      0.587023      0.645788      0.562819      0.669992      0.242039E-01  -.242039E-01   1.23281      0.296674      0.320878      0.296817      0.266145      0.522976E-01   0.00000      0.296817    
  0.246581E-02   9.02780      0.578622      0.636275      0.553857      0.661041      0.247653E-01  -.247653E-01   1.21490      0.292400      0.317165      0.292544      0.261457      0.513320E-01   0.00000      0.292544    
  0.255291E-02   8.87482      0.570222      0.626763      0.544895      0.652089      0.253266E-01  -.253266E-01   1.19698      0.288126      0.313453      0.288270      0.256769      0.503664E-01   0.00000      0.288270    
  0.264308E-02   8.72184      0.561821      0.617250      0.535933      0.643138      0.258880E-01  -.258880E-01   1.17907      0.283852      0.309740      0.283997      0.252081      0.494008E-01   0.00000      0.283997    
  0.273644E-02   8.56886      0.553421      0.607738      0.526972      0.634187      0.264493E-01  -.264493E-01   1.16116      0.279578      0.306027      0.279724      0.247394      0.484352E-01   0.00000      0.279724    
  0.283310E-02   8.42476      0.545663      0.598922      0.518596      0.625990      0.270674E-01  -.270674E-01   1.14459      0.275624      0.302691      0.275771      0.242972      0.475276E-01   0.00000      0.275771    
  0.293317E-02   8.29008      0.538589      0.590848      0.510843      0.618594      0.277458E-01  -.277458E-01   1.12944      0.272010      0.299755      0.272157      0.238833      0.466816E-01   0.00000      0.272157    
  0.303677E-02   8.15539      0.531514      0.582773      0.503090      0.611197      0.284242E-01  -.284242E-01   1.11429      0.268395      0.296819      0.268543      0.234695      0.458356E-01   0.00000      0.268543    
  0.314404E-02   8.02071      0.524439      0.574699      0.495337      0.603801      0.291026E-01  -.291026E-01   1.09914      0.264781      0.293883      0.264929      0.230556      0.449896E-01   0.00000      0.264929    
  0.325509E-02   7.88603      0.517365      0.566624      0.487584      0.596405      0.297810E-01  -.297810E-01   1.08399      0.261166      0.290947      0.261315      0.226418      0.441436E-01   0.00000      0.261315    
  0.337006E-02   7.75135      0.510290      0.558550      0.479831      0.589009      0.304594E-01  -.304594E-01   1.06884      0.257552      0.288011      0.257701      0.222279      0.432976E-01   0.00000      0.257701    
  0.348910E-02   7.61667      0.503215      0.550475      0.472078      0.581613      0.311378E-01  -.311378E-01   1.05369      0.253937      0.285075      0.254087      0.218141      0.424516E-01   0.00000      0.254087    
  0.361234E-02   7.48198      0.496141      0.542401      0.464325      0.574217      0.318162E-01  -.318162E-01   1.03854      0.250323      0.282139      0.250473      0.214002      0.416055E-01   0.00000      0.250473    
  0.373994E-02   7.34747      0.489079      0.534340      0.456583      0.566836      0.324961E-01  -.324961E-01   1.02342      0.246714      0.279211      0.246865      0.209869      0.407606E-01   0.00000      0.246865    
  0.387204E-02   7.22885      0.483233      0.527580      0.449919      0.560894      0.333141E-01  -.333141E-01   1.01081      0.243705      0.277019      0.243855      0.206215      0.400197E-01   0.00000      0.243855    
  0.400881E-02   7.11022      0.477388      0.520819      0.443255      0.554951      0.341322E-01  -.341322E-01  0.998207      0.240695      0.274827      0.240846      0.202561      0.392788E-01   0.00000      0.240846    
  0.415040E-02   6.99160      0.471542      0.514059      0.436591      0.549009      0.349502E-01  -.349502E-01  0.985600      0.237685      0.272635      0.237836      0.198907      0.385379E-01   0.00000      0.237836    
  0.429700E-02   6.87297      0.465696      0.507298      0.429928      0.543067      0.357683E-01  -.357683E-01  0.972994      0.234675      0.270443      0.234826      0.195253      0.377971E-01   0.00000      0.234826    
  0.444878E-02   6.75434      0.459850      0.500538      0.423264      0.537124      0.365863E-01  -.365863E-01  0.960388      0.231665      0.268251      0.231817      0.191599      0.370562E-01   0.00000      0.231817    
  0.460592E-02   6.63572      0.454004      0.493777      0.416600      0.531182      0.374044E-01  -.374044E-01  0.947781      0.228655      0.266059      0.228807      0.187945      0.363153E-01   0.00000      0.228807    
  0.476861E-02   6.51709      0.448158      0.487017      0.409936      0.525239      0.382225E-01  -.382225E-01  0.935175      0.225645      0.263868      0.225797      0.184291      0.355744E-01   0.00000      0.225797    
  0.493705E-02   6.39847      0.442312      0.480256      0.403272      0.519297      0.390405E-01  -.390405E-01  0.922569      0.222635      0.261676      0.222788      0.180637      0.348335E-01   0.00000      0.222788    
  0.511143E-02   6.28739      0.437084      0.474142      0.397136      0.514089      0.399475E-01  -.399475E-01  0.911226      0.219924      0.259871      0.220076      0.177212      0.341422E-01   0.00000      0.220076    
  0.529198E-02   6.18284      0.432388      0.468586      0.391457      0.509517      0.409314E-01  -.409314E-01  0.900974      0.217470      0.258401      0.217622      0.173987      0.334938E-01   0.00000      0.217622    
