   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.7576      0.812081      0.905774      0.797790      0.920065      0.142904E-01  -.142904E-01   1.71785      0.413249      0.427539      0.413369      0.384541      0.791564E-01   0.00000      0.413369    
  0.103532E-02   12.5741      0.801159      0.893537      0.786541      0.908155      0.146180E-01  -.146180E-01   1.69470      0.407767      0.422385      0.407888      0.378773      0.778813E-01   0.00000      0.407888    
  0.107189E-02   12.3905      0.790236      0.881300      0.775291      0.896246      0.149456E-01  -.149456E-01   1.67154      0.402286      0.417232      0.402408      0.373005      0.766062E-01   0.00000      0.402408    
  0.110975E-02   12.2070      0.779314      0.869063      0.764041      0.884336      0.152732E-01  -.152732E-01   1.64838      0.396804      0.412078      0.396928      0.367237      0.753312E-01   0.00000      0.396928    
  0.114895E-02   12.0235      0.768392      0.856826      0.752791      0.872427      0.156007E-01  -.156007E-01   1.62522      0.391323      0.406924      0.391447      0.361468      0.740561E-01   0.00000      0.391447    
  0.118953E-02   11.8569      0.758649      0.845908      0.742658      0.861898      0.159908E-01  -.159908E-01   1.60456      0.386438      0.402429      0.386564      0.356219      0.729055E-01   0.00000      0.386564    
  0.123155E-02   11.6919      0.749025      0.835123      0.732638      0.851510      0.163872E-01  -.163872E-01   1.58415      0.381615      0.398002      0.381741      0.351023      0.717677E-01   0.00000      0.381741    
  0.127505E-02   11.5270      0.739401      0.824338      0.722618      0.841122      0.167837E-01  -.167837E-01   1.56374      0.376791      0.393574      0.376918      0.345827      0.706298E-01   0.00000      0.376918    
  0.132009E-02   11.3621      0.729778      0.813554      0.712598      0.830734      0.171801E-01  -.171801E-01   1.54333      0.371967      0.389147      0.372095      0.340631      0.694919E-01   0.00000      0.372095    
  0.136672E-02   11.1972      0.720154      0.802769      0.702577      0.820346      0.175765E-01  -.175765E-01   1.52292      0.367143      0.384719      0.367272      0.335435      0.683541E-01   0.00000      0.367272    
  0.141499E-02   11.0323      0.710530      0.791984      0.692557      0.809957      0.179730E-01  -.179730E-01   1.50251      0.362319      0.380292      0.362449      0.330238      0.672162E-01   0.00000      0.362449    
  0.146497E-02   10.8674      0.700907      0.781200      0.682537      0.799569      0.183694E-01  -.183694E-01   1.48211      0.357495      0.375865      0.357626      0.325042      0.660783E-01   0.00000      0.357626    
  0.151672E-02   10.7025      0.691283      0.770415      0.672517      0.789181      0.187659E-01  -.187659E-01   1.46170      0.352671      0.371437      0.352803      0.319846      0.649405E-01   0.00000      0.352803    
  0.157029E-02   10.5448      0.682184      0.760214      0.662986      0.779412      0.191981E-01  -.191981E-01   1.44240      0.348112      0.367311      0.348246      0.314873      0.638560E-01   0.00000      0.348246    
  0.162576E-02   10.3967      0.673770      0.750775      0.654093      0.770452      0.196773E-01  -.196773E-01   1.42455      0.343900      0.363577      0.344034      0.310193      0.628414E-01   0.00000      0.344034    
  0.168318E-02   10.2485      0.665357      0.741337      0.645201      0.761493      0.201564E-01  -.201564E-01   1.40669      0.339687      0.359844      0.339822      0.305513      0.618268E-01   0.00000      0.339822    
  0.174263E-02   10.1003      0.656944      0.731898      0.636308      0.752533      0.206355E-01  -.206355E-01   1.38884      0.335475      0.356110      0.335611      0.300833      0.608121E-01   0.00000      0.335611    
  0.180419E-02   9.95218      0.648530      0.722459      0.627416      0.743574      0.211146E-01  -.211146E-01   1.37099      0.331263      0.352377      0.331399      0.296153      0.597975E-01   0.00000      0.331399    
  0.186791E-02   9.80402      0.640117      0.713020      0.618523      0.734614      0.215937E-01  -.215937E-01   1.35314      0.327050      0.348644      0.327188      0.291473      0.587829E-01   0.00000      0.327188    
  0.193389E-02   9.65586      0.631703      0.703582      0.609630      0.725655      0.220728E-01  -.220728E-01   1.33528      0.322838      0.344910      0.322976      0.286793      0.577683E-01   0.00000      0.322976    
  0.200220E-02   9.50771      0.623290      0.694143      0.600738      0.716695      0.225520E-01  -.225520E-01   1.31743      0.318625      0.341177      0.318764      0.282113      0.567537E-01   0.00000      0.318764    
  0.207292E-02   9.35955      0.614876      0.684704      0.591845      0.707735      0.230311E-01  -.230311E-01   1.29958      0.314413      0.337444      0.314553      0.277433      0.557390E-01   0.00000      0.314553    
  0.214614E-02   9.22585      0.607553      0.676467      0.583947      0.700072      0.236052E-01  -.236052E-01   1.28402      0.310748      0.334353      0.310889      0.273199      0.548306E-01   0.00000      0.310889    
  0.222195E-02   9.09276      0.600275      0.668281      0.576092      0.692464      0.241833E-01  -.241833E-01   1.26856      0.307106      0.331290      0.307248      0.268985      0.539266E-01   0.00000      0.307248    
  0.230043E-02   8.95967      0.592998      0.660095      0.568236      0.684856      0.247614E-01  -.247614E-01   1.25309      0.303465      0.328226      0.303607      0.264771      0.530227E-01   0.00000      0.303607    
  0.238169E-02   8.82658      0.585720      0.651909      0.560381      0.677248      0.253395E-01  -.253395E-01   1.23763      0.299824      0.325163      0.299967      0.260557      0.521187E-01   0.00000      0.299967    
  0.246581E-02   8.69349      0.578443      0.643723      0.552525      0.669640      0.259176E-01  -.259176E-01   1.22217      0.296182      0.322100      0.296326      0.256343      0.512148E-01   0.00000      0.296326    
  0.255291E-02   8.56040      0.571165      0.635537      0.544670      0.662032      0.264957E-01  -.264957E-01   1.20670      0.292541      0.319037      0.292685      0.252129      0.503108E-01   0.00000      0.292685    
  0.264308E-02   8.42731      0.563888      0.627351      0.536814      0.654425      0.270738E-01  -.270738E-01   1.19124      0.288899      0.315973      0.289044      0.247915      0.494069E-01   0.00000      0.289044    
  0.273644E-02   8.29423      0.556610      0.619165      0.528958      0.646817      0.276519E-01  -.276519E-01   1.17578      0.285258      0.312910      0.285404      0.243700      0.485030E-01   0.00000      0.285404    
  0.283310E-02   8.16770      0.549854      0.611546      0.521567      0.639833      0.282873E-01  -.282873E-01   1.16140      0.281876      0.310163      0.282022      0.239690      0.476472E-01   0.00000      0.282022    
