   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   7.60684      0.544095      0.639530      0.530909      0.652717      0.131865E-01  -.131865E-01   1.18363      0.292266      0.305452      0.292385      0.238643      0.548796E-01   0.00000      0.292385    
  0.103532E-02   7.52969      0.539884      0.635004      0.526388      0.648500      0.134962E-01  -.134962E-01   1.17489      0.290350      0.303846      0.290471      0.236037      0.541833E-01   0.00000      0.290471    
  0.107189E-02   7.45254      0.535672      0.630478      0.521866      0.644284      0.138058E-01  -.138058E-01   1.16615      0.288435      0.302241      0.288556      0.233431      0.534871E-01   0.00000      0.288556    
  0.110975E-02   7.37539      0.531460      0.625953      0.517345      0.640068      0.141154E-01  -.141154E-01   1.15741      0.286520      0.300635      0.286642      0.230825      0.527908E-01   0.00000      0.286642    
  0.114895E-02   7.29824      0.527249      0.621427      0.512823      0.635852      0.144251E-01  -.144251E-01   1.14868      0.284604      0.299029      0.284728      0.228219      0.520946E-01   0.00000      0.284728    
  0.118953E-02   7.22512      0.523419      0.617342      0.508624      0.632137      0.147956E-01  -.147956E-01   1.14076      0.282887      0.297682      0.283012      0.225737      0.514428E-01   0.00000      0.283012    
  0.123155E-02   7.15240      0.519629      0.613301      0.504457      0.628473      0.151722E-01  -.151722E-01   1.13293      0.281190      0.296362      0.281316      0.223267      0.507956E-01   0.00000      0.281316    
  0.127505E-02   7.07969      0.515839      0.609261      0.500290      0.624810      0.155489E-01  -.155489E-01   1.12510      0.279493      0.295042      0.279620      0.220797      0.501484E-01   0.00000      0.279620    
  0.132009E-02   7.00697      0.512048      0.605220      0.496123      0.621146      0.159256E-01  -.159256E-01   1.11727      0.277796      0.293721      0.277924      0.218327      0.495012E-01   0.00000      0.277924    
  0.136672E-02   6.93426      0.508258      0.601180      0.491956      0.617482      0.163023E-01  -.163023E-01   1.10944      0.276099      0.292401      0.276228      0.215857      0.488539E-01   0.00000      0.276228    
  0.141499E-02   6.86155      0.504468      0.597140      0.487789      0.613819      0.166789E-01  -.166789E-01   1.10161      0.274402      0.291080      0.274532      0.213387      0.482067E-01   0.00000      0.274532    
  0.146497E-02   6.78883      0.500677      0.593099      0.483622      0.610155      0.170556E-01  -.170556E-01   1.09378      0.272704      0.289760      0.272835      0.210917      0.475595E-01   0.00000      0.272835    
  0.151672E-02   6.71612      0.496887      0.589059      0.479455      0.606491      0.174323E-01  -.174323E-01   1.08595      0.271007      0.288440      0.271139      0.208448      0.469123E-01   0.00000      0.271139    
  0.157029E-02   6.64521      0.493283      0.585227      0.475439      0.603071      0.178440E-01  -.178440E-01   1.07851      0.269404      0.287248      0.269537      0.206034      0.462851E-01   0.00000      0.269537    
  0.162576E-02   6.57667      0.489921      0.581666      0.471619      0.599968      0.183016E-01  -.183016E-01   1.07159      0.267924      0.286226      0.268058      0.203695      0.456842E-01   0.00000      0.268058    
  0.168318E-02   6.50814      0.486559      0.578106      0.467800      0.596865      0.187592E-01  -.187592E-01   1.06466      0.266444      0.285203      0.266579      0.201356      0.450832E-01   0.00000      0.266579    
  0.174263E-02   6.43960      0.483197      0.574545      0.463980      0.593762      0.192168E-01  -.192168E-01   1.05774      0.264964      0.284180      0.265099      0.199017      0.444823E-01   0.00000      0.265099    
  0.180419E-02   6.37106      0.479835      0.570985      0.460161      0.590659      0.196744E-01  -.196744E-01   1.05082      0.263483      0.283158      0.263620      0.196677      0.438814E-01   0.00000      0.263620    
  0.186791E-02   6.30252      0.476473      0.567424      0.456341      0.587556      0.201319E-01  -.201319E-01   1.04390      0.262003      0.282135      0.262141      0.194338      0.432804E-01   0.00000      0.262141    
  0.193389E-02   6.23399      0.473111      0.563864      0.452522      0.584453      0.205895E-01  -.205895E-01   1.03698      0.260523      0.281112      0.260661      0.191999      0.426795E-01   0.00000      0.260661    
  0.200220E-02   6.16545      0.469750      0.560303      0.448702      0.581350      0.210471E-01  -.210471E-01   1.03005      0.259043      0.280090      0.259182      0.189660      0.420786E-01   0.00000      0.259182    
  0.207292E-02   6.09691      0.466388      0.556743      0.444883      0.578247      0.215047E-01  -.215047E-01   1.02313      0.257562      0.279067      0.257703      0.187321      0.414776E-01   0.00000      0.257703    
  0.214614E-02   6.03214      0.463445      0.553634      0.441389      0.575690      0.220558E-01  -.220558E-01   1.01708      0.256287      0.278343      0.256428      0.185102      0.409186E-01   0.00000      0.256428    
  0.222195E-02   5.96753      0.460521      0.550545      0.437910      0.573156      0.226108E-01  -.226108E-01   1.01107      0.255021      0.277632      0.255163      0.182889      0.403615E-01   0.00000      0.255163    
  0.230043E-02   5.90292      0.457596      0.547456      0.434430      0.570622      0.231658E-01  -.231658E-01   1.00505      0.253754      0.276920      0.253897      0.180676      0.398043E-01   0.00000      0.253897    
  0.238169E-02   5.83831      0.454671      0.544367      0.430950      0.568087      0.237209E-01  -.237209E-01  0.999038      0.252488      0.276209      0.252631      0.178462      0.392471E-01   0.00000      0.252631    
  0.246581E-02   5.77370      0.451747      0.541277      0.427471      0.565553      0.242759E-01  -.242759E-01  0.993024      0.251222      0.275498      0.251366      0.176249      0.386899E-01   0.00000      0.251366    
  0.255291E-02   5.70909      0.448822      0.538188      0.423991      0.563019      0.248309E-01  -.248309E-01  0.987010      0.249955      0.274786      0.250100      0.174036      0.381327E-01   0.00000      0.250100    
  0.264308E-02   5.64448      0.445897      0.535099      0.420511      0.560485      0.253860E-01  -.253860E-01  0.980996      0.248689      0.274075      0.248834      0.171823      0.375755E-01   0.00000      0.248834    
  0.273644E-02   5.57987      0.442973      0.532010      0.417032      0.557951      0.259410E-01  -.259410E-01  0.974982      0.247423      0.273364      0.247569      0.169609      0.370183E-01   0.00000      0.247569    
  0.283310E-02   5.51705      0.440265      0.529142      0.413712      0.555695      0.265528E-01  -.265528E-01  0.969407      0.246257      0.272810      0.246404      0.167455      0.364812E-01   0.00000      0.246404    
  0.293317E-02   5.45614      0.437787      0.526510      0.410562      0.553735      0.272248E-01  -.272248E-01  0.964297      0.245199      0.272423      0.245346      0.165364      0.359655E-01   0.00000      0.245346    
  0.303677E-02   5.39522      0.435309      0.523878      0.407413      0.551775      0.278968E-01  -.278968E-01  0.959187      0.244140      0.272037      0.244288      0.163272      0.354497E-01   0.00000      0.244288    
  0.314404E-02   5.33430      0.432832      0.521246      0.404263      0.549815      0.285688E-01  -.285688E-01  0.954078      0.243082      0.271651      0.243230      0.161181      0.349339E-01   0.00000      0.243230    
  0.325509E-02   5.27338      0.430354      0.518614      0.401113      0.547855      0.292408E-01  -.292408E-01  0.948968      0.242023      0.271264      0.242172      0.159090      0.344182E-01   0.00000      0.242172    
  0.337006E-02   5.21246      0.427876      0.515982      0.397963      0.545895      0.299128E-01  -.299128E-01  0.943858      0.240965      0.270878      0.241114      0.156998      0.339024E-01   0.00000      0.241114    
  0.348910E-02   5.15155      0.425398      0.513350      0.394813      0.543935      0.305848E-01  -.305848E-01  0.938748      0.239907      0.270491      0.240056      0.154907      0.333867E-01   0.00000      0.240056    
  0.361234E-02   5.09063      0.422921      0.510718      0.391664      0.541974      0.312568E-01  -.312568E-01  0.933638      0.238848      0.270105      0.238999      0.152816      0.328709E-01   0.00000      0.238999    
  0.373994E-02   5.02975      0.420448      0.508090      0.388517      0.540021      0.319303E-01  -.319303E-01  0.928538      0.237792      0.269722      0.237943      0.150725      0.323555E-01   0.00000      0.237943    
  0.387204E-02   4.97230      0.418426      0.505892      0.385684      0.538634      0.327422E-01  -.327422E-01  0.924318      0.236931      0.269673      0.237082      0.148753      0.318791E-01   0.00000      0.237082    
  0.400881E-02   4.91485      0.416404      0.503694      0.382850      0.537248      0.335540E-01  -.335540E-01  0.920098      0.236070      0.269624      0.236221      0.146780      0.314027E-01   0.00000      0.236221    
  0.415040E-02   4.85740      0.414382      0.501495      0.380016      0.535861      0.343659E-01  -.343659E-01  0.915877      0.235209      0.269575      0.235360      0.144807      0.309262E-01   0.00000      0.235360    
  0.429700E-02   4.79995      0.412360      0.499297      0.377182      0.534475      0.351778E-01  -.351778E-01  0.911657      0.234348      0.269526      0.234500      0.142834      0.304498E-01   0.00000      0.234500    
  0.444878E-02   4.74250      0.410338      0.497099      0.374349      0.533089      0.359897E-01  -.359897E-01  0.907437      0.233487      0.269476      0.233639      0.140862      0.299733E-01   0.00000      0.233639    
  0.460592E-02   4.68505      0.408316      0.494901      0.371515      0.531702      0.368015E-01  -.368015E-01  0.903217      0.232626      0.269427      0.232778      0.138889      0.294969E-01   0.00000      0.232778    
  0.476861E-02   4.62760      0.406294      0.492702      0.368681      0.530316      0.376134E-01  -.376134E-01  0.898997      0.231765      0.269378      0.231917      0.136916      0.290204E-01   0.00000      0.231917    
