   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02  -31.9935      -1.90429      -2.05206      -1.90429      -2.05206       0.00000       0.00000      -3.95635      -.947884      -.947884      -.947884      -.956402      -.156296       0.00000      -.947884    
  0.103532E-02  -31.5028      -1.87000      -2.01345      -1.87000      -2.01345       0.00000       0.00000      -3.88345      -.930207      -.930207      -.930207      -.939794      -.153037       0.00000      -.930207    
  0.107189E-02  -31.0121      -1.83571      -1.97484      -1.83571      -1.97484       0.00000       0.00000      -3.81055      -.912529      -.912529      -.912529      -.923185      -.149778       0.00000      -.912529    
  0.110975E-02  -30.5214      -1.80143      -1.93622      -1.80143      -1.93622       0.00000       0.00000      -3.73765      -.894852      -.894852      -.894852      -.906576      -.146519       0.00000      -.894852    
  0.114895E-02  -30.0307      -1.76714      -1.89761      -1.76714      -1.89761       0.00000       0.00000      -3.66475      -.877175      -.877175      -.877175      -.889968      -.143260       0.00000      -.877175    
  0.118953E-02  -29.5564      -1.73396      -1.86022      -1.73396      -1.86022       0.00000       0.00000      -3.59418      -.860032      -.860032      -.860032      -.873928      -.140159       0.00000      -.860032    
  0.123155E-02  -29.0838      -1.70089      -1.82296      -1.70089      -1.82296       0.00000       0.00000      -3.52385      -.842942      -.842942      -.842942      -.857946      -.137074       0.00000      -.842942    
  0.127505E-02  -28.6112      -1.66782      -1.78570      -1.66782      -1.78570       0.00000       0.00000      -3.45351      -.825853      -.825853      -.825853      -.841964      -.133989       0.00000      -.825853    
  0.132009E-02  -28.1385      -1.63475      -1.74843      -1.63475      -1.74843       0.00000       0.00000      -3.38318      -.808764      -.808764      -.808764      -.825982      -.130904       0.00000      -.808764    
  0.136672E-02  -27.6776      -1.60247      -1.71205      -1.60247      -1.71205       0.00000       0.00000      -3.31451      -.792057      -.792057      -.792057      -.810409      -.127932       0.00000      -.792057    
  0.141499E-02  -27.2224      -1.57057      -1.67609      -1.57057      -1.67609       0.00000       0.00000      -3.24666      -.775537      -.775537      -.775537      -.795038      -.125015       0.00000      -.775537    
