   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.8112      0.824147      0.904508      0.810606      0.918048      0.135408E-01  -.135408E-01   1.72865      0.410598      0.424138      0.410717      0.400008      0.831925E-01   0.00000      0.410717    
  0.103532E-02   12.6541      0.814096      0.892867      0.800239      0.906724      0.138568E-01  -.138568E-01   1.70696      0.405385      0.419242      0.405506      0.394853      0.819757E-01   0.00000      0.405506    
  0.107189E-02   12.4971      0.804045      0.881227      0.789872      0.895400      0.141729E-01  -.141729E-01   1.68527      0.400173      0.414346      0.400295      0.389699      0.807590E-01   0.00000      0.400295    
  0.110975E-02   12.3401      0.793994      0.869587      0.779505      0.884076      0.144889E-01  -.144889E-01   1.66358      0.394961      0.409450      0.395084      0.384544      0.795422E-01   0.00000      0.395084    
  0.114895E-02   12.1831      0.783943      0.857947      0.769138      0.872752      0.148050E-01  -.148050E-01   1.64189      0.389749      0.404554      0.389873      0.379389      0.783254E-01   0.00000      0.389873    
  0.118953E-02   12.0370      0.774663      0.847131      0.759480      0.862314      0.151827E-01  -.151827E-01   1.62179      0.384899      0.400082      0.385024      0.374582      0.772080E-01   0.00000      0.385024    
  0.123155E-02   11.8921      0.765462      0.836399      0.749895      0.851965      0.155667E-01  -.155667E-01   1.60186      0.380086      0.395653      0.380212      0.369810      0.761007E-01   0.00000      0.380212    
  0.127505E-02   11.7471      0.756261      0.825667      0.740310      0.841617      0.159506E-01  -.159506E-01   1.58193      0.375273      0.391224      0.375400      0.365038      0.749934E-01   0.00000      0.375400    
  0.132009E-02   11.6022      0.747060      0.814934      0.730725      0.831269      0.163346E-01  -.163346E-01   1.56199      0.370460      0.386795      0.370588      0.360266      0.738861E-01   0.00000      0.370588    
  0.136672E-02   11.4573      0.737859      0.804202      0.721141      0.820921      0.167186E-01  -.167186E-01   1.54206      0.365647      0.382366      0.365776      0.355494      0.727788E-01   0.00000      0.365776    
  0.141499E-02   11.3123      0.728658      0.793470      0.711556      0.810573      0.171025E-01  -.171025E-01   1.52213      0.360834      0.377937      0.360964      0.350722      0.716715E-01   0.00000      0.360964    
  0.146497E-02   11.1674      0.719457      0.782738      0.701971      0.800224      0.174865E-01  -.174865E-01   1.50219      0.356021      0.373508      0.356153      0.345949      0.705642E-01   0.00000      0.356153    
  0.151672E-02   11.0225      0.710256      0.772006      0.692386      0.789876      0.178705E-01  -.178705E-01   1.48226      0.351208      0.369079      0.351341      0.341177      0.694570E-01   0.00000      0.351341    
  0.157029E-02   10.8824      0.701409      0.761645      0.683120      0.779935      0.182899E-01  -.182899E-01   1.46305      0.346559      0.364849      0.346693      0.336560      0.683935E-01   0.00000      0.346693    
  0.162576E-02   10.7487      0.693026      0.751771      0.674270      0.770527      0.187558E-01  -.187558E-01   1.44480      0.342125      0.360881      0.342259      0.332146      0.673873E-01   0.00000      0.342259    
  0.168318E-02   10.6151      0.684643      0.741897      0.665421      0.761119      0.192216E-01  -.192216E-01   1.42654      0.337690      0.356912      0.337826      0.327731      0.663811E-01   0.00000      0.337826    
  0.174263E-02   10.4814      0.676260      0.732023      0.656572      0.751711      0.196875E-01  -.196875E-01   1.40828      0.333256      0.352944      0.333392      0.323316      0.653748E-01   0.00000      0.333392    
  0.180419E-02   10.3477      0.667876      0.722149      0.647723      0.742302      0.201534E-01  -.201534E-01   1.39003      0.328822      0.348975      0.328959      0.318901      0.643686E-01   0.00000      0.328959    
  0.186791E-02   10.2141      0.659493      0.712275      0.638874      0.732894      0.206192E-01  -.206192E-01   1.37177      0.324387      0.345007      0.324525      0.314486      0.633624E-01   0.00000      0.324525    
  0.193389E-02   10.0804      0.651110      0.702401      0.630025      0.723486      0.210851E-01  -.210851E-01   1.35351      0.319953      0.341038      0.320092      0.310072      0.623562E-01   0.00000      0.320092    
  0.200220E-02   9.94673      0.642726      0.692527      0.621175      0.714078      0.215509E-01  -.215509E-01   1.33525      0.315519      0.337069      0.315658      0.305657      0.613500E-01   0.00000      0.315658    
  0.207292E-02   9.81307      0.634343      0.682653      0.612326      0.704669      0.220168E-01  -.220168E-01   1.31700      0.311084      0.333101      0.311225      0.301242      0.603438E-01   0.00000      0.311225    
  0.214614E-02   9.68945      0.626720      0.673561      0.604143      0.696138      0.225771E-01  -.225771E-01   1.30028      0.306996      0.329573      0.307138      0.297147      0.594270E-01   0.00000      0.307138    
  0.222195E-02   9.56626      0.619130      0.664503      0.595988      0.687644      0.231414E-01  -.231414E-01   1.28363      0.302923      0.326065      0.303065      0.293065      0.585140E-01   0.00000      0.303065    
  0.230043E-02   9.44307      0.611539      0.655445      0.587834      0.679150      0.237057E-01  -.237057E-01   1.26698      0.298850      0.322556      0.298993      0.288983      0.576010E-01   0.00000      0.298993    
  0.238169E-02   9.31988      0.603949      0.646386      0.579679      0.670657      0.242701E-01  -.242701E-01   1.25034      0.294778      0.319048      0.294921      0.284901      0.566880E-01   0.00000      0.294921    
  0.246581E-02   9.19669      0.596359      0.637328      0.571524      0.662163      0.248344E-01  -.248344E-01   1.23369      0.290705      0.315539      0.290849      0.280820      0.557749E-01   0.00000      0.290849    
  0.255291E-02   9.07351      0.588768      0.628270      0.563369      0.653669      0.253987E-01  -.253987E-01   1.21704      0.286632      0.312030      0.286776      0.276738      0.548619E-01   0.00000      0.286776    
  0.264308E-02   8.95032      0.581178      0.619212      0.555215      0.645175      0.259631E-01  -.259631E-01   1.20039      0.282559      0.308522      0.282704      0.272656      0.539489E-01   0.00000      0.282704    
  0.273644E-02   8.82713      0.573587      0.610154      0.547060      0.636681      0.265274E-01  -.265274E-01   1.18374      0.278486      0.305013      0.278632      0.268574      0.530359E-01   0.00000      0.278632    
