   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   3.71853      0.714884E-02  0.108582E-03  0.542910E-04  0.720313E-02  0.709455E-02  -.709455E-02  0.725742E-02  0.542910E-04  0.714884E-02  0.542910E-04   0.00000       0.00000       0.00000      0.542910E-04
  0.103532E-02   3.70066      0.733719E-02  0.115779E-03  0.578897E-04  0.739508E-02  0.727931E-02  -.727931E-02  0.745297E-02  0.578897E-04  0.733719E-02  0.578897E-04   0.00000       0.00000       0.00000      0.578897E-04
  0.107189E-02   3.68279      0.752555E-02  0.122977E-03  0.614885E-04  0.758704E-02  0.746407E-02  -.746407E-02  0.764853E-02  0.614885E-04  0.752555E-02  0.614885E-04   0.00000       0.00000       0.00000      0.614885E-04
  0.110975E-02   3.66492      0.771391E-02  0.130175E-03  0.650873E-04  0.777900E-02  0.764882E-02  -.764882E-02  0.784409E-02  0.650873E-04  0.771391E-02  0.650873E-04   0.00000       0.00000       0.00000      0.650873E-04
  0.114895E-02   3.64705      0.790227E-02  0.137372E-03  0.686861E-04  0.797096E-02  0.783358E-02  -.783358E-02  0.803964E-02  0.686861E-04  0.790227E-02  0.686861E-04   0.00000       0.00000       0.00000      0.686861E-04
  0.118953E-02   3.62956      0.813487E-02  0.149695E-03  0.748473E-04  0.820972E-02  0.806002E-02  -.806002E-02  0.828457E-02  0.748473E-04  0.813487E-02  0.748473E-04   0.00000       0.00000       0.00000      0.748473E-04
  0.123155E-02   3.61212      0.837198E-02  0.162539E-03  0.812693E-04  0.845325E-02  0.829071E-02  -.829071E-02  0.853451E-02  0.812693E-04  0.837198E-02  0.812693E-04   0.00000       0.00000       0.00000      0.812693E-04
  0.127505E-02   3.59468      0.860908E-02  0.175382E-03  0.876912E-04  0.869677E-02  0.852139E-02  -.852139E-02  0.878446E-02  0.876912E-04  0.860908E-02  0.876912E-04   0.00000       0.00000       0.00000      0.876912E-04
  0.132009E-02   3.57724      0.884618E-02  0.188226E-03  0.941132E-04  0.894030E-02  0.875207E-02  -.875207E-02  0.903441E-02  0.941132E-04  0.884618E-02  0.941132E-04   0.00000       0.00000       0.00000      0.941132E-04
  0.136672E-02   3.55980      0.908329E-02  0.201070E-03  0.100535E-03  0.918382E-02  0.898275E-02  -.898275E-02  0.928436E-02  0.100535E-03  0.908329E-02  0.100535E-03   0.00000       0.00000       0.00000      0.100535E-03
