   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.9330      0.828316      0.915802      0.794712      0.949406      0.336038E-01  -.336038E-01   1.74412      0.420178      0.453782      0.420282      0.374534      0.753423E-01   0.00000      0.420282    
  0.103532E-02   12.7105      0.815798      0.901961      0.781847      0.935912      0.339505E-01  -.339505E-01   1.71776      0.413941      0.447891      0.414045      0.367906      0.739756E-01   0.00000      0.414045    
  0.107189E-02   12.4880      0.803279      0.888120      0.768982      0.922418      0.342973E-01  -.342973E-01   1.69140      0.407703      0.442000      0.407808      0.361279      0.726089E-01   0.00000      0.407808    
  0.110975E-02   12.2655      0.790761      0.874280      0.756117      0.908924      0.346440E-01  -.346440E-01   1.66504      0.401466      0.436110      0.401572      0.354651      0.712422E-01   0.00000      0.401572    
  0.114895E-02   12.0430      0.778242      0.860439      0.743251      0.895430      0.349907E-01  -.349907E-01   1.63868      0.395228      0.430219      0.395335      0.348023      0.698754E-01   0.00000      0.395335    
  0.118953E-02   11.8470      0.767388      0.848474      0.732017      0.883845      0.353712E-01  -.353712E-01   1.61586      0.389848      0.425219      0.389955      0.342169      0.686711E-01   0.00000      0.389955    
  0.123155E-02   11.6537      0.756703      0.836700      0.720948      0.872455      0.357551E-01  -.357551E-01   1.59340      0.384554      0.420309      0.384662      0.336394      0.674833E-01   0.00000      0.384662    
  0.127505E-02   11.4604      0.746019      0.824926      0.709880      0.861065      0.361390E-01  -.361390E-01   1.57094      0.379261      0.415400      0.379369      0.330619      0.662956E-01   0.00000      0.379369    
  0.132009E-02   11.2671      0.735334      0.813151      0.698811      0.849674      0.365229E-01  -.365229E-01   1.54849      0.373967      0.410490      0.374077      0.324844      0.651078E-01   0.00000      0.374077    
  0.136672E-02   11.0738      0.724650      0.801377      0.687743      0.838284      0.369068E-01  -.369068E-01   1.52603      0.368674      0.405580      0.368784      0.319069      0.639200E-01   0.00000      0.368784    
  0.141499E-02   10.8805      0.713965      0.789603      0.676674      0.826894      0.372907E-01  -.372907E-01   1.50357      0.363380      0.400671      0.363491      0.313294      0.627322E-01   0.00000      0.363491    
  0.146497E-02   10.6872      0.703280      0.777829      0.665606      0.815504      0.376746E-01  -.376746E-01   1.48111      0.358087      0.395761      0.358198      0.307519      0.615444E-01   0.00000      0.358198    
  0.151672E-02   10.4939      0.692596      0.766055      0.654537      0.804114      0.380585E-01  -.380585E-01   1.45865      0.352793      0.390852      0.352905      0.301744      0.603566E-01   0.00000      0.352905    
  0.157029E-02   10.3115      0.682610      0.755070      0.644149      0.793530      0.384605E-01  -.384605E-01   1.43768      0.347860      0.386321      0.347973      0.296289      0.592361E-01   0.00000      0.347973    
  0.162576E-02   10.1435      0.673538      0.745116      0.634652      0.784002      0.388862E-01  -.388862E-01   1.41865      0.343400      0.382286      0.343513      0.291252      0.582033E-01   0.00000      0.343513    
  0.168318E-02   9.97545      0.664466      0.735162      0.625154      0.774474      0.393119E-01  -.393119E-01   1.39963      0.338939      0.378251      0.339053      0.286216      0.571706E-01   0.00000      0.339053    
  0.174263E-02   9.80740      0.655394      0.725208      0.615657      0.764946      0.397377E-01  -.397377E-01   1.38060      0.334478      0.374215      0.334592      0.281179      0.561379E-01   0.00000      0.334592    
  0.180419E-02   9.63935      0.646323      0.715254      0.606159      0.755417      0.401634E-01  -.401634E-01   1.36158      0.330017      0.370180      0.330132      0.276142      0.551052E-01   0.00000      0.330132    
  0.186791E-02   9.47131      0.637251      0.705300      0.596662      0.745889      0.405891E-01  -.405891E-01   1.34255      0.325556      0.366145      0.325672      0.271106      0.540724E-01   0.00000      0.325672    
  0.193389E-02   9.30326      0.628179      0.695346      0.587164      0.736361      0.410148E-01  -.410148E-01   1.32352      0.321095      0.362110      0.321211      0.266069      0.530397E-01   0.00000      0.321211    
  0.200220E-02   9.13522      0.619107      0.685392      0.577667      0.726833      0.414405E-01  -.414405E-01   1.30450      0.316634      0.358075      0.316751      0.261033      0.520070E-01   0.00000      0.316751    
  0.207292E-02   8.96717      0.610035      0.675438      0.568169      0.717304      0.418662E-01  -.418662E-01   1.28547      0.312173      0.354039      0.312291      0.255996      0.509743E-01   0.00000      0.312291    
  0.214614E-02   8.82006      0.602330      0.667027      0.559992      0.709364      0.423377E-01  -.423377E-01   1.26936      0.308419      0.350757      0.308537      0.251573      0.500705E-01   0.00000      0.308537    
  0.222195E-02   8.67384      0.594682      0.658681      0.551871      0.701492      0.428111E-01  -.428111E-01   1.25336      0.304695      0.347506      0.304814      0.247176      0.491723E-01   0.00000      0.304814    
  0.230043E-02   8.52762      0.587035      0.650335      0.543750      0.693620      0.432845E-01  -.432845E-01   1.23737      0.300971      0.344255      0.301090      0.242779      0.482740E-01   0.00000      0.301090    
  0.238169E-02   8.38140      0.579388      0.641989      0.535630      0.685747      0.437579E-01  -.437579E-01   1.22138      0.297247      0.341005      0.297367      0.238383      0.473757E-01   0.00000      0.297367    
  0.246581E-02   8.23517      0.571740      0.633644      0.527509      0.677875      0.442313E-01  -.442313E-01   1.20538      0.293523      0.337754      0.293643      0.233986      0.464775E-01   0.00000      0.293643    
  0.255291E-02   8.08895      0.564093      0.625298      0.519388      0.670003      0.447048E-01  -.447048E-01   1.18939      0.289799      0.334504      0.289920      0.229589      0.455792E-01   0.00000      0.289920    
  0.264308E-02   7.94273      0.556446      0.616952      0.511267      0.662130      0.451782E-01  -.451782E-01   1.17340      0.286075      0.331253      0.286196      0.225192      0.446809E-01   0.00000      0.286196    
  0.273644E-02   7.79651      0.548798      0.608606      0.503147      0.654258      0.456516E-01  -.456516E-01   1.15740      0.282351      0.328003      0.282473      0.220796      0.437827E-01   0.00000      0.282473    
  0.283310E-02   7.65944      0.541764      0.600951      0.495612      0.647103      0.461518E-01  -.461518E-01   1.14272      0.278944      0.325096      0.279066      0.216668      0.429410E-01   0.00000      0.279066    
  0.293317E-02   7.53208      0.535381      0.594030      0.488701      0.640711      0.466804E-01  -.466804E-01   1.12941      0.275874      0.322555      0.275997      0.212827      0.421595E-01   0.00000      0.275997    
  0.303677E-02   7.40471      0.528999      0.587110      0.481790      0.634319      0.472091E-01  -.472091E-01   1.11611      0.272804      0.320014      0.272927      0.208985      0.413779E-01   0.00000      0.272927    
