   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   6.38934      0.517486E-01  0.492978E-01  0.246489E-01  0.763975E-01  0.270997E-01  -.270997E-01  0.101046      0.246489E-01  0.517486E-01  0.246489E-01   0.00000       0.00000       0.00000      0.246489E-01
  0.103532E-02   6.28363      0.524794E-01  0.501498E-01  0.250749E-01  0.775543E-01  0.274045E-01  -.274045E-01  0.102629      0.250749E-01  0.524794E-01  0.250749E-01   0.00000       0.00000       0.00000      0.250749E-01
  0.107189E-02   6.17793      0.532102E-01  0.510017E-01  0.255009E-01  0.787111E-01  0.277094E-01  -.277094E-01  0.104212      0.255009E-01  0.532102E-01  0.255009E-01   0.00000       0.00000       0.00000      0.255009E-01
  0.110975E-02   6.07222      0.539410E-01  0.518537E-01  0.259269E-01  0.798679E-01  0.280142E-01  -.280142E-01  0.105795      0.259269E-01  0.539410E-01  0.259269E-01   0.00000       0.00000       0.00000      0.259269E-01
  0.114895E-02   5.96651      0.546719E-01  0.527057E-01  0.263528E-01  0.810247E-01  0.283190E-01  -.283190E-01  0.107378      0.263528E-01  0.546719E-01  0.263528E-01   0.00000       0.00000       0.00000      0.263528E-01
  0.118953E-02   5.87318      0.554928E-01  0.536772E-01  0.268386E-01  0.823314E-01  0.286542E-01  -.286542E-01  0.109170      0.268386E-01  0.554928E-01  0.268386E-01   0.00000       0.00000       0.00000      0.268386E-01
  0.123155E-02   5.78112      0.563230E-01  0.546609E-01  0.273304E-01  0.836534E-01  0.289925E-01  -.289925E-01  0.110984      0.273304E-01  0.563230E-01  0.273304E-01   0.00000       0.00000       0.00000      0.273304E-01
  0.127505E-02   5.68905      0.571531E-01  0.556446E-01  0.278223E-01  0.849754E-01  0.293308E-01  -.293308E-01  0.112798      0.278223E-01  0.571531E-01  0.278223E-01   0.00000       0.00000       0.00000      0.278223E-01
  0.132009E-02   5.59698      0.579832E-01  0.566283E-01  0.283141E-01  0.862973E-01  0.296691E-01  -.296691E-01  0.114611      0.283141E-01  0.579832E-01  0.283141E-01   0.00000       0.00000       0.00000      0.283141E-01
  0.136672E-02   5.50491      0.588134E-01  0.576119E-01  0.288060E-01  0.876193E-01  0.300074E-01  -.300074E-01  0.116425      0.288060E-01  0.588134E-01  0.288060E-01   0.00000       0.00000       0.00000      0.288060E-01
  0.141499E-02   5.41284      0.596435E-01  0.585956E-01  0.292978E-01  0.889413E-01  0.303457E-01  -.303457E-01  0.118239      0.292978E-01  0.596435E-01  0.292978E-01   0.00000       0.00000       0.00000      0.292978E-01
  0.146497E-02   5.32078      0.604736E-01  0.595793E-01  0.297897E-01  0.902633E-01  0.306840E-01  -.306840E-01  0.120053      0.297897E-01  0.604736E-01  0.297897E-01   0.00000       0.00000       0.00000      0.297897E-01
  0.151672E-02   5.22871      0.613038E-01  0.605630E-01  0.302815E-01  0.915853E-01  0.310222E-01  -.310222E-01  0.121867      0.302815E-01  0.613038E-01  0.302815E-01   0.00000       0.00000       0.00000      0.302815E-01
  0.157029E-02   5.14178      0.621825E-01  0.616118E-01  0.308059E-01  0.929884E-01  0.313766E-01  -.313766E-01  0.123794      0.308059E-01  0.621825E-01  0.308059E-01   0.00000       0.00000       0.00000      0.308059E-01
  0.162576E-02   5.06156      0.631249E-01  0.627457E-01  0.313729E-01  0.944978E-01  0.317521E-01  -.317521E-01  0.125871      0.313729E-01  0.631249E-01  0.313729E-01   0.00000       0.00000       0.00000      0.313729E-01
  0.168318E-02   4.98134      0.640673E-01  0.638797E-01  0.319398E-01  0.960072E-01  0.321275E-01  -.321275E-01  0.127947      0.319398E-01  0.640673E-01  0.319398E-01   0.00000       0.00000       0.00000      0.319398E-01
  0.174263E-02   4.90112      0.650098E-01  0.650136E-01  0.325068E-01  0.975165E-01  0.325030E-01  -.325030E-01  0.130023      0.325068E-01  0.650098E-01  0.325068E-01   0.00000       0.00000       0.00000      0.325068E-01
  0.180419E-02   4.82090      0.659522E-01  0.661475E-01  0.330737E-01  0.990259E-01  0.328784E-01  -.328784E-01  0.132100      0.330737E-01  0.659522E-01  0.330737E-01   0.00000       0.00000       0.00000      0.330737E-01
  0.186791E-02   4.74068      0.668946E-01  0.672814E-01  0.336407E-01  0.100535      0.332538E-01  -.332538E-01  0.134176      0.336407E-01  0.668946E-01  0.336407E-01   0.00000       0.00000       0.00000      0.336407E-01
  0.193389E-02   4.66046      0.678370E-01  0.684153E-01  0.342077E-01  0.102045      0.336293E-01  -.336293E-01  0.136252      0.342077E-01  0.678370E-01  0.342077E-01   0.00000       0.00000       0.00000      0.342077E-01
