   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.63937      0.178869E-01  0.206057E-01  0.103028E-01  0.281897E-01  0.758403E-02  -.758403E-02  0.384925E-01  0.103028E-01  0.178869E-01  0.103028E-01   0.00000       0.00000       0.00000      0.103028E-01
  0.103532E-02   5.56549      0.183380E-01  0.211202E-01  0.105601E-01  0.288982E-01  0.777793E-02  -.777793E-02  0.394583E-01  0.105601E-01  0.183380E-01  0.105601E-01   0.00000       0.00000       0.00000      0.105601E-01
  0.107189E-02   5.49161      0.187892E-01  0.216348E-01  0.108174E-01  0.296066E-01  0.797184E-02  -.797184E-02  0.404240E-01  0.108174E-01  0.187892E-01  0.108174E-01   0.00000       0.00000       0.00000      0.108174E-01
  0.110975E-02   5.41773      0.192404E-01  0.221494E-01  0.110747E-01  0.303151E-01  0.816575E-02  -.816575E-02  0.413898E-01  0.110747E-01  0.192404E-01  0.110747E-01   0.00000       0.00000       0.00000      0.110747E-01
  0.114895E-02   5.34385      0.196916E-01  0.226639E-01  0.113320E-01  0.310236E-01  0.835965E-02  -.835965E-02  0.423556E-01  0.113320E-01  0.196916E-01  0.113320E-01   0.00000       0.00000       0.00000      0.113320E-01
  0.118953E-02   5.27687      0.202399E-01  0.232870E-01  0.116435E-01  0.318834E-01  0.859639E-02  -.859639E-02  0.435269E-01  0.116435E-01  0.202399E-01  0.116435E-01   0.00000       0.00000       0.00000      0.116435E-01
  0.123155E-02   5.21058      0.207981E-01  0.239211E-01  0.119606E-01  0.327586E-01  0.883749E-02  -.883749E-02  0.447192E-01  0.119606E-01  0.207981E-01  0.119606E-01   0.00000       0.00000       0.00000      0.119606E-01
  0.127505E-02   5.14430      0.213562E-01  0.245552E-01  0.122776E-01  0.336338E-01  0.907858E-02  -.907858E-02  0.459115E-01  0.122776E-01  0.213562E-01  0.122776E-01   0.00000       0.00000       0.00000      0.122776E-01
  0.132009E-02   5.07801      0.219144E-01  0.251894E-01  0.125947E-01  0.345090E-01  0.931968E-02  -.931968E-02  0.471037E-01  0.125947E-01  0.219144E-01  0.125947E-01   0.00000       0.00000       0.00000      0.125947E-01
  0.136672E-02   5.01173      0.224725E-01  0.258235E-01  0.129117E-01  0.353843E-01  0.956078E-02  -.956078E-02  0.482960E-01  0.129117E-01  0.224725E-01  0.129117E-01   0.00000       0.00000       0.00000      0.129117E-01
