   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.6988      0.799001      0.888374      0.785075      0.902301      0.139267E-01  -.139267E-01   1.68738      0.405236      0.419163      0.405356      0.379839      0.777827E-01   0.00000      0.405356    
  0.103532E-02   12.5078      0.787717      0.875708      0.773469      0.889957      0.142484E-01  -.142484E-01   1.66343      0.399544      0.413793      0.399665      0.373924      0.764984E-01   0.00000      0.399665    
  0.107189E-02   12.3169      0.776434      0.863042      0.761863      0.877612      0.145702E-01  -.145702E-01   1.63948      0.393853      0.408423      0.393975      0.368010      0.752141E-01   0.00000      0.393975    
  0.110975E-02   12.1259      0.765150      0.850376      0.750258      0.865268      0.148919E-01  -.148919E-01   1.61553      0.388162      0.403054      0.388285      0.362096      0.739297E-01   0.00000      0.388285    
  0.114895E-02   11.9350      0.753866      0.837710      0.738652      0.852924      0.152137E-01  -.152137E-01   1.59158      0.382470      0.397684      0.382594      0.356182      0.726454E-01   0.00000      0.382594    
  0.118953E-02   11.7630      0.743867      0.826473      0.728269      0.842071      0.155974E-01  -.155974E-01   1.57034      0.377427      0.393025      0.377552      0.350842      0.714934E-01   0.00000      0.377552    
  0.123155E-02   11.5929      0.733998      0.815381      0.718011      0.831369      0.159874E-01  -.159874E-01   1.54938      0.372450      0.388438      0.372576      0.345560      0.703548E-01   0.00000      0.372576    
  0.127505E-02   11.4229      0.724129      0.804290      0.707752      0.820667      0.163775E-01  -.163775E-01   1.52842      0.367473      0.383851      0.367600      0.340279      0.692163E-01   0.00000      0.367600    
  0.132009E-02   11.2528      0.714261      0.793198      0.697493      0.809966      0.167675E-01  -.167675E-01   1.50746      0.362496      0.379264      0.362624      0.334997      0.680777E-01   0.00000      0.362624    
  0.136672E-02   11.0827      0.704392      0.782106      0.687235      0.799264      0.171576E-01  -.171576E-01   1.48650      0.357519      0.374677      0.357648      0.329716      0.669392E-01   0.00000      0.357648    
