   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.58152      0.170800E-01  0.190048E-01  0.950241E-02  0.265824E-01  0.757763E-02  -.757763E-02  0.360849E-01  0.950241E-02  0.170800E-01  0.950241E-02   0.00000       0.00000       0.00000      0.950241E-02
  0.103532E-02   5.50844      0.175111E-01  0.194794E-01  0.973972E-02  0.272508E-01  0.777137E-02  -.777137E-02  0.369905E-01  0.973972E-02  0.175111E-01  0.973972E-02   0.00000       0.00000       0.00000      0.973972E-02
  0.107189E-02   5.43536      0.179421E-01  0.199540E-01  0.997702E-02  0.279192E-01  0.796512E-02  -.796512E-02  0.378962E-01  0.997702E-02  0.179421E-01  0.997702E-02   0.00000       0.00000       0.00000      0.997702E-02
  0.110975E-02   5.36228      0.183732E-01  0.204287E-01  0.102143E-01  0.285875E-01  0.815886E-02  -.815886E-02  0.388019E-01  0.102143E-01  0.183732E-01  0.102143E-01   0.00000       0.00000       0.00000      0.102143E-01
  0.114895E-02   5.28920      0.188042E-01  0.209033E-01  0.104516E-01  0.292559E-01  0.835260E-02  -.835260E-02  0.397075E-01  0.104516E-01  0.188042E-01  0.104516E-01   0.00000       0.00000       0.00000      0.104516E-01
  0.118953E-02   5.22298      0.193281E-01  0.214780E-01  0.107390E-01  0.300672E-01  0.858914E-02  -.858914E-02  0.408062E-01  0.107390E-01  0.193281E-01  0.107390E-01   0.00000       0.00000       0.00000      0.107390E-01
  0.123155E-02   5.15745      0.198615E-01  0.220629E-01  0.110315E-01  0.308930E-01  0.883004E-02  -.883004E-02  0.419244E-01  0.110315E-01  0.198615E-01  0.110315E-01   0.00000       0.00000       0.00000      0.110315E-01
  0.127505E-02   5.09192      0.203949E-01  0.226478E-01  0.113239E-01  0.317188E-01  0.907093E-02  -.907093E-02  0.430427E-01  0.113239E-01  0.203949E-01  0.113239E-01   0.00000       0.00000       0.00000      0.113239E-01
  0.132009E-02   5.02639      0.209282E-01  0.232328E-01  0.116164E-01  0.325446E-01  0.931182E-02  -.931182E-02  0.441610E-01  0.116164E-01  0.209282E-01  0.116164E-01   0.00000       0.00000       0.00000      0.116164E-01
  0.136672E-02   4.96086      0.214616E-01  0.238177E-01  0.119088E-01  0.333704E-01  0.955272E-02  -.955272E-02  0.452792E-01  0.119088E-01  0.214616E-01  0.119088E-01   0.00000       0.00000       0.00000      0.119088E-01
