   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3965      0.840842      0.935846      0.826869      0.949819      0.139728E-01  -.139728E-01   1.77669      0.427238      0.441211      0.427358      0.399631      0.812502E-01   0.00000      0.427358    
  0.103532E-02   13.1924      0.828778      0.922345      0.814482      0.936640      0.142956E-01  -.142956E-01   1.75112      0.421168      0.435463      0.421289      0.393314      0.798886E-01   0.00000      0.421289    
  0.107189E-02   12.9882      0.816713      0.908844      0.802095      0.923462      0.146184E-01  -.146184E-01   1.72556      0.415097      0.429716      0.415219      0.386998      0.785271E-01   0.00000      0.415219    
  0.110975E-02   12.7841      0.804649      0.895343      0.789708      0.910284      0.149412E-01  -.149412E-01   1.69999      0.409027      0.423968      0.409150      0.380681      0.771655E-01   0.00000      0.409150    
  0.114895E-02   12.5800      0.792585      0.881842      0.777321      0.897106      0.152640E-01  -.152640E-01   1.67443      0.402957      0.418221      0.403081      0.374364      0.758040E-01   0.00000      0.403081    
  0.118953E-02   12.3963      0.781903      0.869883      0.766254      0.885532      0.156489E-01  -.156489E-01   1.65179      0.397587      0.413236      0.397712      0.368667      0.745843E-01   0.00000      0.397712    
  0.123155E-02   12.2147      0.771361      0.858081      0.755321      0.874121      0.160402E-01  -.160402E-01   1.62944      0.392288      0.408328      0.392414      0.363033      0.733791E-01   0.00000      0.392414    
  0.127505E-02   12.0330      0.760819      0.846279      0.744388      0.862711      0.164315E-01  -.164315E-01   1.60710      0.386989      0.403421      0.387116      0.357398      0.721738E-01   0.00000      0.387116    
  0.132009E-02   11.8514      0.750277      0.834477      0.733455      0.851300      0.168228E-01  -.168228E-01   1.58475      0.381690      0.398513      0.381819      0.351764      0.709686E-01   0.00000      0.381819    
  0.136672E-02   11.6698      0.739735      0.822675      0.722521      0.839890      0.172140E-01  -.172140E-01   1.56241      0.376391      0.393606      0.376521      0.346130      0.697633E-01   0.00000      0.376521    
  0.141499E-02   11.4882      0.729194      0.810874      0.711588      0.828479      0.176053E-01  -.176053E-01   1.54007      0.371093      0.388698      0.371223      0.340496      0.685581E-01   0.00000      0.371223    
  0.146497E-02   11.3066      0.718652      0.799072      0.700655      0.817068      0.179966E-01  -.179966E-01   1.51772      0.365794      0.383790      0.365925      0.334861      0.673528E-01   0.00000      0.365925    
  0.151672E-02   11.1249      0.708110      0.787270      0.689722      0.805658      0.183879E-01  -.183879E-01   1.49538      0.360495      0.378883      0.360627      0.329227      0.661476E-01   0.00000      0.360627    
  0.157029E-02   10.9520      0.698174      0.776141      0.679359      0.794956      0.188148E-01  -.188148E-01   1.47432      0.355503      0.374318      0.355636      0.323857      0.650026E-01   0.00000      0.355636    
  0.162576E-02   10.7904      0.689031      0.765893      0.669742      0.785182      0.192885E-01  -.192885E-01   1.45492      0.350911      0.370200      0.351045      0.318831      0.639363E-01   0.00000      0.351045    
  0.168318E-02   10.6288      0.679887      0.755645      0.660125      0.775407      0.197621E-01  -.197621E-01   1.43553      0.346320      0.366082      0.346455      0.313805      0.628700E-01   0.00000      0.346455    
  0.174263E-02   10.4672      0.670744      0.745397      0.650508      0.765633      0.202358E-01  -.202358E-01   1.41614      0.341729      0.361965      0.341865      0.308779      0.618037E-01   0.00000      0.341865    
  0.180419E-02   10.3056      0.661600      0.735149      0.640891      0.755858      0.207094E-01  -.207094E-01   1.39675      0.337137      0.357847      0.337274      0.303754      0.607374E-01   0.00000      0.337274    
  0.186791E-02   10.1441      0.652457      0.724901      0.631274      0.746084      0.211831E-01  -.211831E-01   1.37736      0.332546      0.353729      0.332684      0.298728      0.596710E-01   0.00000      0.332684    
  0.193389E-02   9.98246      0.643313      0.714653      0.621657      0.736309      0.216567E-01  -.216567E-01   1.35797      0.327955      0.349611      0.328093      0.293702      0.586047E-01   0.00000      0.328093    
  0.200220E-02   9.82088      0.634170      0.704404      0.612040      0.726535      0.221304E-01  -.221304E-01   1.33857      0.323363      0.345494      0.323503      0.288676      0.575384E-01   0.00000      0.323503    
  0.207292E-02   9.65929      0.625027      0.694156      0.602422      0.716760      0.226040E-01  -.226040E-01   1.31918      0.318772      0.341376      0.318912      0.283650      0.564721E-01   0.00000      0.318912    
  0.214614E-02   9.51479      0.617124      0.685278      0.593952      0.708451      0.231724E-01  -.231724E-01   1.30240      0.314806      0.337979      0.314947      0.279145      0.555243E-01   0.00000      0.314947    
  0.222195E-02   9.37102      0.609275      0.676458      0.585530      0.700203      0.237449E-01  -.237449E-01   1.28573      0.310868      0.334612      0.311009      0.274662      0.545815E-01   0.00000      0.311009    
  0.230043E-02   9.22725      0.601425      0.667638      0.577108      0.691955      0.243173E-01  -.243173E-01   1.26906      0.306929      0.331246      0.307071      0.270179      0.536386E-01   0.00000      0.307071    
