   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3830      0.837003      0.929239      0.823362      0.942880      0.136410E-01  -.136410E-01   1.76624      0.424023      0.437664      0.424142      0.399339      0.810742E-01   0.00000      0.424142    
  0.103532E-02   13.1786      0.824876      0.915631      0.810918      0.929590      0.139582E-01  -.139582E-01   1.74051      0.417898      0.431857      0.418019      0.393020      0.797140E-01   0.00000      0.418019    
  0.107189E-02   12.9743      0.812750      0.902024      0.798475      0.916299      0.142754E-01  -.142754E-01   1.71477      0.411774      0.426050      0.411896      0.386701      0.783538E-01   0.00000      0.411896    
  0.110975E-02   12.7700      0.800624      0.888416      0.786032      0.903009      0.145925E-01  -.145925E-01   1.68904      0.405650      0.420242      0.405773      0.380382      0.769935E-01   0.00000      0.405773    
  0.114895E-02   12.5657      0.788498      0.874809      0.773588      0.889719      0.149097E-01  -.149097E-01   1.66331      0.399526      0.414435      0.399650      0.374063      0.756333E-01   0.00000      0.399650    
  0.118953E-02   12.3818      0.777752      0.862737      0.762463      0.878025      0.152885E-01  -.152885E-01   1.64049      0.394098      0.409387      0.394223      0.368365      0.744153E-01   0.00000      0.394223    
  0.123155E-02   12.2001      0.767146      0.850821      0.751472      0.866495      0.156735E-01  -.156735E-01   1.61797      0.388742      0.404415      0.388868      0.362730      0.732117E-01   0.00000      0.388868    
  0.127505E-02   12.0183      0.756540      0.838906      0.740481      0.854964      0.160585E-01  -.160585E-01   1.59545      0.383385      0.399444      0.383512      0.357096      0.720081E-01   0.00000      0.383512    
  0.132009E-02   11.8366      0.745934      0.826990      0.729490      0.843434      0.164435E-01  -.164435E-01   1.57292      0.378029      0.394472      0.378157      0.351462      0.708045E-01   0.00000      0.378157    
  0.136672E-02   11.6548      0.735328      0.815075      0.718499      0.831903      0.168286E-01  -.168286E-01   1.55040      0.372672      0.389501      0.372801      0.345827      0.696008E-01   0.00000      0.372801    
  0.141499E-02   11.4731      0.724722      0.803159      0.707508      0.820373      0.172136E-01  -.172136E-01   1.52788      0.367316      0.384529      0.367446      0.340193      0.683972E-01   0.00000      0.367446    
  0.146497E-02   11.2913      0.714116      0.791243      0.696517      0.808842      0.175986E-01  -.175986E-01   1.50536      0.361959      0.379558      0.362090      0.334558      0.671936E-01   0.00000      0.362090    
  0.151672E-02   11.1096      0.703510      0.779328      0.685526      0.797311      0.179836E-01  -.179836E-01   1.48284      0.356603      0.374586      0.356735      0.328924      0.659900E-01   0.00000      0.356735    
  0.157029E-02   10.9366      0.693509      0.768082      0.675105      0.786486      0.184041E-01  -.184041E-01   1.46159      0.351551      0.369955      0.351684      0.323554      0.648468E-01   0.00000      0.351684    
  0.162576E-02   10.7749      0.684298      0.757712      0.665428      0.776583      0.188708E-01  -.188708E-01   1.44201      0.346898      0.365769      0.347032      0.318530      0.637823E-01   0.00000      0.347032    
  0.168318E-02   10.6133      0.675088      0.747343      0.655750      0.766680      0.193375E-01  -.193375E-01   1.42243      0.342245      0.361583      0.342380      0.313505      0.627179E-01   0.00000      0.342380    
  0.174263E-02   10.4516      0.665877      0.736973      0.646073      0.756778      0.198043E-01  -.198043E-01   1.40285      0.337592      0.357396      0.337728      0.308481      0.616535E-01   0.00000      0.337728    
