   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.5260      0.845908      0.938847      0.831977      0.952778      0.139310E-01  -.139310E-01   1.78475      0.428436      0.442367      0.428555      0.403541      0.818554E-01   0.00000      0.428555    
  0.103532E-02   13.3192      0.833636      0.925073      0.819383      0.939326      0.142531E-01  -.142531E-01   1.75871      0.422236      0.436489      0.422357      0.397147      0.804801E-01   0.00000      0.422357    
  0.107189E-02   13.1125      0.821365      0.911300      0.806790      0.925875      0.145751E-01  -.145751E-01   1.73267      0.416037      0.430612      0.416159      0.390753      0.791047E-01   0.00000      0.416159    
  0.110975E-02   12.9057      0.809093      0.897527      0.794196      0.912424      0.148972E-01  -.148972E-01   1.70662      0.409837      0.424734      0.409960      0.384359      0.777293E-01   0.00000      0.409960    
  0.114895E-02   12.6989      0.796822      0.883754      0.781603      0.898973      0.152192E-01  -.152192E-01   1.68058      0.403638      0.418857      0.403762      0.377965      0.763540E-01   0.00000      0.403762    
  0.118953E-02   12.5129      0.785947      0.871535      0.770344      0.887139      0.156034E-01  -.156034E-01   1.65748      0.398144      0.413747      0.398269      0.372200      0.751225E-01   0.00000      0.398269    
  0.123155E-02   12.3290      0.775215      0.859475      0.759221      0.875469      0.159938E-01  -.159938E-01   1.63469      0.392721      0.408715      0.392848      0.366499      0.739057E-01   0.00000      0.392848    
  0.127505E-02   12.1450      0.764482      0.847414      0.748098      0.863799      0.163843E-01  -.163843E-01   1.61190      0.387299      0.403683      0.387426      0.360799      0.726889E-01   0.00000      0.387426    
  0.132009E-02   11.9611      0.753750      0.835354      0.736975      0.852128      0.167748E-01  -.167748E-01   1.58910      0.381877      0.398651      0.382005      0.355098      0.714721E-01   0.00000      0.382005    
  0.136672E-02   11.7772      0.743017      0.823293      0.725852      0.840458      0.171652E-01  -.171652E-01   1.56631      0.376454      0.393620      0.376584      0.349398      0.702553E-01   0.00000      0.376584    
  0.141499E-02   11.5933      0.732285      0.811233      0.714729      0.828788      0.175557E-01  -.175557E-01   1.54352      0.371032      0.388588      0.371162      0.343697      0.690385E-01   0.00000      0.371162    
  0.146497E-02   11.4094      0.721552      0.799172      0.703606      0.817118      0.179461E-01  -.179461E-01   1.52072      0.365610      0.383556      0.365741      0.337997      0.678217E-01   0.00000      0.365741    
