   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   14.5261      0.899745      0.994095      0.885311       1.00853      0.144341E-01  -.144341E-01   1.89384      0.453722      0.468156      0.453842      0.431589      0.865303E-01   0.00000      0.453842    
  0.103532E-02   14.2973      0.886129      0.978764      0.871365      0.993528      0.147638E-01  -.147638E-01   1.86489      0.446801      0.461565      0.446922      0.424564      0.850409E-01   0.00000      0.446922    
  0.107189E-02   14.0684      0.872512      0.963434      0.857419      0.978528      0.150934E-01  -.150934E-01   1.83595      0.439880      0.454974      0.440002      0.417538      0.835515E-01   0.00000      0.440002    
  0.110975E-02   13.8396      0.858896      0.948104      0.843473      0.963527      0.154231E-01  -.154231E-01   1.80700      0.432959      0.448383      0.433083      0.410513      0.820620E-01   0.00000      0.433083    
  0.114895E-02   13.6107      0.845279      0.932774      0.829527      0.948527      0.157527E-01  -.157527E-01   1.77805      0.426039      0.441791      0.426163      0.403488      0.805726E-01   0.00000      0.426163    
  0.118953E-02   13.4057      0.833232      0.919180      0.817087      0.935325      0.161450E-01  -.161450E-01   1.75241      0.419905      0.436050      0.420030      0.397182      0.792443E-01   0.00000      0.420030    
  0.123155E-02   13.2030      0.821344      0.905762      0.804800      0.922306      0.165437E-01  -.165437E-01   1.72711      0.413852      0.430395      0.413978      0.390949      0.779325E-01   0.00000      0.413978    
  0.127505E-02   13.0004      0.809456      0.892345      0.792514      0.909287      0.169424E-01  -.169424E-01   1.70180      0.407798      0.424741      0.407926      0.384716      0.766206E-01   0.00000      0.407926    
  0.132009E-02   12.7978      0.797569      0.878927      0.780228      0.896268      0.173410E-01  -.173410E-01   1.67650      0.401745      0.419086      0.401873      0.378483      0.753088E-01   0.00000      0.401873    
  0.136672E-02   12.5951      0.785681      0.865509      0.767941      0.883249      0.177397E-01  -.177397E-01   1.65119      0.395692      0.413431      0.395821      0.372250      0.739969E-01   0.00000      0.395821    
  0.141499E-02   12.3925      0.773793      0.852092      0.755655      0.870230      0.181383E-01  -.181383E-01   1.62588      0.389638      0.407777      0.389768      0.366016      0.726851E-01   0.00000      0.389768    
