   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.61653      0.164078E-01  0.181863E-01  0.909314E-02  0.255009E-01  0.731464E-02  -.731464E-02  0.345940E-01  0.909314E-02  0.164078E-01  0.909314E-02   0.00000       0.00000       0.00000      0.909314E-02
  0.103532E-02   5.54313      0.168346E-01  0.186628E-01  0.933141E-02  0.261660E-01  0.750322E-02  -.750322E-02  0.354974E-01  0.933141E-02  0.168346E-01  0.933141E-02   0.00000       0.00000       0.00000      0.933141E-02
  0.107189E-02   5.46972      0.172615E-01  0.191393E-01  0.956967E-02  0.268312E-01  0.769181E-02  -.769181E-02  0.364008E-01  0.956967E-02  0.172615E-01  0.956967E-02   0.00000       0.00000       0.00000      0.956967E-02
  0.110975E-02   5.39632      0.176883E-01  0.196159E-01  0.980794E-02  0.274963E-01  0.788039E-02  -.788039E-02  0.373042E-01  0.980794E-02  0.176883E-01  0.980794E-02   0.00000       0.00000       0.00000      0.980794E-02
  0.114895E-02   5.32291      0.181152E-01  0.200924E-01  0.100462E-01  0.281614E-01  0.806898E-02  -.806898E-02  0.382076E-01  0.100462E-01  0.181152E-01  0.100462E-01   0.00000       0.00000       0.00000      0.100462E-01
  0.118953E-02   5.25634      0.186372E-01  0.206752E-01  0.103376E-01  0.289748E-01  0.829962E-02  -.829962E-02  0.393124E-01  0.103376E-01  0.186372E-01  0.103376E-01   0.00000       0.00000       0.00000      0.103376E-01
  0.123155E-02   5.19047      0.191689E-01  0.212687E-01  0.106343E-01  0.298032E-01  0.853455E-02  -.853455E-02  0.404376E-01  0.106343E-01  0.191689E-01  0.106343E-01   0.00000       0.00000       0.00000      0.106343E-01
  0.127505E-02   5.12459      0.197006E-01  0.218622E-01  0.109311E-01  0.306317E-01  0.876947E-02  -.876947E-02  0.415628E-01  0.109311E-01  0.197006E-01  0.109311E-01   0.00000       0.00000       0.00000      0.109311E-01
  0.132009E-02   5.05872      0.202323E-01  0.224558E-01  0.112279E-01  0.314602E-01  0.900440E-02  -.900440E-02  0.426881E-01  0.112279E-01  0.202323E-01  0.112279E-01   0.00000       0.00000       0.00000      0.112279E-01
  0.136672E-02   4.99284      0.207640E-01  0.230493E-01  0.115247E-01  0.322886E-01  0.923932E-02  -.923932E-02  0.438133E-01  0.115247E-01  0.207640E-01  0.115247E-01   0.00000       0.00000       0.00000      0.115247E-01
  0.141499E-02   4.92697      0.212957E-01  0.236428E-01  0.118214E-01  0.331171E-01  0.947425E-02  -.947425E-02  0.449385E-01  0.118214E-01  0.212957E-01  0.118214E-01   0.00000       0.00000       0.00000      0.118214E-01
  0.146497E-02   4.86109      0.218274E-01  0.242364E-01  0.121182E-01  0.339456E-01  0.970917E-02  -.970917E-02  0.460638E-01  0.121182E-01  0.218274E-01  0.121182E-01   0.00000       0.00000       0.00000      0.121182E-01
  0.151672E-02   4.79522      0.223591E-01  0.248299E-01  0.124150E-01  0.347740E-01  0.994409E-02  -.994409E-02  0.471890E-01  0.124150E-01  0.223591E-01  0.124150E-01   0.00000       0.00000       0.00000      0.124150E-01
  0.157029E-02   4.73225      0.229469E-01  0.254859E-01  0.127429E-01  0.356899E-01  0.102040E-01  -.102040E-01  0.484328E-01  0.127429E-01  0.229469E-01  0.127429E-01   0.00000       0.00000       0.00000      0.127429E-01
  0.162576E-02   4.67310      0.236083E-01  0.262234E-01  0.131117E-01  0.367200E-01  0.104966E-01  -.104966E-01  0.498317E-01  0.131117E-01  0.236083E-01  0.131117E-01   0.00000       0.00000       0.00000      0.131117E-01
  0.168318E-02   4.61395      0.242696E-01  0.269610E-01  0.134805E-01  0.377501E-01  0.107891E-01  -.107891E-01  0.512306E-01  0.134805E-01  0.242696E-01  0.134805E-01   0.00000       0.00000       0.00000      0.134805E-01
  0.174263E-02   4.55480      0.249310E-01  0.276985E-01  0.138492E-01  0.387802E-01  0.110817E-01  -.110817E-01  0.526295E-01  0.138492E-01  0.249310E-01  0.138492E-01   0.00000       0.00000       0.00000      0.138492E-01
  0.180419E-02   4.49565      0.255923E-01  0.284360E-01  0.142180E-01  0.398103E-01  0.113743E-01  -.113743E-01  0.540283E-01  0.142180E-01  0.255923E-01  0.142180E-01   0.00000       0.00000       0.00000      0.142180E-01
  0.186791E-02   4.43650      0.262537E-01  0.291736E-01  0.145868E-01  0.408404E-01  0.116669E-01  -.116669E-01  0.554272E-01  0.145868E-01  0.262537E-01  0.145868E-01   0.00000       0.00000       0.00000      0.145868E-01
  0.193389E-02   4.37735      0.269150E-01  0.299111E-01  0.149556E-01  0.418705E-01  0.119594E-01  -.119594E-01  0.568261E-01  0.149556E-01  0.269150E-01  0.149556E-01   0.00000       0.00000       0.00000      0.149556E-01
  0.200220E-02   4.31820      0.275763E-01  0.306486E-01  0.153243E-01  0.429007E-01  0.122520E-01  -.122520E-01  0.582250E-01  0.153243E-01  0.275763E-01  0.153243E-01   0.00000       0.00000       0.00000      0.153243E-01
  0.207292E-02   4.25905      0.282377E-01  0.313862E-01  0.156931E-01  0.439308E-01  0.125446E-01  -.125446E-01  0.596239E-01  0.156931E-01  0.282377E-01  0.156931E-01   0.00000       0.00000       0.00000      0.156931E-01
  0.214614E-02   4.20565      0.290522E-01  0.322926E-01  0.161463E-01  0.451985E-01  0.129059E-01  -.129059E-01  0.613448E-01  0.161463E-01  0.290522E-01  0.161463E-01   0.00000       0.00000       0.00000      0.161463E-01
  0.222195E-02   4.15250      0.298732E-01  0.332062E-01  0.166031E-01  0.464763E-01  0.132701E-01  -.132701E-01  0.630794E-01  0.166031E-01  0.298732E-01  0.166031E-01   0.00000       0.00000       0.00000      0.166031E-01
  0.230043E-02   4.09935      0.306942E-01  0.341197E-01  0.170599E-01  0.477541E-01  0.136344E-01  -.136344E-01  0.648140E-01  0.170599E-01  0.306942E-01  0.170599E-01   0.00000       0.00000       0.00000      0.170599E-01
  0.238169E-02   4.04620      0.315153E-01  0.350333E-01  0.175167E-01  0.490319E-01  0.139986E-01  -.139986E-01  0.665486E-01  0.175167E-01  0.315153E-01  0.175167E-01   0.00000       0.00000       0.00000      0.175167E-01
