   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.69248      0.166997E-01  0.183192E-01  0.915958E-02  0.258592E-01  0.754008E-02  -.754008E-02  0.350188E-01  0.915958E-02  0.166997E-01  0.915958E-02   0.00000       0.00000       0.00000      0.915958E-02
  0.103532E-02   5.61808      0.171323E-01  0.187985E-01  0.939926E-02  0.265315E-01  0.773302E-02  -.773302E-02  0.359308E-01  0.939926E-02  0.171323E-01  0.939926E-02   0.00000       0.00000       0.00000      0.939926E-02
  0.107189E-02   5.54369      0.175649E-01  0.192779E-01  0.963894E-02  0.272038E-01  0.792596E-02  -.792596E-02  0.368428E-01  0.963894E-02  0.175649E-01  0.963894E-02   0.00000       0.00000       0.00000      0.963894E-02
  0.110975E-02   5.46929      0.179975E-01  0.197572E-01  0.987862E-02  0.278761E-01  0.811890E-02  -.811890E-02  0.377548E-01  0.987862E-02  0.179975E-01  0.987862E-02   0.00000       0.00000       0.00000      0.987862E-02
  0.114895E-02   5.39490      0.184301E-01  0.202366E-01  0.101183E-01  0.285484E-01  0.831185E-02  -.831185E-02  0.386667E-01  0.101183E-01  0.184301E-01  0.101183E-01   0.00000       0.00000       0.00000      0.101183E-01
  0.118953E-02   5.32743      0.189588E-01  0.208226E-01  0.104113E-01  0.293701E-01  0.854746E-02  -.854746E-02  0.397814E-01  0.104113E-01  0.189588E-01  0.104113E-01   0.00000       0.00000       0.00000      0.104113E-01
  0.123155E-02   5.26066      0.194971E-01  0.214195E-01  0.107097E-01  0.302069E-01  0.878740E-02  -.878740E-02  0.409166E-01  0.107097E-01  0.194971E-01  0.107097E-01   0.00000       0.00000       0.00000      0.107097E-01
  0.127505E-02   5.19390      0.200355E-01  0.220164E-01  0.110082E-01  0.310437E-01  0.902735E-02  -.902735E-02  0.420519E-01  0.110082E-01  0.200355E-01  0.110082E-01   0.00000       0.00000       0.00000      0.110082E-01
  0.132009E-02   5.12713      0.205739E-01  0.226132E-01  0.113066E-01  0.318805E-01  0.926730E-02  -.926730E-02  0.431871E-01  0.113066E-01  0.205739E-01  0.113066E-01   0.00000       0.00000       0.00000      0.113066E-01
  0.136672E-02   5.06037      0.211123E-01  0.232101E-01  0.116050E-01  0.327173E-01  0.950725E-02  -.950725E-02  0.443224E-01  0.116050E-01  0.211123E-01  0.116050E-01   0.00000       0.00000       0.00000      0.116050E-01
  0.141499E-02   4.99361      0.216507E-01  0.238070E-01  0.119035E-01  0.335542E-01  0.974720E-02  -.974720E-02  0.454576E-01  0.119035E-01  0.216507E-01  0.119035E-01   0.00000       0.00000       0.00000      0.119035E-01
  0.146497E-02   4.92684      0.221891E-01  0.244038E-01  0.122019E-01  0.343910E-01  0.998715E-02  -.998715E-02  0.465929E-01  0.122019E-01  0.221891E-01  0.122019E-01   0.00000       0.00000       0.00000      0.122019E-01
  0.151672E-02   4.86008      0.227274E-01  0.250007E-01  0.125003E-01  0.352278E-01  0.102271E-01  -.102271E-01  0.477281E-01  0.125003E-01  0.227274E-01  0.125003E-01   0.00000       0.00000       0.00000      0.125003E-01
  0.157029E-02   4.79627      0.233225E-01  0.256602E-01  0.128301E-01  0.361526E-01  0.104924E-01  -.104924E-01  0.489827E-01  0.128301E-01  0.233225E-01  0.128301E-01   0.00000       0.00000       0.00000      0.128301E-01
