   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   6.48968      0.144588E-01  0.130079E-01  0.650394E-02  0.209627E-01  0.795484E-02  -.795484E-02  0.274667E-01  0.650394E-02  0.144588E-01  0.650394E-02   0.00000       0.00000       0.00000      0.650394E-02
  0.103532E-02   6.40176      0.148403E-01  0.133702E-01  0.668510E-02  0.215254E-01  0.815518E-02  -.815518E-02  0.282105E-01  0.668510E-02  0.148403E-01  0.668510E-02   0.00000       0.00000       0.00000      0.668510E-02
  0.107189E-02   6.31383      0.152218E-01  0.137325E-01  0.686627E-02  0.220880E-01  0.835551E-02  -.835551E-02  0.289543E-01  0.686627E-02  0.152218E-01  0.686627E-02   0.00000       0.00000       0.00000      0.686627E-02
  0.110975E-02   6.22591      0.156033E-01  0.140949E-01  0.704743E-02  0.226507E-01  0.855585E-02  -.855585E-02  0.296981E-01  0.704743E-02  0.156033E-01  0.704743E-02   0.00000       0.00000       0.00000      0.704743E-02
  0.114895E-02   6.13799      0.159848E-01  0.144572E-01  0.722860E-02  0.232134E-01  0.875618E-02  -.875618E-02  0.304420E-01  0.722860E-02  0.159848E-01  0.722860E-02   0.00000       0.00000       0.00000      0.722860E-02
  0.118953E-02   6.05855      0.164532E-01  0.149063E-01  0.745313E-02  0.239063E-01  0.900003E-02  -.900003E-02  0.313594E-01  0.745313E-02  0.164532E-01  0.745313E-02   0.00000       0.00000       0.00000      0.745313E-02
  0.123155E-02   5.97997      0.169304E-01  0.153642E-01  0.768208E-02  0.246125E-01  0.924830E-02  -.924830E-02  0.322945E-01  0.768208E-02  0.169304E-01  0.768208E-02   0.00000       0.00000       0.00000      0.768208E-02
  0.127505E-02   5.90140      0.174076E-01  0.158221E-01  0.791103E-02  0.253186E-01  0.949658E-02  -.949658E-02  0.332297E-01  0.791103E-02  0.174076E-01  0.791103E-02   0.00000       0.00000       0.00000      0.791103E-02
  0.132009E-02   5.82282      0.178848E-01  0.162799E-01  0.813997E-02  0.260248E-01  0.974485E-02  -.974485E-02  0.341648E-01  0.813997E-02  0.178848E-01  0.813997E-02   0.00000       0.00000       0.00000      0.813997E-02
  0.136672E-02   5.74424      0.183620E-01  0.167378E-01  0.836892E-02  0.267310E-01  0.999312E-02  -.999312E-02  0.350999E-01  0.836892E-02  0.183620E-01  0.836892E-02   0.00000       0.00000       0.00000      0.836892E-02
  0.141499E-02   5.66566      0.188393E-01  0.171957E-01  0.859787E-02  0.274371E-01  0.102414E-01  -.102414E-01  0.360350E-01  0.859787E-02  0.188393E-01  0.859787E-02   0.00000       0.00000       0.00000      0.859787E-02
  0.146497E-02   5.58709      0.193165E-01  0.176536E-01  0.882681E-02  0.281433E-01  0.104897E-01  -.104897E-01  0.369701E-01  0.882681E-02  0.193165E-01  0.882681E-02   0.00000       0.00000       0.00000      0.882681E-02
  0.151672E-02   5.50851      0.197937E-01  0.181115E-01  0.905576E-02  0.288495E-01  0.107379E-01  -.107379E-01  0.379052E-01  0.905576E-02  0.197937E-01  0.905576E-02   0.00000       0.00000       0.00000      0.905576E-02
  0.157029E-02   5.43353      0.203225E-01  0.186212E-01  0.931059E-02  0.296331E-01  0.110119E-01  -.110119E-01  0.389437E-01  0.931059E-02  0.203225E-01  0.931059E-02   0.00000       0.00000       0.00000      0.931059E-02
  0.162576E-02   5.36327      0.209188E-01  0.191985E-01  0.959927E-02  0.305181E-01  0.113195E-01  -.113195E-01  0.401173E-01  0.959927E-02  0.209188E-01  0.959927E-02   0.00000       0.00000       0.00000      0.959927E-02
  0.168318E-02   5.29301      0.215151E-01  0.197759E-01  0.988795E-02  0.314030E-01  0.116271E-01  -.116271E-01  0.412910E-01  0.988795E-02  0.215151E-01  0.988795E-02   0.00000       0.00000       0.00000      0.988795E-02
  0.174263E-02   5.22275      0.221114E-01  0.203532E-01  0.101766E-01  0.322880E-01  0.119347E-01  -.119347E-01  0.424646E-01  0.101766E-01  0.221114E-01  0.101766E-01   0.00000       0.00000       0.00000      0.101766E-01
  0.180419E-02   5.15248      0.227076E-01  0.209306E-01  0.104653E-01  0.331729E-01  0.122423E-01  -.122423E-01  0.436382E-01  0.104653E-01  0.227076E-01  0.104653E-01   0.00000       0.00000       0.00000      0.104653E-01
  0.186791E-02   5.08222      0.233039E-01  0.215080E-01  0.107540E-01  0.340579E-01  0.125499E-01  -.125499E-01  0.448119E-01  0.107540E-01  0.233039E-01  0.107540E-01   0.00000       0.00000       0.00000      0.107540E-01
  0.193389E-02   5.01196      0.239002E-01  0.220853E-01  0.110427E-01  0.349429E-01  0.128575E-01  -.128575E-01  0.459855E-01  0.110427E-01  0.239002E-01  0.110427E-01   0.00000       0.00000       0.00000      0.110427E-01
