   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3310      0.834885      0.927533      0.821275      0.941143      0.136100E-01  -.136100E-01   1.76242      0.423273      0.436883      0.423392      0.398002      0.808674E-01   0.00000      0.423392    
  0.103532E-02   13.1282      0.822846      0.914027      0.808919      0.927954      0.139267E-01  -.139267E-01   1.73687      0.417196      0.431123      0.417317      0.391723      0.795137E-01   0.00000      0.417317    
  0.107189E-02   12.9253      0.810806      0.900522      0.796563      0.914766      0.142434E-01  -.142434E-01   1.71133      0.411120      0.425364      0.411242      0.385443      0.781600E-01   0.00000      0.411242    
  0.110975E-02   12.7224      0.798767      0.887017      0.784207      0.901577      0.145601E-01  -.145601E-01   1.68578      0.405044      0.419604      0.405167      0.379163      0.768063E-01   0.00000      0.405167    
  0.114895E-02   12.5196      0.786728      0.873512      0.771851      0.888388      0.148768E-01  -.148768E-01   1.66024      0.398967      0.413844      0.399091      0.372884      0.754526E-01   0.00000      0.399091    
  0.118953E-02   12.3370      0.776054      0.861526      0.760799      0.876781      0.152550E-01  -.152550E-01   1.63758      0.393580      0.408835      0.393705      0.367219      0.742399E-01   0.00000      0.393705    
  0.123155E-02   12.1564      0.765519      0.849695      0.749880      0.865334      0.156395E-01  -.156395E-01   1.61521      0.388264      0.403903      0.388390      0.361616      0.730415E-01   0.00000      0.388390    
  0.127505E-02   11.9758      0.754984      0.837863      0.738960      0.853887      0.160240E-01  -.160240E-01   1.59285      0.382947      0.398971      0.383074      0.356014      0.718430E-01   0.00000      0.383074    
  0.132009E-02   11.7953      0.744449      0.826032      0.728041      0.842441      0.164085E-01  -.164085E-01   1.57048      0.377630      0.394038      0.377758      0.350411      0.706446E-01   0.00000      0.377758    
  0.136672E-02   11.6147      0.733915      0.814201      0.717122      0.830994      0.167930E-01  -.167930E-01   1.54812      0.372313      0.389106      0.372442      0.344809      0.694462E-01   0.00000      0.372442    
  0.141499E-02   11.4342      0.723380      0.802370      0.706202      0.819547      0.171775E-01  -.171775E-01   1.52575      0.366996      0.384173      0.367126      0.339206      0.682478E-01   0.00000      0.367126    
  0.146497E-02   11.2536      0.712845      0.790539      0.695283      0.808101      0.175620E-01  -.175620E-01   1.50338      0.361679      0.379241      0.361810      0.333604      0.670494E-01   0.00000      0.361810    
  0.151672E-02   11.0731      0.702310      0.778707      0.684363      0.796654      0.179464E-01  -.179464E-01   1.48102      0.356362      0.374309      0.356494      0.328001      0.658509E-01   0.00000      0.356494    
  0.157029E-02   10.9011      0.692374      0.767539      0.674007      0.785906      0.183663E-01  -.183663E-01   1.45991      0.351347      0.369713      0.351480      0.322661      0.647124E-01   0.00000      0.351480    
  0.162576E-02   10.7405      0.683221      0.757238      0.664388      0.776071      0.188325E-01  -.188325E-01   1.44046      0.346726      0.365559      0.346860      0.317662      0.636520E-01   0.00000      0.346860    
  0.168318E-02   10.5798      0.674067      0.746937      0.654769      0.766236      0.192987E-01  -.192987E-01   1.42100      0.342105      0.361404      0.342240      0.312663      0.625917E-01   0.00000      0.342240    
  0.174263E-02   10.4191      0.664914      0.736636      0.645149      0.756401      0.197648E-01  -.197648E-01   1.40155      0.337484      0.357249      0.337620      0.307665      0.615314E-01   0.00000      0.337620    
  0.180419E-02   10.2584      0.655761      0.726335      0.635530      0.746566      0.202310E-01  -.202310E-01   1.38210      0.332864      0.353095      0.333000      0.302666      0.604710E-01   0.00000      0.333000    
