   1.89999998             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   5.54898      0.126091E-01  0.103040E-01  0.515201E-02  0.177611E-01  0.745713E-02  -.745713E-02  0.229132E-01  0.515201E-02  0.126091E-01  0.515201E-02   0.00000       0.00000       0.00000      0.515201E-02
  0.103532E-02   5.47924      0.129520E-01  0.106074E-01  0.530371E-02  0.182557E-01  0.764829E-02  -.764829E-02  0.235594E-01  0.530371E-02  0.129520E-01  0.530371E-02   0.00000       0.00000       0.00000      0.530371E-02
  0.107189E-02   5.40950      0.132949E-01  0.109108E-01  0.545540E-02  0.187503E-01  0.783946E-02  -.783946E-02  0.242057E-01  0.545540E-02  0.132949E-01  0.545540E-02   0.00000       0.00000       0.00000      0.545540E-02
  0.110975E-02   5.33975      0.136377E-01  0.112142E-01  0.560710E-02  0.192448E-01  0.803062E-02  -.803062E-02  0.248519E-01  0.560710E-02  0.136377E-01  0.560710E-02   0.00000       0.00000       0.00000      0.560710E-02
  0.114895E-02   5.27001      0.139806E-01  0.115176E-01  0.575879E-02  0.197394E-01  0.822179E-02  -.822179E-02  0.254982E-01  0.575879E-02  0.139806E-01  0.575879E-02   0.00000       0.00000       0.00000      0.575879E-02
  0.118953E-02   5.20651      0.144046E-01  0.118986E-01  0.594928E-02  0.203539E-01  0.845531E-02  -.845531E-02  0.263032E-01  0.594928E-02  0.144046E-01  0.594928E-02   0.00000       0.00000       0.00000      0.594928E-02
  0.123155E-02   5.14365      0.148369E-01  0.122874E-01  0.614372E-02  0.209806E-01  0.869314E-02  -.869314E-02  0.271243E-01  0.614372E-02  0.148369E-01  0.614372E-02   0.00000       0.00000       0.00000      0.614372E-02
  0.127505E-02   5.08078      0.152691E-01  0.126763E-01  0.633816E-02  0.216073E-01  0.893098E-02  -.893098E-02  0.279454E-01  0.633816E-02  0.152691E-01  0.633816E-02   0.00000       0.00000       0.00000      0.633816E-02
  0.132009E-02   5.01792      0.157014E-01  0.130652E-01  0.653259E-02  0.222340E-01  0.916881E-02  -.916881E-02  0.287666E-01  0.653259E-02  0.157014E-01  0.653259E-02   0.00000       0.00000       0.00000      0.653259E-02
  0.136672E-02   4.95505      0.161337E-01  0.134541E-01  0.672703E-02  0.228607E-01  0.940665E-02  -.940665E-02  0.295877E-01  0.672703E-02  0.161337E-01  0.672703E-02   0.00000       0.00000       0.00000      0.672703E-02
  0.141499E-02   4.89219      0.165659E-01  0.138429E-01  0.692147E-02  0.234874E-01  0.964448E-02  -.964448E-02  0.304089E-01  0.692147E-02  0.165659E-01  0.692147E-02   0.00000       0.00000       0.00000      0.692147E-02
  0.146497E-02   4.82932      0.169982E-01  0.142318E-01  0.711590E-02  0.241141E-01  0.988231E-02  -.988231E-02  0.312300E-01  0.711590E-02  0.169982E-01  0.711590E-02   0.00000       0.00000       0.00000      0.711590E-02
  0.151672E-02   4.76646      0.174305E-01  0.146207E-01  0.731034E-02  0.247408E-01  0.101201E-01  -.101201E-01  0.320512E-01  0.731034E-02  0.174305E-01  0.731034E-02   0.00000       0.00000       0.00000      0.731034E-02
  0.157029E-02   4.70627      0.179114E-01  0.150566E-01  0.752830E-02  0.254397E-01  0.103831E-01  -.103831E-01  0.329680E-01  0.752830E-02  0.179114E-01  0.752830E-02   0.00000       0.00000       0.00000      0.752830E-02
  0.162576E-02   4.64957      0.184559E-01  0.155540E-01  0.777699E-02  0.262329E-01  0.106789E-01  -.106789E-01  0.340099E-01  0.777699E-02  0.184559E-01  0.777699E-02   0.00000       0.00000       0.00000      0.777699E-02
  0.168318E-02   4.59288      0.190004E-01  0.160514E-01  0.802569E-02  0.270261E-01  0.109748E-01  -.109748E-01  0.350518E-01  0.802569E-02  0.190004E-01  0.802569E-02   0.00000       0.00000       0.00000      0.802569E-02
  0.174263E-02   4.53618      0.195450E-01  0.165488E-01  0.827439E-02  0.278194E-01  0.112706E-01  -.112706E-01  0.360938E-01  0.827439E-02  0.195450E-01  0.827439E-02   0.00000       0.00000       0.00000      0.827439E-02
  0.180419E-02   4.47949      0.200895E-01  0.170462E-01  0.852309E-02  0.286126E-01  0.115664E-01  -.115664E-01  0.371357E-01  0.852309E-02  0.200895E-01  0.852309E-02   0.00000       0.00000       0.00000      0.852309E-02
  0.186791E-02   4.42279      0.206340E-01  0.175436E-01  0.877179E-02  0.294058E-01  0.118622E-01  -.118622E-01  0.381776E-01  0.877179E-02  0.206340E-01  0.877179E-02   0.00000       0.00000       0.00000      0.877179E-02
  0.193389E-02   4.36609      0.211785E-01  0.180410E-01  0.902049E-02  0.301990E-01  0.121580E-01  -.121580E-01  0.392195E-01  0.902049E-02  0.211785E-01  0.902049E-02   0.00000       0.00000       0.00000      0.902049E-02
  0.200220E-02   4.30940      0.217230E-01  0.185384E-01  0.926919E-02  0.309922E-01  0.124539E-01  -.124539E-01  0.402614E-01  0.926919E-02  0.217230E-01  0.926919E-02   0.00000       0.00000       0.00000      0.926919E-02
  0.207292E-02   4.25270      0.222676E-01  0.190358E-01  0.951789E-02  0.317855E-01  0.127497E-01  -.127497E-01  0.413033E-01  0.951789E-02  0.222676E-01  0.951789E-02   0.00000       0.00000       0.00000      0.951789E-02
  0.214614E-02   4.20130      0.229469E-01  0.196646E-01  0.983229E-02  0.327791E-01  0.131146E-01  -.131146E-01  0.426114E-01  0.983229E-02  0.229469E-01  0.983229E-02   0.00000       0.00000       0.00000      0.983229E-02
  0.222195E-02   4.15013      0.236319E-01  0.202990E-01  0.101495E-01  0.337814E-01  0.134824E-01  -.134824E-01  0.439309E-01  0.101495E-01  0.236319E-01  0.101495E-01   0.00000       0.00000       0.00000      0.101495E-01
  0.230043E-02   4.09896      0.243169E-01  0.209334E-01  0.104667E-01  0.347836E-01  0.138502E-01  -.138502E-01  0.452503E-01  0.104667E-01  0.243169E-01  0.104667E-01   0.00000       0.00000       0.00000      0.104667E-01
  0.238169E-02   4.04778      0.250019E-01  0.215678E-01  0.107839E-01  0.357858E-01  0.142180E-01  -.142180E-01  0.465697E-01  0.107839E-01  0.250019E-01  0.107839E-01   0.00000       0.00000       0.00000      0.107839E-01
  0.246581E-02   3.99661      0.256869E-01  0.222022E-01  0.111011E-01  0.367881E-01  0.145858E-01  -.145858E-01  0.478892E-01  0.111011E-01  0.256869E-01  0.111011E-01   0.00000       0.00000       0.00000      0.111011E-01
  0.255291E-02   3.94544      0.263720E-01  0.228366E-01  0.114183E-01  0.377903E-01  0.149536E-01  -.149536E-01  0.492086E-01  0.114183E-01  0.263720E-01  0.114183E-01   0.00000       0.00000       0.00000      0.114183E-01
  0.264308E-02   3.89427      0.270570E-01  0.234711E-01  0.117355E-01  0.387925E-01  0.153215E-01  -.153215E-01  0.505280E-01  0.117355E-01  0.270570E-01  0.117355E-01   0.00000       0.00000       0.00000      0.117355E-01
  0.273644E-02   3.84309      0.277420E-01  0.241055E-01  0.120527E-01  0.397947E-01  0.156893E-01  -.156893E-01  0.518475E-01  0.120527E-01  0.277420E-01  0.120527E-01   0.00000       0.00000       0.00000      0.120527E-01
  0.283310E-02   3.79431      0.285120E-01  0.248231E-01  0.124116E-01  0.409235E-01  0.161004E-01  -.161004E-01  0.533351E-01  0.124116E-01  0.285120E-01  0.124116E-01   0.00000       0.00000       0.00000      0.124116E-01
  0.293317E-02   3.74808      0.293721E-01  0.256292E-01  0.128146E-01  0.421867E-01  0.165575E-01  -.165575E-01  0.550013E-01  0.128146E-01  0.293721E-01  0.128146E-01   0.00000       0.00000       0.00000      0.128146E-01
  0.303677E-02   3.70184      0.302323E-01  0.264352E-01  0.132176E-01  0.434499E-01  0.170147E-01  -.170147E-01  0.566675E-01  0.132176E-01  0.302323E-01  0.132176E-01   0.00000       0.00000       0.00000      0.132176E-01
  0.314404E-02   3.65561      0.310924E-01  0.272413E-01  0.136207E-01  0.447131E-01  0.174718E-01  -.174718E-01  0.583337E-01  0.136207E-01  0.310924E-01  0.136207E-01   0.00000       0.00000       0.00000      0.136207E-01
  0.325509E-02   3.60937      0.319526E-01  0.280474E-01  0.140237E-01  0.459763E-01  0.179289E-01  -.179289E-01  0.600000E-01  0.140237E-01  0.319526E-01  0.140237E-01   0.00000       0.00000       0.00000      0.140237E-01
  0.337006E-02   3.56314      0.328128E-01  0.288534E-01  0.144267E-01  0.472395E-01  0.183860E-01  -.183860E-01  0.616662E-01  0.144267E-01  0.328128E-01  0.144267E-01   0.00000       0.00000       0.00000      0.144267E-01
  0.348910E-02   3.51690      0.336729E-01  0.296595E-01  0.148298E-01  0.485027E-01  0.188432E-01  -.188432E-01  0.633324E-01  0.148298E-01  0.336729E-01  0.148298E-01   0.00000       0.00000       0.00000      0.148298E-01
  0.361234E-02   3.47067      0.345331E-01  0.304656E-01  0.152328E-01  0.497659E-01  0.193003E-01  -.193003E-01  0.649986E-01  0.152328E-01  0.345331E-01  0.152328E-01   0.00000       0.00000       0.00000      0.152328E-01
  0.373994E-02   3.42448      0.353955E-01  0.312739E-01  0.156370E-01  0.510325E-01  0.197586E-01  -.197586E-01  0.666695E-01  0.156370E-01  0.353955E-01  0.156370E-01   0.00000       0.00000       0.00000      0.156370E-01
  0.387204E-02   3.38265      0.364727E-01  0.322928E-01  0.161464E-01  0.526191E-01  0.203263E-01  -.203263E-01  0.687655E-01  0.161464E-01  0.364727E-01  0.161464E-01   0.00000       0.00000       0.00000      0.161464E-01
  0.400881E-02   3.34082      0.375499E-01  0.333116E-01  0.166558E-01  0.542057E-01  0.208941E-01  -.208941E-01  0.708615E-01  0.166558E-01  0.375499E-01  0.166558E-01   0.00000       0.00000       0.00000      0.166558E-01
  0.415040E-02   3.29899      0.386271E-01  0.343305E-01  0.171652E-01  0.557923E-01  0.214619E-01  -.214619E-01  0.729575E-01  0.171652E-01  0.386271E-01  0.171652E-01   0.00000       0.00000       0.00000      0.171652E-01
  0.429700E-02   3.25716      0.397043E-01  0.353493E-01  0.176747E-01  0.573789E-01  0.220296E-01  -.220296E-01  0.750536E-01  0.176747E-01  0.397043E-01  0.176747E-01   0.00000       0.00000       0.00000      0.176747E-01
  0.444878E-02   3.21533      0.407814E-01  0.363682E-01  0.181841E-01  0.589655E-01  0.225974E-01  -.225974E-01  0.771496E-01  0.181841E-01  0.407814E-01  0.181841E-01   0.00000       0.00000       0.00000      0.181841E-01
  0.460592E-02   3.17350      0.418586E-01  0.373870E-01  0.186935E-01  0.605521E-01  0.231651E-01  -.231651E-01  0.792456E-01  0.186935E-01  0.418586E-01  0.186935E-01   0.00000       0.00000       0.00000      0.186935E-01
  0.476861E-02   3.13167      0.429358E-01  0.384059E-01  0.192029E-01  0.621387E-01  0.237329E-01  -.237329E-01  0.813417E-01  0.192029E-01  0.429358E-01  0.192029E-01   0.00000       0.00000       0.00000      0.192029E-01
  0.493705E-02   3.08984      0.440130E-01  0.394247E-01  0.197124E-01  0.637253E-01  0.243006E-01  -.243006E-01  0.834377E-01  0.197124E-01  0.440130E-01  0.197124E-01   0.00000       0.00000       0.00000      0.197124E-01
  0.511143E-02   3.05012      0.452332E-01  0.405829E-01  0.202915E-01  0.655247E-01  0.249418E-01  -.249418E-01  0.858162E-01  0.202915E-01  0.452332E-01  0.202915E-01   0.00000       0.00000       0.00000      0.202915E-01
  0.529198E-02   3.01220      0.465771E-01  0.418616E-01  0.209308E-01  0.675080E-01  0.256463E-01  -.256463E-01  0.884388E-01  0.209308E-01  0.465771E-01  0.209308E-01   0.00000       0.00000       0.00000      0.209308E-01
  0.547890E-02   2.97429      0.479211E-01  0.431403E-01  0.215701E-01  0.694912E-01  0.263509E-01  -.263509E-01  0.910613E-01  0.215701E-01  0.479211E-01  0.215701E-01   0.00000       0.00000       0.00000      0.215701E-01
