   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.6793      0.810005      0.912557      0.796494      0.926068      0.135111E-01  -.135111E-01   1.72256      0.417361      0.430872      0.417481      0.379132      0.777147E-01   0.00000      0.417481    
  0.103532E-02   12.4904      0.798910      0.900215      0.785085      0.914041      0.138259E-01  -.138259E-01   1.69913      0.411831      0.425656      0.411951      0.373254      0.764331E-01   0.00000      0.411951    
  0.107189E-02   12.3015      0.787816      0.887873      0.773676      0.902013      0.141407E-01  -.141407E-01   1.67569      0.406300      0.420440      0.406421      0.367376      0.751515E-01   0.00000      0.406421    
  0.110975E-02   12.1125      0.776722      0.875531      0.762266      0.889986      0.144555E-01  -.144555E-01   1.65225      0.400769      0.415224      0.400892      0.361498      0.738699E-01   0.00000      0.400892    
  0.114895E-02   11.9236      0.765628      0.863188      0.750857      0.877959      0.147703E-01  -.147703E-01   1.62882      0.395238      0.410008      0.395362      0.355619      0.725883E-01   0.00000      0.395362    
  0.118953E-02   11.7530      0.755781      0.852232      0.740635      0.867379      0.151463E-01  -.151463E-01   1.60801      0.390335      0.405482      0.390460      0.350299      0.714369E-01   0.00000      0.390460    
  0.123155E-02   11.5842      0.746061      0.841418      0.730533      0.856946      0.155286E-01  -.155286E-01   1.58748      0.385496      0.401025      0.385622      0.345036      0.702987E-01   0.00000      0.385622    
  0.127505E-02   11.4154      0.736342      0.830603      0.720431      0.846514      0.159109E-01  -.159109E-01   1.56694      0.380658      0.396569      0.380785      0.339773      0.691605E-01   0.00000      0.380785    
  0.132009E-02   11.2467      0.726622      0.819788      0.710329      0.836081      0.162932E-01  -.162932E-01   1.54641      0.375819      0.392112      0.375947      0.334510      0.680223E-01   0.00000      0.375947    
  0.136672E-02   11.0779      0.716903      0.808973      0.700227      0.825648      0.166755E-01  -.166755E-01   1.52588      0.370980      0.387655      0.371109      0.329247      0.668841E-01   0.00000      0.371109    
  0.141499E-02   10.9091      0.707183      0.798158      0.690125      0.815216      0.170578E-01  -.170578E-01   1.50534      0.366141      0.383199      0.366271      0.323984      0.657459E-01   0.00000      0.366271    
  0.146497E-02   10.7404      0.697464      0.787343      0.680023      0.804783      0.174401E-01  -.174401E-01   1.48481      0.361302      0.378742      0.361433      0.318721      0.646077E-01   0.00000      0.361433    
  0.151672E-02   10.5716      0.687744      0.776528      0.669922      0.794350      0.178224E-01  -.178224E-01   1.46427      0.356463      0.374286      0.356595      0.313458      0.634695E-01   0.00000      0.356595    
  0.157029E-02   10.4106      0.678573      0.766317      0.660333      0.784556      0.182400E-01  -.182400E-01   1.44489      0.351898      0.370138      0.352031      0.308434      0.623868E-01   0.00000      0.352031    
  0.162576E-02   10.2599      0.670118      0.756894      0.651414      0.775598      0.187036E-01  -.187036E-01   1.42701      0.347692      0.366395      0.347826      0.303723      0.613766E-01   0.00000      0.347826    
  0.168318E-02   10.1091      0.661663      0.747472      0.642496      0.766639      0.191672E-01  -.191672E-01   1.40914      0.343485      0.362652      0.343620      0.299011      0.603665E-01   0.00000      0.343620    
  0.174263E-02   9.95840      0.653209      0.738049      0.633578      0.757680      0.196309E-01  -.196309E-01   1.39126      0.339279      0.358909      0.339414      0.294299      0.593563E-01   0.00000      0.339414    
  0.180419E-02   9.80766      0.644754      0.728627      0.624660      0.748721      0.200945E-01  -.200945E-01   1.37338      0.335072      0.355167      0.335209      0.289588      0.583461E-01   0.00000      0.335209    
