   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3406      0.835311      0.928017      0.821702      0.941627      0.136095E-01  -.136095E-01   1.76333      0.423503      0.437113      0.423623      0.398198      0.808913E-01   0.00000      0.423623    
  0.103532E-02   13.1373      0.823253      0.914491      0.809326      0.928418      0.139261E-01  -.139261E-01   1.73774      0.417417      0.431343      0.417538      0.391909      0.795362E-01   0.00000      0.417538    
  0.107189E-02   12.9341      0.811194      0.900966      0.796951      0.915208      0.142428E-01  -.142428E-01   1.71216      0.411331      0.425574      0.411453      0.385620      0.781811E-01   0.00000      0.411453    
  0.110975E-02   12.7309      0.799136      0.887440      0.784576      0.901999      0.145595E-01  -.145595E-01   1.68658      0.405245      0.419805      0.405368      0.379331      0.768259E-01   0.00000      0.405368    
  0.114895E-02   12.5276      0.787077      0.873914      0.772201      0.888790      0.148762E-01  -.148762E-01   1.66099      0.399160      0.414036      0.399284      0.373042      0.754708E-01   0.00000      0.399284    
  0.118953E-02   12.3447      0.776388      0.861912      0.761134      0.877166      0.152544E-01  -.152544E-01   1.63830      0.393765      0.409019      0.393890      0.367369      0.742569E-01   0.00000      0.393890    
  0.123155E-02   12.1639      0.765839      0.850065      0.750200      0.865704      0.156389E-01  -.156389E-01   1.61590      0.388441      0.404080      0.388567      0.361759      0.730574E-01   0.00000      0.388567    
  0.127505E-02   11.9830      0.755289      0.838218      0.739266      0.854242      0.160234E-01  -.160234E-01   1.59351      0.383117      0.399140      0.383244      0.356149      0.718579E-01   0.00000      0.383244    
  0.132009E-02   11.8021      0.744740      0.826372      0.728332      0.842779      0.164078E-01  -.164078E-01   1.57111      0.377793      0.394200      0.377921      0.350539      0.706584E-01   0.00000      0.377921    
  0.136672E-02   11.6213      0.734190      0.814525      0.717398      0.831317      0.167923E-01  -.167923E-01   1.54871      0.372468      0.389261      0.372598      0.344929      0.694590E-01   0.00000      0.372598    
  0.141499E-02   11.4404      0.723640      0.802678      0.706464      0.819855      0.171768E-01  -.171768E-01   1.52632      0.367144      0.384321      0.367274      0.339319      0.682595E-01   0.00000      0.367274    
  0.146497E-02   11.2596      0.713091      0.790831      0.695529      0.808393      0.175613E-01  -.175613E-01   1.50392      0.361820      0.379381      0.361951      0.333709      0.670600E-01   0.00000      0.361951    
  0.151672E-02   11.0787      0.702541      0.778984      0.684595      0.796930      0.179457E-01  -.179457E-01   1.48153      0.356496      0.374442      0.356628      0.328099      0.658605E-01   0.00000      0.356628    
  0.157029E-02   10.9065      0.692592      0.767803      0.674226      0.786168      0.183656E-01  -.183656E-01   1.46039      0.351474      0.369840      0.351607      0.322752      0.647210E-01   0.00000      0.351607    
