   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   13.3890      0.835227      0.922310      0.821412      0.936125      0.138151E-01  -.138151E-01   1.75754      0.420398      0.434213      0.420517      0.401014      0.813947E-01   0.00000      0.420517    
  0.103532E-02   13.1868      0.823102      0.908607      0.808967      0.922742      0.141349E-01  -.141349E-01   1.73171      0.414223      0.428358      0.414344      0.394744      0.800400E-01   0.00000      0.414344    
  0.107189E-02   12.9845      0.810977      0.894904      0.796523      0.909358      0.144548E-01  -.144548E-01   1.70588      0.408048      0.422503      0.408170      0.388474      0.786853E-01   0.00000      0.408170    
  0.110975E-02   12.7823      0.798852      0.881201      0.784078      0.895975      0.147746E-01  -.147746E-01   1.68005      0.401873      0.416648      0.401996      0.382204      0.773306E-01   0.00000      0.401996    
  0.114895E-02   12.5801      0.786727      0.867497      0.771633      0.882592      0.150945E-01  -.150945E-01   1.65422      0.395699      0.410793      0.395823      0.375934      0.759759E-01   0.00000      0.395823    
  0.118953E-02   12.3978      0.775941      0.855273      0.760465      0.870749      0.154761E-01  -.154761E-01   1.63121      0.390193      0.405670      0.390319      0.370272      0.747614E-01   0.00000      0.390319    
  0.123155E-02   12.2176      0.765292      0.843200      0.749428      0.859064      0.158640E-01  -.158640E-01   1.60849      0.384756      0.400620      0.384882      0.364671      0.735612E-01   0.00000      0.384882    
  0.127505E-02   12.0374      0.754642      0.831126      0.738390      0.847378      0.162519E-01  -.162519E-01   1.58577      0.379319      0.395571      0.379446      0.359071      0.723610E-01   0.00000      0.379446    
  0.132009E-02   11.8571      0.743992      0.819053      0.727352      0.835693      0.166398E-01  -.166398E-01   1.56304      0.373882      0.390522      0.374010      0.353470      0.711608E-01   0.00000      0.374010    
  0.136672E-02   11.6769      0.733342      0.806979      0.716314      0.824007      0.170277E-01  -.170277E-01   1.54032      0.368445      0.385473      0.368574      0.347870      0.699605E-01   0.00000      0.368574    
  0.141499E-02   11.4967      0.722692      0.794906      0.705277      0.812321      0.174156E-01  -.174156E-01   1.51760      0.363008      0.380423      0.363138      0.342269      0.687603E-01   0.00000      0.363138    
  0.146497E-02   11.3165      0.712042      0.782832      0.694239      0.800636      0.178035E-01  -.178035E-01   1.49487      0.357571      0.375374      0.357702      0.336668      0.675601E-01   0.00000      0.357702    
  0.151672E-02   11.1362      0.701393      0.770759      0.683201      0.788950      0.181914E-01  -.181914E-01   1.47215      0.352133      0.370325      0.352266      0.331068      0.663599E-01   0.00000      0.352266    
  0.157029E-02   10.9645      0.691331      0.759331      0.672716      0.777946      0.186148E-01  -.186148E-01   1.45066      0.346989      0.365604      0.347122      0.325727      0.652193E-01   0.00000      0.347122    
