   36.0000000             200          15   1.00000005E-03   1.00000000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-02   12.5931      0.790846      0.881944      0.776866      0.895924      0.139803E-01  -.139803E-01   1.67279      0.402640      0.416621      0.402760      0.374225      0.765436E-01   0.00000      0.402760    
  0.103532E-02   12.3983      0.779479      0.869238      0.765176      0.883541      0.143029E-01  -.143029E-01   1.64872      0.396929      0.411232      0.397050      0.368246      0.752586E-01   0.00000      0.397050    
  0.107189E-02   12.2034      0.768111      0.856532      0.753486      0.871158      0.146256E-01  -.146256E-01   1.62464      0.391218      0.405844      0.391340      0.362268      0.739737E-01   0.00000      0.391340    
  0.110975E-02   12.0086      0.756744      0.843826      0.741796      0.858774      0.149482E-01  -.149482E-01   1.60057      0.385507      0.400455      0.385630      0.356289      0.726888E-01   0.00000      0.385630    
  0.114895E-02   11.8138      0.745377      0.831120      0.730106      0.846391      0.152709E-01  -.152709E-01   1.57650      0.379796      0.395067      0.379920      0.350310      0.714038E-01   0.00000      0.379920    
  0.118953E-02   11.6392      0.735367      0.819926      0.719712      0.835582      0.156556E-01  -.156556E-01   1.55529      0.374773      0.390428      0.374898      0.344939      0.702556E-01   0.00000      0.374898    
  0.123155E-02   11.4667      0.725495      0.808886      0.709449      0.824932      0.160466E-01  -.160466E-01   1.53438      0.369819      0.385866      0.369945      0.339630      0.691212E-01   0.00000      0.369945    
  0.127505E-02   11.2942      0.715624      0.797846      0.699186      0.814283      0.164376E-01  -.164376E-01   1.51347      0.364866      0.381303      0.364993      0.334320      0.679869E-01   0.00000      0.364993    
  0.132009E-02   11.1217      0.705752      0.786805      0.688923      0.803634      0.168286E-01  -.168286E-01   1.49256      0.359912      0.376741      0.360041      0.329011      0.668525E-01   0.00000      0.360041    
  0.136672E-02   10.9492      0.695880      0.775765      0.678661      0.792985      0.172197E-01  -.172197E-01   1.47165      0.354959      0.372179      0.355088      0.323702      0.657182E-01   0.00000      0.355088    
  0.141499E-02   10.7767      0.686009      0.764725      0.668398      0.782336      0.176107E-01  -.176107E-01   1.45073      0.350005      0.367616      0.350136      0.318392      0.645838E-01   0.00000      0.350136    
  0.146497E-02   10.6041      0.676137      0.753685      0.658135      0.771686      0.180017E-01  -.180017E-01   1.42982      0.345052      0.363054      0.345183      0.313083      0.634495E-01   0.00000      0.345183    
  0.151672E-02   10.4316      0.666265      0.742644      0.647872      0.761037      0.183928E-01  -.183928E-01   1.40891      0.340099      0.358491      0.340231      0.307774      0.623151E-01   0.00000      0.340231    
  0.157029E-02   10.2677      0.656985      0.732259      0.638165      0.751079      0.188194E-01  -.188194E-01   1.38924      0.335444      0.354263      0.335577      0.302721      0.612384E-01   0.00000      0.335577    
  0.162576E-02   10.1149      0.648477      0.722731      0.629185      0.742024      0.192927E-01  -.192927E-01   1.37121      0.331180      0.350473      0.331314      0.298005      0.602372E-01   0.00000      0.331314    
  0.168318E-02   9.96214      0.639970      0.713203      0.620204      0.732969      0.197660E-01  -.197660E-01   1.35317      0.326916      0.346682      0.327051      0.293288      0.592359E-01   0.00000      0.327051    
  0.174263E-02   9.80937      0.631463      0.703675      0.611223      0.723914      0.202392E-01  -.202392E-01   1.33514      0.322652      0.342891      0.322788      0.288571      0.582346E-01   0.00000      0.322788    
  0.180419E-02   9.65660      0.622955      0.694146      0.602243      0.714859      0.207125E-01  -.207125E-01   1.31710      0.318388      0.339101      0.318525      0.283855      0.572333E-01   0.00000      0.318525    
  0.186791E-02   9.50382      0.614448      0.684618      0.593262      0.705804      0.211858E-01  -.211858E-01   1.29907      0.314124      0.335310      0.314262      0.279138      0.562321E-01   0.00000      0.314262    
  0.193389E-02   9.35105      0.605940      0.675090      0.584281      0.696749      0.216590E-01  -.216590E-01   1.28103      0.309860      0.331519      0.309999      0.274421      0.552308E-01   0.00000      0.309999    
  0.200220E-02   9.19828      0.597433      0.665562      0.575301      0.687694      0.221323E-01  -.221323E-01   1.26299      0.305596      0.327729      0.305736      0.269704      0.542295E-01   0.00000      0.305736    
  0.207292E-02   9.04551      0.588926      0.656033      0.566320      0.678639      0.226056E-01  -.226056E-01   1.24496      0.301333      0.323938      0.301473      0.264988      0.532283E-01   0.00000      0.301473    
  0.214614E-02   8.90945      0.581621      0.647828      0.558448      0.671002      0.231734E-01  -.231734E-01   1.22945      0.297674      0.320847      0.297815      0.260774      0.523398E-01   0.00000      0.297815    
  0.222195E-02   8.77410      0.574368      0.639679      0.550623      0.663425      0.237453E-01  -.237453E-01   1.21405      0.294041      0.317786      0.294182      0.256582      0.514562E-01   0.00000      0.294182    
  0.230043E-02   8.63876      0.567115      0.631530      0.542798      0.655847      0.243172E-01  -.243172E-01   1.19865      0.290408      0.314725      0.290550      0.252390      0.505726E-01   0.00000      0.290550    
  0.238169E-02   8.50341      0.559862      0.623381      0.534973      0.648270      0.248891E-01  -.248891E-01   1.18324      0.286775      0.311664      0.286918      0.248198      0.496890E-01   0.00000      0.286918    
  0.246581E-02   8.36806      0.552609      0.615232      0.527148      0.640693      0.254610E-01  -.254610E-01   1.16784      0.283142      0.308603      0.283285      0.244006      0.488053E-01   0.00000      0.283285    
  0.255291E-02   8.23272      0.545356      0.607083      0.519323      0.633116      0.260329E-01  -.260329E-01   1.15244      0.279509      0.305542      0.279653      0.239815      0.479217E-01   0.00000      0.279653    
  0.264308E-02   8.09737      0.538103      0.598934      0.511498      0.625539      0.266048E-01  -.266048E-01   1.13704      0.275876      0.302480      0.276021      0.235623      0.470381E-01   0.00000      0.276021    
  0.273644E-02   7.96203      0.530850      0.590785      0.503673      0.617962      0.271767E-01  -.271767E-01   1.12164      0.272243      0.299419      0.272388      0.231431      0.461545E-01   0.00000      0.272388    
  0.283310E-02   7.83414      0.524161      0.583249      0.496355      0.611055      0.278058E-01  -.278058E-01   1.10741      0.268891      0.296697      0.269037      0.227464      0.453213E-01   0.00000      0.269037    
  0.293317E-02   7.71417      0.518071      0.576364      0.489575      0.604860      0.284955E-01  -.284955E-01   1.09444      0.265838      0.294333      0.265985      0.223738      0.445417E-01   0.00000      0.265985    
  0.303677E-02   7.59420      0.511981      0.569479      0.482796      0.598665      0.291853E-01  -.291853E-01   1.08146      0.262785      0.291970      0.262932      0.220011      0.437622E-01   0.00000      0.262932    
  0.314404E-02   7.47423      0.505891      0.562594      0.476016      0.592469      0.298751E-01  -.298751E-01   1.06849      0.259732      0.289607      0.259880      0.216284      0.429826E-01   0.00000      0.259880    
  0.325509E-02   7.35426      0.499801      0.555709      0.469237      0.586274      0.305649E-01  -.305649E-01   1.05551      0.256679      0.287244      0.256827      0.212558      0.422031E-01   0.00000      0.256827    
  0.337006E-02   7.23429      0.493712      0.548824      0.462457      0.580079      0.312547E-01  -.312547E-01   1.04254      0.253626      0.284881      0.253775      0.208831      0.414235E-01   0.00000      0.253775    
  0.348910E-02   7.11432      0.487622      0.541939      0.455677      0.573883      0.319445E-01  -.319445E-01   1.02956      0.250573      0.282517      0.250722      0.205104      0.406439E-01   0.00000      0.250722    
  0.361234E-02   6.99435      0.481532      0.535054      0.448898      0.567688      0.326343E-01  -.326343E-01   1.01659      0.247520      0.280154      0.247670      0.201378      0.398644E-01   0.00000      0.247670    
  0.373994E-02   6.87452      0.475454      0.528181      0.442128      0.561507      0.333256E-01  -.333256E-01   1.00363      0.244473      0.277798      0.244623      0.197656      0.390858E-01   0.00000      0.244623    
  0.387204E-02   6.76811      0.470452      0.522457      0.436296      0.556613      0.341557E-01  -.341557E-01  0.992909      0.241954      0.276110      0.242105      0.194342      0.383984E-01   0.00000      0.242105    
  0.400881E-02   6.66170      0.465451      0.516733      0.430465      0.551719      0.349859E-01  -.349859E-01  0.982184      0.239436      0.274422      0.239586      0.191029      0.377109E-01   0.00000      0.239586    
  0.415040E-02   6.55528      0.460449      0.511009      0.424633      0.546825      0.358160E-01  -.358160E-01  0.971458      0.236917      0.272734      0.237068      0.187716      0.370235E-01   0.00000      0.237068    
  0.429700E-02   6.44887      0.455448      0.505285      0.418801      0.541932      0.366462E-01  -.366462E-01  0.960733      0.234399      0.271045      0.234550      0.184402      0.363361E-01   0.00000      0.234550    
  0.444878E-02   6.34245      0.450446      0.499561      0.412970      0.537038      0.374764E-01  -.374764E-01  0.950008      0.231881      0.269357      0.232032      0.181089      0.356487E-01   0.00000      0.232032    
  0.460592E-02   6.23604      0.445445      0.493837      0.407138      0.532144      0.383065E-01  -.383065E-01  0.939282      0.229362      0.267669      0.229514      0.177776      0.349612E-01   0.00000      0.229514    
  0.476861E-02   6.12963      0.440443      0.488114      0.401306      0.527250      0.391367E-01  -.391367E-01  0.928557      0.226844      0.265981      0.226996      0.174462      0.342738E-01   0.00000      0.226996    
  0.493705E-02   6.02321      0.435442      0.482390      0.395475      0.522356      0.399668E-01  -.399668E-01  0.917831      0.224326      0.264293      0.224477      0.171149      0.335864E-01   0.00000      0.224477    
  0.511143E-02   5.92320      0.430991      0.477237      0.390104      0.518123      0.408862E-01  -.408862E-01  0.908227      0.222071      0.262957      0.222223      0.168033      0.329428E-01   0.00000      0.222223    
  0.529198E-02   5.82873      0.427015      0.472578      0.385133      0.514461      0.418826E-01  -.418826E-01  0.899593      0.220045      0.261927      0.220196      0.165088      0.323371E-01   0.00000      0.220196    
  0.547890E-02   5.73426      0.423040      0.467919      0.380161      0.510798      0.428791E-01  -.428791E-01  0.890959      0.218018      0.260897      0.218170      0.162143      0.317314E-01   0.00000      0.218170    
  0.567243E-02   5.63979      0.419065      0.463260      0.375189      0.507135      0.438755E-01  -.438755E-01  0.882325      0.215991      0.259867      0.216143      0.159198      0.311257E-01   0.00000      0.216143    
  0.587279E-02   5.54532      0.415090      0.458601      0.370218      0.503473      0.448719E-01  -.448719E-01  0.873690      0.213965      0.258837      0.214116      0.156253      0.305200E-01   0.00000      0.214116    
  0.608022E-02   5.45085      0.411114      0.453942      0.365246      0.499810      0.458684E-01  -.458684E-01  0.865056      0.211938      0.257807      0.212089      0.153308      0.299143E-01   0.00000      0.212089    
  0.629499E-02   5.35637      0.407139      0.449283      0.360274      0.496148      0.468648E-01  -.468648E-01  0.856422      0.209912      0.256776      0.210063      0.150363      0.293086E-01   0.00000      0.210063    
  0.651734E-02   5.26190      0.403164      0.444624      0.355303      0.492485      0.478613E-01  -.478613E-01  0.847788      0.207885      0.255746      0.208036      0.147417      0.287029E-01   0.00000      0.208036    
  0.674754E-02   5.16808      0.399249      0.440025      0.350379      0.488895      0.488699E-01  -.488699E-01  0.839274      0.205886      0.254756      0.206037      0.144493      0.281018E-01   0.00000      0.206037    
  0.698588E-02   5.08413      0.396246      0.436333      0.346184      0.486395      0.500621E-01  -.500621E-01  0.832579      0.204307      0.254369      0.204457      0.141877      0.275688E-01   0.00000      0.204457    
  0.723263E-02   5.00017      0.393243      0.432641      0.341989      0.483895      0.512542E-01  -.512542E-01  0.825885      0.202728      0.253982      0.202878      0.139261      0.270358E-01   0.00000      0.202878    
  0.748810E-02   4.91622      0.390241      0.428949      0.337794      0.481396      0.524464E-01  -.524464E-01  0.819190      0.201149      0.253595      0.201298      0.136645      0.265028E-01   0.00000      0.201298    
  0.775260E-02   4.83226      0.387238      0.425257      0.333599      0.478896      0.536386E-01  -.536386E-01  0.812495      0.199570      0.253208      0.199718      0.134030      0.259698E-01   0.00000      0.199718    
  0.802643E-02   4.74830      0.384235      0.421566      0.329404      0.476396      0.548308E-01  -.548308E-01  0.805801      0.197990      0.252821      0.198138      0.131414      0.254368E-01   0.00000      0.198138    
  0.830994E-02   4.66435      0.381232      0.417874      0.325209      0.473897      0.560230E-01  -.560230E-01  0.799106      0.196411      0.252434      0.196559      0.128798      0.249038E-01   0.00000      0.196559    
  0.860346E-02   4.58039      0.378229      0.414182      0.321014      0.471397      0.572151E-01  -.572151E-01  0.792411      0.194832      0.252047      0.194979      0.126182      0.243708E-01   0.00000      0.194979    
  0.890735E-02   4.49644      0.375227      0.410490      0.316819      0.468897      0.584073E-01  -.584073E-01  0.785716      0.193253      0.251660      0.193399      0.123566      0.238378E-01   0.00000      0.193399    
  0.922198E-02   4.41753      0.372733      0.407276      0.313008      0.467001      0.597250E-01  -.597250E-01  0.780009      0.191895      0.251620      0.192041      0.121112      0.233394E-01   0.00000      0.192041    
  0.954772E-02   4.34217      0.370595      0.404397      0.309465      0.465528      0.611305E-01  -.611305E-01  0.774993      0.190693      0.251824      0.190839      0.118772      0.228653E-01   0.00000      0.190839    
  0.988496E-02   4.26681      0.368458      0.401519      0.305922      0.464055      0.625361E-01  -.625361E-01  0.769977      0.189491      0.252028      0.189636      0.116431      0.223912E-01   0.00000      0.189636    
  0.102341E-01   4.19145      0.366321      0.398640      0.302379      0.462582      0.639417E-01  -.639417E-01  0.764961      0.188290      0.252231      0.188433      0.114090      0.219171E-01   0.00000      0.188433    
  0.105956E-01   4.11609      0.364184      0.395761      0.298837      0.461108      0.653473E-01  -.653473E-01  0.759945      0.187088      0.252435      0.187231      0.111749      0.214430E-01   0.00000      0.187231    
  0.109699E-01   4.04073      0.362047      0.392882      0.295294      0.459635      0.667528E-01  -.667528E-01  0.754929      0.185886      0.252638      0.186028      0.109408      0.209689E-01   0.00000      0.186028    
  0.113573E-01   3.96537      0.359910      0.390004      0.291751      0.458162      0.681584E-01  -.681584E-01  0.749913      0.184684      0.252842      0.184825      0.107067      0.204948E-01   0.00000      0.184825    
  0.117585E-01   3.89001      0.357772      0.387125      0.288208      0.456689      0.695640E-01  -.695640E-01  0.744897      0.183482      0.253046      0.183623      0.104727      0.200206E-01   0.00000      0.183623    
  0.121738E-01   3.81545      0.355717      0.384317      0.284724      0.455310      0.709932E-01  -.709932E-01  0.740034      0.182312      0.253305      0.182452      0.102412      0.195524E-01   0.00000      0.182452    
  0.126038E-01   3.74715      0.354302      0.382060      0.281695      0.454667      0.726070E-01  -.726070E-01  0.736362      0.181396      0.254003      0.181535      0.100299      0.191295E-01   0.00000      0.181535    
  0.130490E-01   3.67884      0.352886      0.379803      0.278666      0.454024      0.742208E-01  -.742208E-01  0.732689      0.180479      0.254700      0.180617      0.981863E-01  0.187067E-01   0.00000      0.180617    
  0.135099E-01   3.61054      0.351471      0.377546      0.275636      0.453381      0.758346E-01  -.758346E-01  0.729017      0.179563      0.255397      0.179699      0.960735E-01  0.182839E-01   0.00000      0.179699    
  0.139871E-01   3.54223      0.350055      0.375289      0.272607      0.452738      0.774484E-01  -.774484E-01  0.725345      0.178646      0.256095      0.178782      0.939607E-01  0.178611E-01   0.00000      0.178782    
  0.144812E-01   3.47727      0.349004      0.373313      0.269818      0.452499      0.791862E-01  -.791862E-01  0.722316      0.177858      0.257044      0.177992      0.919594E-01  0.174624E-01   0.00000      0.177992    
  0.149927E-01   3.41279      0.348003      0.371376      0.267062      0.452317      0.809415E-01  -.809415E-01  0.719379      0.177088      0.258029      0.177221      0.899738E-01  0.170670E-01   0.00000      0.177221    
